date,o,h,l,c,vol,b,nhh2,nll2,ma20,DKXb方向,高于前两天高点,低于前两天低点,开仓,平仓,bk总手数,bkprice,b持仓均价,b保证金,b合约金额,是b止损,可用余额,总金额,nhh3,nll3,b止损
2009-04-24,3515,3524,3499,3503,102004,3535.8047619047607,3568.0,3491.0,3528.05,0,,,,,0,0.0,0,0.0,0,,100000.0,100000.0,,,
2009-04-27,3512,3522,3494,3501,102958,3533.396825396826,3533.0,3491.0,3525.0,0,,,,,0,0.0,0,0.0,0,,100000.0,100000.0,,,0.0
2009-04-28,3498,3517,3498,3509,97352,3531.4460317460316,3524.0,3494.0,3523.15,0,,,,,0,0.0,0,0.0,0,,100000.0,100000.0,,,0.0
2009-04-29,3509,3522,3505,3522,102924,3530.6857142857143,3522.0,3494.0,3521.7,0,,,,,0,0.0,0,0.0,0,,100000.0,100000.0,3524.0,3494.0,0.0
2009-04-30,3538,3575,3525,3554,249142,3533.2190476190476,3522.0,3498.0,3521.95,0,1,,,,0,0.0,0,0.0,0,,100000.0,100000.0,3522.0,3494.0,0.0
2009-05-04,3575,3661,3575,3637,575670,3542.4634920634917,3575.0,3505.0,3530.05,1,1,,bk,,1,3575.0,0,3575.0,0,,96425.0,100620.0,3575.0,3498.0,3498.0
2009-05-05,3637,3645,3573,3579,176798,3549.0555555555566,3661.0,3525.0,3536.5,1,,,,sp,1,0.0,0,3575.0,0,,96425.0,100040.0,3661.0,3505.0,3505.0
2009-05-06,3580,3600,3575,3596,104310,3554.2055555555553,3661.0,3573.0,3541.65,1,,,,,1,0.0,0,3575.0,0,,96425.0,100210.0,3661.0,3525.0,3525.0
2009-05-07,3630,3632,3593,3595,151292,3560.346825396825,3645.0,3573.0,3548.15,1,,,,,1,0.0,0,3575.0,0,,96425.0,100200.0,3661.0,3573.0,3573.0
2009-05-08,3601,3618,3592,3616,104146,3566.1452380952383,3632.0,3575.0,3555.45,1,,,,,1,0.0,0,3575.0,0,,96425.0,100410.0,3645.0,3573.0,3573.0
2009-05-11,3617,3679,3608,3640,337180,3573.9111111111115,3632.0,3592.0,3563.15,1,1,,bk,,2,3632.0,0,7207.0,0,,92793.0,100730.0,3632.0,3575.0,3575.0
