date,o,h,l,c,vol,b,d,nhh2,nll2,ma20,atr,condition,高于前两天高点,低于前两天低点,开仓,bk总手数,bkprice,是b止损,b止损,sk总手数,skprice,s止损,是s止损,余额占比,可用余额,总金额
2009-06-10,3794,3815,3776,3810,240044,3688.1785714285706,3640.8064285714295,3808.0,3749.0,3661.35,46.72,1,1,,bk,0,0.0,,,0,0.0,,,0,100000.0,100000.0
2009-06-11,3812,3940,3810,3880,638952,3707.826984126984,3650.0913492063505,3815.0,3770.0,3673.05,46.38,1,1,,bk,4,3818.0,,3722,0,0.0,,,0,84728.0,102480.0
2009-06-12,3890,3929,3839,3866,593530,3727.2801587301597,3661.182936507938,3940.0,3776.0,3684.35,47.16,1,,,,0,0.0,1,3845,0,0.0,,,0,100960.0,100960.0
2009-06-15,3857,3879,3827,3851,370066,3743.4103174603174,3673.5460317460324,3940.0,3810.0,3697.1,47.52,1,,,,0,0.0,,0,0,0.0,999999,,0,100960.0,100960.0
2009-06-16,3831,3884,3831,3868,363330,3758.8928571428573,3687.009761904763,3929.0,3827.0,3710.2,48.24,1,,,,0,0.0,,0,0,0.0,999999,,0,100960.0,100960.0
2009-06-17,3864,3880,3844,3855,219252,3773.222222222222,3701.4500793650795,3884.0,3827.0,3722.5,47.12,1,,,,0,0.0,,0,0,0.0,999999,,0,100960.0,100960.0
2009-06-18,3855,3868,3833,3845,194002,3785.3507936507945,3716.4919047619055,3884.0,3831.0,3733.75,46.94,1,,,,0,0.0,,0,0,0.0,999999,,0,100960.0,100960.0
2009-06-19,3855,3921,3849,3909,567686,3800.5476190476184,3731.8856349206353,3880.0,3833.0,3748.2,46.62,1,1,,bk,4,3883.0,,3786,0,0.0,,,0,85428.0,102000.0
2009-06-22,3911,3938,3903,3922,506902,3817.097619047619,3747.5693650793655,3921.0,3833.0,3763.05,46.62,1,1,,bk,6,3924.0,,3827,0,0.0,,,0,77580.0,102480.0
2009-06-23,3900,3902,3838,3884,503470,3828.6650793650792,3763.0472222222224,3938.0,3849.0,3776.25,47.78,1,,1,,0,0.0,1,3842,0,0.0,,,0,97500.0,97500.0
2009-06-24,3892,3900,3861,3873,287118,3838.6658730158724,3778.095952380953,3938.0,3838.0,3789.35,47.92,1,,,,0,0.0,,0,0,0.0,999999,,0,97500.0,97500.0
2009-06-25,3865,3890,3862,3869,287590,3846.654761904762,3791.9787301587303,3902.0,3838.0,3802.65,47.92,1,,,,0,0.0,,0,0,0.0,999999,,0,97500.0,97500.0
2009-06-26,3873,3889,3849,3857,380966,3852.7198412698417,3804.522698412699,3900.0,3861.0,3814.9,46.12,1,,1,,0,0.0,,0,0,0.0,999999,,0,97500.0,97500.0
2009-06-29,3849,3856,3827,3832,293528,3855.1674603174597,3815.6984126984134,3890.0,3849.0,3824.05,45.92,1,,1,,0,0.0,,0,0,0.0,999999,,0,97500.0,97500.0
2009-06-30,3836,3843,3818,3827,218656,3855.8984126984124,3825.3989682539695,3889.0,3827.0,3832.55,45.12,1,,1,,0,0.0,,0,0,0.0,999999,,0,97500.0,97500.0
2009-07-01,3829,3847,3823,3842,231074,3856.5753968253975,3833.7342857142876,3856.0,3818.0,3841.05,44.28,1,,,,0,0.0,,0,0,0.0,999999,,0,97500.0,97500.0
2009-07-02,3859,3880,3848,3868,317248,3859.080952380951,3841.107301587303,3847.0,3818.0,3849.35,44.38,1,1,,bk,6,3862.0,,3758,0,0.0,,,0,74328.0,97860.0
