date,o,h,l,c,vol,ma20,DKXb方向,开仓,平仓,bk总手数,bkprice,sk总手数,skprice,b保证金,s保证金,b持仓均价,s持仓均价,b合约金额,s合约金额,总金额,nhh3,nll3,b止损,s止损,一次开仓手数,可用余额
2013-09-13,3709,3710,3655,3657,1823146,3759.6,0,sk,,0,0,2,3709.0,0,7418.0,0,0,0,74180.0,100000.0,,,,,2,92582.0
2013-09-16,3661,3668,3628,3647,1416362,3751.35,0,sk,,0,0,4,3655.0,0,14728.0,0,0,0,146200.0,101080.0,,,,,2,85272.0
2013-09-17,3645,3661,3636,3647,1199380,3743.9,0,,,0,0,4,0.0,0,14728.0,0,0,0,145880.0,101400.0,,,,,0,85272.0
2013-09-18,3640,3643,3618,3633,1376762,3736.1,0,sk,,0,0,6,3628.0,0,21984.0,0,0,0,217680.0,102160.0,3710.0,3628.0,3628.0,3710.0,2,78016.0
2013-09-23,3629,3656,3612,3655,1429956,3730.4,0,sk,,0,0,7,3618.0,0,25602.0,0,0,0,253260.0,102760.0,3668.0,3618.0,3618.0,3668.0,1,74398.0
2013-09-24,3653,3664,3626,3627,1224802,3720.9,0,,,0,0,0,0.0,0,0.0,0,0,0,0.0,102760.0,3661.0,3612.0,3612.0,3661.0,0,102760.0
2013-09-25,3627,3637,3617,3626,1026100,3711.55,0,,,0,0,0,0.0,0,0.0,0,0,0,0.0,102760.0,3664.0,3612.0,3612.0,3664.0,0,102760.0
2013-09-26,3625,3628,3605,3613,1024020,3701.3,0,sk,,0,0,2,3617.0,0,7234.0,0,0,0,72340.0,102760.0,3664.0,3612.0,3612.0,3664.0,2,95526.0
2013-09-27,3610,3612,3570,3576,1164922,3691.75,0,sk,,0,0,4,3605.0,0,14444.0,0,0,0,144200.0,103000.0,3664.0,3605.0,3605.0,3664.0,2,88316.0
2013-09-30,3586,3598,3581,3587,648414,3683.65,0,,,0,0,4,0.0,0,14444.0,0,0,0,143480.0,103720.0,3637.0,3570.0,3570.0,3637.0,0,88316.0
2013-10-08,3579,3600,3541,3599,1071150,3675.95,0,sk,,0,0,6,3570.0,0,21584.0,0,0,0,214200.0,104400.0,3628.0,3570.0,3570.0,3628.0,2,81176.0
2013-10-09,3594,3621,3580,3589,1716768,3666.05,0,,,0,0,0,0.0,0,0.0,0,0,0,0.0,104400.0,3612.0,3541.0,3541.0,3612.0,0,104400.0
2013-10-10,3587,3608,3584,3597,1022460,3658.65,0,,,0,0,0,0.0,0,0.0,0,0,0,0.0,104400.0,3621.0,3541.0,3541.0,3621.0,0,104400.0
2013-10-11,3603,3621,3590,3601,1156954,3651.85,0,,,0,0,0,0.0,0,0.0,0,0,0,0.0,104400.0,3621.0,3541.0,3541.0,3621.0,0,104400.0
2013-10-14,3602,3628,3598,3625,1129852,3646.5,0,,,0,0,0,0.0,0,0.0,0,0,0,0.0,104400.0,3621.0,3580.0,3580.0,3621.0,0,104400.0
2013-10-15,3626,3636,3585,3606,1206938,3640.65,0,sk,,0,0,0,3590.0,0,0.0,0,0,0,0.0,104400.0,3628.0,3584.0,3584.0,3628.0,2,104400.0
2013-10-16,3610,3612,3560,3567,1254510,3631.4,0,sk,,0,0,2,3585.0,0,7170.0,0,0,0,71700.0,104400.0,3636.0,3585.0,3585.0,3636.0,2,97230.0
2013-10-17,3577,3586,3557,3558,991812,3622.5,0,sk,,0,0,4,3560.0,0,14290.0,0,0,0,142400.0,104900.0,3636.0,3560.0,3560.0,3636.0,2,90110.0
2013-10-18,3563,3581,3539,3568,1365830,3614.55,0,sk,,0,0,6,3557.0,0,21404.0,0,0,0,213420.0,105020.0,3636.0,3557.0,3557.0,3636.0,2,82996.0
2013-10-21,3558,3583,3551,3570,769944,3607.4,0,,,0,0,6,0.0,0,21404.0,0,0,0,214200.0,104240.0,3612.0,3539.0,3539.0,3612.0,0,82996.0
2013-10-22,3565,3577,3555,3557,476304,3602.4,0,,,0,0,6,0.0,0,21404.0,0,0,0,213420.0,105020.0,3586.0,3539.0,3539.0,3586.0,0,82996.0
2013-10-23,3559,3572,3536,3537,518390,3596.9,0,sk,,0,0,8,3551.0,0,28506.0,0,0,0,284080.0,105380.0,3583.0,3539.0,3539.0,3583.0,2,75894.0
2013-10-24,3520,3538,3516,3519,443932,3590.5,0,sk,,0,0,9,3520.0,0,32026.0,0,0,0,316800.0,107860.0,3583.0,3536.0,3536.0,3583.0,1,72374.0
