date,o,h,l,c,vol,ma20,DKXb·½Ïò,¿ª²Ö,Æ½²Ö,bk×ÜÊÖÊı,bkprice,sk×ÜÊÖÊı,skprice,b±£Ö¤½ğ,s±£Ö¤½ğ,b³Ö²Ö¾ù¼Û,s³Ö²Ö¾ù¼Û,bºÏÔ¼½ğ¶î,sºÏÔ¼½ğ¶î,×Ü½ğ¶î,nhh3,nll3,bÖ¹Ëğ,sÖ¹Ëğ,Ò»´Î¿ª²ÖÊÖÊı,¿ÉÓÃÓà¶î
2009-04-24,3515,3524,3499,3503,102004,3528.05,0,,,0,0.0,0,0,0.0,0,0,0,0.0,0,100000.0,,,0.0,,0,100000.0
2009-04-27,3512,3522,3494,3501,102958,3525.0,0,,,0,0.0,0,0,0.0,0,0,0,0.0,0,100000.0,,,0.0,,0,100000.0
2009-04-28,3498,3517,3498,3509,97352,3523.15,0,,,0,0.0,0,0,0.0,0,0,0,0.0,0,100000.0,,,0.0,,0,100000.0
2009-04-29,3509,3522,3505,3522,102924,3521.7,0,,,0,0.0,0,0,0.0,0,0,0,0.0,0,100000.0,3524.0,3494.0,0.0,3524.0,0,100000.0
2009-04-30,3538,3575,3525,3554,249142,3521.95,0,,,0,0.0,0,0,0.0,0,0,0,0.0,0,100000.0,3522.0,3494.0,0.0,3522.0,0,100000.0
2009-05-04,3575,3661,3575,3637,575670,3530.05,1,bk,,2,3575.0,0,0,7150.0,0,0,0,71500.0,0,100000.0,3575.0,3498.0,3498.0,3575.0,2,92850.0
2009-05-05,3637,3645,3573,3579,176798,3536.5,1,,sp,2,0.0,0,0,7150.0,0,0,0,71580.0,0,100080.0,3661.0,3505.0,3505.0,3661.0,0,92850.0
2009-05-06,3580,3600,3575,3596,104310,3541.65,1,,,2,0.0,0,0,7150.0,0,0,0,71920.0,0,100420.0,3661.0,3525.0,3525.0,3661.0,0,92850.0
2009-05-07,3630,3632,3593,3595,151292,3548.15,1,,,2,0.0,0,0,7150.0,0,0,0,71900.0,0,100400.0,3661.0,3573.0,3573.0,3661.0,0,92850.0
2009-05-08,3601,3618,3592,3616,104146,3555.45,1,,,2,0.0,0,0,7150.0,0,0,0,72320.0,0,100820.0,3645.0,3573.0,3573.0,3645.0,0,92850.0
2009-05-11,3617,3679,3608,3640,337180,3563.15,1,bk,,4,3632.0,0,0,14414.0,0,0,0,145280.0,0,101140.0,3632.0,3575.0,3575.0,3632.0,2,85586.0
2009-05-12,3646,3661,3631,3646,194050,3571.9,1,,,4,0.0,0,0,14414.0,0,0,0,145840.0,0,101700.0,3679.0,3592.0,3592.0,3679.0,0,85586.0
2009-05-13,3656,3658,3635,3640,119000,3575.8,1,,,4,0.0,0,0,14414.0,0,0,0,145600.0,0,101460.0,3679.0,3592.0,3592.0,3679.0,0,85586.0
2009-05-14,3618,3622,3592,3596,140800,3577.4,1,,,0,0.0,0,0,0.0,0,0,0,0.0,0,99558.0,3679.0,3608.0,3608.0,3679.0,0,99558.0
2009-05-15,3602,3619,3598,3606,132894,3577.8,1,,,0,0.0,0,0,0.0,0,0,0,0.0,0,99558.0,3661.0,3592.0,0.0,3661.0,0,99558.0
2009-05-18,3597,3613,3583,3609,105328,3577.15,1,,,0,0.0,0,0,0.0,0,0,0,0.0,0,99558.0,3658.0,3592.0,0.0,3658.0,0,99558.0
2009-05-19,3632,3632,3613,3620,95996,3576.9,1,bk,,2,3632.0,0,0,7264.0,0,0,0,72640.0,0,99558.0,3622.0,3583.0,3583.0,3622.0,2,92294.0
2009-05-20,3618,3645,3614,3620,119384,3581.6,1,bk,,4,3632.0,0,0,14528.0,0,0,0,145280.0,0,99558.0,3632.0,3583.0,3583.0,3632.0,2,85030.0
2009-05-21,3622,3643,3620,3625,118058,3586.45,1,,,4,0.0,0,0,14528.0,0,0,0,145000.0,0,99278.0,3645.0,3583.0,3583.0,3645.0,0,85030.0
2009-05-22,3620,3628,3610,3620,60846,3591.7,1,,,0,0.0,0,0,0.0,0,0,0,0.0,0,97598.0,3645.0,3613.0,3613.0,3645.0,0,97598.0
2009-05-25,3631,3631,3602,3611,96118,3597.1,1,,,0,0.0,0,0,0.0,0,0,0,0.0,0,97598.0,3645.0,3610.0,0.0,3645.0,0,97598.0
2009-05-26,3611,3622,3598,3603,114466,3602.2,1,,,0,0.0,0,0,0.0,0,0,0,0.0,0,97598.0,3643.0,3602.0,0.0,3643.0,0,97598.0
2009-05-27,3630,3630,3608,3612,46624,3607.35,1,,,0,0.0,0,0,0.0,0,0,0,0.0,0,97598.0,3631.0,3598.0,0.0,3631.0,0,97598.0
2009-06-01,3632,3659,3627,3649,194440,3613.7,1,bk,,2,3632.0,0,0,7264.0,0,0,0,72640.0,0,97598.0,3631.0,3598.0,3598.0,3631.0,2,90334.0
2009-06-02,3662,3683,3654,3657,200640,3618.85,1,bk,,4,3662.0,0,0,14588.0,0,0,0,146480.0,0,98198.0,3659.0,3598.0,3598.0,3659.0,2,83010.0
2009-06-03,3661,3674,3658,3672,105942,3620.6,1,,,4,0.0,0,0,14588.0,0,0,0,146880.0,0,98598.0,3683.0,3608.0,3608.0,3683.0,0,83010.0
2009-06-04,3652,3713,3650,3702,371940,3626.75,1,bk,,6,3683.0,0,0,21954.0,0,0,0,220980.0,0,99038.0,3683.0,3627.0,3627.0,3683.0,2,75644.0
