date,o,h,l,c
 2016/10/14-14:50,3661,3662,3657,3657
 2016/10/14-14:55,3658,3658,3653,3653
 2016/10/14-15:00,3653,3661,3650,3660
 2016/10/17-21:05,3660,3667,3658,3666
 2016/10/17-21:10,3666,3670,3662,3668
 2016/10/17-21:15,3668,3669,3663,3665
 2016/10/17-21:20,3664,3667,3663,3667
 2016/10/17-21:25,3666,3677,3666,3673
 2016/10/17-21:30,3673,3680,3671,3678
 2016/10/17-21:35,3678,3688,3676,3684
 2016/10/17-21:40,3684,3687,3684,3685
 2016/10/17-21:45,3685,3699,3683,3696
 2016/10/17-21:50,3695,3696,3684,3687
 2016/10/17-21:55,3687,3687,3678,3685
 2016/10/17-22:00,3685,3685,3676,3680
 2016/10/17-22:05,3680,3685,3680,3685
 2016/10/17-22:10,3685,3686,3681,3682
 2016/10/17-22:15,3682,3684,3674,3676
 2016/10/17-22:20,3677,3683,3677,3682
 2016/10/17-22:25,3682,3684,3681,3683
 2016/10/17-22:30,3683,3683,3676,3681
 2016/10/17-22:35,3682,3685,3679,3685
 2016/10/17-22:40,3682,3686,3682,3684
 2016/10/17-22:45,3684,3690,3683,3689
 2016/10/17-22:50,3689,3693,3687,3691
 2016/10/17-22:55,3691,3691,3684,3687
 2016/10/17-23:00,3687,3688,3684,3686
 2016/10/17-23:05,3686,3689,3683,3684
 2016/10/17-23:10,3683,3685,3681,3685
 2016/10/17-23:15,3684,3685,3681,3681
 2016/10/17-23:20,3682,3682,3677,3679
 2016/10/17-23:25,3679,3685,3678,3683
 2016/10/17-23:30,3681,3684,3675,3677
 2016/10/17-09:05,3681,3693,3680,3685
 2016/10/17-09:10,3685,3704,3684,3691
 2016/10/17-09:15,3692,3700,3681,3689
 2016/10/17-09:20,3690,3690,3680,3681
 2016/10/17-09:25,3680,3680,3666,3667
 2016/10/17-09:30,3666,3672,3661,3663
 2016/10/17-09:35,3664,3664,3643,3654
 2016/10/17-09:40,3654,3662,3651,3662
 2016/10/17-09:45,3662,3663,3658,3661
 2016/10/17-09:50,3662,3664,3661,3663
 2016/10/17-09:55,3662,3664,3661,3662
 2016/10/17-10:00,3662,3663,3657,3661
