date,o,h,l,c
 2012/05/10,6177,6186,6095,6149
 2012/05/11,6112,6118,6008,6010
 2012/05/14,6048,6052,5967,5981
 2012/05/15,5897,5915,5724,5847
 2012/05/16,5753,5788,5649,5651
 2012/05/17,5707,5792,5697,5771
 2012/05/18,5819,5887,5775,5871
 2012/05/21,5961,5965,5908,5945
 2012/05/22,5927,5934,5889,5897
 2012/05/23,5808,5821,5765,5796
 2012/05/24,5790,5844,5774,5839
 2012/05/25,5865,5917,5810,5909
 2012/05/28,5946,5998,5922,5993
 2012/05/29,5939,5989,5928,5970
 2012/05/30,5824,5861,5807,5809
 2012/05/31,5843,5885,5836,5858
 2012/06/01,5807,5847,5778,5840
 2012/06/04,5930,6004,5909,5956
 2012/06/05,5960,5992,5929,5939
 2012/06/06,6009,6101,6000,6099
 2012/06/07,6155,6158,6117,6142
 2012/06/08,6012,6030,5916,5946
 2012/06/11,6065,6110,6043,6074
 2012/06/12,6003,6049,5989,6000
 2012/06/13,6061,6094,6051,6094
 2012/06/14,6080,6134,6073,6091
 2012/06/15,6061,6095,6046,6081
 2012/06/18,6098,6104,6013,6019
 2012/06/19,6068,6089,6055,6071
 2012/06/20,6006,6037,6002,6021
 2012/06/21,5911,5935,5905,5921
 2012/06/25,5711,5754,5708,5725
 2012/06/26,5841,5841,5793,5801
 2012/06/27,5777,5781,5735,5755
 2012/06/28,5788,5789,5744,5749
 2012/06/29,5662,5776,5647,5767
 2012/07/02,5846,5848,5799,5811
 2012/07/03,5834,5929,5826,5925
 2012/07/04,5968,5993,5948,5964
 2012/07/05,5975,6010,5960,6009
 2012/07/06,5945,5947,5881,5888
 2012/07/09,5807,5847,5798,5821
 2012/07/10,5828,5848,5809,5811
 2012/07/11,5769,5793,5767,5792
 2012/07/12,5790,5794,5743,5757
 2012/07/13,5785,5845,5779,5843
 2012/07/16,5827,5849,5806,5847
 2012/07/17,5863,5894,5829,5847
 2012/07/18,5853,5856,5794,5827
 2012/07/19,5830,5844,5813,5841
 2012/07/20,5826,5827,5800,5814
 2012/07/23,5821,5824,5767,5777
 2012/07/24,5783,5807,5777,5784
 2012/07/25,5779,5804,5739,5739
 2012/07/26,5831,5871,5815,5860
 2012/07/27,5852,5919,5852,5914
 2012/07/30,5914,5914,5878,5884
 2012/07/31,5967,6030,5962,6011
 2012/08/01,5954,5979,5940,5977
 2012/08/02,5872,5899,5872,5885
 2012/08/03,5855,5857,5833,5853
 2012/08/06,5959,5960,5930,5941
 2012/08/07,5951,5961,5944,5955
 2012/08/08,5988,5988,5943,5946
 2012/08/09,5978,6010,5970,6008
 2012/08/10,5991,5995,5952,5966
 2012/08/13,5995,6012,5975,5985
 2012/08/14,5965,5968,5934,5964
 2012/08/15,5950,5956,5939,5940
 2012/08/16,5963,5964,5934,5941
 2012/08/17,6003,6024,5990,6019
 2012/08/20,5992,6019,5984,6005
 2012/08/21,6082,6142,6081,6133
 2012/08/22,6191,6250,6191,6245
 2012/08/23,6322,6549,6318,6511
 2012/08/24,6501,6530,6446,6474
 2012/08/27,6577,6694,6575,6617
 2012/08/28,6538,6561,6503,6551
 2012/08/29,6556,6609,6548,6605
 2012/08/30,6565,6571,6512,6558
 2012/08/31,6487,6489,6450,6480
 2012/09/03,6716,6836,6708,6807
 2012/09/04,6887,6918,6826,6865
 2012/09/05,6857,6891,6845,6868
 2012/09/06,6889,7061,6877,7034
 2012/09/07,6975,6995,6796,6860
 2012/09/10,7174,7258,7167,7201
 2012/09/11,7159,7183,7105,7172
 2012/09/12,7190,7208,7156,7172
 2012/09/13,7098,7111,7044,7049
 2012/09/14,7439,7480,7337,7374
 2012/09/17,7386,7430,7335,7343
 2012/09/18,7276,7294,7221,7290
 2012/09/19,7375,7439,7301,7435
 2012/09/20,7368,7405,7284,7308
 2012/09/21,7397,7420,7365,7409
 2012/09/24,7255,7255,7101,7166
 2012/09/25,7217,7219,7125,7160
 2012/09/26,7122,7193,7120,7151
 2012/09/27,7176,7236,7170,7233
 2012/09/28,7370,7403,7309,7376
 2012/10/08,7254,7256,7039,7107
 2012/10/09,7134,7163,7101,7106
 2012/10/10,7052,7092,7027,7080
 2012/10/11,7059,7148,7048,7120
 2012/10/12,7095,7142,7067,7081
 2012/10/15,6881,6925,6867,6887
 2012/10/16,6827,6879,6814,6875
 2012/10/17,6907,6913,6868,6872
 2012/10/18,6879,6923,6848,6890
 2012/10/19,6841,6855,6768,6769
 2012/10/22,6676,6757,6676,6754
 2012/10/23,6757,6779,6716,6729
 2012/10/24,6692,6748,6678,6748
 2012/10/25,6740,6839,6723,6815
 2012/10/26,6808,6835,6650,6689
 2012/10/29,6776,6789,6729,6732
 2012/10/30,6720,6735,6683,6719
 2012/10/31,6718,6748,6696,6740
 2012/11/01,6796,6882,6773,6876
 2012/11/02,6828,6833,6691,6732
 2012/11/05,6559,6586,6478,6499
 2012/11/06,6533,6561,6518,6551
 2012/11/07,6655,6763,6631,6736
 2012/11/08,6641,6695,6641,6665
 2012/11/09,6734,6792,6734,6759
 2012/11/12,6824,6834,6753,6806
 2012/11/13,6713,6728,6677,6720
 2012/11/14,6790,6807,6757,6806
 2012/11/15,6766,6799,6758,6774
 2012/11/16,6782,6791,6701,6724
 2012/11/19,6744,6800,6740,6784
 2012/11/20,6867,6914,6855,6895
 2012/11/21,6891,6893,6832,6860
 2012/11/22,6927,6952,6902,6902
 2012/11/23,6903,6953,6879,6947
 2012/11/26,7030,7071,7007,7061
 2012/11/27,7083,7101,7049,7058
 2012/11/28,7035,7040,6963,6996
 2012/11/29,6971,6976,6912,6913
 2012/11/30,7013,7028,6978,7018
 2012/12/03,6921,6921,6838,6855
 2012/12/04,6838,6839,6738,6763
 2012/12/05,6721,6794,6705,6790
 2012/12/06,6762,6770,6684,6700
 2012/12/07,6762,6786,6738,6755
 2012/12/10,6780,6838,6780,6828
 2012/12/11,6795,6797,6752,6789
 2012/12/12,6765,6814,6757,6804
 2012/12/13,6812,6813,6675,6701
 2012/12/14,6650,6724,6640,6694
 2012/12/17,6644,6701,6607,6652
 2012/12/18,6690,6776,6690,6774
 2012/12/19,6647,6647,6600,6612
 2012/12/20,6512,6530,6475,6511
 2012/12/21,6296,6302,6227,6260
 2012/12/24,6271,6355,6261,6340
 2012/12/25,6291,6319,6250,6263
 2012/12/26,6279,6299,6259,6277
 2012/12/27,6280,6348,6268,6315
 2012/12/28,6350,6395,6349,6375
 2012/12/31,6394,6411,6344,6387
 2013/01/04,6268,6268,6158,6194
 2013/01/07,6292,6400,6287,6359
 2013/01/08,6386,6387,6330,6341
 2013/01/09,6385,6406,6374,6399
 2013/01/10,6368,6399,6347,6397
 2013/01/11,6462,6485,6434,6443
 2013/01/14,6393,6463,6383,6455
 2013/01/15,6530,6563,6482,6521
 2013/01/16,6622,6622,6579,6591
 2013/01/17,6605,6605,6548,6572
 2013/01/18,6624,6657,6612,6655
 2013/01/21,6674,6690,6643,6645
 2013/01/22,6668,6699,6659,6687
 2013/01/23,6703,6706,6671,6679
 2013/01/24,6616,6647,6582,6596
 2013/01/25,6531,6574,6528,6566
 2013/01/28,6496,6505,6480,6496
 2013/01/29,6473,6510,6460,6509
 2013/01/30,6523,6543,6523,6531
 2013/01/31,6625,6660,6625,6658
 2013/02/01,6552,6552,6522,6548
 2013/02/04,6591,6625,6575,6600
 2013/02/05,6586,6618,6576,6610
 2013/02/06,6612,6615,6576,6590
 2013/02/07,6603,6622,6589,6594
 2013/02/08,6522,6561,6499,6544
 2013/02/18,6284,6285,6238,6263
 2013/02/19,6268,6288,6261,6276
 2013/02/20,6204,6223,6195,6208
 2013/02/21,6089,6089,5954,5993
 2013/02/22,6027,6057,6019,6048
 2013/02/25,6020,6074,6002,6046
 2013/02/26,6077,6109,6038,6047
 2013/02/27,6142,6142,6098,6114
 2013/02/28,6088,6098,6077,6083
 2013/03/01,6001,6016,5969,5994
 2013/03/04,6047,6052,6007,6031
 2013/03/05,6026,6094,6018,6090
 2013/03/06,6047,6094,6047,6064
 2013/03/07,6101,6101,6061,6077
 2013/03/08,6066,6071,6028,6046
 2013/03/11,6073,6098,6062,6092
 2013/03/12,6083,6088,6048,6048
 2013/03/13,6103,6103,6074,6088
 2013/03/14,6052,6052,5942,6017
 2013/03/15,6018,6044,5995,6034
 2013/03/18,6046,6046,5942,5986
 2013/03/19,6017,6028,5997,6026
 2013/03/20,6020,6033,5993,6026
 2013/03/21,5987,6033,5979,6023
 2013/03/22,6064,6065,6039,6051
 2013/03/25,5977,6019,5976,5991
 2013/03/26,5992,6004,5971,5979
 2013/03/27,5990,5994,5845,5849
 2013/03/28,5924,5969,5916,5942
 2013/03/29,5860,5880,5802,5842
 2013/04/01,5841,5848,5742,5748
 2013/04/02,5792,5805,5752,5775
 2013/04/03,5621,5622,5551,5559
 2013/04/08,5632,5654,5604,5642
 2013/04/09,5624,5680,5624,5677
 2013/04/10,5768,5781,5748,5781
 2013/04/11,5681,5705,5663,5677
 2013/04/12,5708,5708,5680,5692
 2013/04/15,5352,5353,5352,5353
 2013/04/16,4872,4877,4872,4877
 2013/04/17,4863,4908,4761,4800
 2013/04/18,4706,4780,4564,4743
 2013/04/19,4738,4879,4722,4825
 2013/04/22,4808,4832,4763,4778
