date,o,h,l,c
 2004/09/22,1234,1238,1189,1197
 2004/09/23,1191,1194,1178,1187
 2004/09/24,1182,1197,1179,1190
 2004/09/27,1185,1188,1158,1159
 2004/09/28,1160,1169,1157,1162
 2004/09/29,1165,1167,1150,1154
 2004/09/30,1149,1152,1126,1129
 2004/10/08,1130,1147,1118,1142
 2004/10/11,1138,1153,1131,1144
 2004/10/12,1147,1158,1133,1148
 2004/10/13,1141,1151,1139,1141
 2004/10/14,1145,1151,1142,1148
 2004/10/15,1145,1149,1135,1138
 2004/10/18,1141,1142,1132,1137
 2004/10/19,1135,1149,1134,1140
 2004/10/20,1147,1156,1142,1153
 2004/10/21,1151,1153,1145,1148
 2004/10/22,1146,1147,1136,1138
 2004/10/25,1135,1145,1131,1142
 2004/10/26,1149,1150,1142,1144
 2004/10/27,1146,1148,1142,1145
 2004/10/28,1143,1149,1140,1147
 2004/10/29,1143,1147,1140,1142
 2004/11/01,1141,1143,1129,1135
 2004/11/02,1131,1140,1131,1139
 2004/11/03,1138,1141,1133,1140
 2004/11/04,1140,1141,1136,1140
 2004/11/05,1136,1154,1135,1144
 2004/11/08,1147,1149,1142,1142
 2004/11/09,1143,1146,1140,1142
 2004/11/10,1144,1144,1138,1140
 2004/11/11,1142,1144,1139,1140
 2004/11/12,1140,1141,1133,1136
 2004/11/15,1140,1151,1139,1146
 2004/11/16,1149,1154,1145,1147
 2004/11/17,1149,1152,1144,1149
 2004/11/18,1153,1159,1150,1155
 2004/11/19,1153,1156,1148,1155
 2004/11/22,1149,1151,1147,1149
 2004/11/23,1148,1154,1147,1149
 2004/11/24,1151,1155,1150,1154
 2004/11/25,1153,1172,1152,1169
 2004/11/26,1167,1171,1161,1166
 2004/11/29,1164,1165,1148,1150
 2004/11/30,1149,1154,1147,1150
 2004/12/01,1150,1158,1150,1157
 2004/12/02,1155,1164,1152,1156
 2004/12/03,1155,1161,1154,1160
 2004/12/06,1164,1175,1162,1168
 2004/12/07,1171,1171,1163,1164
 2004/12/08,1159,1163,1157,1162
 2004/12/09,1164,1172,1164,1170
 2004/12/10,1167,1169,1163,1166
 2004/12/13,1167,1173,1164,1172
 2004/12/14,1175,1180,1167,1168
 2004/12/15,1170,1171,1167,1170
 2004/12/16,1169,1171,1167,1168
 2004/12/17,1167,1168,1162,1165
 2004/12/20,1168,1174,1165,1169
 2004/12/21,1169,1171,1166,1169
 2004/12/22,1169,1170,1166,1167
 2004/12/23,1167,1171,1164,1167
 2004/12/24,1170,1170,1166,1168
 2004/12/27,1168,1170,1165,1167
 2004/12/28,1167,1169,1153,1156
 2004/12/29,1156,1160,1153,1158
 2004/12/30,1157,1161,1154,1156
 2004/12/31,1158,1161,1155,1159
 2005/01/04,1154,1157,1146,1149
 2005/01/05,1144,1155,1144,1154
 2005/01/06,1154,1160,1154,1157
 2005/01/07,1164,1167,1159,1161
 2005/01/10,1161,1161,1156,1158
 2005/01/11,1159,1162,1157,1159
 2005/01/12,1157,1161,1157,1160
 2005/01/13,1153,1159,1152,1158
 2005/01/14,1159,1160,1157,1160
 2005/01/17,1155,1160,1155,1160
 2005/01/18,1161,1161,1157,1159
 2005/01/19,1159,1164,1158,1162
 2005/01/20,1162,1163,1159,1160
 2005/01/21,1161,1162,1159,1160
 2005/01/24,1159,1161,1158,1161
 2005/01/25,1159,1163,1159,1162
 2005/01/26,1163,1164,1161,1162
 2005/01/27,1161,1163,1159,1159
 2005/01/28,1158,1160,1155,1158
 2005/01/31,1158,1158,1153,1154
 2005/02/01,1156,1157,1152,1152
 2005/02/02,1152,1154,1146,1150
 2005/02/03,1150,1155,1149,1154
 2005/02/04,1154,1157,1153,1156
 2005/02/16,1162,1167,1157,1160
 2005/02/17,1159,1160,1153,1157
 2005/02/18,1160,1162,1155,1156
 2005/02/21,1158,1159,1154,1158
 2005/02/22,1158,1169,1157,1167
 2005/02/23,1173,1175,1163,1163
 2005/02/24,1164,1168,1163,1166
 2005/02/25,1164,1166,1162,1164
 2005/02/28,1175,1205,1173,1195
 2005/03/01,1194,1195,1174,1181
 2005/03/02,1176,1198,1176,1188
 2005/03/03,1185,1191,1181,1183
 2005/03/04,1186,1191,1179,1191
 2005/03/07,1195,1203,1192,1197
 2005/03/08,1186,1196,1184,1195
 2005/03/09,1200,1215,1196,1209
 2005/03/10,1214,1245,1213,1236
 2005/03/11,1244,1252,1225,1230
 2005/03/14,1251,1258,1232,1245
 2005/03/15,1239,1274,1235,1264
 2005/03/16,1279,1307,1276,1300
 2005/03/17,1289,1304,1276,1279
 2005/03/18,1286,1291,1240,1264
 2005/03/21,1261,1309,1257,1300
 2005/03/22,1283,1309,1274,1299
 2005/03/23,1301,1312,1289,1293
 2005/03/24,1300,1315,1289,1311
 2005/03/25,1321,1326,1304,1310
 2005/03/28,1322,1326,1304,1312
 2005/03/29,1318,1325,1311,1313
 2005/03/30,1314,1319,1294,1298
 2005/03/31,1309,1312,1301,1305
 2005/04/01,1305,1308,1284,1307
 2005/04/04,1303,1317,1300,1314
 2005/04/05,1313,1316,1305,1307
 2005/04/06,1303,1310,1300,1309
 2005/04/07,1316,1316,1303,1306
 2005/04/08,1305,1308,1301,1306
 2005/04/11,1306,1314,1302,1307
 2005/04/12,1315,1317,1308,1313
 2005/04/13,1309,1311,1304,1306
 2005/04/14,1310,1311,1297,1305
 2005/04/15,1307,1308,1302,1304
 2005/04/18,1303,1306,1297,1302
 2005/04/19,1301,1307,1299,1306
 2005/04/20,1316,1324,1310,1317
 2005/04/21,1316,1316,1298,1301
 2005/04/22,1306,1306,1297,1302
 2005/04/25,1306,1307,1301,1303
 2005/04/26,1301,1304,1297,1300
 2005/04/27,1300,1303,1295,1298
 2005/04/28,1295,1298,1292,1295
 2005/04/29,1293,1297,1291,1294
 2005/05/09,1294,1297,1280,1286
 2005/05/10,1286,1290,1276,1287
 2005/05/11,1286,1288,1283,1284
 2005/05/12,1283,1284,1269,1270
 2005/05/13,1264,1268,1254,1259
 2005/05/16,1255,1267,1254,1265
 2005/05/17,1268,1270,1260,1268
 2005/05/18,1267,1273,1261,1273
 2005/05/19,1277,1287,1271,1277
 2005/05/20,1274,1279,1272,1275
 2005/05/23,1283,1286,1279,1284
 2005/05/24,1294,1295,1283,1285
 2005/05/25,1287,1288,1261,1269
 2005/05/26,1277,1280,1271,1278
 2005/05/27,1282,1286,1279,1284
 2005/05/30,1277,1280,1271,1275
 2005/05/31,1281,1284,1273,1274
 2005/06/01,1273,1276,1270,1272
 2005/06/02,1271,1276,1269,1271
 2005/06/03,1264,1269,1263,1269
 2005/06/06,1276,1287,1274,1283
 2005/06/07,1274,1281,1273,1279
 2005/06/08,1274,1278,1273,1276
 2005/06/09,1271,1282,1270,1278
 2005/06/10,1278,1286,1278,1282
 2005/06/13,1284,1285,1279,1281
 2005/06/14,1283,1284,1279,1281
 2005/06/15,1283,1284,1280,1281
 2005/06/16,1287,1290,1280,1283
 2005/06/17,1283,1284,1279,1283
 2005/06/20,1294,1297,1286,1289
 2005/06/21,1289,1289,1284,1286
 2005/06/22,1290,1292,1286,1289
 2005/06/23,1288,1289,1283,1285
 2005/06/24,1287,1289,1285,1288
 2005/06/27,1290,1295,1286,1288
 2005/06/28,1277,1288,1274,1285
 2005/06/29,1285,1290,1283,1287
 2005/06/30,1287,1289,1281,1283
 2005/07/01,1282,1284,1277,1282
 2005/07/04,1281,1286,1280,1283
 2005/07/05,1283,1284,1277,1281
 2005/07/06,1285,1286,1281,1282
 2005/07/07,1282,1285,1281,1282
 2005/07/08,1283,1285,1280,1285
 2005/07/11,1282,1308,1281,1301
 2005/07/12,1301,1302,1296,1298
 2005/07/13,1300,1301,1288,1291
 2005/07/14,1292,1296,1279,1288
 2005/07/15,1296,1302,1292,1299
 2005/07/18,1304,1308,1295,1296
 2005/07/19,1296,1299,1291,1293
 2005/07/20,1289,1290,1279,1282
 2005/07/21,1282,1286,1280,1285
 2005/07/22,1270,1282,1266,1274
 2005/07/25,1272,1277,1263,1265
 2005/07/26,1264,1268,1260,1263
 2005/07/27,1263,1266,1261,1264
