date,o,h,l,c
 2016/05/06-13:35,1563,1564,1562,1563
 2016/05/06-13:40,1563,1564,1562,1562
 2016/05/06-13:45,1562,1563,1561,1562
 2016/05/06-13:50,1562,1563,1560,1561
 2016/05/06-13:55,1561,1561,1557,1557
 2016/05/06-14:00,1557,1558,1555,1557
 2016/05/06-14:05,1556,1560,1555,1560
 2016/05/06-14:10,1560,1560,1558,1559
 2016/05/06-14:15,1559,1560,1558,1560
 2016/05/06-14:20,1560,1561,1559,1560
 2016/05/06-14:25,1560,1561,1559,1560
 2016/05/06-14:30,1561,1561,1560,1560
 2016/05/06-14:35,1561,1561,1559,1560
 2016/05/06-14:40,1559,1561,1559,1560
 2016/05/06-14:45,1560,1561,1558,1559
 2016/05/06-14:50,1559,1559,1557,1559
 2016/05/06-14:55,1558,1559,1555,1556
 2016/05/06-15:00,1556,1559,1556,1558
 2016/05/09-09:05,1568,1568,1561,1565
 2016/05/09-09:10,1564,1565,1561,1562
 2016/05/09-09:15,1562,1564,1559,1560
 2016/05/09-09:20,1560,1563,1560,1562
 2016/05/09-09:25,1562,1567,1561,1565
 2016/05/09-09:30,1565,1570,1564,1568
 2016/05/09-09:35,1568,1568,1565,1565
 2016/05/09-09:40,1565,1567,1564,1565
 2016/05/09-09:45,1566,1566,1563,1565
 2016/05/09-09:50,1566,1566,1562,1564
 2016/05/09-09:55,1564,1565,1562,1564
 2016/05/09-10:00,1563,1564,1561,1562
 2016/05/09-10:05,1561,1563,1560,1561
 2016/05/09-10:10,1560,1563,1560,1561
 2016/05/09-10:15,1561,1561,1558,1560
 2016/05/09-10:35,1560,1561,1558,1560
 2016/05/09-10:40,1561,1561,1559,1559
 2016/05/09-10:45,1559,1560,1558,1559
 2016/05/09-10:50,1559,1560,1558,1559
 2016/05/09-10:55,1560,1560,1556,1556
 2016/05/09-11:00,1556,1558,1554,1554
 2016/05/09-11:05,1554,1556,1552,1553
 2016/05/09-11:10,1553,1554,1551,1554
 2016/05/09-11:15,1555,1555,1551,1552
 2016/05/09-11:20,1552,1554,1551,1552
 2016/05/09-11:25,1552,1555,1552,1554
 2016/05/09-11:30,1554,1555,1553,1555
 2016/05/09-13:35,1554,1557,1553,1556
 2016/05/09-13:40,1557,1557,1555,1556
 2016/05/09-13:45,1556,1558,1555,1557
 2016/05/09-13:50,1557,1558,1555,1555
 2016/05/09-13:55,1556,1556,1553,1553
 2016/05/09-14:00,1554,1554,1552,1553
 2016/05/09-14:05,1553,1555,1552,1553
 2016/05/09-14:10,1553,1556,1553,1555
 2016/05/09-14:15,1555,1556,1553,1556
 2016/05/09-14:20,1556,1556,1555,1556
 2016/05/09-14:25,1555,1556,1554,1555
 2016/05/09-14:30,1555,1555,1553,1554
 2016/05/09-14:35,1554,1555,1553,1555
 2016/05/09-14:40,1555,1557,1554,1556
 2016/05/09-14:45,1556,1557,1555,1555
 2016/05/09-14:50,1555,1557,1555,1555
 2016/05/09-14:55,1555,1557,1555,1556
 2016/05/09-15:00,1556,1558,1556,1557
 2016/05/10-09:05,1551,1553,1547,1549
 2016/05/10-09:10,1549,1555,1549,1554
 2016/05/10-09:15,1554,1558,1552,1556
 2016/05/10-09:20,1557,1557,1555,1556
 2016/05/10-09:25,1557,1557,1553,1554
 2016/05/10-09:30,1554,1555,1553,1553
 2016/05/10-09:35,1553,1556,1553,1556
 2016/05/10-09:40,1556,1557,1554,1554
 2016/05/10-09:45,1555,1558,1554,1556
 2016/05/10-09:50,1557,1558,1556,1557
 2016/05/10-09:55,1556,1557,1556,1557
 2016/05/10-10:00,1557,1557,1555,1556
 2016/05/10-10:05,1557,1558,1555,1557
 2016/05/10-10:10,1558,1558,1556,1556
 2016/05/10-10:15,1556,1557,1556,1557
 2016/05/10-10:35,1557,1558,1556,1557
 2016/05/10-10:40,1557,1558,1556,1557
 2016/05/10-10:45,1557,1558,1557,1558
 2016/05/10-10:50,1558,1560,1558,1558
 2016/05/10-10:55,1558,1559,1556,1557
 2016/05/10-11:00,1557,1558,1555,1556
 2016/05/10-11:05,1556,1556,1554,1555
 2016/05/10-11:10,1555,1557,1555,1555
 2016/05/10-11:15,1555,1556,1555,1556
 2016/05/10-11:20,1556,1558,1556,1557
 2016/05/10-11:25,1557,1559,1557,1559
 2016/05/10-11:30,1559,1560,1558,1560
 2016/05/10-13:35,1560,1561,1558,1560
 2016/05/10-13:40,1560,1560,1559,1559
