date,o,h,l,c
 2014/12/22,2811,2816,2744,2757
 2014/12/23,2752,2776,2735,2759
 2014/12/24,2766,2777,2765,2771
 2014/12/25,2764,2764,2723,2744
 2014/12/26,2747,2755,2735,2739
 2014/12/29,2745,2758,2741,2753
 2014/12/30,2749,2755,2733,2746
 2014/12/31,2745,2752,2738,2742
 2015/01/05,2743,2743,2705,2713
 2015/01/06,2725,2725,2651,2656
 2015/01/07,2658,2680,2653,2675
 2015/01/08,2670,2689,2668,2685
 2015/01/09,2684,2694,2671,2681
 2015/01/12,2682,2692,2679,2691
 2015/01/13,2691,2691,2670,2689
 2015/01/14,2681,2695,2678,2680
 2015/01/15,2677,2694,2676,2693
 2015/01/16,2692,2720,2685,2713
 2015/01/19,2720,2741,2714,2734
 2015/01/20,2736,2740,2726,2735
 2015/01/21,2740,2755,2738,2747
 2015/01/22,2750,2750,2712,2731
 2015/01/23,2736,2740,2719,2724
 2015/01/26,2717,2742,2716,2735
 2015/01/27,2737,2782,2736,2778
 2015/01/28,2771,2805,2765,2801
 2015/01/29,2799,2854,2793,2818
 2015/01/30,2814,2830,2805,2817
 2015/02/02,2820,2847,2805,2835
 2015/02/03,2832,2841,2824,2832
 2015/02/04,2839,2855,2833,2844
 2015/02/05,2842,2894,2842,2868
 2015/02/06,2872,2893,2872,2893
 2015/02/09,2899,2917,2889,2912
 2015/02/10,2914,2935,2910,2934
 2015/02/11,2926,2938,2917,2928
 2015/02/12,2927,2930,2897,2909
 2015/02/13,2914,2943,2904,2930
 2015/02/16,2933,2939,2923,2939
 2015/02/17,2936,2936,2905,2913
 2015/02/25,2902,2924,2893,2895
 2015/02/26,2898,2905,2880,2894
 2015/02/27,2899,2926,2896,2919
 2015/03/02,2924,2932,2918,2924
 2015/03/03,2921,2921,2892,2909
 2015/03/04,2908,2940,2907,2939
 2015/03/05,2936,2942,2909,2915
 2015/03/06,2912,2929,2905,2912
 2015/03/09,2907,2929,2905,2925
 2015/03/10,2928,2964,2925,2950
 2015/03/11,2957,3000,2956,2977
 2015/03/12,2973,2977,2951,2977
 2015/03/13,2986,3009,2966,2993
 2015/03/16,2991,3019,2983,3006
 2015/03/17,3008,3017,2995,3013
 2015/03/18,3008,3009,2971,2978
 2015/03/19,2986,2989,2962,2968
 2015/03/20,2966,2998,2965,2982
 2015/03/23,3001,3006,2984,2997
 2015/03/24,3009,3067,3004,3050
 2015/03/25,3050,3067,3026,3042
 2015/03/26,3042,3055,3029,3048
 2015/03/27,3058,3083,3036,3074
 2015/03/30,3070,3080,3046,3071
 2015/03/31,3074,3082,3049,3057
 2015/04/01,3038,3049,2977,3000
 2015/04/02,3015,3015,2983,2998
 2015/04/03,2994,2998,2978,2997
 2015/04/07,2982,2996,2972,2990
 2015/04/08,2989,2998,2944,2953
 2015/04/09,2955,2959,2939,2950
 2015/04/10,2952,2978,2943,2973
 2015/04/13,2969,3014,2966,3002
 2015/04/14,2998,3004,2965,2972
 2015/04/15,2972,2974,2896,2917
 2015/04/16,2922,2934,2908,2923
 2015/04/17,2929,2949,2919,2946
 2015/04/20,2956,2958,2919,2928
 2015/04/21,2922,2942,2912,2928
 2015/04/22,2925,2941,2925,2938
 2015/04/23,2942,2953,2936,2938
 2015/04/24,2944,2945,2907,2934
 2015/04/27,2931,2937,2921,2933
 2015/04/28,2935,2963,2926,2932
 2015/04/29,2924,2932,2912,2926
 2015/04/30,2932,2956,2927,2953
 2015/05/04,2958,2992,2951,2971
 2015/05/05,2971,2977,2960,2972
 2015/05/06,2973,2975,2962,2968
 2015/05/07,2960,3004,2960,2977
 2015/05/08,2959,2974,2956,2962
 2015/05/11,2976,2976,2955,2959
 2015/05/12,2954,2978,2954,2977
 2015/05/13,2981,2994,2976,2982
 2015/05/14,2980,2994,2972,2990
 2015/05/15,2991,3007,2987,2990
 2015/05/18,2990,2990,2975,2977
 2015/05/19,2976,2987,2970,2982
 2015/05/20,2976,2983,2963,2972
 2015/05/21,2973,2978,2964,2972
 2015/05/22,2973,2974,2957,2963
 2015/05/25,2950,2959,2916,2917
 2015/05/26,2923,2931,2888,2891
 2015/05/27,2881,2895,2847,2853
 2015/05/28,2863,2875,2854,2868
 2015/05/29,2869,2887,2869,2879
 2015/06/01,2896,2901,2886,2888
 2015/06/02,2884,2902,2881,2901
 2015/06/03,2894,2897,2879,2884
 2015/06/04,2883,2884,2839,2867
 2015/06/05,2866,2867,2834,2835
 2015/06/08,2814,2842,2776,2834
 2015/06/09,2837,2847,2826,2835
 2015/06/10,2837,2837,2810,2824
 2015/06/11,2822,2841,2821,2836
 2015/06/12,2822,2832,2806,2830
 2015/06/15,2812,2815,2784,2803
 2015/06/16,2799,2843,2798,2836
 2015/06/17,2845,2847,2829,2833
 2015/06/18,2837,2856,2835,2840
 2015/06/19,2844,2844,2825,2834
 2015/06/23,2855,2858,2822,2828
 2015/06/24,2828,2832,2808,2824
 2015/06/25,2822,2829,2809,2810
 2015/06/26,2820,2821,2804,2816
 2015/06/29,2817,2822,2796,2796
 2015/06/30,2789,2799,2780,2791
 2015/07/01,2824,2828,2801,2813
 2015/07/02,2800,2808,2789,2798
 2015/07/03,2799,2813,2798,2810
 2015/07/06,2810,2822,2801,2807
 2015/07/07,2816,2820,2792,2795
 2015/07/08,2772,2795,2709,2763
 2015/07/09,2813,2817,2780,2789
 2015/07/10,2786,2805,2769,2770
 2015/07/13,2788,2818,2759,2759
 2015/07/14,2771,2775,2742,2743
 2015/07/15,2739,2744,2729,2732
 2015/07/16,2709,2756,2705,2754
 2015/07/17,2749,2763,2740,2756
 2015/07/20,2747,2754,2707,2720
 2015/07/21,2720,2724,2704,2710
 2015/07/22,2709,2719,2698,2703
 2015/07/23,2703,2704,2690,2694
 2015/07/24,2683,2693,2661,2662
 2015/07/27,2645,2646,2591,2598
 2015/07/28,2596,2606,2585,2595
 2015/07/29,2597,2606,2593,2601
 2015/07/30,2596,2604,2572,2572
 2015/07/31,2578,2584,2571,2578
 2015/08/03,2572,2573,2518,2536
 2015/08/04,2543,2552,2518,2527
 2015/08/05,2532,2533,2505,2520
 2015/08/06,2521,2521,2505,2509
