date,o,h,l,c
 2016/08/10-14:40,6228,6234,6228,6230
 2016/08/10-14:45,6230,6232,6226,6228
 2016/08/10-14:50,6226,6230,6226,6228
 2016/08/10-14:55,6228,6232,6226,6230
 2016/08/10-15:00,6228,6232,6222,6224
 2016/08/11-21:05,6260,6260,6252,6258
 2016/08/11-21:10,6258,6262,6250,6254
 2016/08/11-21:15,6254,6258,6244,6250
 2016/08/11-21:20,6250,6254,6248,6252
 2016/08/11-21:25,6252,6254,6250,6252
 2016/08/11-21:30,6252,6256,6250,6254
 2016/08/11-21:35,6254,6256,6244,6246
 2016/08/11-21:40,6246,6248,6236,6242
 2016/08/11-21:45,6242,6246,6238,6246
 2016/08/11-21:50,6246,6246,6240,6242
 2016/08/11-21:55,6240,6242,6234,6240
 2016/08/11-22:00,6238,6240,6236,6240
 2016/08/11-22:05,6240,6242,6238,6242
 2016/08/11-22:10,6242,6246,6242,6244
 2016/08/11-22:15,6244,6248,6242,6248
 2016/08/11-22:20,6248,6252,6246,6248
 2016/08/11-22:25,6248,6250,6244,6246
 2016/08/11-22:30,6246,6248,6244,6244
 2016/08/11-22:35,6244,6250,6244,6246
 2016/08/11-22:40,6246,6250,6236,6236
 2016/08/11-22:45,6236,6240,6232,6234
 2016/08/11-22:50,6234,6236,6222,6228
 2016/08/11-22:55,6226,6232,6224,6226
 2016/08/11-23:00,6226,6232,6226,6228
 2016/08/11-23:05,6228,6228,6224,6224
 2016/08/11-23:10,6226,6226,6220,6220
 2016/08/11-23:15,6220,6224,6214,6222
 2016/08/11-23:20,6222,6222,6214,6218
 2016/08/11-23:25,6218,6222,6218,6220
 2016/08/11-23:30,6220,6226,6220,6222
 2016/08/11-09:05,6220,6226,6216,6220
 2016/08/11-09:10,6220,6230,6218,6228
 2016/08/11-09:15,6226,6228,6220,6220
 2016/08/11-09:20,6220,6220,6210,6210
 2016/08/11-09:25,6210,6214,6202,6212
 2016/08/11-09:30,6210,6212,6204,6204
 2016/08/11-09:35,6204,6208,6200,6206
