date,o,h,l,c
 2014/03/24,3314,3330,3272,3330
 2014/03/25,3326,3402,3322,3380
 2014/03/26,3370,3382,3356,3376
 2014/03/27,3370,3388,3352,3364
 2014/03/28,3376,3388,3362,3384
 2014/03/31,3396,3424,3384,3412
 2014/04/01,3414,3420,3398,3416
 2014/04/02,3412,3428,3390,3392
 2014/04/03,3388,3416,3386,3412
 2014/04/04,3414,3442,3404,3442
 2014/04/08,3450,3490,3442,3482
 2014/04/09,3488,3488,3446,3454
 2014/04/10,3452,3472,3444,3448
 2014/04/11,3434,3454,3432,3436
 2014/04/14,3434,3466,3434,3440
 2014/04/15,3444,3450,3420,3450
 2014/04/16,3446,3446,3412,3420
 2014/04/18,3414,3414,3348,3356
 2014/04/21,3344,3366,3342,3342
 2014/04/22,3344,3364,3326,3356
 2014/04/23,3358,3388,3338,3382
 2014/04/24,3376,3396,3368,3392
 2014/04/25,3398,3400,3374,3380
 2014/04/28,3374,3374,3334,3338
 2014/04/29,3336,3374,3336,3360
 2014/04/30,3370,3370,3338,3344
 2014/05/06,3342,3362,3336,3344
 2014/05/07,3338,3356,3330,3332
 2014/05/08,3330,3336,3310,3312
 2014/05/09,3312,3330,3304,3318
 2014/05/12,3330,3334,3300,3334
 2014/05/13,3334,3344,3320,3326
 2014/05/14,3326,3330,3314,3324
 2014/05/15,3324,3326,3300,3302
 2014/05/16,3296,3302,3242,3272
 2014/05/19,3264,3284,3252,3266
 2014/05/20,3262,3276,3256,3262
 2014/05/21,3266,3284,3256,3274
 2014/05/22,3272,3316,3272,3280
 2014/05/23,3294,3294,3276,3282
 2014/05/26,3288,3332,3288,3328
 2014/05/27,3332,3368,3322,3340
 2014/05/28,3304,3342,3304,3312
 2014/05/29,3310,3324,3302,3308
 2014/05/30,3302,3302,3254,3266
 2014/06/03,3258,3290,3250,3270
 2014/06/04,3270,3278,3262,3264
 2014/06/05,3274,3284,3254,3272
 2014/06/06,3278,3284,3262,3284
 2014/06/09,3280,3284,3258,3264
 2014/06/10,3264,3274,3234,3270
 2014/06/11,3272,3278,3256,3262
 2014/06/12,3256,3260,3234,3248
 2014/06/13,3242,3260,3234,3250
 2014/06/16,3252,3252,3220,3228
 2014/06/17,3220,3248,3212,3240
 2014/06/18,3242,3276,3234,3266
 2014/06/19,3268,3280,3262,3266
 2014/06/20,3270,3288,3256,3280
 2014/06/23,3282,3304,3280,3300
 2014/06/24,3300,3300,3278,3282
 2014/06/25,3290,3292,3274,3288
 2014/06/26,3296,3320,3288,3320
 2014/06/27,3322,3326,3302,3304
 2014/06/30,3298,3310,3288,3288
 2014/07/01,3290,3296,3278,3296
 2014/07/02,3294,3312,3280,3310
 2014/07/03,3312,3328,3308,3312
 2014/07/04,3310,3316,3298,3308
