date,o,h,l,c
 2013/10/18,974,984,962,976
 2013/10/21,974,976,959,967
 2013/10/22,965,965,946,946
 2013/10/23,948,951,935,938
 2013/10/24,937,937,916,925
 2013/10/25,927,934,916,917
 2013/10/28,919,926,916,921
 2013/10/29,922,922,912,919
 2013/10/30,917,928,915,922
 2013/10/31,923,925,918,920
 2013/11/01,919,952,919,941
 2013/11/04,942,956,941,949
 2013/11/05,947,953,942,945
 2013/11/06,948,950,941,943
 2013/11/07,944,946,938,944
 2013/11/08,945,947,935,937
 2013/11/11,939,942,933,940
 2013/11/12,938,942,935,941
 2013/11/13,939,949,938,941
 2013/11/14,939,942,935,935
 2013/11/15,937,940,928,929
 2013/11/18,929,933,924,930
 2013/11/19,929,940,928,940
 2013/11/20,940,944,938,940
 2013/11/21,940,940,930,930
 2013/11/22,932,933,927,929
 2013/11/25,931,934,926,931
 2013/11/26,932,941,932,939
 2013/11/27,938,940,931,934
 2013/11/28,932,938,932,937
 2013/11/29,937,943,937,937
 2013/12/02,938,939,933,935
 2013/12/03,936,939,934,937
 2013/12/04,940,953,940,950
 2013/12/05,950,954,942,943
 2013/12/06,943,944,936,939
 2013/12/09,939,944,938,943
 2013/12/10,943,945,940,940
 2013/12/11,940,940,932,935
 2013/12/12,934,936,928,928
 2013/12/13,926,926,905,912
 2013/12/16,911,921,911,916
 2013/12/17,916,918,907,908
 2013/12/18,907,911,900,904
 2013/12/19,907,910,904,905
 2013/12/20,906,910,899,902
 2013/12/23,902,902,883,889
 2013/12/24,888,903,888,895
 2013/12/25,898,899,893,898
 2013/12/26,896,899,883,893
 2013/12/27,893,905,892,902
 2013/12/30,903,915,903,906
 2013/12/31,905,909,896,907
 2014/01/02,907,908,896,903
 2014/01/03,900,901,884,898
 2014/01/06,896,896,885,889
 2014/01/07,888,895,884,893
 2014/01/08,891,893,881,888
 2014/01/09,887,895,880,884
 2014/01/10,882,882,866,876
 2014/01/13,873,875,864,866
 2014/01/14,869,877,861,876
 2014/01/15,873,877,870,874
 2014/01/16,875,880,871,874
 2014/01/17,872,872,865,870
 2014/01/20,867,870,854,856
 2014/01/21,855,856,839,842
 2014/01/22,844,853,840,846
 2014/01/23,849,878,849,872
 2014/01/24,868,874,865,870
 2014/01/27,866,867,855,858
 2014/01/28,858,862,852,852
