date,o,h,l,c
 2013/11/08,4010,4196,3994,4077
 2013/11/11,4107,4107,4023,4044
 2013/11/12,4045,4092,4037,4084
 2013/11/13,4079,4110,4070,4105
 2013/11/14,4104,4113,4090,4110
 2013/11/15,4109,4142,4108,4140
 2013/11/18,4138,4146,4124,4136
 2013/11/19,4136,4148,4124,4145
 2013/11/20,4142,4158,4140,4152
 2013/11/21,4154,4155,4133,4140
 2013/11/22,4144,4163,4135,4147
 2013/11/25,4149,4260,4149,4246
 2013/11/26,4244,4259,4230,4249
 2013/11/27,4253,4259,4210,4230
 2013/11/28,4233,4266,4230,4256
 2013/11/29,4258,4264,4237,4255
 2013/12/02,4256,4270,4236,4248
 2013/12/03,4247,4268,4224,4245
 2013/12/04,4248,4258,4233,4236
 2013/12/05,4239,4259,4234,4241
 2013/12/06,4245,4258,4194,4220
 2013/12/09,4227,4238,4217,4221
 2013/12/10,4229,4258,4222,4237
 2013/12/11,4243,4250,4229,4235
 2013/12/12,4239,4251,4229,4237
 2013/12/13,4234,4240,4177,4186
 2013/12/16,4199,4202,4165,4172
 2013/12/17,4177,4204,4174,4193
 2013/12/18,4187,4205,4179,4182
 2013/12/19,4180,4180,4030,4069
 2013/12/20,4079,4086,4051,4074
 2013/12/23,4057,4062,4030,4058
 2013/12/24,4053,4080,4047,4072
 2013/12/25,4074,4108,4071,4086
 2013/12/26,4092,4106,4045,4062
 2013/12/27,4062,4083,4058,4060
 2013/12/30,4065,4095,4062,4079
 2013/12/31,4077,4093,4030,4042
 2014/01/02,4044,4069,4032,4065
 2014/01/03,4079,4117,4072,4102
 2014/01/06,4094,4108,4030,4032
 2014/01/07,3963,4007,3929,3969
 2014/01/08,3972,3981,3945,3961
 2014/01/09,3955,3983,3909,3926
 2014/01/10,3929,3944,3915,3931
 2014/01/13,3929,3957,3915,3930
 2014/01/14,3935,3983,3930,3975
 2014/01/15,3971,3976,3931,3940
 2014/01/16,3946,3946,3871,3880
 2014/01/17,3880,3903,3863,3902
 2014/01/20,3894,3932,3894,3913
 2014/01/21,3908,3908,3869,3886
 2014/01/22,3884,3884,3813,3858
 2014/01/23,3849,3878,3848,3867
 2014/01/24,3863,3877,3840,3863
 2014/01/27,3852,3906,3845,3905
 2014/01/28,3883,3971,3883,3946
 2014/01/29,3946,3975,3933,3967
 2014/01/30,3963,4014,3960,4012
 2014/02/07,4001,4040,3951,3956
 2014/02/10,3948,3995,3932,3986
 2014/02/11,3985,3987,3945,3947
 2014/02/12,3953,3959,3929,3957
 2014/02/13,3960,3984,3957,3966
 2014/02/14,3970,4069,3950,4068
 2014/02/17,4057,4115,4057,4104
 2014/02/18,4101,4115,4075,4106
 2014/02/19,4115,4122,4099,4111
 2014/02/20,4107,4111,4056,4065
 2014/02/21,4071,4077,4039,4069
 2014/02/24,4068,4100,4047,4076
 2014/02/25,4079,4082,3995,4000
 2014/02/26,4008,4025,3962,4017
 2014/02/27,4020,4047,4006,4019
 2014/02/28,4026,4040,4006,4039
 2014/03/03,4043,4097,4043,4071
 2014/03/04,4082,4113,4050,4113
 2014/03/05,4110,4151,4099,4150
 2014/03/06,4140,4160,4125,4153
 2014/03/07,4154,4286,4136,4278
 2014/03/10,4252,4312,4251,4309
 2014/03/11,4300,4345,4291,4334
 2014/03/12,4323,4331,4301,4320
 2014/03/13,4323,4417,4312,4386
 2014/03/14,4394,4400,4344,4380
 2014/03/17,4387,4394,4232,4259
 2014/03/18,4272,4332,4231,4328
 2014/03/19,4313,4361,4313,4344
 2014/03/20,4348,4368,4291,4367
 2014/03/21,4355,4457,4355,4444
 2014/03/24,4425,4468,4420,4460
 2014/03/25,4455,4478,4436,4467
 2014/03/26,4464,4531,4430,4521
 2014/03/27,4518,4550,4510,4535
 2014/03/28,4534,4544,4490,4526
 2014/03/31,4514,4517,4485,4510
 2014/04/01,4505,4568,4498,4523
 2014/04/02,4538,4540,4484,4495
 2014/04/03,4505,4559,4467,4551
 2014/04/04,4540,4564,4538,4562
 2014/04/08,4556,4633,4556,4622
 2014/04/09,4612,4647,4585,4599
 2014/04/10,4606,4656,4598,4650
 2014/04/11,4638,4658,4616,4651
 2014/04/14,4638,4671,4608,4629
 2014/04/15,4633,4651,4613,4650
 2014/04/16,4629,4675,4626,4675
 2014/04/17,4676,4743,4659,4731
 2014/04/18,4713,4762,4713,4758
 2014/04/21,4745,4880,4745,4875
 2014/04/22,4843,4886,4840,4867
 2014/04/23,4864,4879,4820,4867
 2014/04/24,4848,4892,4798,4817
 2014/04/25,4814,4840,4801,4831
 2014/04/28,4820,4920,4820,4911
 2014/04/29,4912,4926,4870,4899
 2014/04/30,4894,4955,4894,4952
 2014/05/05,4970,4990,4933,4961
 2014/05/06,4966,4978,4947,4977
 2014/05/07,4977,5008,4948,5004
 2014/05/08,5007,5055,4943,4946
 2014/05/09,4955,4971,4929,4962
 2014/05/12,4980,5080,4976,5078
 2014/05/13,5076,5117,5066,5116
 2014/05/14,5125,5135,5096,5126
 2014/05/15,5118,5168,5096,5167
 2014/05/16,5152,5202,5126,5200
 2014/05/19,5171,5177,5041,5069
 2014/05/20,5070,5185,5067,5170
 2014/05/21,5152,5164,4977,4999
 2014/05/22,5004,5026,4957,4978
 2014/05/23,4977,5013,4943,4992
 2014/05/26,4939,4939,4869,4869
 2014/05/27,4869,4923,4855,4897
 2014/05/28,4893,4963,4882,4910
