date,o,h,l,c
 2016/01/20-10:45,3313,3315,3312,3312
 2016/01/20-10:50,3312,3314,3311,3312
 2016/01/20-10:55,3312,3313,3307,3309
 2016/01/20-11:00,3308,3311,3308,3308
 2016/01/20-11:05,3309,3312,3308,3312
 2016/01/20-11:10,3311,3312,3309,3311
 2016/01/20-11:15,3311,3312,3310,3311
 2016/01/20-11:20,3311,3317,3310,3315
 2016/01/20-11:25,3315,3315,3312,3313
 2016/01/20-11:30,3312,3313,3310,3311
 2016/01/20-13:35,3311,3312,3305,3308
 2016/01/20-13:40,3308,3309,3302,3305
 2016/01/20-13:45,3305,3308,3304,3308
 2016/01/20-13:50,3308,3311,3307,3308
 2016/01/20-13:55,3308,3310,3308,3309
 2016/01/20-14:00,3309,3310,3307,3309
 2016/01/20-14:05,3309,3311,3308,3311
 2016/01/20-14:10,3311,3314,3309,3310
 2016/01/20-14:15,3310,3312,3309,3310
 2016/01/20-14:20,3309,3312,3308,3309
 2016/01/20-14:25,3309,3311,3309,3311
 2016/01/20-14:30,3311,3313,3310,3312
 2016/01/20-14:35,3312,3313,3311,3311
 2016/01/20-14:40,3311,3316,3310,3316
 2016/01/20-14:45,3316,3319,3315,3319
 2016/01/20-14:50,3319,3323,3317,3317
 2016/01/20-14:55,3317,3319,3315,3319
 2016/01/20-15:00,3319,3320,3317,3318
 2016/01/21-09:05,3316,3318,3311,3312
 2016/01/21-09:10,3312,3314,3306,3310
 2016/01/21-09:15,3310,3317,3309,3315
 2016/01/21-09:20,3315,3316,3312,3312
 2016/01/21-09:25,3312,3317,3311,3315
 2016/01/21-09:30,3314,3315,3310,3311
 2016/01/21-09:35,3311,3312,3308,3310
 2016/01/21-09:40,3310,3312,3309,3312
 2016/01/21-09:45,3312,3324,3311,3323
 2016/01/21-09:50,3324,3350,3319,3350
 2016/01/21-09:55,3350,3368,3343,3362
 2016/01/21-10:00,3361,3376,3361,3367
 2016/01/21-10:05,3366,3371,3363,3368
 2016/01/21-10:10,3368,3379,3365,3370
 2016/01/21-10:15,3370,3378,3369,3374
 2016/01/21-10:35,3374,3384,3373,3379
 2016/01/21-10:40,3379,3380,3373,3374
 2016/01/21-10:45,3374,3375,3370,3372
 2016/01/21-10:50,3371,3375,3370,3374
 2016/01/21-10:55,3374,3374,3370,3371
 2016/01/21-11:00,3371,3379,3370,3379
 2016/01/21-11:05,3379,3382,3372,3374
 2016/01/21-11:10,3374,3376,3371,3373
 2016/01/21-11:15,3373,3373,3369,3373
 2016/01/21-11:20,3373,3373,3367,3370
