date,o,h,l,c
 2000/07/17,2049,2049,1924,1954
 2000/07/18,1981,2064,1974,1992
 2000/07/19,2042,2042,2014,2015
 2000/07/20,1965,1968,1955,1961
 2000/07/21,1953,1960,1917,1917
 2000/07/24,1914,1918,1889,1918
 2000/07/25,1873,1934,1868,1920
 2000/07/26,1923,1934,1889,1901
 2000/07/27,1913,1917,1878,1891
 2000/07/28,1869,1902,1854,1866
 2000/07/31,1871,1883,1863,1874
 2000/08/01,1757,1759,1757,1757
 2000/08/02,1845,1848,1793,1795
 2000/08/03,1848,1854,1803,1835
 2000/08/04,1769,1798,1730,1785
 2000/08/07,1778,1786,1737,1763
 2000/08/08,1765,1800,1736,1760
 2000/08/09,1784,1801,1729,1781
 2000/08/10,1761,1780,1738,1749
 2000/08/11,1749,1777,1739,1756
 2000/08/14,1755,1765,1748,1754
 2000/08/15,1766,1783,1741,1768
 2000/08/16,1735,1743,1728,1731
 2000/08/17,1706,1747,1696,1731
 2000/08/18,1728,1753,1711,1732
 2000/08/21,1736,1745,1714,1738
 2000/08/22,1713,1755,1709,1740
 2000/08/23,1742,1752,1721,1744
 2000/08/24,1743,1751,1733,1739
 2000/08/25,1733,1747,1723,1735
 2000/08/28,1748,1806,1748,1804
 2000/08/29,1798,1804,1784,1799
 2000/08/30,1801,1823,1788,1818
 2000/08/31,1712,1762,1712,1743
 2000/09/01,1812,1835,1812,1835
 2000/09/04,1871,1894,1832,1866
 2000/09/05,1864,1869,1833,1846
 2000/09/06,1880,1885,1820,1839
 2000/09/07,1858,1870,1819,1834
 2000/09/08,1843,1849,1818,1837
 2000/09/11,1841,1873,1828,1840
 2000/09/12,1843,1857,1836,1838
 2000/09/13,1830,1851,1829,1845
 2000/09/14,1857,1868,1814,1830
 2000/09/15,1827,1838,1792,1814
 2000/09/18,1818,1825,1794,1810
 2000/09/19,1785,1798,1773,1790
 2000/09/20,1785,1803,1779,1800
 2000/09/21,1806,1833,1787,1815
 2000/09/22,1786,1800,1775,1788
 2000/09/25,1773,1790,1740,1751
 2000/09/26,1762,1817,1758,1806
 2000/09/27,1763,1784,1746,1764
 2000/09/28,1742,1756,1700,1726
 2000/09/29,1806,1812,1785,1803
 2000/10/09,1891,1893,1873,1873
 2000/10/10,1789,1802,1788,1793
 2000/10/11,1803,1808,1800,1806
 2000/10/12,1851,1860,1851,1860
 2000/10/13,1867,1878,1866,1870
 2000/10/16,1832,1844,1824,1829
 2000/10/17,1845,1853,1839,1846
 2000/10/18,1832,1835,1808,1811
 2000/10/19,1834,1848,1823,1834
 2000/10/20,1844,1863,1842,1850
 2000/10/23,1848,1850,1838,1843
 2000/10/24,1841,1847,1837,1840
 2000/10/25,1818,1834,1804,1822
 2000/10/26,1862,1878,1861,1877
 2000/10/27,1846,1850,1844,1850
 2000/10/30,1834,1844,1821,1843
 2000/10/31,1868,1884,1856,1868
 2000/11/01,1866,1897,1862,1878
 2000/11/02,1857,1864,1851,1859
 2000/11/03,1863,1863,1851,1855
 2000/11/06,1876,1882,1856,1866
 2000/11/07,1870,1879,1843,1873
 2000/11/08,1871,1889,1865,1875
 2000/11/09,1882,1887,1878,1882
 2000/11/10,1870,1880,1870,1877
 2000/11/13,1872,1897,1867,1880
 2000/11/14,1864,1872,1862,1865
 2000/11/15,1861,1872,1854,1866
 2000/11/16,1877,1883,1868,1877
 2000/11/17,1873,1890,1869,1873
 2000/11/20,1881,1901,1876,1893
 2000/11/21,1899,1908,1892,1900
 2000/11/22,1904,1919,1891,1903
 2000/11/23,1953,2012,1946,1995
 2000/11/24,1930,1957,1924,1946
 2000/11/27,1915,1926,1908,1912
 2000/11/28,1921,1926,1901,1919
 2000/11/29,1934,1942,1926,1932
 2000/11/30,1919,1924,1898,1915
 2000/12/01,1946,1967,1933,1962
 2000/12/04,1946,1959,1943,1950
 2000/12/05,1977,1989,1971,1973
 2000/12/06,1971,2010,1971,2003
 2000/12/07,1967,1994,1946,1984
 2000/12/08,1973,1985,1940,1969
 2000/12/11,1998,2030,1998,2027
 2000/12/12,1994,2040,1973,2026
 2000/12/13,2046,2054,2030,2033
 2000/12/14,2008,2021,2000,2012
 2000/12/15,2006,2014,2003,2005
 2000/12/18,2006,2022,2004,2018
 2000/12/19,2012,2023,2009,2020
 2000/12/20,2017,2034,2015,2027
 2000/12/21,2025,2035,2019,2030
 2000/12/22,2035,2052,2034,2048
 2000/12/25,2006,2045,2001,2021
 2000/12/26,2016,2026,2015,2023
 2000/12/27,2008,2019,2006,2013
 2000/12/28,1998,2020,1995,2012
 2000/12/29,1996,2015,1989,2001
 2001/01/02,2011,2022,2002,2013
 2001/01/03,1995,2011,1991,2008
 2001/01/04,2004,2008,1985,1994
 2001/01/05,1998,2001,1967,1980
 2001/01/08,1987,1989,1915,1917
 2001/01/09,1929,1931,1900,1912
 2001/01/10,1917,1938,1914,1927
 2001/01/11,1922,1927,1902,1911
 2001/01/12,1898,1898,1852,1853
 2001/01/15,1851,1859,1835,1846
 2001/01/16,1862,1864,1853,1859
 2001/01/17,1858,1878,1856,1875
 2001/01/18,1883,1905,1861,1881
 2001/01/19,1870,1884,1846,1853
 2001/02/05,1855,1865,1835,1838
 2001/02/06,1850,1857,1830,1841
 2001/02/07,1844,1851,1814,1832
 2001/02/08,1827,1845,1821,1837
 2001/02/09,1830,1843,1796,1813
 2001/02/12,1811,1820,1791,1800
 2001/02/13,1801,1809,1791,1797
 2001/02/14,1802,1813,1787,1790
 2001/02/15,1798,1803,1786,1799
 2001/02/16,1796,1797,1764,1789
 2001/02/19,1797,1821,1789,1806
 2001/02/20,1795,1807,1772,1794
 2001/02/21,1795,1795,1735,1750
 2001/02/22,1747,1748,1715,1726
 2001/02/23,1721,1728,1709,1726
 2001/02/26,1710,1724,1674,1690
 2001/02/27,1696,1720,1683,1703
 2001/02/28,1724,1735,1684,1691
 2001/03/01,1720,1725,1713,1717
 2001/03/02,1717,1756,1715,1742
 2001/03/05,1722,1723,1711,1715
 2001/03/06,1733,1744,1727,1732
 2001/03/07,1737,1746,1712,1722
 2001/03/08,1716,1743,1713,1722
 2001/03/09,1723,1747,1709,1734
 2001/03/12,1738,1740,1716,1735
 2001/03/13,1743,1748,1727,1740
 2001/03/14,1737,1744,1731,1741
 2001/03/15,1715,1724,1692,1703
 2001/03/16,1713,1731,1708,1723
 2001/03/19,1711,1731,1706,1726
 2001/03/20,1724,1735,1723,1730
 2001/03/21,1732,1736,1721,1728
 2001/03/22,1725,1741,1719,1727
 2001/03/23,1707,1722,1704,1718
 2001/03/26,1722,1724,1711,1716
 2001/03/27,1723,1725,1709,1715
 2001/03/28,1714,1718,1681,1690
 2001/03/29,1695,1698,1677,1679
 2001/03/30,1677,1684,1663,1671
