date,o,h,l,c
 2004/09/22,2424,2455,2367,2424
 2004/09/23,2400,2412,2377,2397
 2004/09/24,2384,2395,2369,2386
 2004/09/27,2365,2392,2360,2383
 2004/09/28,2390,2401,2379,2384
 2004/09/29,2388,2389,2373,2380
 2004/09/30,2377,2381,2351,2354
 2004/10/08,2320,2355,2302,2313
 2004/10/11,2301,2337,2290,2326
 2004/10/12,2336,2338,2229,2299
 2004/10/13,2265,2285,2243,2249
 2004/10/14,2239,2260,2232,2243
 2004/10/15,2250,2253,2235,2246
 2004/10/18,2235,2243,2217,2221
 2004/10/19,2225,2243,2224,2238
 2004/10/20,2253,2271,2249,2257
 2004/10/21,2262,2263,2241,2247
 2004/10/22,2241,2244,2221,2229
 2004/10/25,2233,2264,2232,2259
 2004/10/26,2272,2278,2250,2254
 2004/10/27,2250,2258,2246,2257
 2004/10/28,2230,2244,2228,2242
 2004/10/29,2229,2244,2225,2232
 2004/11/01,2235,2251,2210,2218
 2004/11/02,2199,2215,2195,2213
 2004/11/03,2217,2221,2200,2217
 2004/11/04,2209,2213,2200,2208
 2004/11/05,2188,2194,2167,2171
 2004/11/08,2170,2180,2161,2166
 2004/11/09,2169,2175,2165,2172
 2004/11/10,2178,2185,2169,2178
 2004/11/11,2197,2207,2164,2177
 2004/11/12,2170,2175,2161,2166
 2004/11/15,2178,2224,2178,2221
 2004/11/16,2228,2247,2210,2244
 2004/11/17,2248,2285,2240,2273
 2004/11/18,2283,2307,2267,2270
 2004/11/19,2280,2282,2256,2276
 2004/11/22,2272,2292,2263,2278
 2004/11/23,2283,2290,2264,2274
 2004/11/24,2283,2288,2253,2257
 2004/11/25,2258,2260,2244,2255
 2004/11/26,2250,2264,2243,2262
 2004/11/29,2249,2257,2233,2236
 2004/11/30,2227,2229,2207,2211
 2004/12/01,2206,2224,2203,2217
 2004/12/02,2200,2207,2188,2196
 2004/12/03,2176,2199,2176,2193
 2004/12/06,2198,2202,2182,2191
 2004/12/07,2197,2197,2184,2190
 2004/12/08,2177,2192,2175,2188
 2004/12/09,2196,2205,2186,2197
 2004/12/10,2189,2194,2184,2189
 2004/12/13,2191,2229,2189,2229
 2004/12/14,2241,2255,2233,2234
 2004/12/15,2240,2245,2223,2228
 2004/12/16,2222,2243,2219,2236
 2004/12/17,2229,2230,2182,2186
 2004/12/20,2197,2244,2188,2237
 2004/12/21,2226,2247,2208,2224
 2004/12/22,2226,2236,2214,2221
 2004/12/23,2216,2230,2214,2222
