date,o,h,l,c
 2016/06/16-10:05,1879,1885,1879,1885
 2016/06/16-10:10,1885,1885,1880,1881
 2016/06/16-10:15,1881,1881,1873,1875
 2016/06/16-10:35,1876,1877,1873,1874
 2016/06/16-10:40,1875,1877,1874,1876
 2016/06/16-10:45,1877,1877,1875,1875
 2016/06/16-10:50,1876,1876,1874,1875
 2016/06/16-10:55,1874,1875,1871,1872
 2016/06/16-11:00,1872,1874,1871,1874
 2016/06/16-11:05,1874,1875,1872,1874
 2016/06/16-11:10,1873,1874,1872,1873
 2016/06/16-11:15,1874,1875,1873,1873
 2016/06/16-11:20,1874,1876,1873,1876
 2016/06/16-11:25,1876,1876,1874,1874
 2016/06/16-11:30,1874,1876,1874,1876
 2016/06/16-13:35,1876,1877,1872,1875
 2016/06/16-13:40,1875,1875,1871,1871
 2016/06/16-13:45,1871,1872,1869,1870
 2016/06/16-13:50,1871,1871,1868,1869
 2016/06/16-13:55,1869,1871,1869,1871
 2016/06/16-14:00,1871,1873,1870,1873
 2016/06/16-14:05,1873,1873,1869,1871
 2016/06/16-14:10,1871,1872,1869,1872
 2016/06/16-14:15,1871,1872,1869,1869
 2016/06/16-14:20,1869,1871,1869,1870
 2016/06/16-14:25,1870,1871,1869,1870
 2016/06/16-14:30,1870,1873,1870,1871
 2016/06/16-14:35,1871,1874,1871,1874
 2016/06/16-14:40,1874,1876,1873,1875
 2016/06/16-14:45,1875,1876,1872,1876
 2016/06/16-14:50,1875,1879,1873,1874
 2016/06/16-14:55,1873,1875,1872,1875
 2016/06/16-15:00,1875,1875,1868,1870
 2016/06/17-21:05,1867,1871,1866,1871
 2016/06/17-21:10,1871,1872,1869,1870
 2016/06/17-21:15,1871,1874,1870,1874
 2016/06/17-21:20,1874,1875,1871,1873
 2016/06/17-21:25,1873,1874,1870,1873
 2016/06/17-21:30,1872,1873,1871,1872
 2016/06/17-21:35,1872,1872,1868,1870
 2016/06/17-21:40,1869,1869,1864,1865
 2016/06/17-21:45,1865,1867,1864,1864
 2016/06/17-21:50,1864,1864,1859,1862
 2016/06/17-21:55,1862,1863,1861,1863
 2016/06/17-22:00,1863,1863,1859,1861
 2016/06/17-22:05,1860,1862,1859,1862
 2016/06/17-22:10,1862,1863,1860,1861
 2016/06/17-22:15,1861,1861,1859,1860
 2016/06/17-22:20,1860,1862,1859,1862
 2016/06/17-22:25,1862,1862,1861,1862
 2016/06/17-22:30,1861,1864,1861,1862
 2016/06/17-22:35,1863,1863,1861,1861
 2016/06/17-22:40,1861,1862,1860,1860
 2016/06/17-22:45,1860,1862,1860,1861
 2016/06/17-22:50,1861,1863,1860,1862
 2016/06/17-22:55,1863,1863,1860,1862
 2016/06/17-23:00,1862,1863,1861,1862
 2016/06/17-23:05,1861,1863,1861,1862
 2016/06/17-23:10,1863,1863,1861,1861
 2016/06/17-23:15,1861,1862,1860,1862
 2016/06/17-23:20,1861,1863,1861,1862
 2016/06/17-23:25,1861,1864,1861,1863
 2016/06/17-23:30,1864,1865,1863,1864
 2016/06/17-09:05,1865,1871,1865,1871
 2016/06/17-09:10,1871,1871,1868,1869
