date,o,h,l,c
 2012/09/07-10:45,4093,4095,4082,4085
 2012/09/07-13:45,4085,4096,4065,4069
 2012/09/07-14:45,4068,4078,4048,4051
 2012/09/07-15:00,4050,4051,4028,4033
 2012/09/10-09:30,4029,4048,4007,4035
 2012/09/10-10:45,4035,4056,4031,4053
 2012/09/10-13:45,4052,4072,4052,4062
 2012/09/10-14:45,4062,4068,4054,4060
 2012/09/10-15:00,4059,4070,4059,4062
 2012/09/11-09:30,4032,4063,4032,4062
 2012/09/11-10:45,4062,4062,3995,4020
 2012/09/11-13:45,4020,4020,3989,3995
 2012/09/11-14:45,3995,4001,3984,3992
 2012/09/11-15:00,3991,4001,3989,4000
 2012/09/12-09:30,3989,4008,3985,3991
 2012/09/12-10:45,3991,4034,3990,4026
 2012/09/12-13:45,4026,4043,4020,4041
 2012/09/12-14:45,4041,4044,4007,4026
 2012/09/12-15:00,4026,4038,4023,4034
 2012/09/13-09:30,4083,4099,4068,4079
 2012/09/13-10:45,4079,4083,4055,4060
 2012/09/13-13:45,4059,4064,4053,4059
 2012/09/13-14:45,4059,4060,4040,4042
 2012/09/13-15:00,4041,4046,4029,4032
 2012/09/14-09:30,4062,4113,4062,4080
 2012/09/14-10:45,4079,4084,4066,4075
 2012/09/14-13:45,4074,4077,4045,4057
 2012/09/14-14:45,4057,4074,4049,4051
 2012/09/14-15:00,4051,4062,4049,4061
 2012/09/17-09:30,4020,4022,3992,3998
 2012/09/17-10:45,3998,4006,3993,3999
 2012/09/17-13:45,3999,3999,3942,3957
 2012/09/17-14:45,3957,3960,3926,3928
 2012/09/17-15:00,3928,3930,3906,3910
 2012/09/18-09:30,3837,3882,3837,3868
 2012/09/18-10:45,3868,3873,3848,3855
 2012/09/18-13:45,3854,3871,3840,3841
 2012/09/18-14:45,3841,3856,3824,3838
 2012/09/18-15:00,3838,3846,3836,3842
 2012/09/19-09:30,3885,3902,3872,3882
 2012/09/19-10:45,3881,3882,3848,3856
 2012/09/19-13:45,3856,3877,3850,3862
 2012/09/19-14:45,3862,3867,3855,3866
 2012/09/19-15:00,3866,3877,3862,3877
 2012/09/20-09:30,3886,3890,3863,3870
 2012/09/20-10:45,3869,3898,3848,3896
 2012/09/20-13:45,3898,3909,3880,3886
 2012/09/20-14:45,3886,3895,3873,3890
 2012/09/20-15:00,3889,3890,3872,3874
 2012/09/21-09:30,3829,3835,3811,3827
 2012/09/21-10:45,3828,3855,3826,3843
 2012/09/21-13:45,3842,3844,3824,3827
 2012/09/21-14:45,3828,3848,3822,3836
 2012/09/21-15:00,3835,3850,3832,3848
 2012/09/24-09:30,3814,3815,3777,3788
 2012/09/24-10:45,3788,3790,3746,3751
 2012/09/24-13:45,3751,3795,3751,3791
 2012/09/24-14:45,3792,3810,3779,3805
 2012/09/24-15:00,3806,3818,3801,3803
 2012/09/25-09:30,3832,3853,3810,3847
 2012/09/25-10:45,3847,3853,3818,3828
 2012/09/25-13:45,3829,3832,3813,3818
 2012/09/25-14:45,3818,3830,3813,3823
 2012/09/25-15:00,3824,3837,3822,3833
 2012/09/26-09:30,3812,3826,3796,3813
 2012/09/26-10:45,3813,3818,3805,3811
 2012/09/26-13:45,3812,3816,3797,3811
 2012/09/26-14:45,3811,3820,3804,3808
 2012/09/26-15:00,3808,3811,3802,3803
 2012/09/27-09:30,3771,3789,3771,3779
 2012/09/27-10:45,3779,3795,3774,3785
 2012/09/27-13:45,3785,3815,3779,3794
 2012/09/27-14:45,3795,3812,3791,3797
 2012/09/27-15:00,3798,3801,3790,3800
 2012/09/28-09:30,3810,3815,3798,3802
 2012/09/28-10:45,3802,3806,3792,3796
 2012/09/28-13:45,3796,3796,3780,3783
 2012/09/28-14:45,3782,3803,3782,3792
 2012/09/28-15:00,3793,3816,3791,3807
 2012/10/08-09:30,3781,3789,3745,3759
 2012/10/08-10:45,3758,3760,3743,3755
 2012/10/08-13:45,3756,3756,3732,3738
 2012/10/08-14:45,3737,3749,3728,3732
 2012/10/08-15:00,3732,3737,3723,3723
 2012/10/09-09:30,3750,3756,3740,3749
 2012/10/09-10:45,3750,3757,3737,3749
 2012/10/09-13:45,3749,3752,3726,3741
 2012/10/09-14:45,3740,3754,3739,3746
 2012/10/09-15:00,3746,3750,3741,3742
 2012/10/10-09:30,3703,3712,3684,3690
 2012/10/10-10:45,3690,3704,3681,3688
 2012/10/10-13:45,3689,3697,3685,3686
 2012/10/10-14:45,3685,3695,3684,3691
 2012/10/10-15:00,3690,3694,3689,3689
 2012/10/11-09:30,3662,3695,3662,3694
 2012/10/11-10:45,3694,3729,3688,3726
 2012/10/11-13:45,3726,3732,3718,3722
 2012/10/11-14:45,3722,3724,3696,3704
 2012/10/11-15:00,3703,3709,3692,3693
 2012/10/12-09:30,3703,3720,3692,3719
 2012/10/12-10:45,3718,3720,3698,3701
 2012/10/12-13:45,3701,3702,3649,3662
 2012/10/12-14:45,3661,3662,3649,3658
 2012/10/12-15:00,3657,3662,3641,3642
 2012/10/15-09:30,3573,3617,3573,3610
 2012/10/15-10:45,3610,3610,3563,3574
 2012/10/15-13:45,3574,3580,3568,3574
 2012/10/15-14:45,3574,3574,3549,3552
 2012/10/15-15:00,3553,3559,3550,3554
 2012/10/16-09:30,3571,3593,3571,3571
 2012/10/16-10:45,3571,3592,3568,3592
 2012/10/16-13:45,3591,3593,3575,3585
 2012/10/16-14:45,3585,3588,3575,3576
 2012/10/16-15:00,3576,3581,3573,3581
 2012/10/17-09:30,3552,3561,3537,3559
 2012/10/17-10:45,3559,3584,3554,3577
 2012/10/17-13:45,3577,3579,3554,3557
 2012/10/17-14:45,3557,3566,3549,3564
 2012/10/17-15:00,3564,3586,3564,3583
 2012/10/18-09:30,3603,3612,3591,3597
 2012/10/18-10:45,3597,3622,3597,3612
 2012/10/18-13:45,3613,3621,3607,3609
 2012/10/18-14:45,3609,3613,3598,3612
 2012/10/18-15:00,3613,3617,3609,3616
 2012/10/19-09:30,3639,3641,3627,3634
 2012/10/19-10:45,3634,3636,3623,3626
 2012/10/19-13:45,3626,3630,3613,3617
 2012/10/19-14:45,3617,3624,3611,3620
 2012/10/19-15:00,3620,3634,3620,3631
 2012/10/22-09:30,3638,3658,3626,3639
 2012/10/22-10:45,3639,3650,3636,3644
 2012/10/22-13:45,3644,3660,3641,3655
 2012/10/22-14:45,3655,3669,3655,3660
 2012/10/22-15:00,3660,3668,3653,3667
