date,o,h,l,c
 2014/04/28-09:30,7220,7320,7220,7278
 2014/04/28-10:45,7280,7306,7276,7298
 2014/04/28-13:45,7300,7336,7282,7292
 2014/04/28-14:45,7290,7302,7280,7284
 2014/04/28-15:00,7284,7298,7284,7296
 2014/04/29-09:30,7258,7318,7250,7306
 2014/04/29-10:45,7306,7350,7304,7344
 2014/04/29-13:45,7342,7376,7326,7370
 2014/04/29-14:45,7368,7372,7342,7358
 2014/04/29-15:00,7356,7388,7356,7384
 2014/04/30-09:30,7396,7430,7384,7428
 2014/04/30-10:45,7428,7446,7382,7396
 2014/04/30-13:45,7396,7406,7380,7386
 2014/04/30-14:45,7384,7402,7362,7386
 2014/04/30-15:00,7386,7396,7374,7390
 2014/05/05-09:30,7320,7378,7318,7350
 2014/05/05-10:45,7350,7368,7344,7362
 2014/05/05-13:45,7362,7370,7336,7340
 2014/05/05-14:45,7338,7346,7324,7336
 2014/05/05-15:00,7334,7340,7328,7340
 2014/05/06-09:30,7320,7342,7308,7340
 2014/05/06-10:45,7340,7378,7336,7356
 2014/05/06-13:45,7356,7366,7312,7328
 2014/05/06-14:45,7326,7334,7322,7326
 2014/05/06-15:00,7326,7332,7316,7330
 2014/05/07-09:30,7342,7366,7322,7328
 2014/05/07-10:45,7328,7352,7324,7352
 2014/05/07-13:45,7352,7352,7322,7326
 2014/05/07-14:45,7326,7362,7326,7354
 2014/05/07-15:00,7352,7356,7340,7350
 2014/05/08-09:30,7356,7356,7318,7346
 2014/05/08-10:45,7346,7370,7336,7360
 2014/05/08-13:45,7360,7360,7342,7356
 2014/05/08-14:45,7356,7356,7330,7332
 2014/05/08-15:00,7330,7338,7326,7334
 2014/05/09-09:30,7360,7360,7334,7336
 2014/05/09-10:45,7334,7356,7328,7340
 2014/05/09-13:45,7340,7342,7330,7338
 2014/05/09-14:45,7338,7348,7334,7334
 2014/05/09-15:00,7336,7346,7334,7338
 2014/05/12-09:30,7350,7394,7106,7190
 2014/05/12-10:45,7190,7222,7190,7212
 2014/05/12-13:45,7212,7270,7192,7248
 2014/05/12-14:45,7250,7270,7242,7250
 2014/05/12-15:00,7250,7280,7248,7256
 2014/05/13-09:30,7248,7268,7236,7250
 2014/05/13-10:45,7250,7264,7240,7250
 2014/05/13-13:45,7250,7288,7248,7260
 2014/05/13-14:45,7260,7286,7250,7266
 2014/05/13-15:00,7268,7278,7266,7278
 2014/05/14-09:30,7284,7308,7272,7280
 2014/05/14-10:45,7278,7288,7256,7260
 2014/05/14-13:45,7260,7264,7226,7258
 2014/05/14-14:45,7258,7268,7254,7268
 2014/05/14-15:00,7268,7270,7260,7268
 2014/05/15-09:30,7250,7288,7250,7260
 2014/05/15-10:45,7262,7272,7252,7262
 2014/05/15-13:45,7262,7272,7254,7258
 2014/05/15-14:45,7256,7270,7256,7266
 2014/05/15-15:00,7266,7270,7262,7268
 2014/05/16-09:30,7256,7262,7238,7254
 2014/05/16-10:45,7252,7260,7246,7252
 2014/05/16-13:45,7250,7256,7232,7244
 2014/05/16-14:45,7242,7272,7240,7260
 2014/05/16-15:00,7260,7262,7244,7258
 2014/05/19-09:30,7252,7288,7252,7268
 2014/05/19-10:45,7268,7282,7252,7280
 2014/05/19-13:45,7280,7280,7252,7256
 2014/05/19-14:45,7256,7264,7252,7256
 2014/05/19-15:00,7258,7270,7258,7264
 2014/05/20-09:30,7260,7278,7232,7256
 2014/05/20-10:45,7256,7264,7250,7260
 2014/05/20-13:45,7260,7264,7236,7236
 2014/05/20-14:45,7236,7256,7204,7214
 2014/05/20-15:00,7214,7228,7214,7214
 2014/05/21-09:30,7210,7210,7170,7186
 2014/05/21-10:45,7186,7190,7160,7168
 2014/05/21-13:45,7166,7178,7130,7136
 2014/05/21-14:45,7138,7144,7116,7140
 2014/05/21-15:00,7140,7156,7136,7136
 2014/05/22-09:30,7178,7210,7158,7182
 2014/05/22-10:45,7182,7288,7180,7254
 2014/05/22-13:45,7252,7260,7228,7240
 2014/05/22-14:45,7238,7242,7190,7202
 2014/05/22-15:00,7200,7214,7196,7210
 2014/05/23-09:30,7210,7264,7204,7258
 2014/05/23-10:45,7258,7276,7252,7266
 2014/05/23-13:45,7266,7276,7248,7250
 2014/05/23-14:45,7250,7274,7248,7272
 2014/05/23-15:00,7270,7274,7258,7268
 2014/05/26-09:30,7266,7266,7224,7242
 2014/05/26-10:45,7242,7246,7230,7244
 2014/05/26-13:45,7244,7244,7218,7234
 2014/05/26-14:45,7232,7236,7228,7232
 2014/05/26-15:00,7234,7236,7230,7230
 2014/05/27-09:30,7236,7266,7224,7260
 2014/05/27-10:45,7262,7338,7232,7310
 2014/05/27-13:45,7310,7310,7262,7272
 2014/05/27-14:45,7274,7278,7264,7272
 2014/05/27-15:00,7272,7272,7244,7244
 2014/05/28-09:30,7212,7258,7212,7230
 2014/05/28-10:45,7230,7246,7230,7244
 2014/05/28-13:45,7244,7248,7204,7208
 2014/05/28-14:45,7208,7248,7204,7242
 2014/05/28-15:00,7244,7250,7240,7250
 2014/05/29-09:30,7230,7248,7220,7230
 2014/05/29-10:45,7230,7242,7222,7242
 2014/05/29-13:45,7240,7248,7222,7228
 2014/05/29-14:45,7228,7230,7212,7220
 2014/05/29-15:00,7218,7226,7214,7222
 2014/05/30-09:30,7228,7228,7202,7216
 2014/05/30-10:45,7216,7226,7202,7204
 2014/05/30-13:45,7206,7218,7202,7206
 2014/05/30-14:45,7206,7208,7182,7198
 2014/05/30-15:00,7196,7202,7188,7200
 2014/06/03-09:30,7156,7168,7130,7138
 2014/06/03-10:45,7138,7156,7132,7144
 2014/06/03-13:45,7142,7168,7138,7154
 2014/06/03-14:45,7152,7156,7132,7132
 2014/06/03-15:00,7132,7138,7130,7130
 2014/06/04-09:30,7108,7146,7090,7126
 2014/06/04-10:45,7130,7134,7114,7114
 2014/06/04-13:45,7114,7118,7026,7040
 2014/06/04-14:45,7038,7050,7032,7036
 2014/06/04-15:00,7036,7046,7034,7044
 2014/06/05-09:30,7074,7088,7054,7066
 2014/06/05-10:45,7066,7086,7056,7058
 2014/06/05-13:45,7058,7060,7034,7040
 2014/06/05-14:45,7040,7058,7038,7052
 2014/06/05-15:00,7050,7054,7024,7026
 2014/06/06-09:30,6980,6992,6946,6954
 2014/06/06-10:45,6954,6968,6950,6958
 2014/06/06-13:45,6958,6964,6948,6952
 2014/06/06-14:45,6952,6976,6950,6974
 2014/06/06-15:00,6974,6982,6968,6970
 2014/06/09-09:30,6970,6994,6970,6986
 2014/06/09-10:45,6986,6994,6980,6980
 2014/06/09-13:45,6980,6986,6972,6984
 2014/06/09-14:45,6980,6988,6978,6986
 2014/06/09-15:00,6986,6992,6976,6976
 2014/06/10-09:30,6990,7000,6982,6984
 2014/06/10-10:45,6984,6992,6972,6986
 2014/06/10-13:45,6986,6990,6976,6986
 2014/06/10-14:45,6984,6988,6968,6972
 2014/06/10-15:00,6972,6982,6968,6982
 2014/06/11-09:30,6972,7012,6972,6978
 2014/06/11-10:45,6982,6988,6956,6966
 2014/06/11-13:45,6966,6974,6946,6948
 2014/06/11-14:45,6948,6968,6938,6962
 2014/06/11-15:00,6962,6966,6958,6958
 2014/06/12-09:30,6942,6952,6926,6938
 2014/06/12-10:45,6940,6940,6914,6928
 2014/06/12-13:45,6928,6940,6922,6938
 2014/06/12-14:45,6936,6942,6928,6936
 2014/06/12-15:00,6936,6942,6924,6924
 2014/06/13-09:30,6944,6964,6926,6944
 2014/06/13-10:45,6942,6944,6924,6932
 2014/06/13-13:45,6932,6944,6928,6944
 2014/06/13-14:45,6944,6952,6940,6942
 2014/06/13-15:00,6940,6942,6926,6930
 2014/06/16-09:30,6980,7004,6960,6970
 2014/06/16-10:45,6970,6982,6958,6964
 2014/06/16-13:45,6964,6970,6932,6946
 2014/06/16-14:45,6942,6948,6934,6938
 2014/06/16-15:00,6940,6946,6932,6932
 2014/06/17-09:30,6914,6934,6900,6904
 2014/06/17-10:45,6904,6908,6876,6886
 2014/06/17-13:45,6886,6910,6870,6894
 2014/06/17-14:45,6894,6908,6876,6902
 2014/06/17-15:00,6902,6904,6884,6888
 2014/06/18-09:30,6894,6920,6886,6906
 2014/06/18-10:45,6908,6928,6902,6928
 2014/06/18-13:45,6926,6966,6914,6920
 2014/06/18-14:45,6920,6924,6906,6916
 2014/06/18-15:00,6918,6932,6914,6916
 2014/06/19-09:30,6940,6944,6922,6934
 2014/06/19-10:45,6934,6938,6918,6926
 2014/06/19-13:45,6926,6930,6918,6924
 2014/06/19-14:45,6922,6930,6918,6920
 2014/06/19-15:00,6922,6926,6908,6916
 2014/06/20-09:30,6932,6950,6920,6940
 2014/06/20-10:45,6940,6968,6940,6954
 2014/06/20-13:45,6954,6970,6954,6962
 2014/06/20-14:45,6962,6970,6952,6964
 2014/06/20-15:00,6964,6966,6956,6966
 2014/06/23-09:30,6980,6996,6970,6994
 2014/06/23-10:45,6994,7030,6992,7018
 2014/06/23-13:45,7018,7076,7014,7066
 2014/06/23-14:45,7066,7088,7060,7078
 2014/06/23-15:00,7076,7086,7074,7076
 2014/06/24-09:30,7068,7086,7050,7082
 2014/06/24-10:45,7082,7118,7080,7100
 2014/06/24-13:45,7102,7120,7094,7098
 2014/06/24-14:45,7096,7106,7092,7096
 2014/06/24-15:00,7096,7098,7078,7092
 2014/06/25-09:30,7118,7146,7114,7144
 2014/06/25-10:45,7146,7178,7126,7134
 2014/06/25-13:45,7134,7134,7074,7082
 2014/06/25-14:45,7082,7096,7072,7086
 2014/06/25-15:00,7086,7094,7084,7092
 2014/06/26-09:30,7090,7108,7076,7102
 2014/06/26-10:45,7102,7106,7090,7098
 2014/06/26-13:45,7098,7104,7070,7100
 2014/06/26-14:45,7100,7114,7094,7108
 2014/06/26-15:00,7108,7112,7102,7104
 2014/06/27-09:30,7084,7112,7072,7104
 2014/06/27-10:45,7104,7110,7086,7088
 2014/06/27-13:45,7088,7096,7060,7066
 2014/06/27-14:45,7066,7070,7052,7062
 2014/06/27-15:00,7056,7062,7054,7054
 2014/06/30-09:30,7020,7032,6996,7026
 2014/06/30-10:45,7024,7028,7010,7016
 2014/06/30-13:45,7014,7022,7002,7020
 2014/06/30-14:45,7020,7026,7008,7008
 2014/06/30-15:00,7008,7026,7002,7008
 2014/07/01-09:30,6912,6914,6816,6860
 2014/07/01-10:45,6860,6864,6822,6830
 2014/07/01-13:45,6830,6844,6816,6838
 2014/07/01-14:45,6838,6838,6826,6828
 2014/07/01-15:00,6830,6858,6828,6844
 2014/07/02-09:30,6846,6876,6846,6864
 2014/07/02-10:45,6866,6870,6854,6856
 2014/07/02-13:45,6858,6858,6838,6848
 2014/07/02-14:45,6850,6860,6848,6856
 2014/07/02-15:00,6854,6866,6852,6862
 2014/07/03-09:30,6844,6852,6834,6846
 2014/07/03-10:45,6848,6858,6844,6850
 2014/07/03-13:45,6850,6862,6844,6852
 2014/07/03-14:45,6852,6856,6842,6852
 2014/07/03-15:00,6850,6854,6848,6854
 2014/07/04-09:30,6850,6866,6830,6842
 2014/07/04-10:45,6844,6852,6840,6844
 2014/07/04-13:45,6846,6846,6826,6828
 2014/07/04-14:45,6828,6834,6810,6822
 2014/07/04-15:00,6824,6830,6810,6830
 2014/07/07-09:30,6818,6824,6780,6794
 2014/07/07-10:45,6794,6798,6770,6776
 2014/07/07-13:45,6776,6794,6754,6790
 2014/07/07-14:45,6790,6794,6782,6782
 2014/07/07-15:00,6782,6784,6756,6768
 2014/07/08-09:30,6762,6790,6758,6778
 2014/07/08-10:45,6776,6782,6764,6764
 2014/07/08-13:45,6766,6782,6764,6774
 2014/07/08-14:45,6774,6776,6762,6768
 2014/07/08-15:00,6768,6770,6750,6750
 2014/07/09-09:30,6714,6722,6682,6682
 2014/07/09-10:45,6682,6696,6660,6666
 2014/07/09-13:45,6668,6682,6654,6656
 2014/07/09-14:45,6656,6678,6654,6668
 2014/07/09-15:00,6666,6672,6664,6668
 2014/07/10-09:30,6624,6628,6598,6610
 2014/07/10-10:45,6610,6618,6590,6594
 2014/07/10-13:45,6594,6690,6564,6664
 2014/07/10-14:45,6664,6702,6640,6646
 2014/07/10-15:00,6646,6650,6628,6644
 2014/07/11-09:30,6642,6642,6610,6626
 2014/07/11-10:45,6626,6628,6604,6622
 2014/07/11-13:45,6624,6626,6588,6608
 2014/07/11-14:45,6606,6608,6576,6584
 2014/07/11-15:00,6582,6592,6576,6584
 2014/07/14-09:30,6516,6546,6496,6538
 2014/07/14-10:45,6538,6546,6526,6536
 2014/07/14-13:45,6536,6548,6530,6538
 2014/07/14-14:45,6538,6540,6532,6538
 2014/07/14-15:00,6536,6540,6522,6530
 2014/07/15-09:30,6540,6578,6540,6562
 2014/07/15-10:45,6564,6570,6546,6556
 2014/07/15-13:45,6558,6568,6530,6536
 2014/07/15-14:45,6536,6544,6534,6538
 2014/07/15-15:00,6536,6546,6534,6540
 2014/07/16-09:30,6570,6570,6520,6544
 2014/07/16-10:45,6546,6556,6538,6556
 2014/07/16-13:45,6556,6568,6552,6560
 2014/07/16-14:45,6558,6568,6556,6564
 2014/07/16-15:00,6564,6568,6560,6568
 2014/07/17-09:30,6560,6578,6546,6572
 2014/07/17-10:45,6570,6580,6562,6568
 2014/07/17-13:45,6566,6588,6566,6576
