date,o,h,l,c
 2014/04/28-09:30,7220,7320,7220,7278
 2014/04/28-10:00,7280,7306,7276,7304
 2014/04/28-10:45,7304,7304,7288,7298
 2014/04/28-11:15,7300,7336,7294,7302
 2014/04/28-13:45,7304,7312,7282,7292
 2014/04/28-14:15,7290,7302,7286,7298
 2014/04/28-14:45,7298,7302,7280,7284
 2014/04/28-15:00,7284,7298,7284,7296
 2014/04/29-09:30,7258,7318,7250,7306
 2014/04/29-10:00,7306,7348,7304,7340
 2014/04/29-10:45,7338,7350,7332,7344
 2014/04/29-11:15,7342,7376,7326,7360
 2014/04/29-13:45,7360,7372,7354,7370
 2014/04/29-14:15,7368,7372,7356,7368
 2014/04/29-14:45,7368,7368,7342,7358
 2014/04/29-15:00,7356,7388,7356,7384
 2014/04/30-09:30,7396,7430,7384,7428
 2014/04/30-10:00,7428,7446,7402,7402
 2014/04/30-10:45,7404,7414,7382,7396
 2014/04/30-11:15,7396,7402,7390,7398
 2014/04/30-13:45,7398,7406,7380,7386
 2014/04/30-14:15,7384,7390,7362,7386
 2014/04/30-14:45,7388,7402,7380,7386
 2014/04/30-15:00,7386,7396,7374,7390
 2014/05/05-09:30,7320,7378,7318,7350
 2014/05/05-10:00,7350,7358,7346,7348
 2014/05/05-10:45,7346,7368,7344,7362
 2014/05/05-11:15,7362,7370,7354,7354
 2014/05/05-13:45,7354,7356,7336,7340
 2014/05/05-14:15,7338,7346,7326,7334
 2014/05/05-14:45,7334,7338,7324,7336
 2014/05/05-15:00,7334,7340,7328,7340
 2014/05/06-09:30,7320,7342,7308,7340
 2014/05/06-10:00,7340,7378,7336,7366
 2014/05/06-10:45,7366,7368,7354,7356
 2014/05/06-11:15,7356,7366,7332,7332
 2014/05/06-13:45,7332,7342,7312,7328
 2014/05/06-14:15,7326,7334,7322,7326
 2014/05/06-14:45,7328,7330,7322,7326
 2014/05/06-15:00,7326,7332,7316,7330
 2014/05/07-09:30,7342,7366,7322,7328
 2014/05/07-10:00,7328,7338,7324,7338
 2014/05/07-10:45,7336,7352,7332,7352
 2014/05/07-11:15,7352,7352,7342,7346
 2014/05/07-13:45,7344,7346,7322,7326
 2014/05/07-14:15,7326,7334,7326,7334
 2014/05/07-14:45,7332,7362,7328,7354
 2014/05/07-15:00,7352,7356,7340,7350
 2014/05/08-09:30,7356,7356,7318,7346
 2014/05/08-10:00,7346,7370,7336,7358
 2014/05/08-10:45,7360,7364,7346,7360
 2014/05/08-11:15,7360,7360,7342,7354
 2014/05/08-13:45,7354,7360,7350,7356
 2014/05/08-14:15,7356,7356,7332,7340
 2014/05/08-14:45,7338,7342,7330,7332
 2014/05/08-15:00,7330,7338,7326,7334
 2014/05/09-09:30,7360,7360,7334,7336
 2014/05/09-10:00,7334,7356,7328,7342
 2014/05/09-10:45,7340,7344,7334,7340
 2014/05/09-11:15,7340,7340,7330,7336
 2014/05/09-13:45,7336,7342,7330,7338
 2014/05/09-14:15,7338,7348,7334,7336
 2014/05/09-14:45,7338,7338,7334,7334
 2014/05/09-15:00,7336,7346,7334,7338
 2014/05/12-09:30,7350,7394,7106,7190
 2014/05/12-10:00,7190,7222,7190,7208
 2014/05/12-10:45,7210,7218,7202,7212
 2014/05/12-11:15,7212,7270,7192,7256
 2014/05/12-13:45,7256,7270,7242,7248
 2014/05/12-14:15,7250,7266,7242,7264
 2014/05/12-14:45,7262,7270,7248,7250
 2014/05/12-15:00,7250,7280,7248,7256
 2014/05/13-09:30,7248,7268,7236,7250
 2014/05/13-10:00,7250,7264,7244,7260
 2014/05/13-10:45,7260,7262,7240,7250
 2014/05/13-11:15,7250,7288,7248,7266
 2014/05/13-13:45,7266,7270,7248,7260
 2014/05/13-14:15,7260,7286,7258,7272
 2014/05/13-14:45,7272,7272,7250,7266
 2014/05/13-15:00,7268,7278,7266,7278
 2014/05/14-09:30,7284,7308,7272,7280
 2014/05/14-10:00,7278,7288,7274,7280
 2014/05/14-10:45,7280,7284,7256,7260
 2014/05/14-11:15,7260,7260,7226,7252
 2014/05/14-13:45,7254,7264,7246,7258
 2014/05/14-14:15,7258,7260,7254,7260
 2014/05/14-14:45,7258,7268,7256,7268
 2014/05/14-15:00,7268,7270,7260,7268
 2014/05/15-09:30,7250,7288,7250,7260
 2014/05/15-10:00,7262,7272,7252,7268
 2014/05/15-10:45,7266,7272,7262,7262
 2014/05/15-11:15,7262,7272,7258,7268
 2014/05/15-13:45,7268,7272,7254,7258
 2014/05/15-14:15,7256,7270,7256,7266
 2014/05/15-14:45,7266,7270,7262,7266
 2014/05/15-15:00,7266,7270,7262,7268
 2014/05/16-09:30,7256,7262,7238,7254
 2014/05/16-10:00,7252,7260,7248,7256
 2014/05/16-10:45,7256,7258,7246,7252
 2014/05/16-11:15,7250,7256,7246,7248
 2014/05/16-13:45,7248,7252,7232,7244
 2014/05/16-14:15,7242,7248,7240,7244
 2014/05/16-14:45,7244,7272,7242,7260
 2014/05/16-15:00,7260,7262,7244,7258
 2014/05/19-09:30,7252,7288,7252,7268
 2014/05/19-10:00,7268,7272,7252,7262
 2014/05/19-10:45,7262,7282,7262,7280
 2014/05/19-11:15,7280,7280,7264,7266
 2014/05/19-13:45,7266,7268,7252,7256
 2014/05/19-14:15,7256,7264,7254,7254
 2014/05/19-14:45,7256,7262,7252,7256
 2014/05/19-15:00,7258,7270,7258,7264
 2014/05/20-09:30,7260,7278,7232,7256
 2014/05/20-10:00,7256,7264,7252,7254
 2014/05/20-10:45,7254,7260,7250,7260
 2014/05/20-11:15,7260,7264,7254,7254
 2014/05/20-13:45,7256,7262,7236,7236
 2014/05/20-14:15,7236,7256,7234,7240
 2014/05/20-14:45,7238,7242,7204,7214
 2014/05/20-15:00,7214,7228,7214,7214
 2014/05/21-09:30,7210,7210,7170,7186
 2014/05/21-10:00,7186,7190,7182,7190
 2014/05/21-10:45,7190,7190,7160,7168
 2014/05/21-11:15,7166,7178,7140,7144
 2014/05/21-13:45,7146,7148,7130,7136
 2014/05/21-14:15,7138,7138,7124,7134
 2014/05/21-14:45,7130,7144,7116,7140
 2014/05/21-15:00,7140,7156,7136,7136
 2014/05/22-09:30,7178,7210,7158,7182
 2014/05/22-10:00,7182,7198,7180,7198
 2014/05/22-10:45,7198,7288,7198,7254
 2014/05/22-11:15,7252,7260,7234,7238
 2014/05/22-13:45,7238,7246,7228,7240
 2014/05/22-14:15,7238,7242,7232,7234
 2014/05/22-14:45,7236,7240,7190,7202
 2014/05/22-15:00,7200,7214,7196,7210
 2014/05/23-09:30,7210,7264,7204,7258
 2014/05/23-10:00,7258,7276,7252,7258
 2014/05/23-10:45,7258,7266,7256,7266
 2014/05/23-11:15,7266,7276,7262,7268
 2014/05/23-13:45,7266,7268,7248,7250
 2014/05/23-14:15,7250,7258,7248,7250
 2014/05/23-14:45,7252,7274,7250,7272
 2014/05/23-15:00,7270,7274,7258,7268
 2014/05/26-09:30,7266,7266,7224,7242
 2014/05/26-10:00,7242,7244,7230,7244
 2014/05/26-10:45,7244,7246,7234,7244
 2014/05/26-11:15,7244,7244,7230,7232
 2014/05/26-13:45,7232,7234,7218,7234
 2014/05/26-14:15,7232,7236,7228,7230
 2014/05/26-14:45,7230,7234,7228,7232
 2014/05/26-15:00,7234,7236,7230,7230
 2014/05/27-09:30,7236,7266,7224,7260
 2014/05/27-10:00,7262,7334,7232,7324
 2014/05/27-10:45,7324,7338,7298,7310
 2014/05/27-11:15,7310,7310,7262,7278
 2014/05/27-13:45,7276,7278,7264,7272
 2014/05/27-14:15,7274,7278,7266,7268
 2014/05/27-14:45,7268,7272,7264,7272
 2014/05/27-15:00,7272,7272,7244,7244
 2014/05/28-09:30,7212,7258,7212,7230
 2014/05/28-10:00,7230,7246,7230,7234
 2014/05/28-10:45,7234,7246,7232,7244
 2014/05/28-11:15,7244,7248,7232,7238
 2014/05/28-13:45,7236,7236,7204,7208
 2014/05/28-14:15,7208,7236,7204,7218
 2014/05/28-14:45,7218,7248,7218,7242
 2014/05/28-15:00,7244,7250,7240,7250
 2014/05/29-09:30,7230,7248,7220,7230
 2014/05/29-10:00,7230,7242,7222,7240
 2014/05/29-10:45,7242,7242,7236,7242
 2014/05/29-11:15,7240,7244,7236,7242
 2014/05/29-13:45,7242,7248,7222,7228
 2014/05/29-14:15,7228,7230,7212,7216
 2014/05/29-14:45,7218,7220,7214,7220
 2014/05/29-15:00,7218,7226,7214,7222
 2014/05/30-09:30,7228,7228,7202,7216
 2014/05/30-10:00,7216,7226,7214,7218
 2014/05/30-10:45,7218,7218,7202,7204
 2014/05/30-11:15,7206,7218,7202,7212
 2014/05/30-13:45,7212,7218,7204,7206
 2014/05/30-14:15,7206,7208,7182,7206
 2014/05/30-14:45,7206,7208,7196,7198
 2014/05/30-15:00,7196,7202,7188,7200
 2014/06/03-09:30,7156,7168,7130,7138
 2014/06/03-10:00,7138,7156,7136,7148
 2014/06/03-10:45,7146,7150,7132,7144
 2014/06/03-11:15,7142,7168,7138,7156
 2014/06/03-13:45,7156,7164,7144,7154
 2014/06/03-14:15,7152,7156,7144,7152
