date,o,h,l,c
 2007/06/08,10367,10367,8939,8946
 2007/06/11,8929,8988,8786,8786
 2007/06/12,8724,8752,8589,8671
 2007/06/13,8703,8772,8456,8504
 2007/06/14,8583,8622,8520,8571
 2007/06/15,8604,8651,8565,8616
 2007/06/18,8751,8770,8674,8750
 2007/06/19,8703,8708,8625,8658
 2007/06/20,8521,8612,8521,8600
 2007/06/21,8601,8636,8582,8597
 2007/06/22,8548,8578,8530,8572
 2007/06/25,8537,8596,8532,8587
 2007/06/26,8590,8608,8515,8536
 2007/06/27,8542,8559,8357,8425
 2007/06/28,8417,8476,8417,8470
 2007/06/29,8521,8601,8473,8589
 2007/07/02,8710,8884,8588,8779
 2007/07/03,8781,8782,8734,8745
 2007/07/04,8688,8784,8671,8777
 2007/07/05,8783,8832,8753,8766
 2007/07/06,8754,8848,8748,8845
 2007/07/09,8842,8880,8806,8820
 2007/07/10,8846,8851,8759,8770
 2007/07/11,8819,8870,8796,8858
 2007/07/12,8852,8929,8844,8918
 2007/07/13,8932,8963,8883,8902
 2007/07/16,8814,8845,8790,8842
 2007/07/17,8729,8856,8729,8847
 2007/07/18,8825,8895,8825,8895
 2007/07/19,8893,8920,8860,8868
 2007/07/20,8874,8930,8866,8902
 2007/07/23,8855,8924,8855,8897
 2007/07/24,8888,8906,8871,8884
 2007/07/25,8900,8920,8893,8915
 2007/07/26,8930,8930,8906,8920
 2007/07/27,8898,9070,8897,9028
 2007/07/30,9063,9248,9054,9211
 2007/07/31,9257,9273,9182,9194
 2007/08/01,9263,9263,9138,9158
 2007/08/02,9160,9221,9145,9181
 2007/08/03,9173,9199,9146,9158
 2007/08/06,9106,9192,9105,9145
 2007/08/07,9112,9160,9112,9129
 2007/08/08,9146,9220,9146,9216
 2007/08/09,9335,9336,9221,9245
 2007/08/10,9181,9254,9142,9240
 2007/08/13,9220,9292,9220,9292
 2007/08/14,9266,9284,9238,9257
 2007/08/15,9216,9239,9183,9217
 2007/08/16,9186,9207,9135,9149
 2007/08/17,8871,9074,8871,8964
 2007/08/20,9052,9216,9041,9152
 2007/08/21,9277,9277,9132,9172
 2007/08/22,9135,9158,9073,9140
 2007/08/23,9187,9191,9149,9161
 2007/08/24,9144,9180,9144,9172
 2007/08/27,9132,9199,9132,9136
 2007/08/28,9155,9155,9113,9145
 2007/08/29,9098,9099,9021,9051
 2007/08/30,9065,9142,9065,9109
 2007/08/31,9126,9222,9083,9172
 2007/09/03,9158,9173,9129,9135
 2007/09/04,9220,9220,9105,9113
 2007/09/05,9173,9185,9121,9177
 2007/09/06,9147,9197,9120,9195
 2007/09/07,9120,9154,9120,9145
 2007/09/10,9146,9254,9089,9230
 2007/09/11,9342,9343,9271,9274
 2007/09/12,9297,9297,9229,9252
 2007/09/13,9285,9325,9247,9269
 2007/09/14,9274,9375,9246,9307
 2007/09/17,9368,9423,9315,9423
 2007/09/18,9418,9470,9390,9397
 2007/09/19,9403,9426,9282,9386
 2007/09/20,9380,9389,9322,9377
 2007/09/21,9383,9446,9369,9434
 2007/09/24,9371,9393,9324,9391
 2007/09/25,9389,9432,9378,9401
 2007/09/26,9376,9395,9344,9381
 2007/09/27,9374,9381,9352,9352
 2007/09/28,9355,9396,9354,9387
 2007/10/08,9274,9342,9272,9322
 2007/10/09,9328,9387,9325,9380
 2007/10/10,9433,9454,9386,9424
 2007/10/11,9464,9465,9414,9461
 2007/10/12,9463,9464,9424,9460
 2007/10/15,9464,9464,9392,9397
 2007/10/16,9407,9420,9401,9413
 2007/10/17,9419,9439,9387,9421
 2007/10/18,9434,9459,9398,9459
 2007/10/19,9482,9490,9468,9486
 2007/10/22,9460,9473,9413,9470
 2007/10/23,9470,9502,9468,9502
 2007/10/24,9492,9595,9490,9559
 2007/10/25,9569,9753,9565,9675
