date,o,h,l,c
 2014/03/03,10555,10608,10428,10445
 2014/03/04,10460,10495,10410,10482
 2014/03/05,10477,10520,10469,10512
 2014/03/06,10510,10510,10303,10374
 2014/03/07,10364,10388,10323,10359
 2014/03/10,10335,10335,10158,10228
 2014/03/11,10221,10455,10195,10322
 2014/03/12,10293,10351,10226,10351
 2014/03/13,10312,10384,10312,10360
 2014/03/14,10349,10367,10284,10326
 2014/03/17,10316,10425,10276,10311
 2014/03/18,10274,10425,10272,10423
 2014/03/19,10398,10472,10353,10353
 2014/03/20,10372,10404,10339,10390
 2014/03/21,10365,10433,10357,10420
 2014/03/24,10412,10448,10389,10433
 2014/03/25,10433,10566,10417,10527
 2014/03/26,10501,10640,10501,10605
 2014/03/27,10598,10613,10561,10579
 2014/03/28,10583,10682,10579,10678
 2014/03/31,10665,10691,10628,10646
 2014/04/01,10651,10750,10623,10729
 2014/04/02,10651,10723,10651,10688
 2014/04/03,10682,10730,10626,10706
 2014/04/04,10704,10841,10704,10831
 2014/04/08,10821,10848,10744,10767
 2014/04/09,10799,10799,10677,10746
 2014/04/10,10760,10813,10695,10695
 2014/04/11,10690,10731,10642,10716
 2014/04/14,10755,10783,10698,10769
 2014/04/15,10773,10825,10740,10794
 2014/04/16,10782,10802,10748,10773
 2014/04/17,10770,10899,10764,10875
 2014/04/18,10884,10885,10797,10874
 2014/04/21,10874,10932,10833,10888
 2014/04/22,10887,11034,10860,10970
 2014/04/23,10980,10981,10864,10922
 2014/04/24,10919,10944,10813,10887
 2014/04/25,10893,10909,10686,10701
 2014/04/28,10713,10724,10665,10704
 2014/04/29,10698,10762,10654,10752
 2014/04/30,10752,10768,10706,10738
 2014/05/05,10740,10833,10670,10832
 2014/05/06,10813,10874,10795,10834
 2014/05/07,10834,10941,10809,10907
 2014/05/08,10927,10927,10821,10847
 2014/05/09,10857,10857,10727,10746
 2014/05/12,10763,10801,10690,10722
 2014/05/13,10743,10754,10699,10748
 2014/05/14,10773,10780,10689,10720
 2014/05/15,10709,10709,10637,10643
 2014/05/16,10635,10655,10569,10638
 2014/05/19,10631,10695,10591,10643
 2014/05/20,10629,10649,10573,10639
 2014/05/21,10623,10732,10602,10708
 2014/05/22,10705,10862,10699,10859
 2014/05/23,10844,10952,10815,10941
 2014/05/26,10927,10971,10877,10946
 2014/05/27,10927,10934,10711,10714
 2014/05/28,10727,10746,10651,10745
 2014/05/29,10713,10846,10713,10803
 2014/05/30,10798,10856,10742,10850
 2014/06/03,10852,10943,10837,10937
 2014/06/04,10927,11017,10910,10935
 2014/06/05,10935,11009,10893,10979
 2014/06/06,10976,11007,10931,10958
 2014/06/09,10939,10975,10887,10929
 2014/06/10,10943,11189,10943,11184
 2014/06/11,11154,11289,11132,11185
 2014/06/12,11167,11230,11114,11188
 2014/06/13,11224,11364,11207,11227
 2014/06/16,11245,11278,11150,11256
 2014/06/17,11227,11266,11057,11081
 2014/06/18,11103,11117,10985,11009
 2014/06/19,11042,11044,10949,10960
 2014/06/20,10971,11023,10926,11010
 2014/06/23,10980,11020,10698,10698
 2014/06/24,10742,10742,10663,10670
 2014/06/25,10662,10698,10598,10641
 2014/06/26,10642,10704,10609,10642
 2014/06/27,10634,10743,10625,10698
 2014/06/30,10695,10772,10675,10734
 2014/07/01,10749,10872,10698,10861
 2014/07/02,10839,10906,10645,10816
 2014/07/03,10823,10916,10798,10841
 2014/07/04,10859,10967,10833,10926
 2014/07/07,10922,10997,10872,10961
 2014/07/08,10950,10969,10840,10922
 2014/07/09,10918,10941,10715,10782
 2014/07/10,10798,10807,10731,10765
 2014/07/11,10796,10822,10733,10790
 2014/07/14,10755,10807,10716,10780
 2014/07/15,10776,10888,10776,10814
 2014/07/16,10794,10865,10721,10862
 2014/07/17,10838,10904,10756,10757
 2014/07/18,10788,10788,10558,10594
 2014/07/21,10590,10651,10575,10621
 2014/07/22,10626,10686,10599,10621
 2014/07/23,10613,10680,10595,10674
 2014/07/24,10669,10718,10660,10662
 2014/07/25,10674,10771,10631,10771
 2014/07/28,10731,10865,10731,10859
 2014/07/29,10828,10938,10828,10917
 2014/07/30,10890,10928,10865,10887
 2014/07/31,10878,10878,10816,10836
 2014/08/01,10814,10888,10773,10779
 2014/08/04,10824,10824,10745,10790
 2014/08/05,10781,10820,10658,10701
 2014/08/06,10720,10746,10677,10734
 2014/08/07,10718,10736,10669,10704
 2014/08/08,10704,10722,10598,10650
 2014/08/11,10649,10719,10639,10645
 2014/08/12,10648,10648,10555,10555
 2014/08/13,10572,10572,10478,10509
 2014/08/14,10501,10542,10440,10498
 2014/08/15,10486,10565,10456,10563
 2014/08/18,10511,10589,10511,10579
 2014/08/19,10560,10605,10553,10586
 2014/08/20,10570,10571,10479,10498
 2014/08/21,10565,10626,10532,10624
 2014/08/22,10625,10628,10573,10592
 2014/08/25,10566,10596,10534,10591
 2014/08/26,10585,10627,10531,10575
 2014/08/27,10574,10591,10549,10556
 2014/08/28,10518,10563,10494,10512
 2014/08/29,10491,10529,10456,10468
 2014/09/01,10478,10501,10418,10445
 2014/09/02,10449,10543,10449,10542
 2014/09/03,10515,10545,10494,10545
 2014/09/04,10567,10692,10555,10615
 2014/09/05,10621,10623,10486,10502
 2014/09/09,10494,10502,10404,10423
 2014/09/10,10432,10457,10349,10355
 2014/09/11,10332,10352,10285,10337
 2014/09/12,10351,10359,10215,10274
 2014/09/15,10262,10325,10241,10287
 2014/09/16,10296,10370,10269,10314
 2014/09/17,10376,10376,10251,10254
 2014/09/18,10234,10240,10170,10176
 2014/09/19,10143,10194,10110,10135
 2014/09/22,10086,10090,9917,9954
 2014/09/23,9945,9990,9810,9897
 2014/09/24,9908,10009,9872,10007
 2014/09/25,10054,10078,9966,10058
 2014/09/26,10042,10118,9985,10095
 2014/09/29,10129,10202,10004,10202
 2014/09/30,10195,10243,10160,10241
 2014/10/08,10082,10093,9892,9918
 2014/10/09,9936,9962,9873,9925
 2014/10/10,9753,9755,9534,9554
 2014/10/13,9569,9720,9569,9631
 2014/10/14,9676,9748,9639,9720
 2014/10/15,9501,9782,9501,9709
 2014/10/16,9648,9668,9539,9615
 2014/10/17,9699,9701,9327,9341
 2014/10/20,9346,9402,9219,9226
 2014/10/21,9246,9250,9152,9200
 2014/10/22,9216,9274,9214,9240
 2014/10/23,9179,9381,9175,9364
 2014/10/24,9408,9615,9406,9574
 2014/10/27,9569,9602,9498,9531
 2014/10/28,9587,9718,9586,9674
 2014/10/29,9721,9760,9654,9759
 2014/10/30,9780,9806,9696,9735
 2014/10/31,9697,9822,9614,9786
 2014/11/03,9751,9804,9663,9701
 2014/11/04,9621,9667,9512,9529
 2014/11/05,9466,9482,9304,9310
 2014/11/06,9423,9516,9383,9491
 2014/11/07,9469,9583,9444,9546
 2014/11/10,9600,9662,9544,9647
 2014/11/11,9579,9584,9386,9415
 2014/11/12,9435,9477,9386,9400
 2014/11/13,9368,9467,9324,9446
 2014/11/14,9294,9366,9239,9308
 2014/11/17,9376,9403,9279,9291
 2014/11/18,9288,9314,9191,9232
 2014/11/19,9203,9343,9158,9260
 2014/11/20,9254,9284,9170,9173
 2014/11/21,9244,9244,9175,9230
 2014/11/24,9238,9314,9128,9161
 2014/11/25,9133,9206,9027,9189
 2014/11/26,9133,9149,9064,9116
 2014/11/27,9093,9161,9060,9141
 2014/11/28,8920,8965,8728,8774
 2014/12/01,8575,8575,8466,8468
 2014/12/02,8683,8728,8532,8544
 2014/12/03,8484,8506,8361,8423
 2014/12/04,8415,8475,8391,8416
 2014/12/05,8373,8391,8265,8320
 2014/12/08,8274,8350,8150,8154
 2014/12/09,8020,8022,7882,7907
 2014/12/10,7938,7951,7820,7890
 2014/12/11,7779,7808,7718,7792
 2014/12/12,7713,7854,7700,7823
 2014/12/15,7753,8011,7639,7960
 2014/12/16,7863,7950,7847,7905
 2014/12/17,7937,7968,7764,7871
 2014/12/18,7943,8019,7866,7936
 2014/12/19,7912,7934,7844,7880
 2014/12/22,7983,8103,7928,7943
 2014/12/23,7885,7929,7846,7886
 2014/12/24,7949,7950,7832,7911
 2014/12/25,7907,7952,7859,7870
 2014/12/26,7879,7904,7811,7820
 2014/12/29,7828,7878,7796,7814
 2014/12/30,7786,7983,7784,7862
 2014/12/31,7892,7986,7875,7983
 2015/01/05,7832,7840,7547,7582
 2015/01/06,7486,7536,7384,7476
 2015/01/07,7451,7488,7333,7380
 2015/01/08,7423,7443,7349,7349
 2015/01/09,7367,7372,7112,7113
 2015/01/12,7116,7169,7059,7159
 2015/01/13,7096,7207,7085,7128
 2015/01/14,7182,7231,7087,7119
 2015/01/15,7177,7257,7155,7225
 2015/01/16,7171,7208,7120,7161
 2015/01/19,7255,7353,7241,7336
 2015/01/20,7305,7316,7169,7195
 2015/01/21,7171,7314,7171,7269
 2015/01/22,7298,7336,7194,7257
 2015/01/23,7251,7269,7204,7259
 2015/01/26,7184,7185,7064,7107
 2015/01/27,7137,7145,7098,7131
 2015/01/28,7133,7221,7095,7217
 2015/01/29,7172,7238,7167,7201
 2015/01/30,7192,7198,7112,7133
 2015/02/02,7266,7314,7234,7274
 2015/02/03,7399,7514,7361,7506
 2015/02/04,7600,7712,7593,7630
 2015/02/05,7493,7537,7468,7531
 2015/02/06,7627,7777,7606,7773
 2015/02/09,7761,7761,7654,7708
 2015/02/10,7679,7731,7663,7723
 2015/02/11,7674,7767,7660,7748
 2015/02/12,7747,7771,7679,7764
 2015/02/13,7845,8034,7835,8032
 2015/02/16,8058,8100,7962,8081
 2015/02/17,8050,8116,7983,8056
 2015/02/25,7961,8104,7929,8070
 2015/02/26,8143,8261,8113,8259
 2015/02/27,8205,8231,8084,8173
 2015/03/02,8281,8465,8222,8385
 2015/03/03,8397,8398,8259,8262
 2015/03/04,8267,8300,8175,8273
 2015/03/05,8215,8236,8042,8109
 2015/03/06,8097,8109,8019,8035
 2015/03/09,7939,7988,7843,7957
 2015/03/10,7965,8019,7900,7904
 2015/03/11,7861,7916,7815,7815
 2015/03/12,7841,8140,7827,8134
 2015/03/13,8089,8208,8066,8170
 2015/03/16,8017,8246,7951,8191
 2015/03/17,8231,8270,8127,8177
 2015/03/18,8139,8158,7940,7941
 2015/03/19,8096,8179,8060,8095
 2015/03/20,8160,8187,8076,8116
 2015/03/23,8226,8390,8226,8366
 2015/03/24,8511,8511,8317,8399
 2015/03/25,8366,8418,8331,8344
 2015/03/26,8424,8484,8330,8427
 2015/03/27,8399,8484,8330,8419
 2015/03/30,8378,8404,8283,8368
 2015/03/31,8410,8444,8358,8383
 2015/04/01,8325,8550,8322,8542
 2015/04/02,8630,8644,8560,8599
 2015/04/03,8520,8618,8312,8368
 2015/04/07,8477,8492,8413,8451
 2015/04/08,8473,8726,8454,8644
 2015/04/09,8562,8587,8429,8508
 2015/04/10,8507,8588,8444,8515
 2015/04/13,8563,8658,8508,8533
 2015/04/14,8550,8573,8386,8440
 2015/04/15,8463,8463,8359,8410
 2015/04/16,8515,8707,8482,8632
 2015/04/17,8669,8832,8611,8732
 2015/04/20,8774,8854,8719,8731
 2015/04/21,8766,8770,8670,8707
 2015/04/22,8644,8658,8552,8616
 2015/04/23,8653,8736,8632,8676
 2015/04/24,8764,8768,8666,8703
 2015/04/27,8713,8957,8689,8898
 2015/04/28,8885,8954,8859,8896
 2015/04/29,8898,8961,8758,8813
 2015/04/30,8891,8936,8877,8910
 2015/05/04,8915,8996,8838,8884
 2015/05/05,8857,8877,8809,8856
 2015/05/06,8952,8961,8829,8861
 2015/05/07,8751,8783,8677,8682
