date,o,h,l,c
 2014/12/23-13:45,7927,7927,7927,7927
 2014/12/23-14:00,7927,7927,7927,7927
 2014/12/23-14:15,7927,7927,7927,7927
 2014/12/23-14:30,7927,7927,7927,7927
 2014/12/23-14:45,7927,7927,7927,7927
 2014/12/23-15:00,7927,7927,7801,7801
 2014/12/24-09:15,7880,7894,7830,7858
 2014/12/24-09:30,7858,7860,7841,7856
 2014/12/24-09:45,7856,7856,7832,7849
 2014/12/24-10:00,7850,7853,7810,7814
 2014/12/24-10:15,7814,7837,7806,7831
 2014/12/24-10:45,7831,7835,7820,7822
 2014/12/24-11:00,7821,7826,7804,7806
 2014/12/24-11:15,7806,7806,7771,7780
 2014/12/24-11:30,7780,7794,7750,7779
 2014/12/24-13:45,7779,7822,7764,7817
 2014/12/24-14:00,7817,7846,7787,7826
 2014/12/24-14:15,7826,7850,7816,7845
 2014/12/24-14:30,7845,7845,7816,7837
 2014/12/24-14:45,7838,7855,7828,7846
 2014/12/24-15:00,7846,7858,7820,7830
 2014/12/25-09:15,7808,7881,7808,7866
 2014/12/25-09:30,7865,7873,7824,7838
 2014/12/25-09:45,7837,7843,7827,7836
 2014/12/25-10:00,7835,7847,7828,7836
 2014/12/25-10:15,7836,7854,7832,7843
 2014/12/25-10:45,7842,7848,7833,7848
 2014/12/25-11:00,7848,7860,7845,7856
 2014/12/25-11:15,7856,7865,7848,7859
 2014/12/25-11:30,7859,7863,7828,7830
 2014/12/25-13:45,7830,7830,7790,7803
 2014/12/25-14:00,7801,7827,7800,7827
 2014/12/25-14:15,7828,7829,7814,7815
 2014/12/25-14:30,7815,7816,7801,7814
 2014/12/25-14:45,7815,7826,7807,7811
 2014/12/25-15:00,7811,7815,7800,7806
 2014/12/26-09:15,7826,7840,7805,7830
 2014/12/26-09:30,7828,7843,7820,7822
 2014/12/26-09:45,7822,7829,7814,7827
 2014/12/26-10:00,7827,7835,7823,7829
 2014/12/26-10:15,7828,7831,7819,7828
 2014/12/26-10:45,7828,7830,7818,7820
 2014/12/26-11:00,7819,7825,7810,7823
 2014/12/26-11:15,7823,7823,7806,7815
 2014/12/26-11:30,7815,7828,7810,7817
 2014/12/26-13:45,7817,7820,7793,7799
 2014/12/26-14:00,7799,7802,7757,7762
 2014/12/26-14:15,7762,7788,7761,7769
 2014/12/26-14:30,7770,7784,7754,7775
 2014/12/26-14:45,7776,7790,7770,7784
 2014/12/26-15:00,7783,7785,7753,7764
 2014/12/29-09:15,7750,7787,7735,7766
 2014/12/29-09:30,7766,7798,7761,7797
 2014/12/29-09:45,7798,7818,7793,7797
 2014/12/29-10:00,7796,7800,7767,7776
 2014/12/29-10:15,7776,7785,7774,7783
 2014/12/29-10:45,7783,7795,7776,7785
 2014/12/29-11:00,7785,7795,7780,7786
 2014/12/29-11:15,7785,7797,7782,7797
 2014/12/29-11:30,7795,7805,7781,7782
 2014/12/29-13:45,7781,7813,7781,7792
 2014/12/29-14:00,7793,7798,7786,7790
 2014/12/29-14:15,7789,7794,7760,7771
 2014/12/29-14:30,7770,7779,7752,7754
 2014/12/29-14:45,7755,7764,7750,7756
 2014/12/29-15:00,7755,7772,7744,7764
 2014/12/30-09:15,7742,7785,7723,7776
 2014/12/30-09:30,7777,7863,7774,7846
 2014/12/30-09:45,7847,7945,7847,7875
 2014/12/30-10:00,7879,7879,7842,7871
 2014/12/30-10:15,7872,7903,7871,7879
 2014/12/30-10:45,7878,7880,7825,7833
 2014/12/30-11:00,7833,7839,7811,7816
 2014/12/30-11:15,7813,7825,7803,7819
 2014/12/30-11:30,7820,7821,7773,7778
 2014/12/30-13:45,7774,7813,7762,7785
 2014/12/30-14:00,7785,7797,7783,7790
 2014/12/30-14:15,7791,7806,7781,7800
 2014/12/30-14:30,7800,7803,7778,7790
 2014/12/30-14:45,7788,7798,7782,7794
 2014/12/30-15:00,7794,7814,7780,7806
 2014/12/31-09:15,7836,7895,7818,7884
 2014/12/31-09:30,7886,7893,7865,7871
 2014/12/31-09:45,7872,7878,7846,7858
 2014/12/31-10:00,7858,7876,7850,7865
 2014/12/31-10:15,7860,7904,7860,7888
 2014/12/31-10:45,7888,7908,7875,7882
 2014/12/31-11:00,7882,7887,7866,7881
 2014/12/31-11:15,7880,7900,7880,7895
 2014/12/31-11:30,7895,7898,7880,7895
 2014/12/31-13:45,7895,7921,7883,7909
 2014/12/31-14:00,7909,7950,7908,7943
 2014/12/31-14:15,7945,7954,7890,7909
 2014/12/31-14:30,7909,7924,7901,7909
 2014/12/31-14:45,7908,7929,7903,7918
 2014/12/31-15:00,7917,7978,7915,7972
 2015/01/05-09:15,7892,7892,7755,7782
 2015/01/05-09:30,7785,7787,7760,7765
 2015/01/05-09:45,7764,7793,7756,7784
 2015/01/05-10:00,7784,7786,7770,7776
 2015/01/05-10:15,7775,7788,7766,7778
 2015/01/05-10:45,7777,7780,7667,7686
 2015/01/05-11:00,7685,7685,7580,7588
 2015/01/05-11:15,7589,7615,7563,7573
 2015/01/05-11:30,7573,7595,7552,7574
 2015/01/05-13:45,7574,7612,7574,7603
 2015/01/05-14:00,7603,7615,7583,7592
 2015/01/05-14:15,7594,7612,7580,7606
 2015/01/05-14:30,7606,7639,7595,7613
 2015/01/05-14:45,7614,7626,7593,7601
 2015/01/05-15:00,7601,7609,7588,7597
 2015/01/06-09:15,7500,7585,7486,7524
 2015/01/06-09:30,7524,7540,7454,7454
 2015/01/06-09:45,7454,7470,7428,7457
 2015/01/06-10:00,7459,7492,7458,7486
 2015/01/06-10:15,7486,7488,7456,7469
 2015/01/06-10:45,7469,7469,7441,7448
 2015/01/06-11:00,7448,7475,7448,7460
 2015/01/06-11:15,7461,7464,7450,7458
 2015/01/06-11:30,7459,7462,7451,7451
 2015/01/06-13:45,7450,7500,7444,7491
 2015/01/06-14:00,7491,7554,7488,7550
 2015/01/06-14:15,7550,7585,7535,7551
 2015/01/06-14:30,7552,7580,7531,7580
 2015/01/06-14:45,7579,7583,7555,7559
 2015/01/06-15:00,7558,7567,7521,7523
 2015/01/07-09:15,7485,7540,7481,7504
 2015/01/07-09:30,7504,7510,7463,7473
 2015/01/07-09:45,7472,7486,7458,7480
 2015/01/07-10:00,7480,7519,7478,7490
 2015/01/07-10:15,7488,7497,7469,7477
 2015/01/07-10:45,7478,7493,7461,7465
 2015/01/07-11:00,7464,7473,7389,7416
 2015/01/07-11:15,7417,7436,7395,7425
 2015/01/07-11:30,7425,7434,7409,7426
 2015/01/07-13:45,7422,7425,7404,7415
 2015/01/07-14:00,7414,7416,7381,7385
 2015/01/07-14:15,7385,7435,7381,7419
 2015/01/07-14:30,7419,7451,7413,7442
 2015/01/07-14:45,7442,7444,7418,7432
 2015/01/07-15:00,7432,7441,7424,7432
 2015/01/08-09:15,7480,7497,7451,7455
 2015/01/08-09:30,7456,7482,7454,7478
 2015/01/08-09:45,7478,7490,7460,7479
 2015/01/08-10:00,7481,7486,7459,7474
 2015/01/08-10:15,7473,7477,7435,7445
 2015/01/08-10:45,7445,7446,7432,7440
 2015/01/08-11:00,7440,7452,7432,7446
 2015/01/08-11:15,7446,7458,7441,7445
 2015/01/08-11:30,7445,7450,7436,7438
 2015/01/08-13:45,7435,7443,7427,7441
 2015/01/08-14:00,7442,7446,7432,7442
 2015/01/08-14:15,7443,7451,7438,7448
 2015/01/08-14:30,7447,7458,7431,7437
 2015/01/08-14:45,7436,7443,7421,7425
 2015/01/08-15:00,7425,7426,7389,7389
 2015/01/09-09:15,7390,7411,7326,7333
 2015/01/09-09:30,7333,7335,7217,7217
 2015/01/09-09:45,7218,7218,7150,7150
 2015/01/09-10:00,7150,7209,7150,7198
 2015/01/09-10:15,7200,7200,7167,7175
 2015/01/09-10:45,7175,7181,7162,7168
 2015/01/09-11:00,7168,7178,7157,7160
 2015/01/09-11:15,7161,7164,7151,7152
 2015/01/09-11:30,7151,7163,7150,7151
 2015/01/09-13:45,7151,7167,7151,7164
 2015/01/09-14:00,7163,7175,7159,7166
 2015/01/09-14:15,7166,7169,7160,7167
 2015/01/09-14:30,7166,7191,7164,7176
 2015/01/09-14:45,7176,7180,7150,7152
 2015/01/09-15:00,7154,7154,7150,7150
 2015/01/12-09:15,7100,7158,7081,7145
 2015/01/12-09:30,7146,7151,7118,7143
 2015/01/12-09:45,7143,7145,7119,7128
 2015/01/12-10:00,7126,7182,7125,7162
 2015/01/12-10:15,7161,7174,7150,7163
 2015/01/12-10:45,7164,7174,7144,7150
 2015/01/12-11:00,7150,7189,7127,7165
 2015/01/12-11:15,7165,7173,7163,7170
 2015/01/12-11:30,7170,7171,7162,7164
 2015/01/12-13:45,7163,7198,7160,7172
 2015/01/12-14:00,7173,7193,7163,7185
 2015/01/12-14:15,7183,7195,7171,7178
 2015/01/12-14:30,7178,7191,7170,7187
 2015/01/12-14:45,7187,7195,7182,7194
 2015/01/12-15:00,7194,7215,7183,7203
 2015/01/13-09:15,7140,7185,7123,7167
 2015/01/13-09:30,7167,7170,7143,7143
 2015/01/13-09:45,7142,7161,7126,7159
 2015/01/13-10:00,7157,7164,7149,7160
 2015/01/13-10:15,7160,7164,7149,7156
 2015/01/13-10:45,7156,7178,7143,7166
 2015/01/13-11:00,7166,7172,7161,7165
 2015/01/13-11:15,7166,7167,7147,7159
 2015/01/13-11:30,7159,7173,7159,7173
 2015/01/13-13:45,7171,7190,7164,7188
 2015/01/13-14:00,7188,7256,7188,7252
 2015/01/13-14:15,7254,7268,7222,7224
 2015/01/13-14:30,7224,7228,7190,7197
 2015/01/13-14:45,7197,7208,7175,7181
 2015/01/13-15:00,7182,7194,7171,7188
 2015/01/14-09:15,7250,7295,7215,7282
 2015/01/14-09:30,7282,7288,7226,7239
 2015/01/14-09:45,7239,7239,7192,7228
 2015/01/14-10:00,7226,7228,7150,7158
 2015/01/14-10:15,7159,7220,7150,7213
 2015/01/14-10:45,7214,7219,7190,7190
 2015/01/14-11:00,7190,7208,7189,7199
 2015/01/14-11:15,7199,7206,7166,7172
 2015/01/14-11:30,7172,7195,7172,7185
 2015/01/14-13:45,7184,7204,7175,7181
 2015/01/14-14:00,7182,7196,7177,7195
 2015/01/14-14:15,7195,7204,7187,7199
 2015/01/14-14:30,7201,7202,7180,7199
 2015/01/14-14:45,7199,7199,7181,7190
 2015/01/14-15:00,7192,7212,7188,7199
 2015/01/15-09:15,7280,7311,7250,7260
 2015/01/15-09:30,7259,7268,7253,7258
 2015/01/15-09:45,7258,7268,7236,7245
 2015/01/15-10:00,7244,7266,7243,7255
 2015/01/15-10:15,7254,7302,7253,7289
 2015/01/15-10:45,7289,7296,7277,7286
 2015/01/15-11:00,7285,7305,7278,7280
 2015/01/15-11:15,7281,7290,7280,7282
 2015/01/15-11:30,7282,7294,7280,7293
 2015/01/15-13:45,7288,7342,7286,7321
 2015/01/15-14:00,7322,7336,7313,7320
 2015/01/15-14:15,7321,7345,7321,7337
 2015/01/15-14:30,7337,7340,7318,7320
 2015/01/15-14:45,7320,7320,7302,7315
 2015/01/15-15:00,7318,7330,7312,7314
 2015/01/16-09:15,7250,7275,7204,7237
 2015/01/16-09:30,7237,7283,7227,7263
 2015/01/16-09:45,7265,7277,7233,7245
 2015/01/16-10:00,7246,7270,7240,7262
 2015/01/16-10:15,7262,7264,7241,7244
 2015/01/16-10:45,7242,7258,7232,7243
 2015/01/16-11:00,7241,7254,7238,7252
