date,o,h,l,c
 2014/02/28-10:00,10680,10682,10454,10531
 2014/02/28-11:15,10532,10579,10527,10565
 2014/02/28-14:15,10566,10568,10527,10527
 2014/02/28-15:00,10528,10546,10500,10522
 2014/03/03-10:00,10555,10608,10461,10477
 2014/03/03-11:15,10477,10502,10461,10469
 2014/03/03-14:15,10468,10481,10428,10440
 2014/03/03-15:00,10440,10447,10429,10445
 2014/03/04-10:00,10460,10469,10410,10438
 2014/03/04-11:15,10438,10453,10414,10438
 2014/03/04-14:15,10437,10469,10422,10465
 2014/03/04-15:00,10465,10495,10453,10482
 2014/03/05-10:00,10477,10520,10470,10479
 2014/03/05-11:15,10477,10510,10475,10510
 2014/03/05-14:15,10510,10517,10469,10504
 2014/03/05-15:00,10504,10513,10501,10512
 2014/03/06-10:00,10510,10510,10387,10410
 2014/03/06-11:15,10410,10411,10306,10309
 2014/03/06-14:15,10309,10360,10303,10355
 2014/03/06-15:00,10359,10374,10339,10374
 2014/03/07-10:00,10364,10388,10339,10375
 2014/03/07-11:15,10375,10378,10333,10337
 2014/03/07-14:15,10337,10377,10323,10360
 2014/03/07-15:00,10360,10366,10350,10359
 2014/03/10-10:00,10335,10335,10246,10282
 2014/03/10-11:15,10282,10288,10204,10217
 2014/03/10-14:15,10217,10241,10158,10196
 2014/03/10-15:00,10195,10233,10187,10228
 2014/03/11-10:00,10221,10267,10195,10267
 2014/03/11-11:15,10265,10371,10253,10371
 2014/03/11-14:15,10372,10455,10317,10336
 2014/03/11-15:00,10336,10343,10315,10322
 2014/03/12-10:00,10293,10345,10226,10306
 2014/03/12-11:15,10306,10327,10278,10302
 2014/03/12-14:15,10302,10306,10258,10276
 2014/03/12-15:00,10278,10351,10277,10351
 2014/03/13-10:00,10312,10377,10312,10338
 2014/03/13-11:15,10338,10364,10334,10341
 2014/03/13-14:15,10343,10368,10343,10368
 2014/03/13-15:00,10367,10384,10358,10360
 2014/03/14-10:00,10349,10354,10301,10343
 2014/03/14-11:15,10343,10367,10318,10337
 2014/03/14-14:15,10337,10346,10284,10294
 2014/03/14-15:00,10294,10329,10293,10326
 2014/03/17-10:00,10316,10425,10276,10287
 2014/03/17-11:15,10287,10329,10282,10329
 2014/03/17-14:15,10329,10338,10312,10333
 2014/03/17-15:00,10332,10334,10303,10311
 2014/03/18-10:00,10274,10348,10272,10339
 2014/03/18-11:15,10339,10422,10336,10398
 2014/03/18-14:15,10399,10405,10365,10378
 2014/03/18-15:00,10378,10425,10369,10423
 2014/03/19-10:00,10398,10472,10398,10425
 2014/03/19-11:15,10424,10424,10402,10410
 2014/03/19-14:15,10410,10412,10376,10382
 2014/03/19-15:00,10382,10388,10353,10353
 2014/03/20-10:00,10394,10394,10339,10384
 2014/03/20-11:15,10384,10404,10380,10395
 2014/03/20-14:15,10395,10396,10376,10393
 2014/03/20-15:00,10393,10401,10385,10390
 2014/03/21-10:00,10365,10398,10365,10378
 2014/03/21-11:15,10378,10385,10357,10380
 2014/03/21-14:15,10380,10421,10377,10396
 2014/03/21-15:00,10395,10433,10393,10420
 2014/03/24-10:00,10412,10437,10389,10406
 2014/03/24-11:15,10406,10425,10406,10415
 2014/03/24-14:15,10416,10431,10410,10417
 2014/03/24-15:00,10417,10448,10411,10433
 2014/03/25-10:00,10433,10500,10417,10494
 2014/03/25-11:15,10494,10566,10493,10549
 2014/03/25-14:15,10549,10551,10477,10492
 2014/03/25-15:00,10492,10537,10489,10527
 2014/03/26-10:00,10501,10574,10501,10545
 2014/03/26-11:15,10545,10583,10534,10562
 2014/03/26-14:15,10562,10640,10555,10599
 2014/03/26-15:00,10599,10618,10586,10605
 2014/03/27-10:00,10598,10613,10561,10584
 2014/03/27-11:15,10585,10599,10580,10598
 2014/03/27-14:15,10598,10605,10568,10571
 2014/03/27-15:00,10571,10582,10566,10579
 2014/03/28-10:00,10583,10611,10579,10600
 2014/03/28-11:15,10600,10644,10584,10612
 2014/03/28-14:15,10612,10631,10608,10629
 2014/03/28-15:00,10629,10682,10618,10678
 2014/03/31-10:00,10665,10691,10655,10668
 2014/03/31-11:15,10667,10681,10661,10677
 2014/03/31-14:15,10677,10677,10656,10665
 2014/03/31-15:00,10665,10665,10628,10646
 2014/04/01-10:00,10651,10685,10623,10677
 2014/04/01-11:15,10678,10750,10676,10724
