date,o,h,l,c
 2009/03/27,3566,3661,3514,3562
 2009/03/30,3551,3581,3530,3546
 2009/03/31,3539,3567,3533,3551
 2009/04/01,3562,3562,3545,3549
 2009/04/02,3547,3550,3458,3475
 2009/04/03,3483,3483,3439,3450
 2009/04/07,3427,3519,3427,3493
 2009/04/08,3482,3493,3458,3465
 2009/04/09,3478,3488,3462,3470
 2009/04/10,3485,3502,3472,3486
 2009/04/13,3487,3495,3467,3471
 2009/04/14,3477,3601,3471,3562
 2009/04/15,3571,3592,3552,3564
 2009/04/16,3584,3629,3573,3598
 2009/04/17,3596,3650,3584,3622
 2009/04/20,3622,3650,3617,3625
 2009/04/21,3582,3592,3492,3526
 2009/04/22,3552,3568,3510,3528
 2009/04/23,3531,3533,3491,3515
 2009/04/24,3515,3524,3499,3503
 2009/04/27,3512,3522,3494,3501
 2009/04/28,3498,3517,3498,3509
 2009/04/29,3509,3522,3505,3522
 2009/04/30,3538,3575,3525,3554
 2009/05/04,3575,3661,3575,3637
 2009/05/05,3637,3645,3573,3579
 2009/05/06,3580,3600,3575,3596
 2009/05/07,3630,3632,3593,3595
 2009/05/08,3601,3618,3592,3616
 2009/05/11,3617,3679,3608,3640
 2009/05/12,3646,3661,3631,3646
 2009/05/13,3656,3658,3635,3640
 2009/05/14,3618,3622,3592,3596
 2009/05/15,3602,3619,3598,3606
 2009/05/18,3597,3613,3583,3609
 2009/05/19,3632,3632,3613,3620
 2009/05/20,3618,3645,3614,3620
 2009/05/21,3622,3643,3620,3625
 2009/05/22,3620,3628,3610,3620
 2009/05/25,3631,3631,3602,3611
 2009/05/26,3611,3622,3598,3603
 2009/05/27,3630,3630,3608,3612
 2009/06/01,3632,3659,3627,3649
 2009/06/02,3662,3683,3654,3657
 2009/06/03,3661,3674,3658,3672
 2009/06/04,3652,3713,3650,3702
 2009/06/05,3723,3779,3722,3758
 2009/06/08,3757,3794,3749,3790
 2009/06/09,3799,3808,3770,3781
 2009/06/10,3794,3815,3776,3810
 2009/06/11,3812,3940,3810,3880
 2009/06/12,3890,3929,3839,3866
 2009/06/15,3857,3879,3827,3851
 2009/06/16,3831,3884,3831,3868
 2009/06/17,3864,3880,3844,3855
 2009/06/18,3855,3868,3833,3845
 2009/06/19,3855,3921,3849,3909
 2009/06/22,3911,3938,3903,3922
 2009/06/23,3900,3902,3838,3884
 2009/06/24,3892,3900,3861,3873
 2009/06/25,3865,3890,3862,3869
 2009/06/26,3873,3889,3849,3857
 2009/06/29,3849,3856,3827,3832
 2009/06/30,3836,3843,3818,3827
 2009/07/01,3829,3847,3823,3842
 2009/07/02,3859,3880,3848,3868
 2009/07/03,3869,3883,3859,3861
 2009/07/06,3858,3874,3857,3866
 2009/07/07,3877,3878,3865,3872
 2009/07/08,3863,3870,3838,3852
 2009/07/09,3842,3870,3841,3867
 2009/07/10,3877,3901,3872,3892
 2009/07/13,3901,3921,3898,3905
 2009/07/14,3919,3927,3910,3919
 2009/07/15,3927,3997,3927,3995
 2009/07/16,4014,4044,3989,4027
 2009/07/17,4022,4034,3996,4003
 2009/07/20,4004,4027,4003,4026
 2009/07/21,4033,4042,4013,4033
 2009/07/22,4046,4086,4036,4070
 2009/07/23,4085,4122,4076,4121
 2009/07/24,4124,4197,4121,4184
 2009/07/27,4199,4258,4185,4240
 2009/07/28,4239,4333,4221,4330
 2009/07/29,4332,4410,4307,4387
 2009/07/30,4405,4443,4360,4440
 2009/07/31,4478,4623,4457,4623
 2009/08/03,4784,4861,4754,4861
 2009/08/04,4963,4972,4819,4843
 2009/08/05,4868,4943,4820,4876
 2009/08/06,4870,4897,4818,4867
 2009/08/07,4851,4864,4650,4680
 2009/08/10,4682,4741,4581,4656
