date,o,h,l,c,vol
 2013/08/19,3802,3843,3785,3812,1892324
 2013/08/20,3810,3828,3792,3796,1517702
 2013/08/21,3796,3807,3786,3789,1150250
 2013/08/22,3777,3799,3762,3769,1747080
 2013/08/23,3772,3820,3771,3817,2136050
 2013/08/26,3827,3848,3802,3813,2048358
 2013/08/27,3801,3830,3776,3818,2137384
 2013/08/28,3817,3835,3765,3767,2350504
 2013/08/29,3768,3790,3727,3749,2330452
 2013/08/30,3733,3769,3732,3753,1441268
 2013/09/02,3765,3797,3763,3787,1452760
 2013/09/03,3793,3799,3741,3745,2010496
 2013/09/04,3744,3756,3729,3737,1309680
 2013/09/05,3731,3748,3723,3732,1201718
 2013/09/06,3729,3733,3705,3723,1544364
 2013/09/09,3732,3764,3732,3752,1343182
 2013/09/10,3751,3755,3721,3736,1186452
 2013/09/11,3731,3742,3716,3727,1304284
 2013/09/12,3723,3734,3710,3713,1060552
 2013/09/13,3709,3710,3655,3657,1823146
 2013/09/16,3661,3668,3628,3647,1416362
 2013/09/17,3645,3661,3636,3647,1199380
 2013/09/18,3640,3643,3618,3633,1376762
 2013/09/23,3629,3656,3612,3655,1429956
 2013/09/24,3653,3664,3626,3627,1224802
 2013/09/25,3627,3637,3617,3626,1026100
 2013/09/26,3625,3628,3605,3613,1024020
 2013/09/27,3610,3612,3570,3576,1164922
 2013/09/30,3586,3598,3581,3587,648414
 2013/10/08,3579,3600,3541,3599,1071150
 2013/10/09,3594,3621,3580,3589,1716768
 2013/10/10,3587,3608,3584,3597,1022460
 2013/10/11,3603,3621,3590,3601,1156954
 2013/10/14,3602,3628,3598,3625,1129852
 2013/10/15,3626,3636,3585,3606,1206938
 2013/10/16,3610,3612,3560,3567,1254510
 2013/10/17,3577,3586,3557,3558,991812
 2013/10/18,3563,3581,3539,3568,1365830
 2013/10/21,3558,3583,3551,3570,769944
 2013/10/22,3565,3577,3555,3557,476304
 2013/10/23,3559,3572,3536,3537,518390
 2013/10/24,3520,3538,3516,3519,443932
 2013/10/25,3521,3530,3485,3486,392180
 2013/10/28,3490,3500,3479,3485,260978
 2013/10/29,3482,3498,3470,3494,405792
 2013/10/30,3498,3521,3487,3521,431352
 2013/10/31,3640,3651,3623,3636,1152622
 2013/11/01,3638,3681,3632,3671,1771784
 2013/11/04,3675,3685,3661,3677,1256126
 2013/11/05,3682,3692,3654,3669,1371586
 2013/11/06,3670,3677,3636,3642,1492144
 2013/11/07,3643,3688,3643,3679,1910172
 2013/11/08,3680,3686,3658,3661,1341632
 2013/11/11,3650,3677,3633,3668,1523286
 2013/11/12,3668,3681,3657,3670,1267998
 2013/11/13,3660,3678,3647,3647,1582304
 2013/11/14,3641,3650,3614,3620,1902964
 2013/11/15,3624,3636,3590,3591,1936398
 2013/11/18,3596,3608,3583,3592,1339696
 2013/11/19,3585,3625,3585,3624,1689192
 2013/11/20,3630,3651,3623,3646,1905328
 2013/11/21,3644,3646,3607,3612,1674888
 2013/11/22,3616,3635,3610,3614,1222570
 2013/11/25,3624,3642,3614,3636,1475922
 2013/11/26,3640,3677,3636,3660,2424668
 2013/11/27,3658,3664,3645,3650,1382060
 2013/11/28,3648,3682,3646,3670,1725370
 2013/11/29,3674,3680,3662,3670,935964
 2013/12/02,3671,3698,3670,3695,1520018
 2013/12/03,3690,3709,3687,3709,1341546
 2013/12/04,3710,3727,3708,3713,1475374
 2013/12/05,3716,3718,3692,3693,1243242
 2013/12/06,3692,3704,3683,3702,1151966
 2013/12/09,3703,3726,3703,3722,1356200
 2013/12/10,3726,3737,3708,3716,1122538
 2013/12/11,3718,3738,3691,3735,1933408
 2013/12/12,3741,3745,3725,3729,1238166
 2013/12/13,3728,3729,3661,3676,2446196
 2013/12/16,3680,3694,3668,3671,1300370
 2013/12/17,3675,3689,3662,3663,1377856
 2013/12/18,3663,3663,3644,3656,1292080
 2013/12/19,3661,3672,3642,3652,1024508
 2013/12/20,3651,3665,3626,3627,1285518
 2013/12/23,3616,3624,3603,3612,1107832
 2013/12/24,3609,3632,3608,3628,984078
 2013/12/25,3632,3640,3592,3603,1342694
 2013/12/26,3601,3610,3583,3604,1270188
 2013/12/27,3603,3621,3596,3612,1316292
 2013/12/30,3612,3628,3567,3573,1487060
 2013/12/31,3574,3592,3562,3570,1260888
 2014/01/02,3562,3592,3562,3590,1019050
 2014/01/03,3587,3588,3528,3540,1260658
 2014/01/06,3531,3540,3512,3515,1107724
 2014/01/07,3517,3520,3462,3465,1517508
 2014/01/08,3453,3481,3449,3469,1222914
 2014/01/09,3466,3488,3451,3456,1310698
 2014/01/10,3452,3497,3441,3492,1624786
 2014/01/13,3484,3494,3449,3462,1229540
 2014/01/14,3462,3496,3456,3492,1233518
 2014/01/15,3488,3507,3481,3498,1169568
 2014/01/16,3501,3509,3472,3481,1286670
 2014/01/17,3478,3478,3452,3470,974250
 2014/01/20,3465,3478,3446,3451,1432548
 2014/01/21,3441,3447,3408,3410,1480214
 2014/01/22,3404,3439,3403,3424,1420846
 2014/01/23,3426,3465,3420,3463,1452702
 2014/01/24,3453,3488,3444,3487,1437284
 2014/01/27,3474,3479,3458,3472,876126
 2014/01/28,3463,3465,3430,3431,964522
 2014/01/29,3430,3452,3420,3443,817008
 2014/01/30,3438,3465,3433,3455,517506
 2014/02/07,3448,3450,3401,3411,926746
 2014/02/10,3404,3428,3380,3421,1560496
 2014/02/11,3412,3427,3385,3386,1192182
 2014/02/12,3383,3406,3382,3393,1140402
 2014/02/13,3399,3415,3383,3395,1091764
 2014/02/14,3400,3417,3395,3412,967856
 2014/02/17,3415,3459,3414,3455,1488420
 2014/02/18,3453,3463,3422,3428,1016036
 2014/02/19,3433,3449,3429,3436,925548
 2014/02/20,3431,3432,3391,3394,1089914
 2014/02/21,3396,3403,3386,3389,798520
 2014/02/24,3384,3387,3308,3326,1518470
 2014/02/25,3325,3342,3295,3308,948250
 2014/02/26,3301,3328,3299,3317,836764
 2014/02/27,3320,3348,3310,3340,935740
 2014/02/28,3339,3344,3298,3318,1029944
 2014/03/03,3320,3331,3296,3324,755248
 2014/03/04,3425,3430,3389,3409,1316748
 2014/03/05,3415,3438,3393,3423,2003504
 2014/03/06,3415,3419,3387,3388,1639254
 2014/03/07,3385,3394,3322,3335,2593584
 2014/03/10,3290,3290,3221,3221,1547872
 2014/03/11,3180,3260,3171,3236,2838730
 2014/03/12,3186,3260,3141,3254,3159628
 2014/03/13,3259,3285,3245,3284,2265162
 2014/03/14,3270,3276,3220,3262,2095746
 2014/03/17,3270,3281,3227,3229,2095964
 2014/03/18,3228,3275,3225,3240,2215350
 2014/03/19,3241,3260,3226,3242,2278624
 2014/03/20,3266,3278,3230,3230,2621828
 2014/03/21,3231,3252,3211,3220,2690310
 2014/03/24,3215,3224,3190,3213,2403414
 2014/03/25,3214,3312,3210,3287,4139074
 2014/03/26,3284,3286,3262,3275,1924026
 2014/03/27,3265,3295,3253,3269,2310856
 2014/03/28,3271,3310,3269,3307,2425214
 2014/03/31,3311,3346,3310,3328,2564106
 2014/04/01,3328,3336,3316,3331,1668948
 2014/04/02,3345,3352,3316,3317,2100082
 2014/04/03,3314,3343,3311,3336,2085484
 2014/04/04,3339,3377,3334,3372,2226006
 2014/04/08,3388,3425,3383,3414,2354892
 2014/04/09,3416,3419,3380,3384,1868136
 2014/04/10,3390,3405,3367,3368,2138006
 2014/04/11,3373,3376,3353,3360,1780520
 2014/04/14,3356,3394,3348,3360,2492596
 2014/04/15,3357,3369,3336,3369,2006394
 2014/04/16,3359,3360,3323,3329,2099342
 2014/04/17,3336,3341,3324,3324,1542468
 2014/04/18,3323,3323,3236,3245,3201112
 2014/04/21,3252,3260,3235,3235,1428492
 2014/04/22,3232,3253,3211,3244,2154884
 2014/04/23,3248,3268,3216,3266,2239166
 2014/04/24,3267,3289,3262,3283,2356824
 2014/04/25,3289,3296,3267,3276,1564756
 2014/04/28,3261,3267,3215,3222,1942172
 2014/04/29,3221,3262,3220,3248,1848226
 2014/04/30,3248,3251,3220,3227,1441202
 2014/05/05,3220,3245,3191,3238,1698470
 2014/05/06,3236,3249,3217,3225,1505276
 2014/05/07,3221,3232,3195,3195,2484126
 2014/05/08,3185,3203,3172,3181,2125730
 2014/05/09,3182,3187,3158,3168,1775258
 2014/05/12,3152,3194,3152,3193,2050244
 2014/05/13,3198,3202,3162,3165,1784628
 2014/05/14,3166,3180,3161,3166,1489994
 2014/05/15,3164,3174,3130,3131,1974658
 2014/05/16,3127,3130,3063,3090,2660116
 2014/05/19,3081,3107,3072,3080,2610682
 2014/05/20,3077,3085,3062,3068,1942194
 2014/05/21,3068,3087,3055,3075,2248696
 2014/05/22,3072,3116,3072,3079,2761430
 2014/05/23,3085,3094,3073,3081,1680760
 2014/05/26,3088,3147,3087,3140,2753950
 2014/05/27,3140,3156,3127,3144,1714528
 2014/05/28,3139,3145,3102,3116,2123098
 2014/05/29,3114,3126,3108,3111,1509232
 2014/05/30,3106,3106,3047,3056,2382866
 2014/06/03,3058,3069,3040,3057,1874874
 2014/06/04,3055,3069,3052,3061,1628800
 2014/06/05,3065,3078,3034,3067,2458340
 2014/06/06,3068,3085,3061,3079,2035658
 2014/06/09,3073,3085,3057,3064,1694312
 2014/06/10,3069,3080,3043,3068,2473368
 2014/06/11,3068,3072,3045,3046,1734420
 2014/06/12,3041,3048,3026,3027,1792726
 2014/06/13,3018,3048,3015,3029,2031862
 2014/06/16,3018,3024,3000,3001,2032034
 2014/06/17,2999,3025,2994,3018,2207960
 2014/06/18,3020,3027,3005,3009,1468542
 2014/06/19,3008,3023,3004,3009,1592270
 2014/06/20,3010,3046,2999,3044,2709728
 2014/06/23,3041,3077,3041,3072,2300392
 2014/06/24,3065,3069,3047,3064,1704490
 2014/06/25,3064,3086,3063,3079,1605680
 2014/06/26,3085,3119,3082,3115,2398494
 2014/06/27,3115,3122,3086,3088,1650420
 2014/06/30,3090,3091,3070,3076,1335024
 2014/07/01,3082,3088,3062,3069,1441298
 2014/07/02,3072,3100,3049,3097,1760900
 2014/07/03,3103,3115,3080,3083,845736
 2014/07/04,3101,3114,3091,3102,1699004
 2014/07/07,3105,3115,3076,3088,2240672
 2014/07/08,3091,3118,3078,3116,1986526
 2014/07/09,3116,3118,3092,3095,1700376
 2014/07/10,3093,3136,3088,3113,2917146
 2014/07/11,3115,3131,3109,3128,2612894
 2014/07/14,3131,3154,3128,3146,2366372
 2014/07/15,3148,3155,3136,3145,1722738
 2014/07/16,3145,3149,3132,3132,1383160
 2014/07/17,3129,3139,3120,3121,1637226
 2014/07/18,3118,3119,3046,3051,2746716
 2014/07/21,3064,3064,3041,3042,1814832
 2014/07/22,3039,3062,3039,3045,1790502
 2014/07/23,3043,3048,3031,3036,1823528
 2014/07/24,3031,3055,3028,3034,2238246
 2014/07/25,3039,3052,3032,3048,1784238
 2014/07/28,3045,3081,3045,3076,2703224
 2014/07/29,3085,3115,3076,3105,2990810
 2014/07/30,3098,3100,3070,3072,2289602
 2014/07/31,3073,3084,3065,3069,1561388
 2014/08/01,3062,3081,3051,3067,2294988
 2014/08/04,3064,3108,3060,3106,2945594
 2014/08/05,3106,3123,3097,3102,2952628
 2014/08/06,3094,3120,3091,3104,2590882
 2014/08/07,3108,3125,3100,3100,2228166
 2014/08/08,3097,3106,3076,3087,2247990
 2014/08/11,3085,3099,3062,3062,2524660
 2014/08/12,3057,3069,3052,3063,1791422
 2014/08/13,3063,3072,3042,3044,2678436
 2014/08/14,3041,3046,3020,3021,2142998
 2014/08/15,3018,3037,3014,3031,2373268
 2014/08/18,3030,3036,3006,3010,2453272
 2014/08/19,3009,3027,3003,3015,1979616
 2014/08/20,3010,3012,2990,2990,2240678
 2014/08/21,2991,2995,2980,2983,1873434
 2014/08/22,2980,3001,2979,2986,1949942
 2014/08/25,2975,2978,2961,2974,1933578
 2014/08/26,2975,2990,2964,2979,1727058
 2014/08/27,2983,2989,2964,2965,2003836
 2014/08/28,2961,2969,2926,2937,3218868
 2014/08/29,2932,2947,2927,2940,1913484
 2014/09/01,2943,2943,2914,2915,2147522
 2014/09/02,2915,2929,2896,2910,3632038
 2014/09/03,2902,2905,2850,2853,3861960
 2014/09/04,2854,2863,2837,2838,3927914
 2014/09/05,2839,2847,2826,2834,3371838
 2014/09/09,2820,2830,2766,2768,4192656
 2014/09/10,2760,2812,2725,2780,6590504
 2014/09/11,2774,2784,2749,2757,3729686
 2014/09/12,2756,2791,2752,2790,3984704
 2014/09/15,2812,2832,2801,2826,4585390
 2014/09/16,2826,2834,2782,2788,5159490
 2014/09/17,2805,2814,2782,2804,4392080
 2014/09/18,2796,2797,2766,2767,3746742
 2014/09/19,2758,2764,2708,2714,5731296
 2014/09/22,2694,2696,2619,2619,5027012
 2014/09/23,2610,2648,2591,2616,6227118
 2014/09/24,2612,2637,2609,2616,4575332
 2014/09/25,2613,2622,2538,2548,7750420
 2014/09/26,2544,2624,2538,2590,9099322
 2014/09/29,2585,2598,2519,2529,6766200
 2014/09/30,2538,2562,2526,2532,3750178
 2014/10/08,2555,2570,2507,2513,4365294
 2014/10/09,2513,2565,2510,2550,4927310
 2014/10/10,2543,2597,2531,2575,5180206
 2014/10/13,2606,2664,2600,2663,5580374
 2014/10/14,2662,2671,2631,2649,3412412
 2014/10/15,2654,2674,2634,2654,3637952
 2014/10/16,2635,2683,2603,2655,4556070
 2014/10/17,2656,2674,2632,2646,2264754
 2014/10/20,2619,2633,2591,2614,4455996
 2014/10/21,2611,2623,2596,2597,3350458
 2014/10/22,2599,2602,2537,2547,5402296
 2014/10/23,2541,2560,2523,2533,5723920
 2014/10/24,2533,2558,2527,2554,4631784
 2014/10/27,2557,2566,2541,2549,3682354
 2014/10/28,2544,2559,2530,2548,4006168
 2014/10/29,2548,2590,2542,2589,5199588
 2014/10/30,2591,2620,2580,2590,6061352
 2014/10/31,2589,2595,2563,2565,5027740
 2014/11/03,2560,2583,2541,2542,5634362
 2014/11/04,2535,2570,2529,2558,5819806
 2014/11/05,2554,2567,2512,2513,6212778
 2014/11/06,2522,2537,2512,2526,5593508
 2014/11/07,2527,2550,2506,2536,6886784
 2014/11/10,2559,2575,2548,2557,6817834
 2014/11/11,2555,2562,2537,2552,4467210
 2014/11/12,2560,2568,2542,2554,5140482
 2014/11/13,2549,2550,2518,2520,4548416
 2014/11/14,2515,2535,2514,2524,3606306
 2014/11/17,2529,2535,2507,2514,4282336
 2014/11/18,2508,2509,2431,2442,7893790
 2014/11/19,2441,2461,2433,2446,5697686
 2014/11/20,2447,2459,2437,2439,4135288
 2014/11/21,2423,2459,2417,2448,6265558
 2014/11/24,2471,2479,2436,2437,5317852
 2014/11/25,2435,2452,2424,2450,5293080
 2014/11/26,2442,2455,2431,2448,4756278
 2014/11/27,2457,2539,2453,2539,8196212
 2014/11/28,2522,2575,2516,2548,7732948
 2014/12/01,2529,2546,2505,2521,6595664
 2014/12/02,2548,2556,2482,2503,6316698
 2014/12/03,2499,2539,2492,2532,6837216
 2014/12/04,2534,2593,2532,2567,7936068
 2014/12/05,2569,2576,2549,2560,4642740
 2014/12/08,2565,2591,2540,2542,5658862
 2014/12/09,2535,2557,2505,2557,6535982
 2014/12/10,2558,2572,2537,2563,6050896
 2014/12/11,2558,2603,2551,2566,6475540
 2014/12/12,2566,2591,2563,2585,5607560
 2014/12/15,2590,2596,2570,2570,3293514
 2014/12/16,2555,2557,2529,2548,4504078
 2014/12/17,2536,2549,2531,2540,3543628
 2014/12/18,2545,2554,2519,2546,4590180
 2014/12/19,2550,2571,2545,2567,3740938
 2014/12/22,2560,2564,2502,2513,5049920
 2014/12/23,2497,2497,2463,2467,4548628
 2014/12/24,2466,2503,2461,2496,3938452
 2014/12/25,2494,2497,2476,2482,2427210
 2014/12/26,2483,2488,2473,2480,1877152
 2014/12/29,2476,2524,2466,2519,3040750
 2014/12/30,2519,2608,2512,2608,6385038
 2014/12/31,2618,2626,2575,2594,4148900
 2015/01/05,2550,2570,2540,2560,2891694
 2015/01/06,2551,2647,2548,2619,7434538
 2015/01/07,2615,2615,2568,2585,4317868
 2015/01/08,2585,2603,2563,2579,3696668
 2015/01/09,2584,2588,2546,2557,3561070
 2015/01/12,2557,2585,2501,2502,5204600
 2015/01/13,2498,2514,2483,2511,3337222
 2015/01/14,2499,2520,2456,2487,5060470
 2015/01/15,2483,2524,2472,2519,4426394
 2015/01/16,2519,2532,2497,2510,3898388
 2015/01/19,2499,2526,2470,2516,5840042
 2015/01/20,2512,2528,2486,2488,3804648
 2015/01/21,2485,2513,2470,2472,4067256
 2015/01/22,2461,2491,2460,2479,3426746
 2015/01/23,2478,2496,2471,2484,3686640
 2015/01/26,2482,2486,2441,2450,4693054
 2015/01/27,2454,2467,2449,2455,2345892
 2015/01/28,2463,2475,2454,2474,2453880
 2015/01/29,2472,2513,2470,2507,3767108
 2015/01/30,2514,2514,2491,2498,2275316
 2015/02/02,2503,2526,2486,2492,2749940
 2015/02/03,2496,2504,2473,2474,2576944
 2015/02/04,2480,2512,2466,2467,2889450
 2015/02/05,2480,2492,2472,2472,1784504
 2015/02/06,2476,2497,2475,2496,1633356
 2015/02/09,2495,2509,2465,2478,1506170
 2015/02/10,2477,2495,2476,2489,826546
 2015/02/11,2492,2495,2480,2490,605922
 2015/02/12,2490,2495,2474,2489,691294
 2015/02/13,2488,2520,2487,2514,1430356
 2015/02/16,2514,2549,2509,2524,1218768
 2015/02/17,2524,2530,2504,2521,804402
 2015/02/25,2513,2514,2475,2483,890868
 2015/02/26,2486,2509,2485,2505,863160
 2015/02/27,2510,2510,2462,2464,1378260
 2015/03/02,2462,2483,2426,2472,2769934
 2015/03/03,2466,2482,2452,2468,1199714
 2015/03/04,2464,2470,2454,2464,693690
 2015/03/05,2466,2467,2428,2447,1213754
 2015/03/06,2445,2448,2416,2418,585192
 2015/03/09,2478,2506,2462,2486,3254646
 2015/03/10,2483,2493,2449,2453,2391878
 2015/03/11,2451,2478,2449,2471,2204398
 2015/03/12,2474,2507,2464,2496,2646136
 2015/03/13,2505,2516,2485,2493,2484292
 2015/03/16,2491,2524,2480,2520,2887758
 2015/03/17,2520,2524,2505,2512,2039234
 2015/03/18,2511,2522,2473,2483,4334196
 2015/03/19,2480,2502,2474,2482,2041408
 2015/03/20,2482,2498,2477,2481,1774980
 2015/03/23,2483,2549,2471,2548,4785718
 2015/03/24,2550,2574,2538,2542,4221476
 2015/03/25,2538,2547,2505,2507,3109514
 2015/03/26,2502,2514,2488,2491,2949506
 2015/03/27,2495,2495,2407,2477,6043130
 2015/03/30,2472,2498,2450,2451,4261190
 2015/03/31,2471,2477,2414,2431,5247554
 2015/04/01,2423,2428,2381,2390,5869210
 2015/04/02,2377,2399,2339,2342,7905188
 2015/04/03,2343,2374,2336,2341,6098706
 2015/04/07,2330,2343,2309,2311,4374424
 2015/04/08,2306,2335,2284,2324,7162492
 2015/04/09,2323,2326,2287,2290,4823818
 2015/04/10,2291,2298,2266,2266,4749620
 2015/04/13,2263,2334,2262,2329,8377910
 2015/04/14,2335,2341,2302,2324,7287328
 2015/04/15,2327,2331,2294,2297,4532636
 2015/04/16,2296,2329,2291,2318,5042842
 2015/04/17,2317,2335,2309,2311,4649630
 2015/04/20,2305,2314,2278,2279,6266020
 2015/04/21,2277,2291,2270,2281,4252402
 2015/04/22,2282,2334,2282,2327,6974766
 2015/04/23,2328,2332,2306,2323,5507632
 2015/04/24,2325,2388,2324,2378,9322642
 2015/04/27,2384,2413,2366,2408,8738302
 2015/04/28,2417,2430,2384,2398,5879950
 2015/04/29,2398,2412,2331,2340,7285772
 2015/04/30,2346,2377,2341,2365,5412820
 2015/05/04,2383,2421,2371,2413,4834698
 2015/05/05,2414,2442,2399,2428,7536936
 2015/05/06,2430,2447,2418,2430,6223092
 2015/05/07,2433,2437,2401,2407,4835314
 2015/05/08,2410,2420,2386,2412,5401672
 2015/05/11,2417,2434,2407,2421,4298216
 2015/05/12,2420,2427,2389,2391,3813042
 2015/05/13,2395,2407,2376,2383,3721250
 2015/05/14,2384,2390,2342,2363,5247184
 2015/05/15,2360,2373,2351,2372,2802208
 2015/05/18,2372,2374,2348,2349,2535766
 2015/05/19,2342,2355,2338,2342,2609006
 2015/05/20,2337,2342,2302,2314,3605960
 2015/05/21,2314,2353,2313,2344,3321110
 2015/05/22,2346,2359,2326,2351,3699272
 2015/05/25,2348,2350,2327,2347,3046606
 2015/05/26,2348,2378,2346,2351,4809814
 2015/05/27,2350,2364,2342,2355,2552564
 2015/05/28,2355,2373,2342,2355,3100416
 2015/05/29,2355,2365,2335,2359,3197716
 2015/06/01,2356,2386,2347,2372,4129768
 2015/06/02,2375,2379,2363,2375,2592372
 2015/06/03,2378,2379,2348,2349,2404222
 2015/06/04,2347,2359,2336,2356,3077860
 2015/06/05,2356,2365,2325,2341,2524844
 2015/06/08,2338,2341,2327,2334,1898566
 2015/06/09,2330,2356,2328,2337,2066772
 2015/06/10,2338,2348,2327,2336,2709874
 2015/06/11,2344,2359,2340,2355,3117692
 2015/06/12,2348,2351,2296,2299,3983034
 2015/06/15,2298,2314,2276,2281,3325350
 2015/06/16,2273,2288,2238,2243,3921078
 2015/06/17,2240,2249,2218,2223,4536168
 2015/06/18,2226,2252,2222,2245,3378246
 2015/06/19,2245,2267,2244,2246,3010142
 2015/06/23,2240,2242,2226,2239,2102086
 2015/06/24,2239,2247,2230,2241,2497894
 2015/06/25,2242,2246,2215,2218,2870778
 2015/06/26,2217,2237,2203,2213,3994394
 2015/06/29,2215,2226,2178,2181,3658666
 2015/06/30,2180,2180,2095,2135,7807732
