date,o,h,l,c,vol
 2013/08/19-10:00,3802,3841,3785,3829,918448
 2013/08/19-11:15,3828,3833,3814,3819,419178
 2013/08/19-14:15,3819,3829,3817,3819,334660
 2013/08/19-15:00,3818,3822,3811,3812,220038
 2013/08/20-10:00,3810,3819,3801,3818,382178
 2013/08/20-11:15,3818,3827,3810,3817,378098
 2013/08/20-14:15,3817,3819,3801,3811,432658
 2013/08/20-15:00,3812,3816,3792,3796,324768
 2013/08/21-10:00,3796,3807,3790,3794,445936
 2013/08/21-11:15,3794,3803,3793,3800,244194
 2013/08/21-14:15,3801,3804,3793,3797,187972
 2013/08/21-15:00,3797,3800,3786,3789,272148
 2013/08/22-10:00,3777,3798,3775,3795,522132
 2013/08/22-11:15,3795,3797,3770,3772,477510
 2013/08/22-14:15,3772,3777,3762,3769,461024
 2013/08/22-15:00,3769,3775,3763,3769,286414
 2013/08/23-10:00,3772,3818,3771,3818,1038768
 2013/08/23-11:15,3818,3820,3807,3812,260422
 2013/08/23-14:15,3811,3812,3786,3796,458138
 2013/08/23-15:00,3796,3818,3795,3817,378722
 2013/08/26-10:00,3827,3848,3822,3833,761704
 2013/08/26-11:15,3833,3836,3804,3813,600568
 2013/08/26-14:15,3813,3822,3809,3815,377748
 2013/08/26-15:00,3816,3819,3803,3813,308338
 2013/08/27-10:00,3801,3804,3776,3787,663562
 2013/08/27-11:15,3787,3797,3784,3792,278432
 2013/08/27-14:15,3791,3818,3788,3815,609802
 2013/08/27-15:00,3815,3830,3814,3818,585588
 2013/08/28-10:00,3817,3835,3805,3806,721922
 2013/08/28-11:15,3807,3823,3803,3819,362722
 2013/08/28-14:15,3819,3827,3813,3815,331126
 2013/08/28-15:00,3815,3817,3765,3767,934734
 2013/08/29-10:00,3768,3790,3743,3754,926434
 2013/08/29-11:15,3754,3760,3745,3749,263174
 2013/08/29-14:15,3749,3780,3728,3766,776798
 2013/08/29-15:00,3766,3772,3748,3749,364046
 2013/08/30-10:00,3733,3764,3733,3753,478918
 2013/08/30-11:15,3754,3765,3752,3763,296700
 2013/08/30-14:15,3763,3769,3750,3752,336072
 2013/08/30-15:00,3751,3755,3741,3753,329578
 2013/09/02-10:00,3765,3786,3765,3778,547836
 2013/09/02-11:15,3778,3779,3768,3771,234236
 2013/09/02-14:15,3773,3796,3771,3788,429884
 2013/09/02-15:00,3788,3792,3782,3787,240804
 2013/09/03-10:00,3793,3799,3772,3775,548638
 2013/09/03-11:15,3774,3779,3756,3756,424032
 2013/09/03-14:15,3756,3767,3744,3755,503800
 2013/09/03-15:00,3754,3757,3741,3745,534026
 2013/09/04-10:00,3744,3756,3740,3747,431426
 2013/09/04-11:15,3748,3751,3742,3749,211626
 2013/09/04-14:15,3749,3750,3729,3735,376524
 2013/09/04-15:00,3735,3741,3731,3737,290104
 2013/09/05-10:00,3731,3748,3724,3726,556948
 2013/09/05-11:15,3727,3741,3726,3739,260112
 2013/09/05-14:15,3740,3741,3728,3735,234354
 2013/09/05-15:00,3735,3736,3730,3732,150304
 2013/09/06-10:00,3729,3733,3711,3725,597192
 2013/09/06-11:15,3726,3727,3717,3723,181554
 2013/09/06-14:15,3724,3731,3715,3716,317498
 2013/09/06-15:00,3717,3724,3705,3723,448120
 2013/09/09-10:00,3732,3761,3732,3759,638594
 2013/09/09-11:15,3758,3764,3752,3753,306446
 2013/09/09-14:15,3753,3759,3752,3753,161300
 2013/09/09-15:00,3753,3761,3751,3752,236842
 2013/09/10-10:00,3751,3753,3738,3741,313948
 2013/09/10-11:15,3741,3745,3735,3739,221048
 2013/09/10-14:15,3740,3741,3721,3726,368118
 2013/09/10-15:00,3727,3737,3725,3736,283338
 2013/09/11-10:00,3731,3742,3717,3725,510784
 2013/09/11-11:15,3726,3735,3722,3726,237496
 2013/09/11-14:15,3726,3729,3719,3722,209064
 2013/09/11-15:00,3722,3732,3716,3727,346940
 2013/09/12-10:00,3723,3734,3717,3723,381732
 2013/09/12-11:15,3723,3724,3712,3719,176084
 2013/09/12-14:15,3719,3723,3710,3715,275964
 2013/09/12-15:00,3716,3723,3712,3713,226772
 2013/09/13-10:00,3709,3710,3675,3676,736222
 2013/09/13-11:15,3676,3681,3667,3670,374794
 2013/09/13-14:15,3670,3674,3661,3668,344356
 2013/09/13-15:00,3669,3670,3655,3657,367774
 2013/09/16-10:00,3661,3668,3654,3666,425288
 2013/09/16-11:15,3665,3666,3644,3647,333822
 2013/09/16-14:15,3647,3649,3628,3630,312576
 2013/09/16-15:00,3630,3650,3630,3647,344676
 2013/09/17-10:00,3645,3661,3636,3651,579308
 2013/09/17-11:15,3651,3651,3639,3643,299058
 2013/09/17-14:15,3642,3648,3640,3647,144560
 2013/09/17-15:00,3647,3651,3642,3647,176454
 2013/09/18-10:00,3640,3642,3626,3633,407286
 2013/09/18-11:15,3632,3634,3618,3622,260302
 2013/09/18-14:15,3622,3637,3620,3632,372898
 2013/09/18-15:00,3633,3640,3630,3633,336276
 2013/09/23-10:00,3629,3646,3612,3639,596102
 2013/09/23-11:15,3639,3641,3632,3636,239916
 2013/09/23-14:15,3635,3656,3634,3651,370468
 2013/09/23-15:00,3651,3655,3645,3655,223470
 2013/09/24-10:00,3653,3664,3641,3645,490200
 2013/09/24-11:15,3646,3649,3639,3644,172034
 2013/09/24-14:15,3644,3648,3628,3630,329796
 2013/09/24-15:00,3630,3632,3626,3627,232772
 2013/09/25-10:00,3627,3633,3619,3624,293118
 2013/09/25-11:15,3624,3637,3617,3635,327842
 2013/09/25-14:15,3634,3635,3620,3625,191854
 2013/09/25-15:00,3624,3633,3621,3626,213286
 2013/09/26-10:00,3625,3628,3618,3621,225568
 2013/09/26-11:15,3621,3624,3612,3615,202714
 2013/09/26-14:15,3616,3619,3605,3612,360978
 2013/09/26-15:00,3612,3621,3612,3613,234760
 2013/09/27-10:00,3610,3612,3586,3590,408322
 2013/09/27-11:15,3590,3600,3583,3587,201518
 2013/09/27-14:15,3587,3589,3577,3582,230112
 2013/09/27-15:00,3582,3583,3570,3576,324970
 2013/09/30-10:00,3586,3598,3581,3587,346832
 2013/09/30-11:15,3587,3591,3581,3586,97480
 2013/09/30-14:15,3586,3591,3582,3587,88926
 2013/09/30-15:00,3587,3590,3584,3587,115176
 2013/10/08-10:00,3579,3580,3550,3553,316910
 2013/10/08-11:15,3554,3556,3543,3548,164776
