date,o,h,l,c,vol
 2015/11/30-22:00,1646,1653,1645,1649,734698
 2015/11/30-23:00,1649,1658,1644,1655,989718
 2015/11/30-10:00,1654,1654,1628,1629,1428338
 2015/11/30-11:15,1630,1632,1621,1628,917790
 2015/11/30-14:15,1627,1632,1625,1629,605378
 2015/11/30-15:00,1629,1630,1621,1624,759008
 2015/12/01-22:00,1625,1628,1618,1618,755136
 2015/12/01-23:00,1618,1633,1616,1620,1069068
 2015/12/01-10:00,1620,1632,1619,1630,734634
 2015/12/01-11:15,1630,1633,1625,1626,607422
 2015/12/01-14:15,1626,1638,1622,1633,1107042
 2015/12/01-15:00,1632,1633,1627,1629,567414
 2015/12/02-22:00,1624,1643,1624,1642,1382376
 2015/12/02-23:00,1642,1668,1641,1668,3108018
 2015/12/02-10:00,1668,1668,1654,1665,1314908
 2015/12/02-11:15,1664,1666,1651,1651,988272
 2015/12/02-14:15,1651,1658,1648,1657,829858
 2015/12/02-15:00,1657,1660,1654,1655,633386
 2015/12/03-22:00,1653,1660,1649,1657,833220
 2015/12/03-23:00,1657,1661,1643,1645,1283590
 2015/12/03-10:00,1645,1648,1641,1646,653630
 2015/12/03-11:15,1646,1646,1639,1641,478662
 2015/12/03-14:15,1642,1643,1632,1632,894468
 2015/12/03-15:00,1633,1635,1628,1631,609064
 2015/12/04-22:00,1632,1642,1630,1640,865062
 2015/12/04-23:00,1639,1646,1624,1629,1560604
 2015/12/04-10:00,1629,1637,1625,1631,811354
 2015/12/04-11:15,1631,1641,1631,1638,928088
 2015/12/04-14:15,1638,1648,1637,1643,1260120
 2015/12/04-15:00,1643,1645,1638,1642,752562
 2015/12/07-22:00,1642,1647,1635,1638,767528
 2015/12/07-23:00,1637,1646,1637,1644,859276
 2015/12/07-10:00,1644,1663,1640,1658,1547626
 2015/12/07-11:15,1658,1660,1653,1657,708386
 2015/12/07-14:15,1657,1667,1656,1660,1125268
 2015/12/07-15:00,1659,1666,1658,1662,574004
 2015/12/08-22:00,1661,1661,1654,1655,698158
 2015/12/08-23:00,1655,1657,1643,1643,864100
 2015/12/08-10:00,1643,1648,1639,1642,859532
 2015/12/08-11:15,1642,1653,1640,1653,646682
 2015/12/08-14:15,1653,1654,1648,1649,718420
 2015/12/08-15:00,1649,1650,1644,1649,611232
 2015/12/09-22:00,1645,1658,1645,1653,947486
 2015/12/09-23:00,1653,1658,1652,1654,757148
 2015/12/09-10:00,1654,1660,1653,1654,557580
 2015/12/09-11:15,1654,1655,1649,1652,523214
 2015/12/09-14:15,1651,1654,1649,1651,497760
 2015/12/09-15:00,1651,1652,1646,1651,398488
 2015/12/10-22:00,1651,1657,1650,1652,579246
 2015/12/10-23:00,1652,1654,1644,1645,743864
 2015/12/10-10:00,1645,1649,1639,1649,698832
 2015/12/10-11:15,1649,1649,1644,1644,259494
 2015/12/10-14:15,1644,1645,1638,1641,520532
 2015/12/10-15:00,1641,1645,1641,1642,426752
 2015/12/11-22:00,1640,1644,1639,1642,350068
 2015/12/11-23:00,1642,1644,1635,1641,583792
 2015/12/11-10:00,1641,1647,1640,1642,425642
 2015/12/11-11:15,1642,1649,1642,1649,340226
 2015/12/11-14:15,1649,1653,1648,1651,744474
 2015/12/11-15:00,1651,1656,1649,1652,595438
 2015/12/14-22:00,1651,1654,1648,1651,400874
 2015/12/14-23:00,1651,1653,1649,1650,262660
 2015/12/14-10:00,1650,1650,1643,1645,729190
 2015/12/14-11:15,1645,1664,1644,1659,1304072
 2015/12/14-14:15,1659,1663,1657,1660,619324
 2015/12/14-15:00,1660,1664,1659,1660,442718
 2015/12/15-22:00,1658,1672,1657,1668,985564
 2015/12/15-23:00,1668,1675,1668,1672,770046
 2015/12/15-10:00,1672,1682,1671,1673,1165524
 2015/12/15-11:15,1673,1680,1662,1664,1111892
 2015/12/15-14:15,1663,1664,1655,1659,1136424
 2015/12/15-15:00,1659,1661,1655,1656,543726
 2015/12/16-22:00,1658,1659,1655,1658,428050
 2015/12/16-23:00,1657,1659,1655,1656,260366
 2015/12/16-10:00,1656,1664,1655,1663,455776
 2015/12/16-11:15,1663,1667,1661,1664,314398
 2015/12/16-14:15,1665,1667,1664,1664,303168
 2015/12/16-15:00,1665,1672,1664,1671,513466
 2015/12/17-22:00,1675,1682,1672,1677,1025340
 2015/12/17-23:00,1677,1690,1676,1685,1593704
 2015/12/17-10:00,1686,1694,1680,1694,1062614
 2015/12/17-11:15,1694,1695,1686,1688,562530
 2015/12/17-14:15,1688,1693,1683,1689,1104028
 2015/12/17-15:00,1690,1691,1675,1679,1178678
 2015/12/18-22:00,1680,1685,1679,1683,488624
 2015/12/18-23:00,1684,1689,1682,1685,527534
 2015/12/18-10:00,1685,1696,1684,1692,817290
 2015/12/18-11:15,1693,1697,1690,1693,560342
 2015/12/18-14:15,1693,1709,1692,1704,1462634
 2015/12/18-15:00,1704,1715,1704,1713,1034674
 2015/12/21-22:00,1722,1724,1715,1720,1203668
 2015/12/21-23:00,1720,1757,1719,1757,2352812
 2015/12/21-10:00,1757,1757,1732,1746,2608884
 2015/12/21-11:15,1747,1757,1739,1754,1687682
 2015/12/21-14:15,1753,1756,1743,1751,1558972
 2015/12/21-15:00,1751,1759,1749,1752,987338
 2015/12/22-22:00,1754,1770,1749,1764,2028242
 2015/12/22-23:00,1763,1764,1737,1741,2799764
 2015/12/22-10:00,1742,1750,1737,1738,1057378
 2015/12/22-11:15,1738,1738,1724,1730,1324510
 2015/12/22-14:15,1730,1736,1726,1735,942840
 2015/12/22-15:00,1735,1741,1733,1737,878054
