date,o,h,l,c,,
 2016/09/23-10:00,2315,2316,2304,2304,124860,124860
 2016/09/23-10:05,2304,2309,2304,2309,70870,70870
 2016/09/23-10:10,2309,2311,2307,2310,46532,46532
 2016/09/23-10:15,2309,2310,2307,2309,21604,21604
 2016/09/23-10:35,2309,2310,2306,2309,36758,36758
 2016/09/23-10:40,2309,2316,2309,2313,110178,110178
 2016/09/23-10:45,2313,2316,2309,2310,95786,95786
 2016/09/23-10:50,2310,2312,2305,2309,94866,94866
 2016/09/23-10:55,2309,2310,2306,2307,40946,40946
 2016/09/23-11:00,2307,2310,2306,2309,37978,37978
 2016/09/23-11:05,2309,2312,2307,2308,47036,47036
 2016/09/23-11:10,2307,2311,2307,2308,27154,27154
 2016/09/23-11:15,2308,2309,2305,2308,41528,41528
 2016/09/23-11:20,2308,2310,2306,2307,20434,20434
 2016/09/23-11:25,2308,2308,2304,2304,56274,56274
 2016/09/23-11:30,2305,2307,2296,2298,191952,191952
 2016/09/23-13:35,2298,2300,2296,2299,75602,75602
 2016/09/23-13:40,2299,2299,2296,2298,45454,45454
 2016/09/23-13:45,2298,2302,2297,2302,65918,65918
 2016/09/23-13:50,2302,2304,2299,2302,56366,56366
 2016/09/23-13:55,2301,2303,2301,2302,32128,32128
 2016/09/23-14:00,2301,2304,2301,2304,35548,35548
 2016/09/23-14:05,2304,2309,2303,2306,112320,112320
 2016/09/23-14:10,2307,2307,2305,2306,31052,31052
 2016/09/23-14:15,2306,2307,2298,2301,86836,86836
 2016/09/23-14:20,2301,2301,2292,2296,144370,144370
 2016/09/23-14:25,2297,2300,2296,2298,54878,54878
 2016/09/23-14:30,2298,2301,2296,2296,32922,32922
 2016/09/23-14:35,2296,2303,2295,2302,72672,72672
 2016/09/23-14:40,2303,2305,2300,2300,71422,71422
 2016/09/23-14:45,2300,2308,2300,2304,118002,118002
 2016/09/23-14:50,2305,2306,2302,2303,50022,50022
 2016/09/23-14:55,2304,2309,2303,2307,89592,89592
 2016/09/23-15:00,2307,2313,2307,2312,159836,159836
 2016/09/27-21:05,2319,2323,2313,2314,138026,138026
 2016/09/27-21:10,2315,2317,2312,2312,85112,85112
 2016/09/27-21:15,2312,2318,2311,2316,80138,80138
 2016/09/27-21:20,2315,2316,2313,2314,33452,33452
 2016/09/27-21:25,2314,2315,2311,2312,70338,70338
 2016/09/27-21:30,2312,2313,2306,2307,165442,165442
 2016/09/27-21:35,2307,2307,2302,2304,162284,162284
 2016/09/27-21:40,2304,2305,2302,2302,92154,92154
 2016/09/27-21:45,2303,2306,2301,2305,78360,78360
 2016/09/27-21:50,2306,2307,2304,2306,31954,31954
 2016/09/27-21:55,2306,2308,2305,2305,44606,44606
 2016/09/27-22:00,2306,2308,2303,2303,34298,34298
 2016/09/27-22:05,2304,2305,2300,2302,108790,108790
 2016/09/27-22:10,2302,2307,2301,2305,40328,40328
 2016/09/27-22:15,2305,2308,2305,2308,53860,53860
 2016/09/27-22:20,2308,2310,2307,2308,58192,58192
 2016/09/27-22:25,2308,2309,2306,2308,26192,26192
 2016/09/27-22:30,2309,2309,2306,2307,21452,21452
 2016/09/27-22:35,2307,2313,2307,2313,66338,66338
 2016/09/27-22:40,2313,2314,2311,2311,52114,52114
 2016/09/27-22:45,2311,2313,2311,2311,24666,24666
 2016/09/27-22:50,2311,2313,2311,2312,27824,27824
 2016/09/27-22:55,2312,2314,2312,2313,22812,22812
 2016/09/27-23:00,2312,2315,2311,2314,68754,68754
 2016/09/27-09:05,2314,2314,2305,2305,128960,128960
 2016/09/27-09:10,2305,2307,2300,2301,103254,103254
 2016/09/27-09:15,2300,2300,2292,2295,227638,227638
 2016/09/27-09:20,2294,2297,2293,2296,93276,93276
 2016/09/27-09:25,2296,2297,2291,2296,94958,94958
 2016/09/27-09:30,2296,2297,2294,2296,51378,51378
 2016/09/27-09:35,2295,2296,2292,2293,59186,59186
 2016/09/27-09:40,2293,2296,2291,2293,81272,81272
 2016/09/27-09:45,2294,2294,2286,2287,120400,120400
 2016/09/27-09:50,2287,2287,2283,2286,141880,141880
 2016/09/27-09:55,2285,2288,2283,2283,77698,77698
 2016/09/27-10:00,2283,2286,2275,2275,154730,154730
 2016/09/27-10:05,2275,2275,2261,2266,386744,386744
 2016/09/27-10:10,2266,2269,2263,2267,117358,117358
 2016/09/27-10:15,2267,2270,2265,2270,93070,93070
 2016/09/27-10:35,2270,2273,2269,2272,139514,139514
 2016/09/27-10:40,2272,2276,2271,2274,109350,109350
 2016/09/27-10:45,2275,2276,2272,2273,68046,68046
 2016/09/27-10:50,2273,2276,2271,2274,60052,60052
 2016/09/27-10:55,2275,2275,2270,2271,44846,44846
 2016/09/27-11:00,2271,2274,2270,2273,57090,57090
 2016/09/27-11:05,2273,2275,2270,2274,38328,38328
 2016/09/27-11:10,2274,2275,2272,2273,32614,32614
 2016/09/27-11:15,2273,2273,2270,2271,29718,29718
 2016/09/27-11:20,2271,2271,2267,2269,58348,58348
 2016/09/27-11:25,2269,2269,2264,2266,60582,60582
 2016/09/27-11:30,2265,2270,2262,2270,90254,90254
 2016/09/27-13:35,2270,2272,2267,2271,56848,56848
 2016/09/27-13:40,2271,2271,2267,2267,30730,30730
 2016/09/27-13:45,2268,2272,2266,2268,47814,47814
 2016/09/27-13:50,2268,2269,2266,2266,45190,45190
 2016/09/27-13:55,2266,2268,2263,2264,55922,55922
 2016/09/27-14:00,2264,2265,2258,2264,163082,163082
 2016/09/27-14:05,2264,2264,2256,2258,103730,103730
 2016/09/27-14:10,2258,2260,2256,2260,82136,82136
 2016/09/27-14:15,2260,2261,2256,2256,81122,81122
