date,o,h,l,c
 2014/12/23-13:45,2529,2529,2529,2529
 2014/12/23-14:15,2529,2529,2529,2529
 2014/12/23-14:45,2529,2529,2529,2529
 2014/12/23-15:00,2529,2529,2467,2467
 2014/12/24-09:30,2466,2484,2461,2480
 2014/12/24-10:00,2481,2487,2478,2483
 2014/12/24-10:45,2483,2484,2475,2482
 2014/12/24-11:15,2483,2485,2478,2479
 2014/12/24-13:45,2479,2483,2472,2472
 2014/12/24-14:15,2473,2501,2471,2493
 2014/12/24-14:45,2492,2494,2485,2489
 2014/12/24-15:00,2490,2503,2489,2496
 2014/12/25-09:30,2494,2496,2477,2481
 2014/12/25-10:00,2481,2484,2478,2481
 2014/12/25-10:45,2481,2487,2479,2484
 2014/12/25-11:15,2483,2491,2480,2489
 2014/12/25-13:45,2490,2491,2480,2483
 2014/12/25-14:15,2482,2489,2480,2488
 2014/12/25-14:45,2488,2491,2484,2486
 2014/12/25-15:00,2486,2487,2479,2482
 2014/12/26-09:30,2483,2487,2474,2483
 2014/12/26-10:00,2483,2487,2481,2485
 2014/12/26-10:45,2486,2486,2482,2484
 2014/12/26-11:15,2483,2484,2477,2479
 2014/12/26-13:45,2480,2480,2475,2476
 2014/12/26-14:15,2476,2488,2476,2484
 2014/12/26-14:45,2484,2485,2478,2480
 2014/12/26-15:00,2480,2483,2477,2480
 2014/12/29-21:30,2476,2479,2467,2478
 2014/12/29-22:00,2479,2484,2478,2482
 2014/12/29-22:30,2482,2483,2478,2481
 2014/12/29-23:00,2481,2483,2478,2483
 2014/12/29-09:30,2489,2515,2488,2508
 2014/12/29-10:00,2508,2511,2504,2510
 2014/12/29-10:45,2510,2520,2510,2516
 2014/12/29-11:15,2516,2520,2514,2519
 2014/12/29-13:45,2519,2524,2515,2517
 2014/12/29-14:15,2517,2521,2515,2517
 2014/12/29-14:45,2517,2518,2511,2513
 2014/12/29-15:00,2514,2519,2509,2519
 2014/12/30-21:30,2519,2521,2512,2519
 2014/12/30-22:00,2519,2522,2518,2520
 2014/12/30-22:30,2520,2522,2518,2521
 2014/12/30-23:00,2520,2608,2518,2599
 2014/12/30-09:30,2594,2595,2561,2581
 2014/12/30-10:00,2581,2593,2579,2588
 2014/12/30-10:45,2589,2605,2589,2594
 2014/12/30-11:15,2596,2596,2585,2587
 2014/12/30-13:45,2587,2595,2581,2593
 2014/12/30-14:15,2592,2596,2590,2594
 2014/12/30-14:45,2594,2595,2585,2594
 2014/12/30-15:00,2594,2608,2594,2608
 2014/12/31-21:30,2618,2625,2595,2610
 2014/12/31-22:00,2610,2612,2596,2602
 2014/12/31-22:30,2603,2604,2596,2603
 2014/12/31-23:00,2603,2609,2597,2599
 2014/12/31-09:30,2598,2601,2582,2586
 2014/12/31-10:00,2586,2589,2575,2588
 2014/12/31-10:45,2588,2589,2583,2587
 2014/12/31-11:15,2588,2591,2583,2585
 2014/12/31-13:45,2586,2593,2584,2593
 2014/12/31-14:15,2593,2596,2578,2582
 2014/12/31-14:45,2583,2592,2581,2588
 2014/12/31-15:00,2588,2596,2587,2594
 2015/01/05-21:30,2593,2593,2593,2593
 2015/01/05-22:00,2593,2593,2593,2593
 2015/01/05-22:30,2593,2593,2593,2593
 2015/01/05-23:00,2593,2593,2550,2550
 2015/01/05-09:30,2549,2570,2546,2561
 2015/01/05-10:00,2561,2566,2556,2563
 2015/01/05-10:45,2562,2564,2559,2564
 2015/01/05-11:15,2563,2563,2553,2557
 2015/01/05-13:45,2557,2558,2545,2550
 2015/01/05-14:15,2550,2555,2545,2552
 2015/01/05-14:45,2552,2563,2551,2560
 2015/01/05-15:00,2560,2562,2555,2560
 2015/01/06-21:30,2551,2573,2548,2572
 2015/01/06-22:00,2572,2573,2564,2567
 2015/01/06-22:30,2567,2568,2563,2566
 2015/01/06-23:00,2565,2647,2564,2613
 2015/01/06-09:30,2612,2619,2595,2604
 2015/01/06-10:00,2604,2627,2603,2624
 2015/01/06-10:45,2625,2626,2611,2612
 2015/01/06-11:15,2612,2621,2609,2618
 2015/01/06-13:45,2618,2631,2613,2625
 2015/01/06-14:15,2625,2636,2623,2627
 2015/01/06-14:45,2626,2634,2625,2629
 2015/01/06-15:00,2629,2632,2614,2619
 2015/01/07-21:30,2615,2615,2585,2590
 2015/01/07-22:00,2589,2596,2589,2592
 2015/01/07-22:30,2592,2600,2591,2600
 2015/01/07-23:00,2600,2600,2573,2574
 2015/01/07-09:30,2574,2587,2569,2584
 2015/01/07-10:00,2584,2590,2582,2588
 2015/01/07-10:45,2588,2590,2577,2580
 2015/01/07-11:15,2580,2583,2572,2581
 2015/01/07-13:45,2581,2585,2577,2584
 2015/01/07-14:15,2583,2587,2578,2585
 2015/01/07-14:45,2584,2594,2583,2584
 2015/01/07-15:00,2584,2590,2584,2585
 2015/01/08-21:30,2585,2602,2583,2593
 2015/01/08-22:00,2593,2593,2577,2582
 2015/01/08-22:30,2582,2583,2577,2580
 2015/01/08-23:00,2580,2590,2578,2580
 2015/01/08-09:30,2581,2584,2575,2583
 2015/01/08-10:00,2583,2586,2581,2581
 2015/01/08-10:45,2582,2582,2576,2578
 2015/01/08-11:15,2578,2580,2566,2566
 2015/01/08-13:45,2566,2571,2564,2570
 2015/01/08-14:15,2570,2578,2569,2578
 2015/01/08-14:45,2578,2582,2573,2577
 2015/01/08-15:00,2578,2581,2576,2579
 2015/01/09-21:30,2584,2587,2570,2575
 2015/01/09-22:00,2574,2578,2572,2576
 2015/01/09-22:30,2576,2580,2575,2580
 2015/01/09-23:00,2579,2580,2572,2572
 2015/01/09-09:30,2573,2575,2567,2567
 2015/01/09-10:00,2567,2567,2552,2558
 2015/01/09-10:45,2559,2561,2556,2559
 2015/01/09-11:15,2559,2560,2552,2554
