date,o,h,l,c
 2012/09/07-10:00,3301,3307,3299,3301
 2012/09/07-11:15,3300,3376,3300,3367
 2012/09/07-14:15,3367,3414,3365,3398
 2012/09/07-15:00,3398,3414,3395,3414
 2012/09/10-10:00,3443,3489,3437,3447
 2012/09/10-11:15,3446,3457,3415,3438
 2012/09/10-14:15,3437,3450,3430,3446
 2012/09/10-15:00,3446,3513,3445,3502
 2012/09/11-10:00,3499,3500,3443,3450
 2012/09/11-11:15,3450,3482,3444,3480
 2012/09/11-14:15,3480,3481,3458,3468
 2012/09/11-15:00,3468,3479,3462,3469
 2012/09/12-10:00,3459,3485,3443,3476
 2012/09/12-11:15,3476,3478,3459,3471
 2012/09/12-14:15,3471,3513,3456,3473
 2012/09/12-15:00,3473,3491,3460,3466
 2012/09/13-10:00,3458,3469,3444,3461
 2012/09/13-11:15,3461,3476,3458,3473
 2012/09/13-14:15,3473,3485,3470,3475
 2012/09/13-15:00,3475,3481,3459,3463
 2012/09/14-10:00,3529,3622,3524,3540
 2012/09/14-11:15,3540,3552,3537,3543
 2012/09/14-14:15,3543,3580,3540,3566
 2012/09/14-15:00,3566,3573,3558,3567
 2012/09/17-10:00,3545,3558,3517,3543
 2012/09/17-11:15,3544,3559,3540,3552
 2012/09/17-14:15,3553,3575,3550,3561
 2012/09/17-15:00,3562,3577,3558,3562
 2012/09/18-10:00,3538,3574,3538,3574
 2012/09/18-11:15,3573,3591,3572,3582
 2012/09/18-14:15,3583,3605,3577,3590
 2012/09/18-15:00,3590,3594,3577,3590
 2012/09/19-10:00,3599,3619,3592,3603
 2012/09/19-11:15,3603,3615,3592,3608
 2012/09/19-14:15,3608,3630,3605,3616
 2012/09/19-15:00,3616,3643,3615,3643
 2012/09/20-10:00,3627,3641,3579,3589
 2012/09/20-11:15,3589,3592,3534,3548
 2012/09/20-14:15,3548,3552,3526,3537
 2012/09/20-15:00,3537,3543,3489,3493
 2012/09/21-10:00,3504,3512,3448,3501
 2012/09/21-11:15,3501,3509,3468,3477
 2012/09/21-14:15,3477,3490,3460,3482
 2012/09/21-15:00,3482,3498,3466,3488
 2012/09/24-10:00,3484,3496,3468,3477
 2012/09/24-11:15,3478,3490,3476,3486
 2012/09/24-14:15,3487,3541,3486,3539
 2012/09/24-15:00,3538,3567,3533,3553
 2012/09/25-10:00,3568,3582,3541,3573
 2012/09/25-11:15,3573,3576,3553,3560
 2012/09/25-14:15,3561,3591,3558,3581
 2012/09/25-15:00,3581,3594,3544,3555
 2012/09/26-10:00,3540,3580,3535,3574
 2012/09/26-11:15,3575,3579,3546,3550
 2012/09/26-14:15,3550,3550,3513,3530
 2012/09/26-15:00,3530,3543,3528,3538
 2012/09/27-10:00,3527,3556,3524,3553
 2012/09/27-11:15,3553,3558,3536,3544
 2012/09/27-14:15,3545,3642,3544,3578
 2012/09/27-15:00,3579,3583,3567,3577
 2012/09/28-10:00,3588,3591,3559,3574
 2012/09/28-11:15,3574,3582,3568,3577
 2012/09/28-14:15,3577,3606,3575,3601
 2012/09/28-15:00,3601,3606,3589,3605
 2012/10/08-10:00,3634,3670,3627,3647
 2012/10/08-11:15,3647,3672,3643,3659
 2012/10/08-14:15,3659,3667,3641,3650
 2012/10/08-15:00,3650,3666,3645,3661
 2012/10/09-10:00,3686,3689,3661,3670
 2012/10/09-11:15,3670,3685,3659,3677
 2012/10/09-14:15,3678,3679,3658,3671
 2012/10/09-15:00,3672,3677,3657,3676
 2012/10/10-10:00,3665,3676,3651,3671
 2012/10/10-11:15,3671,3703,3669,3690
 2012/10/10-14:15,3691,3706,3689,3698
 2012/10/10-15:00,3698,3699,3688,3690
 2012/10/11-10:00,3671,3682,3620,3635
 2012/10/11-11:15,3635,3662,3634,3653
 2012/10/11-14:15,3653,3660,3637,3645
 2012/10/11-15:00,3645,3654,3640,3641
 2012/10/12-10:00,3646,3677,3626,3672
 2012/10/12-11:15,3672,3673,3641,3652
 2012/10/12-14:15,3652,3655,3641,3646
 2012/10/12-15:00,3646,3647,3632,3644
 2012/10/15-10:00,3608,3632,3591,3593
 2012/10/15-11:15,3594,3594,3574,3587
 2012/10/15-14:15,3587,3592,3571,3578
 2012/10/15-15:00,3578,3588,3574,3576
 2012/10/16-10:00,3582,3585,3553,3567
 2012/10/16-11:15,3566,3593,3562,3584
 2012/10/16-14:15,3584,3601,3583,3600
 2012/10/16-15:00,3602,3605,3591,3603
 2012/10/17-10:00,3606,3610,3588,3598
 2012/10/17-11:15,3598,3630,3590,3627
 2012/10/17-14:15,3627,3654,3623,3650
 2012/10/17-15:00,3650,3654,3643,3646
 2012/10/18-10:00,3647,3671,3647,3658
 2012/10/18-11:15,3658,3668,3648,3653
 2012/10/18-14:15,3654,3669,3652,3665
 2012/10/18-15:00,3665,3666,3655,3658
 2012/10/19-10:00,3653,3663,3644,3647
 2012/10/19-11:15,3647,3655,3643,3650
 2012/10/19-14:15,3650,3658,3630,3631
 2012/10/19-15:00,3632,3650,3631,3647
 2012/10/22-10:00,3655,3681,3628,3675
 2012/10/22-11:15,3675,3679,3669,3674
 2012/10/22-14:15,3674,3689,3672,3688
 2012/10/22-15:00,3688,3709,3685,3708
 2012/10/23-10:00,3706,3719,3698,3702
 2012/10/23-11:15,3702,3710,3692,3694
 2012/10/23-14:15,3693,3694,3665,3667
 2012/10/23-15:00,3668,3670,3646,3650
 2012/10/24-10:00,3661,3679,3647,3663
 2012/10/24-11:15,3663,3673,3646,3666
 2012/10/24-14:15,3666,3671,3656,3658
 2012/10/24-15:00,3658,3673,3658,3670
 2012/10/25-10:00,3669,3680,3640,3649
 2012/10/25-11:15,3649,3665,3644,3645
 2012/10/25-14:15,3644,3664,3640,3658
 2012/10/25-15:00,3658,3673,3653,3667
 2012/10/26-10:00,3666,3679,3652,3679
 2012/10/26-11:15,3679,3685,3659,3671
 2012/10/26-14:15,3671,3673,3646,3654
 2012/10/26-15:00,3654,3672,3653,3671
 2012/10/29-10:00,3681,3685,3664,3674
 2012/10/29-11:15,3674,3677,3636,3643
 2012/10/29-14:15,3643,3644,3618,3627
 2012/10/29-15:00,3627,3633,3621,3622
 2012/10/30-10:00,3626,3637,3610,3635
 2012/10/30-11:15,3636,3636,3618,3625
 2012/10/30-14:15,3625,3631,3621,3623
 2012/10/30-15:00,3622,3626,3619,3626
 2012/10/31-10:00,3624,3635,3591,3596
 2012/10/31-11:15,3596,3618,3595,3609
 2012/10/31-14:15,3609,3622,3609,3616
 2012/10/31-15:00,3616,3632,3615,3632
 2012/11/01-10:00,3625,3641,3624,3637
 2012/11/01-11:15,3637,3670,3633,3668
 2012/11/01-14:15,3668,3682,3667,3678
 2012/11/01-15:00,3678,3680,3672,3674
 2012/11/02-10:00,3668,3689,3658,3670
 2012/11/02-11:15,3671,3676,3663,3669
 2012/11/02-14:15,3668,3670,3652,3667
 2012/11/02-15:00,3667,3682,3666,3673
 2012/11/05-10:00,3659,3673,3643,3666
 2012/11/05-11:15,3666,3673,3635,3639
 2012/11/05-14:15,3638,3646,3624,3646
 2012/11/05-15:00,3646,3646,3635,3642
 2012/11/06-10:00,3642,3658,3626,3642
 2012/11/06-11:15,3642,3646,3625,3637
 2012/11/06-14:15,3637,3649,3632,3643
 2012/11/06-15:00,3643,3655,3642,3643
 2012/11/07-10:00,3653,3653,3628,3632
 2012/11/07-11:15,3632,3650,3630,3644
 2012/11/07-14:15,3645,3657,3634,3638
 2012/11/07-15:00,3638,3646,3637,3638
 2012/11/08-10:00,3610,3639,3603,3633
 2012/11/08-11:15,3633,3633,3620,3627
 2012/11/08-14:15,3627,3637,3617,3633
 2012/11/08-15:00,3633,3635,3628,3631
 2012/11/09-10:00,3639,3657,3632,3656
 2012/11/09-11:15,3656,3674,3656,3667
 2012/11/09-14:15,3667,3668,3650,3653
 2012/11/09-15:00,3653,3654,3639,3645
 2012/11/12-10:00,3637,3652,3629,3642
 2012/11/12-11:15,3641,3654,3635,3647
 2012/11/12-14:15,3648,3686,3642,3678
 2012/11/12-15:00,3678,3684,3672,3678
 2012/11/13-10:00,3671,3681,3654,3656
 2012/11/13-11:15,3656,3672,3653,3665
 2012/11/13-14:15,3665,3667,3650,3655
 2012/11/13-15:00,3655,3661,3653,3657
 2012/11/14-10:00,3663,3665,3642,3646
 2012/11/14-11:15,3645,3656,3636,3652
 2012/11/14-14:15,3652,3654,3643,3653
 2012/11/14-15:00,3653,3657,3649,3651
 2012/11/15-10:00,3642,3669,3641,3665
 2012/11/15-11:15,3665,3665,3645,3658
 2012/11/15-14:15,3658,3663,3653,3658
 2012/11/15-15:00,3658,3658,3649,3652
 2012/11/16-10:00,3651,3666,3648,3662
 2012/11/16-11:15,3662,3663,3654,3658
 2012/11/16-14:15,3658,3659,3644,3650
 2012/11/16-15:00,3650,3653,3647,3651
 2012/11/19-10:00,3644,3646,3577,3578
 2012/11/19-11:15,3578,3578,3561,3570
 2012/11/19-14:15,3569,3573,3560,3564
 2012/11/19-15:00,3564,3570,3554,3556
 2012/11/20-10:00,3567,3574,3552,3569
 2012/11/20-11:15,3569,3569,3555,3561
 2012/11/20-14:15,3561,3568,3560,3564
 2012/11/20-15:00,3564,3566,3558,3563
 2012/11/21-10:00,3565,3590,3563,3576
 2012/11/21-11:15,3575,3581,3572,3572
 2012/11/21-14:15,3573,3579,3564,3576
 2012/11/21-15:00,3576,3584,3574,3581
 2012/11/22-10:00,3579,3582,3564,3568
 2012/11/22-11:15,3568,3577,3546,3572
 2012/11/22-14:15,3572,3580,3569,3573
 2012/11/22-15:00,3573,3578,3570,3575
 2012/11/23-10:00,3570,3581,3564,3577
 2012/11/23-11:15,3577,3587,3574,3577
 2012/11/23-14:15,3577,3581,3573,3577
 2012/11/23-15:00,3578,3583,3574,3582
 2012/11/26-10:00,3572,3576,3556,3565
 2012/11/26-11:15,3565,3569,3564,3568
