date,o,h,l,c
 2012/12/31,2336,2336,2270,2270
 2013/01/04,2251,2301,2251,2291
 2013/01/07,2288,2384,2286,2366
 2013/01/08,2387,2414,2359,2386
 2013/01/09,2396,2426,2380,2380
 2013/01/10,2371,2399,2371,2373
 2013/01/11,2374,2452,2374,2431
 2013/01/14,2449,2465,2429,2450
 2013/01/15,2459,2536,2454,2464
 2013/01/16,2471,2504,2453,2494
 2013/01/17,2510,2516,2480,2481
 2013/01/18,2482,2526,2472,2481
 2013/01/21,2478,2506,2478,2487
 2013/01/22,2485,2512,2485,2495
 2013/01/23,2499,2509,2474,2477
 2013/01/24,2466,2471,2394,2402
 2013/01/25,2405,2421,2399,2399
 2013/01/28,2411,2415,2387,2409
 2013/01/29,2413,2424,2403,2412
 2013/01/30,2412,2434,2412,2425
 2013/01/31,2435,2442,2428,2429
 2013/02/01,2422,2425,2384,2414
 2013/02/04,2417,2469,2416,2444
 2013/02/05,2443,2516,2436,2472
 2013/02/06,2487,2498,2457,2458
 2013/02/07,2458,2460,2438,2439
 2013/02/08,2446,2480,2446,2451
 2013/02/18,2412,2443,2408,2439
 2013/02/19,2463,2526,2457,2515
 2013/02/20,2527,2536,2517,2520
 2013/02/21,2512,2556,2493,2555
 2013/02/22,2556,2618,2541,2552
 2013/02/25,2528,2538,2470,2481
 2013/02/26,2472,2514,2461,2475
 2013/02/27,2494,2510,2470,2486
 2013/02/28,2499,2507,2461,2462
 2013/03/01,2469,2488,2454,2476
 2013/03/04,2472,2484,2455,2468
 2013/03/05,2486,2499,2479,2488
 2013/03/06,2488,2493,2454,2463
 2013/03/07,2463,2472,2453,2461
 2013/03/08,2470,2475,2458,2459
 2013/03/11,2461,2463,2408,2408
 2013/03/12,2414,2414,2375,2376
 2013/03/13,2380,2402,2358,2398
 2013/03/14,2383,2428,2379,2420
 2013/03/15,2435,2442,2412,2421
 2013/03/18,2402,2426,2372,2415
 2013/03/19,2423,2442,2415,2416
 2013/03/20,2411,2425,2406,2422
 2013/03/21,2427,2446,2427,2436
 2013/03/22,2442,2443,2409,2409
 2013/03/25,2409,2423,2402,2406
 2013/03/26,2404,2419,2402,2415
 2013/03/27,2421,2425,2408,2417
 2013/03/28,2423,2423,2383,2385
 2013/03/29,2348,2371,2341,2359
 2013/04/01,2358,2360,2323,2327
 2013/04/02,2334,2351,2320,2334
 2013/04/03,2322,2325,2299,2310
 2013/04/08,2303,2319,2286,2305
 2013/04/09,2307,2323,2304,2307
 2013/04/10,2311,2322,2303,2315
 2013/04/11,2314,2318,2302,2310
 2013/04/12,2318,2349,2315,2349
 2013/04/15,2345,2374,2336,2361
 2013/04/16,2337,2379,2317,2371
 2013/04/17,2380,2384,2348,2353
 2013/04/18,2346,2367,2341,2359
 2013/04/19,2363,2369,2340,2343
 2013/04/22,2340,2362,2329,2345
 2013/04/23,2342,2352,2320,2327
 2013/04/24,2323,2326,2271,2273
 2013/04/25,2275,2276,2250,2259
 2013/04/26,2273,2279,2252,2259
 2013/05/02,2251,2269,2240,2266
 2013/05/03,2264,2275,2246,2260
 2013/05/06,2270,2276,2255,2274
 2013/05/07,2263,2285,2263,2272
 2013/05/08,2273,2290,2270,2284
 2013/05/09,2283,2291,2274,2279
 2013/05/10,2285,2294,2283,2287
 2013/05/13,2281,2287,2252,2253
 2013/05/14,2268,2268,2247,2255
 2013/05/15,2257,2292,2256,2273
 2013/05/16,2277,2282,2255,2265
 2013/05/17,2270,2286,2270,2278
 2013/05/20,2288,2295,2281,2281
 2013/05/21,2286,2294,2268,2275
 2013/05/22,2278,2285,2274,2276
 2013/05/23,2287,2288,2264,2266
 2013/05/24,2265,2265,2243,2252
 2013/05/27,2243,2271,2243,2271
 2013/05/28,2277,2279,2267,2270
 2013/05/29,2281,2332,2281,2308
 2013/05/30,2310,2315,2293,2307
 2013/05/31,2310,2332,2302,2321
 2013/06/03,2331,2384,2329,2365
 2013/06/04,2366,2383,2355,2364
 2013/06/05,2368,2435,2367,2413
 2013/06/06,2400,2411,2386,2394
 2013/06/07,2401,2407,2358,2376
 2013/06/13,2381,2388,2340,2341
 2013/06/14,2347,2399,2333,2392
 2013/06/17,2382,2422,2369,2396
 2013/06/18,2390,2412,2378,2379
 2013/06/19,2375,2392,2362,2368
 2013/06/20,2371,2387,2348,2348
 2013/06/21,2352,2352,2288,2289
 2013/06/24,2302,2302,2256,2261
 2013/06/25,2277,2320,2275,2315
 2013/06/26,2305,2327,2305,2315
 2013/06/27,2316,2330,2303,2319
 2013/06/28,2313,2327,2289,2291
 2013/07/01,2297,2297,2258,2274
 2013/07/02,2271,2309,2264,2305
 2013/07/03,2289,2319,2289,2309
 2013/07/04,2307,2313,2286,2290
 2013/07/05,2297,2297,2277,2294
 2013/07/08,2290,2290,2252,2261
 2013/07/09,2268,2315,2268,2312
 2013/07/10,2301,2327,2301,2309
 2013/07/11,2310,2330,2305,2318
 2013/07/12,2321,2352,2321,2328
 2013/07/15,2340,2340,2302,2323
 2013/07/16,2317,2346,2317,2341
 2013/07/17,2333,2357,2330,2333
 2013/07/18,2339,2349,2321,2347
 2013/07/19,2334,2369,2329,2329
 2013/07/22,2354,2354,2315,2327
 2013/07/23,2332,2374,2332,2365
 2013/07/24,2356,2365,2342,2358
 2013/07/25,2354,2354,2328,2336
 2013/07/26,2339,2339,2257,2271
 2013/07/29,2283,2283,2261,2276
 2013/07/30,2273,2309,2273,2292
 2013/07/31,2298,2298,2268,2292
 2013/08/01,2284,2306,2284,2298
 2013/08/02,2299,2321,2289,2320
 2013/08/05,2308,2347,2308,2319
 2013/08/06,2324,2325,2310,2311
 2013/08/07,2315,2315,2271,2273
 2013/08/08,2291,2308,2272,2299
 2013/08/09,2295,2319,2292,2295
 2013/08/12,2304,2319,2298,2314
 2013/08/13,2309,2377,2309,2362
 2013/08/14,2358,2389,2349,2354
 2013/08/15,2369,2435,2369,2411
 2013/08/16,2410,2466,2410,2419
 2013/08/19,2437,2461,2426,2439
 2013/08/20,2441,2481,2424,2447
 2013/08/21,2450,2461,2435,2455
 2013/08/22,2446,2472,2445,2470
 2013/08/23,2456,2473,2454,2470
 2013/08/26,2464,2562,2464,2561
 2013/08/27,2556,2590,2556,2587
 2013/08/28,2575,2583,2533,2540
 2013/08/29,2567,2567,2479,2510
 2013/08/30,2517,2520,2468,2510
 2013/09/02,2511,2556,2511,2554
 2013/09/03,2541,2571,2492,2548
 2013/09/04,2531,2541,2505,2512
 2013/09/05,2511,2515,2474,2481
 2013/09/06,2495,2512,2485,2512
 2013/09/09,2501,2523,2467,2471
 2013/09/10,2482,2482,2428,2434
 2013/09/11,2442,2475,2433,2474
 2013/09/12,2461,2495,2461,2475
 2013/09/13,2484,2520,2472,2484
 2013/09/16,2485,2485,2426,2428
 2013/09/17,2443,2449,2416,2448
 2013/09/18,2438,2467,2433,2459
 2013/09/23,2448,2482,2428,2459
 2013/09/24,2463,2516,2452,2513
 2013/09/25,2505,2537,2488,2499
 2013/09/26,2502,2529,2499,2522
 2013/09/27,2519,2550,2507,2543
 2013/09/30,2525,2563,2489,2513
 2013/10/08,2512,2569,2512,2562
 2013/10/09,2548,2576,2548,2574
 2013/10/10,2561,2585,2525,2527
 2013/10/11,2552,2552,2487,2495
 2013/10/14,2499,2507,2479,2492
 2013/10/15,2495,2501,2424,2441
 2013/10/16,2456,2456,2420,2434
 2013/10/17,2438,2452,2412,2424
 2013/10/18,2433,2442,2419,2420
 2013/10/21,2430,2436,2397,2434
 2013/10/22,2413,2438,2413,2418
 2013/10/23,2429,2438,2409,2431
 2013/10/24,2426,2440,2406,2418
 2013/10/25,2416,2422,2373,2374
 2013/10/28,2401,2401,2362,2368
 2013/10/29,2373,2398,2353,2398
 2013/10/30,2382,2404,2376,2382
 2013/10/31,2391,2391,2367,2379
 2013/11/01,2375,2390,2371,2387
 2013/11/04,2380,2435,2377,2434
 2013/11/05,2428,2448,2424,2434
 2013/11/06,2430,2444,2422,2443
 2013/11/07,2438,2442,2407,2408
 2013/11/08,2418,2420,2388,2390
 2013/11/11,2403,2421,2393,2399
 2013/11/12,2408,2418,2397,2417
 2013/11/13,2412,2424,2412,2421
 2013/11/14,2418,2420,2392,2394
 2013/11/15,2400,2401,2384,2392
 2013/11/18,2388,2388,2361,2371
 2013/11/19,2372,2391,2372,2379
 2013/11/20,2382,2389,2366,2386
 2013/11/21,2381,2409,2380,2398
