date,o,h,l,c
 2012/03/07,6563,6581,6561,6577
 2012/03/08,6576,6603,6567,6573
 2012/03/09,6583,6612,6576,6610
 2012/03/12,6591,6600,6589,6596
 2012/03/13,6600,6640,6600,6626
 2012/03/14,6638,6642,6592,6603
 2012/03/15,6604,6651,6604,6634
 2012/03/16,6683,6693,6642,6645
 2012/03/19,6650,6653,6633,6634
 2012/03/20,6646,6660,6628,6640
 2012/03/21,6627,6632,6586,6590
 2012/03/22,6591,6601,6578,6595
 2012/03/23,6612,6621,6601,6616
 2012/03/26,6604,6637,6604,6613
 2012/03/27,6599,6610,6577,6606
 2012/03/28,6607,6628,6593,6625
 2012/03/29,6621,6635,6601,6632
 2012/03/30,6640,6644,6618,6629
 2012/04/05,6613,6677,6613,6666
 2012/04/06,6670,6681,6647,6680
 2012/04/09,6691,6822,6687,6795
 2012/04/10,6778,6803,6770,6801
 2012/04/11,6756,6784,6732,6773
 2012/04/12,6786,6841,6750,6756
 2012/04/13,6776,6788,6749,6751
 2012/04/16,6711,6722,6684,6703
 2012/04/17,6683,6683,6649,6663
 2012/04/18,6686,6686,6627,6655
 2012/04/19,6614,6626,6596,6615
 2012/04/20,6601,6621,6583,6617
 2012/04/23,6607,6617,6544,6562
 2012/04/24,6569,6575,6514,6522
 2012/04/25,6531,6564,6524,6563
 2012/04/26,6565,6576,6535,6536
 2012/04/27,6509,6511,6473,6473
 2012/05/02,6472,6493,6441,6464
 2012/05/03,6427,6463,6427,6461
 2012/05/04,6468,6482,6458,6478
 2012/05/07,6470,6488,6456,6466
 2012/05/08,6478,6483,6412,6423
 2012/05/09,6387,6393,6362,6362
 2012/05/10,6379,6388,6340,6344
 2012/05/11,6338,6341,6240,6245
 2012/05/14,6251,6275,6173,6181
 2012/05/15,6196,6247,6190,6246
 2012/05/16,6232,6239,6102,6109
 2012/05/17,6172,6225,6155,6214
 2012/05/18,6197,6223,6134,6186
 2012/05/21,6189,6241,6158,6218
 2012/05/22,6201,6212,6170,6184
 2012/05/23,6100,6117,6025,6070
 2012/05/24,6075,6124,6059,6121
 2012/05/25,6120,6126,6055,6097
 2012/05/28,6102,6110,6060,6067
 2012/05/29,6054,6111,6022,6106
 2012/05/30,6070,6136,6059,6097
 2012/05/31,6062,6123,6062,6102
 2012/06/01,6094,6114,5991,5995
 2012/06/04,5964,5973,5882,5908
 2012/06/05,5924,5974,5915,5970
 2012/06/06,5965,5974,5885,5887
 2012/06/07,5984,6024,5959,5981
 2012/06/08,5953,5967,5858,5887
 2012/06/11,5941,5968,5876,5939
 2012/06/12,5919,5933,5865,5882
 2012/06/13,5860,5863,5704,5759
 2012/06/14,5730,5793,5713,5746
 2012/06/15,5761,5779,5732,5762
 2012/06/18,5838,5841,5713,5717
 2012/06/19,5717,5740,5673,5714
 2012/06/20,5781,5787,5749,5766
 2012/06/21,5740,5796,5735,5760
 2012/06/25,5674,5751,5674,5732
 2012/06/26,5745,5829,5743,5808
 2012/06/27,5825,5842,5784,5790
 2012/06/28,5836,5847,5814,5821
 2012/06/29,5809,5809,5753,5798
 2012/07/02,5844,5845,5765,5786
 2012/07/03,5797,5880,5789,5872
 2012/07/04,5889,5940,5886,5930
 2012/07/05,5926,5980,5906,5979
 2012/07/06,5958,5964,5917,5931
 2012/07/09,5931,5952,5864,5921
 2012/07/10,5936,5955,5903,5905
 2012/07/11,5892,5931,5885,5894
 2012/07/12,5918,5969,5899,5918
 2012/07/13,5897,5922,5892,5910
 2012/07/16,5924,5957,5858,5858
 2012/07/17,5869,5878,5751,5752
 2012/07/18,5765,5772,5704,5743
 2012/07/19,5765,5765,5715,5735
 2012/07/20,5750,5765,5679,5693
 2012/07/23,5708,5769,5637,5647
 2012/07/24,5609,5634,5548,5576
 2012/07/25,5550,5598,5548,5573
 2012/07/26,5575,5586,5437,5446
 2012/07/27,5410,5434,5383,5427
 2012/07/30,5439,5452,5353,5367
 2012/07/31,5377,5409,5348,5408
 2012/08/01,5390,5472,5387,5470
 2012/08/02,5470,5476,5360,5380
 2012/08/03,5354,5421,5350,5414
 2012/08/06,5428,5449,5393,5446
 2012/08/07,5438,5451,5399,5415
 2012/08/08,5393,5439,5384,5421
 2012/08/09,5412,5528,5409,5527
 2012/08/10,5526,5555,5486,5501
 2012/08/13,5499,5509,5421,5430
 2012/08/14,5416,5416,5351,5376
 2012/08/15,5391,5589,5364,5589
 2012/08/16,5645,5659,5564,5576
 2012/08/17,5576,5576,5485,5517
 2012/08/20,5519,5546,5496,5543
 2012/08/21,5551,5645,5534,5589
 2012/08/22,5557,5577,5517,5518
 2012/08/23,5536,5569,5352,5425
 2012/08/24,5410,5419,5349,5393
 2012/08/27,5389,5448,5369,5426
 2012/08/28,5411,5415,5310,5315
 2012/08/29,5330,5349,5211,5287
 2012/08/30,5267,5482,5235,5389
 2012/08/31,5368,5402,5346,5389
 2012/09/03,5384,5426,5373,5393
 2012/09/04,5375,5412,5312,5328
 2012/09/05,5292,5325,5255,5307
 2012/09/06,5286,5369,5272,5322
 2012/09/07,5304,5352,5277,5329
 2012/09/10,5354,5425,5351,5414
 2012/09/11,5407,5444,5391,5411
 2012/09/12,5426,5494,5406,5430
 2012/09/13,5438,5447,5266,5353
 2012/09/14,5393,5450,5371,5418
 2012/09/17,5419,5448,5393,5409
 2012/09/18,5395,5499,5382,5423
 2012/09/19,5395,5418,5368,5375
 2012/09/20,5364,5435,5361,5417
 2012/09/21,5427,5442,5286,5294
 2012/09/24,5293,5293,5165,5168
 2012/09/25,5171,5186,5123,5158
 2012/09/26,5172,5189,5114,5158
 2012/09/27,5137,5227,5121,5187
 2012/09/28,5188,5205,5168,5185
 2012/10/08,5250,5276,5206,5225
 2012/10/09,5229,5288,5228,5277
 2012/10/10,5263,5309,5241,5294
 2012/10/11,5273,5340,5270,5334
 2012/10/12,5312,5326,5276,5305
 2012/10/15,5292,5346,5268,5328
 2012/10/16,5336,5362,5333,5348
 2012/10/17,5358,5413,5357,5412
 2012/10/18,5408,5447,5355,5357
 2012/10/19,5344,5353,5306,5309
 2012/10/22,5334,5357,5287,5356
 2012/10/23,5346,5379,5311,5319
 2012/10/24,5312,5339,5303,5335
 2012/10/25,5348,5348,5316,5332
 2012/10/26,5324,5334,5203,5206
 2012/10/29,5192,5249,5191,5226
 2012/10/30,5239,5281,5232,5257
 2012/10/31,5268,5273,5201,5260
 2012/11/01,5261,5288,5240,5272
 2012/11/02,5267,5291,5215,5217
 2012/11/05,5202,5273,5202,5264
 2012/11/06,5276,5319,5264,5307
 2012/11/07,5328,5334,5272,5293
 2012/11/08,5251,5288,5235,5280
 2012/11/09,5281,5302,5269,5275
 2012/11/12,5295,5312,5215,5257
 2012/11/13,5269,5278,5242,5261
 2012/11/14,5269,5417,5239,5402
 2012/11/15,5387,5401,5371,5380
 2012/11/16,5370,5388,5341,5362
 2012/11/19,5388,5424,5365,5377
 2012/11/20,5412,5423,5372,5384
 2012/11/21,5384,5396,5375,5390
 2012/11/22,5387,5409,5384,5395
 2012/11/23,5394,5395,5360,5386
 2012/11/26,5372,5402,5359,5380
 2012/11/27,5377,5381,5327,5339
 2012/11/28,5341,5359,5316,5323
 2012/11/29,5321,5324,5282,5299
 2012/11/30,5316,5382,5291,5369
 2012/12/03,5358,5464,5358,5422
 2012/12/04,5419,5434,5400,5409
 2012/12/05,5391,5435,5391,5400
 2012/12/06,5396,5431,5392,5413
 2012/12/07,5392,5405,5368,5400
 2012/12/10,5396,5471,5392,5454
 2012/12/11,5429,5468,5427,5454
 2012/12/12,5468,5475,5429,5442
 2012/12/13,5430,5443,5415,5429
 2012/12/14,5449,5469,5391,5442
 2012/12/17,5455,5534,5454,5518
 2012/12/18,5533,5552,5481,5501
 2012/12/19,5514,5523,5483,5508
 2012/12/20,5493,5513,5470,5511
 2012/12/21,5519,5537,5486,5498
 2012/12/24,5498,5521,5490,5506
 2012/12/25,5544,5544,5455,5458
 2012/12/26,5462,5511,5456,5506
 2012/12/27,5513,5542,5499,5520
 2012/12/28,5535,5567,5519,5536
 2012/12/31,5538,5569,5536,5553
 2013/01/04,5543,5592,5541,5578
 2013/01/07,5627,5688,5617,5663
 2013/01/08,5688,5710,5659,5698
 2013/01/09,5685,5687,5632,5636
 2013/01/10,5672,5672,5639,5645
 2013/01/11,5654,5654,5570,5579
 2013/01/14,5583,5600,5560,5579
 2013/01/15,5570,5572,5513,5542
 2013/01/16,5530,5576,5530,5551
 2013/01/17,5550,5552,5508,5514
 2013/01/18,5524,5547,5514,5541
 2013/01/21,5534,5538,5457,5464
 2013/01/22,5466,5482,5425,5469
 2013/01/23,5444,5450,5408,5410
 2013/01/24,5430,5446,5421,5428
 2013/01/25,5422,5437,5397,5400
 2013/01/28,5381,5382,5319,5327
 2013/01/29,5340,5352,5332,5335
 2013/01/30,5325,5401,5319,5367
 2013/01/31,5394,5433,5384,5426
 2013/02/01,5432,5467,5431,5459
 2013/02/04,5463,5473,5434,5446
 2013/02/05,5439,5444,5404,5415
 2013/02/06,5407,5453,5405,5433
 2013/02/07,5407,5407,5329,5361
 2013/02/08,5365,5384,5355,5360
 2013/02/18,5337,5353,5304,5340
 2013/02/19,5342,5372,5335,5370
 2013/02/20,5376,5392,5361,5362
 2013/02/21,5367,5416,5341,5403
 2013/02/22,5395,5477,5386,5467
 2013/02/25,5457,5491,5424,5442
 2013/02/26,5428,5449,5360,5361
 2013/02/27,5380,5402,5373,5385
 2013/02/28,5401,5427,5391,5421
 2013/03/01,5436,5442,5397,5429
