date,o,h,l,c
 2012/09/07-10:45,5311,5320,5293,5313
 2012/09/07-13:45,5313,5352,5307,5335
 2012/09/07-14:45,5335,5343,5323,5326
 2012/09/07-15:00,5326,5333,5323,5329
 2012/09/10-09:30,5354,5403,5351,5398
 2012/09/10-10:45,5397,5404,5370,5376
 2012/09/10-13:45,5376,5388,5356,5387
 2012/09/10-14:45,5387,5425,5380,5412
 2012/09/10-15:00,5411,5422,5410,5414
 2012/09/11-09:30,5407,5444,5399,5440
 2012/09/11-10:45,5441,5441,5391,5416
 2012/09/11-13:45,5416,5430,5406,5420
 2012/09/11-14:45,5419,5426,5407,5419
 2012/09/11-15:00,5419,5426,5410,5411
 2012/09/12-09:30,5426,5446,5406,5445
 2012/09/12-10:45,5445,5494,5443,5472
 2012/09/12-13:45,5472,5477,5460,5471
 2012/09/12-14:45,5471,5485,5426,5434
 2012/09/12-15:00,5434,5443,5426,5430
 2012/09/13-09:30,5438,5447,5266,5379
 2012/09/13-10:45,5380,5395,5364,5388
 2012/09/13-13:45,5388,5390,5372,5378
 2012/09/13-14:45,5378,5386,5365,5369
 2012/09/13-15:00,5369,5370,5352,5353
 2012/09/14-09:30,5393,5450,5393,5413
 2012/09/14-10:45,5413,5418,5371,5415
 2012/09/14-13:45,5415,5422,5399,5419
 2012/09/14-14:45,5419,5427,5406,5412
 2012/09/14-15:00,5413,5420,5406,5418
 2012/09/17-09:30,5419,5448,5406,5442
 2012/09/17-10:45,5442,5445,5428,5428
 2012/09/17-13:45,5427,5431,5393,5405
 2012/09/17-14:45,5405,5413,5396,5409
 2012/09/17-15:00,5409,5413,5399,5409
 2012/09/18-09:30,5395,5412,5382,5405
 2012/09/18-10:45,5405,5434,5400,5431
 2012/09/18-13:45,5431,5499,5420,5421
 2012/09/18-14:45,5421,5438,5411,5422
 2012/09/18-15:00,5422,5425,5416,5423
 2012/09/19-09:30,5395,5418,5376,5413
 2012/09/19-10:45,5413,5418,5401,5404
 2012/09/19-13:45,5404,5413,5381,5387
 2012/09/19-14:45,5388,5393,5368,5380
 2012/09/19-15:00,5380,5388,5372,5375
 2012/09/20-09:30,5364,5432,5361,5429
 2012/09/20-10:45,5430,5435,5394,5416
 2012/09/20-13:45,5416,5422,5398,5406
 2012/09/20-14:45,5407,5424,5405,5419
 2012/09/20-15:00,5419,5426,5415,5417
 2012/09/21-09:30,5427,5442,5393,5402
 2012/09/21-10:45,5402,5403,5380,5392
 2012/09/21-13:45,5391,5393,5342,5354
 2012/09/21-14:45,5354,5354,5286,5304
 2012/09/21-15:00,5304,5308,5293,5294
 2012/09/24-09:30,5293,5293,5230,5249
 2012/09/24-10:45,5249,5256,5211,5237
 2012/09/24-13:45,5237,5250,5223,5233
 2012/09/24-14:45,5233,5243,5188,5196
 2012/09/24-15:00,5196,5213,5165,5168
 2012/09/25-09:30,5171,5186,5137,5145
 2012/09/25-10:45,5144,5158,5126,5133
 2012/09/25-13:45,5133,5169,5123,5150
 2012/09/25-14:45,5149,5179,5148,5169
 2012/09/25-15:00,5168,5173,5153,5158
 2012/09/26-09:30,5172,5189,5158,5164
 2012/09/26-10:45,5163,5169,5135,5153
 2012/09/26-13:45,5152,5156,5140,5147
 2012/09/26-14:45,5147,5168,5114,5158
 2012/09/26-15:00,5158,5162,5147,5158
 2012/09/27-09:30,5137,5142,5121,5130
 2012/09/27-10:45,5130,5183,5127,5176
 2012/09/27-13:45,5176,5227,5162,5189
 2012/09/27-14:45,5188,5205,5181,5183
 2012/09/27-15:00,5182,5189,5182,5187
 2012/09/28-09:30,5188,5205,5174,5186
 2012/09/28-10:45,5186,5199,5182,5190
 2012/09/28-13:45,5190,5200,5168,5173
 2012/09/28-14:45,5173,5199,5171,5185
 2012/09/28-15:00,5185,5188,5179,5185
 2012/10/08-09:30,5250,5250,5206,5224
 2012/10/08-10:45,5224,5276,5224,5252
 2012/10/08-13:45,5252,5253,5240,5250
 2012/10/08-14:45,5250,5260,5227,5234
 2012/10/08-15:00,5234,5239,5216,5225
 2012/10/09-09:30,5229,5268,5228,5261
 2012/10/09-10:45,5261,5288,5245,5283
 2012/10/09-13:45,5284,5287,5258,5267
 2012/10/09-14:45,5266,5284,5266,5274
 2012/10/09-15:00,5274,5287,5268,5277
 2012/10/10-09:30,5263,5273,5245,5265
 2012/10/10-10:45,5265,5270,5241,5254
 2012/10/10-13:45,5255,5297,5249,5291
 2012/10/10-14:45,5291,5309,5289,5301
 2012/10/10-15:00,5301,5303,5294,5294
 2012/10/11-09:30,5273,5299,5273,5289
 2012/10/11-10:45,5289,5307,5270,5292
 2012/10/11-13:45,5292,5309,5289,5300
 2012/10/11-14:45,5300,5332,5288,5329
 2012/10/11-15:00,5329,5340,5326,5334
 2012/10/12-09:30,5312,5326,5308,5315
 2012/10/12-10:45,5315,5325,5294,5305
 2012/10/12-13:45,5306,5309,5276,5291
 2012/10/12-14:45,5292,5310,5288,5309
 2012/10/12-15:00,5309,5310,5301,5305
 2012/10/15-09:30,5292,5334,5268,5321
 2012/10/15-10:45,5321,5329,5311,5317
 2012/10/15-13:45,5316,5338,5295,5334
 2012/10/15-14:45,5333,5346,5325,5334
 2012/10/15-15:00,5334,5336,5324,5328
 2012/10/16-09:30,5336,5361,5333,5343
 2012/10/16-10:45,5343,5362,5341,5352
 2012/10/16-13:45,5352,5360,5342,5350
 2012/10/16-14:45,5351,5352,5339,5347
 2012/10/16-15:00,5348,5351,5341,5348
 2012/10/17-09:30,5358,5394,5357,5391
 2012/10/17-10:45,5390,5402,5388,5398
 2012/10/17-13:45,5398,5408,5390,5396
 2012/10/17-14:45,5397,5400,5390,5397
 2012/10/17-15:00,5397,5413,5396,5412
 2012/10/18-09:30,5408,5442,5408,5437
 2012/10/18-10:45,5437,5447,5396,5401
 2012/10/18-13:45,5401,5404,5379,5395
 2012/10/18-14:45,5395,5404,5367,5369
 2012/10/18-15:00,5369,5374,5355,5357
 2012/10/19-09:30,5344,5353,5321,5322
