date,o,h,l,c,vol,MACD.DIF,MACD.DEA,MACD.MACD
 1991/12/23,10.5,10.8,10.5,10.7,107500,0,0,0
 1991/12/24,10.9,11.9,10.85,11.9,162000,0.1,0.02,0.15
 1991/12/25,12,12.5,11.8,11.9,159500,0.17,0.05,0.24
 1991/12/26,11.8,11.8,11.1,11.8,175500,0.22,0.08,0.27
 1991/12/27,11.4,11.75,11.3,11.6,166000,0.24,0.11,0.25
 1991/12/28,11.6,12,11.6,11.9,91500,0.27,0.15,0.25
 1991/12/30,11.95,12,11.65,11.8,108000,0.29,0.17,0.23
 1992/01/03,11.9,11.9,11.8,11.85,89000,0.3,0.2,0.21
 1992/01/06,11.85,12,11.8,11.9,117000,0.32,0.22,0.19
 1992/01/07,11.9,12.2,11.9,12.15,144000,0.34,0.25,0.19
 1992/01/08,12.15,12.3,11.85,12.05,207500,0.35,0.27,0.16
 1992/01/09,12,12.15,12,12.05,194000,0.35,0.28,0.14
 1992/01/10,12,12.1,12,12.1,53500,0.35,0.3,0.11
 1992/01/13,12,12.1,11.95,12,86500,0.34,0.31,0.07
 1992/01/14,11.95,12.05,11.8,11.8,55500,0.32,0.31,0.01
 1992/01/15,11.8,11.8,11.5,11.55,64500,0.27,0.3,-0.06
 1992/01/16,11.45,11.45,11.15,11.3,86500,0.21,0.28,-0.14
 1992/01/20,11.6,11.7,11.35,11.5,43500,0.18,0.26,-0.17
 1992/01/21,11.55,11.55,11.2,11.35,77050,0.14,0.24,-0.2
 1992/01/22,11.35,11.5,11.25,11.5,65000,0.12,0.21,-0.19
 1992/01/23,11.45,11.5,11.3,11.4,75000,0.09,0.19,-0.19
 1992/01/24,11.4,11.55,11.35,11.5,66500,0.08,0.17,-0.18
 1992/01/27,11.5,11.5,11.35,11.35,46500,0.06,0.15,-0.18
 1992/01/28,11.4,11.45,11.35,11.45,38500,0.05,0.13,-0.16
 1992/01/30,11.55,11.85,11.55,11.8,64000,0.07,0.11,-0.1
 1992/02/01,11.85,11.95,11.85,11.85,53000,0.08,0.11,-0.05
 1992/02/02,11.9,12.05,11.9,12,51000,0.11,0.11,0
 1992/02/10,11.9,11.9,11.5,11.7,32000,0.1,0.11,-0.01
 1992/02/11,11.7,11.9,11.7,11.85,56500,0.11,0.11,0
 1992/02/12,11.85,11.95,11.8,11.9,44500,0.12,0.11,0.02
 1992/02/13,11.8,11.8,11.75,11.8,21500,0.11,0.11,0.01
 1992/02/17,11.6,11.65,11.5,11.6,52500,0.09,0.11,-0.03
 1992/02/18,11.6,11.6,11.4,11.5,35500,0.07,0.1,-0.06
 1992/02/19,11.5,11.55,11.4,11.5,41500,0.05,0.09,-0.08
 1992/02/20,11.45,11.6,11.45,11.5,41000,0.03,0.08,-0.09
 1992/02/21,11.6,11.6,11.5,11.5,69000,0.02,0.07,-0.09
 1992/02/24,11.5,11.5,11,11.3,51000,-0.01,0.05,-0.12
 1992/02/26,11.1,11.1,10.85,10.95,70500,-0.05,0.03,-0.17
 1992/02/28,11.2,11.65,11.2,11.45,54000,-0.05,0.01,-0.13
 1992/03/02,11.4,11.55,11.35,11.4,55500,-0.05,0,-0.11
 1992/03/03,11.55,11.55,11.2,11.3,27500,-0.06,-0.01,-0.1
 1992/03/04,11.2,11.25,11.15,11.25,33500,-0.07,-0.02,-0.1
 1992/03/05,11.15,11.2,11.1,11.15,42000,-0.09,-0.04,-0.1
 1992/03/06,11.2,11.25,11.1,11.25,57000,-0.09,-0.05,-0.09
 1992/03/09,11.2,11.25,11,11.15,73000,-0.1,-0.06,-0.08
 1992/03/10,11.1,11.1,10.95,11,45500,-0.12,-0.07,-0.1
 1992/03/11,11,11,10.9,11,71000,-0.13,-0.08,-0.1
