date,o,h,l,c,vol,MACD.DIF,MACD.DEA,MACD.MACD
 1994/01/07,10.6,10.8,9.8,10.15,66384,0,0,0
 1994/01/14,10.55,10.55,8.4,8.7,68426,-0.12,-0.02,-0.19
 1994/01/21,8.8,9.2,8.5,8.6,26210,-0.21,-0.06,-0.3
 1994/01/28,8.65,8.95,7.8,7.8,17762,-0.35,-0.12,-0.46
 1994/02/04,7.5,8.9,6.9,8.9,59745,-0.37,-0.17,-0.4
 1994/02/18,8.9,8.9,7.6,7.8,43302,-0.46,-0.23,-0.47
 1994/02/25,7.75,9.5,7.45,9.05,112961,-0.43,-0.27,-0.33
 1994/03/04,9.1,9.25,8.35,8.45,53714,-0.45,-0.31,-0.29
 1994/03/11,8.45,8.8,8.2,8.55,31295,-0.46,-0.34,-0.24
 1994/03/18,8.85,9.15,8.5,8.6,47030,-0.45,-0.36,-0.18
 1994/03/25,8.65,8.7,7.75,7.9,17349,-0.49,-0.38,-0.22
 1994/04/01,7.85,8.25,7.5,7.5,32673,-0.55,-0.42,-0.27
 1994/04/08,7.4,7.85,7.1,7.2,19889,-0.62,-0.46,-0.32
 1994/04/15,7,7.3,5.9,6.65,29742,-0.71,-0.51,-0.4
 1994/04/22,6.5,6.5,5.2,5.3,53060,-0.88,-0.58,-0.59
 1994/04/29,5.25,6.52,5.15,6.2,78563,-0.93,-0.65,-0.55
 1994/05/06,5.52,6,4.55,4.72,88632,-1.07,-0.74,-0.68
 1994/05/13,4.8,5.65,4.5,5.41,140150,-1.12,-0.81,-0.62
 1994/05/20,5.5,5.5,5,5.1,47349,-1.17,-0.89,-0.57
 1994/05/27,5.05,5.15,4.6,4.67,13140,-1.23,-0.95,-0.55
 1994/06/03,4.6,4.75,4.2,4.24,16610,-1.3,-1.02,-0.55
 1994/06/10,3.9,4.15,1.9,3.7,14291,-1.38,-1.09,-0.57
 1994/06/17,3.7,3.7,3.3,3.66,19775,-1.43,-1.16,-0.54
 1994/06/24,3.66,3.66,3.28,3.31,11478,-1.48,-1.23,-0.51
 1994/07/01,3.3,3.3,3,3.01,7415,-1.53,-1.29,-0.49
 1994/07/08,2.95,2.99,2.76,2.9,4479,-1.56,-1.34,-0.43
 1994/07/15,2.9,2.91,2.6,2.61,4670,-1.59,-1.39,-0.39
 1994/07/22,2.6,2.6,2.1,2.12,13627,-1.63,-1.44,-0.38
 1994/07/29,2.1,2.47,2.08,2.15,37664,-1.64,-1.48,-0.33
 1994/08/05,2.88,4.93,2.5,4.93,218428,-1.41,-1.46,0.11
 1994/08/12,4.95,6.16,4.5,6.01,281675,-1.13,-1.4,0.54
 1994/08/19,5.8,6.14,5.69,5.74,125014,-0.91,-1.3,0.77
 1994/08/26,5.7,5.85,5.4,5.6,60537,-0.75,-1.19,0.88
 1994/09/02,5.5,8.98,5.41,8.97,342053,-0.34,-1.02,1.36
 1994/09/09,9.5,13,9.35,11.2,356905,0.16,-0.78,1.89
 1994/09/16,11.97,12.5,11.01,12.35,220348,0.64,-0.5,2.28
 1994/09/23,12.75,13.6,11.9,13,335854,1.07,-0.19,2.5
 1994/09/30,12.75,18.23,11,12.14,603339,1.32,0.11,2.4
 1994/10/07,11.46,14.5,8.67,13.84,374947,1.63,0.42,2.43
 1994/10/14,13.8,13.84,10.18,12.16,423152,1.73,0.68,2.1
 1994/10/21,11.46,13.21,10.88,11.93,254408,1.77,0.9,1.74
 1994/10/28,11.93,13.1,11.44,11.7,151027,1.76,1.07,1.37
 1994/11/04,11.46,12.12,10.53,10.95,205854,1.67,1.19,0.96
 1994/11/11,10.72,11.44,10.3,10.93,187052,1.58,1.27,0.62
 1994/11/18,11.23,11.37,10.3,10.48,75734,1.46,1.3,0.3
 1994/11/25,10.53,10.55,9.85,10.11,32247,1.31,1.31,0.01
 1994/12/02,9.95,10.18,9.78,9.83,22536,1.16,1.28,-0.23
 1994/12/09,9.78,9.78,8.2,8.41,41132,0.92,1.21,-0.57
 1994/12/16,8.39,13.33,7.94,11.7,686662,0.98,1.16,-0.36
 1994/12/23,11.81,12.75,10.76,11.09,445010,0.97,1.12,-0.31
 1994/12/30,10.88,11.58,10.53,11.25,138517,0.96,1.09,-0.26
 1995/01/06,11.86,12.14,11.25,11.65,70600,0.98,1.07,-0.18
 1995/01/13,11.53,11.53,10.46,10.67,77262,0.9,1.03,-0.27
 1995/01/20,10.06,10.76,9.78,10.25,77209,0.79,0.99,-0.38
 1995/01/27,10.25,10.44,9.95,10.2,49433,0.7,0.93,-0.46
 1995/02/17,9.83,10.44,9.71,10.09,15116,0.61,0.86,-0.51
 1995/02/24,10.25,12.33,9.95,11.21,192663,0.62,0.82,-0.39
 1995/03/03,11.46,12.12,10.76,11.46,99539,0.64,0.78,-0.28
 1995/03/10,11.65,12.35,11.23,11.32,240841,0.64,0.75,-0.23
 1995/03/17,11.32,11.58,10.48,10.95,52150,0.6,0.72,-0.24
 1995/03/24,10.93,11.37,10.48,11,50440,0.57,0.69,-0.25
 1995/03/31,10.88,11.3,10.88,11.04,31697,0.54,0.66,-0.24
 1995/04/07,11.21,11.88,10.74,11.7,58533,0.56,0.64,-0.16
