date,o,h,l,c
 2001/11/29,15.81,17.9,15.8,17.3
 2001/11/30,16.82,17.18,16.55,16.91
 2001/12/03,16.93,17.28,16.8,17.24
 2001/12/04,17.23,17.23,16.71,16.88
 2001/12/05,16.83,17.45,16.72,17.12
 2001/12/06,16.66,17.13,16.58,16.88
 2001/12/07,16.82,17.14,16.71,16.78
 2001/12/10,16.88,16.91,16.65,16.79
 2001/12/11,16.8,17.18,16.79,16.85
 2001/12/12,16.85,17.25,16.7,16.9
 2001/12/13,16.9,17.25,16.89,16.93
 2001/12/14,16.93,17.45,16.9,17.19
 2001/12/17,17.3,17.45,16.93,16.95
 2001/12/18,16.9,16.94,16.01,16.33
 2001/12/19,16.33,16.5,16.1,16.18
 2001/12/20,16.15,16.2,15.27,15.34
 2001/12/21,15.2,15.59,15.08,15.48
 2001/12/24,15.42,15.46,14.81,14.85
 2001/12/25,14.82,15.25,14.78,15.07
 2001/12/26,14.96,15.51,14.85,15.42
 2001/12/27,15.45,15.58,15.3,15.31
 2001/12/28,15.31,15.6,15.31,15.51
 2001/12/31,15.4,15.75,15.4,15.57
 2002/01/04,15.55,15.6,14.96,15.07
 2002/01/07,15,15.26,14.9,15.19
 2002/01/08,15.26,15.32,15.05,15.09
 2002/01/09,14.95,15.1,14.6,14.76
 2002/01/10,14.73,15.1,14.29,14.99
 2002/01/11,14.99,15.08,14.6,14.68
 2002/01/14,14.33,14.49,13.9,13.9
 2002/01/15,13.61,14.2,13.61,13.86
 2002/01/16,13.9,14.23,13.6,14.09
 2002/01/17,14.1,14.1,13.5,13.51
 2002/01/18,13.37,14.1,13.28,13.79
 2002/01/21,13.71,13.9,13.5,13.54
 2002/01/22,13.45,14.1,13.43,13.77
 2002/01/23,13.8,14.57,13.68,14.54
 2002/01/24,14.38,14.95,14.1,14.57
 2002/01/25,14.35,15,14.35,14.8
 2002/01/28,14.67,14.8,13.6,13.65
 2002/01/29,13.39,14.1,13.38,13.94
 2002/01/30,13.8,14.18,13.8,14.17
 2002/01/31,14.2,15.3,14.2,15.2
 2002/02/01,15.18,15.46,14.98,15.14
 2002/02/04,15.15,15.58,15.1,15.38
 2002/02/05,15.38,15.51,15.21,15.39
 2002/02/06,15.4,15.4,15,15.13
 2002/02/07,15.13,15.55,15,15.5
 2002/02/08,15.04,15.85,15.04,15.36
 2002/02/25,15.6,15.87,15.5,15.7
 2002/02/26,15.61,15.63,15.37,15.56
 2002/02/27,15.5,16.05,15.45,15.85
 2002/02/28,15.8,16.04,15.72,15.79
 2002/03/01,15.73,15.73,15.37,15.37
 2002/03/04,15.35,15.99,15.32,15.95
 2002/03/05,15.9,16.36,15.9,16.22
 2002/03/06,16.4,16.61,16.28,16.33
 2002/03/07,16.2,16.78,16.2,16.77
 2002/03/08,16.89,16.9,16.48,16.67
 2002/03/11,16.59,16.88,16.4,16.81
 2002/03/12,16.73,16.85,16.51,16.62
 2002/03/13,16.55,17.18,16.55,16.81
 2002/03/14,16.8,17.05,16.7,17
 2002/03/15,17.05,17.16,16.42,16.58
 2002/03/18,16.6,16.9,16.55,16.68
 2002/03/19,16.68,17.15,16.68,17.14
 2002/03/20,17.22,17.83,17.14,17.38
 2002/03/21,17.6,17.76,17.38,17.43
 2002/03/22,17.98,17.99,17.42,17.91
 2002/03/25,18.09,19.5,17.85,19.17
 2002/03/26,19.1,19.5,18.32,18.7
 2002/03/27,18.6,19.38,18.5,18.91
 2002/03/28,18.82,18.91,18.36,18.39
 2002/03/29,18.3,18.4,17.35,17.42
 2002/04/01,17.44,18.26,17.35,18.25
 2002/04/02,17.98,18.15,17.3,17.6
 2002/04/03,17.55,17.96,17.4,17.5
 2002/04/04,17.55,17.8,17,17.74
 2002/04/05,17.75,17.8,17.54,17.76
 2002/04/08,17.72,18.24,17.65,18.1
 2002/04/09,18.12,18.5,18,18.36
 2002/04/10,18.4,18.47,17.99,18.12
 2002/04/11,18.25,18.25,17.8,17.98
 2002/04/12,17.98,18.1,17.82,18.08
