date,o,h,l,c,,,,
 1996/06/26,7.37,7.48,6.88,7.04,,,,
 1996/06/27,7.1,7.5,6.95,7.42,,,,
 1996/06/28,7.49,7.61,7.1,7.14,,,,
 1996/07/01,7.31,7.31,7.08,7.09,,,,
 1996/07/02,7.15,7.2,7.01,7.16,,,,
 1996/07/03,7.22,7.3,7.1,7.26,,,,
 1996/07/04,7.3,7.45,7.18,7.41,,,,
 1996/07/05,7.41,7.42,7.1,7.13,,,,
 1996/07/08,7.1,7.2,6.9,6.97,,,,
 1996/07/09,6.91,6.95,6.2,6.79,,,,
 1996/07/10,6.72,7,6.72,6.88,,,,
 1996/07/11,6.91,7.02,6.78,6.79,,,,
 1996/07/12,6.85,6.98,6.79,6.9,,,,
 1996/07/15,6.85,6.9,6.66,6.7,,,,
 1996/07/16,6.68,6.95,6.68,6.8,,,,
 1996/07/17,6.85,6.99,6.8,6.8,,,,
 1996/07/18,6.9,6.93,6.68,6.83,,,,
 1996/07/19,6.85,6.93,6.72,6.9,,,,
 1996/07/22,7.03,7.2,6.95,7.16,,,,
 1996/07/23,7.2,7.2,6.96,7.03,,,,
 1996/07/24,7.1,7.2,7.02,7.11,,,,
 1996/07/25,7.2,7.51,7.16,7.19,,,,
 1996/07/26,7.23,7.28,6.95,6.98,,,,
 1996/07/29,6.98,7.25,6.98,7.16,,,,
 1996/07/30,7.2,7.23,7.07,7.07,,,,
 1996/07/31,7.05,7.1,6.85,6.91,,,,
 1996/08/01,6.87,6.98,6.85,6.88,,,,
 1996/08/02,6.93,6.98,6.77,6.86,,,,
 1996/08/05,6.9,7.05,6.8,7,,,,
 1996/08/06,7.08,7.4,7.02,7.34,,,,
 1996/08/07,7.34,7.38,7.18,7.22,,,,
 1996/08/08,7.16,7.42,7.16,7.36,,,,
 1996/08/09,7.34,7.87,7.3,7.78,,,,
 1996/08/12,7.88,8.18,7.88,8.06,,,,
 1996/08/13,8.06,8.06,7.76,7.95,,,,
 1996/08/14,8,8.37,8,8.09,,,,
 1996/08/15,8,8.29,7.92,8.17,,,,
 1996/08/16,8.18,8.18,7.9,8.01,,,,
 1996/08/19,7.95,8.11,7.82,7.82,,,,
 1996/08/20,7.88,8.1,7.72,7.81,,,,
 1996/08/21,7.89,8.08,7.89,8.04,,,,
 1996/08/22,8.1,8.18,7.96,7.99,,,,
 1996/08/23,8,8.6,7.83,8.4,,,,
 1996/08/26,8.45,8.5,8.02,8.12,,,,
 1996/08/27,7.8,8.2,7.8,7.97,,,,
 1996/08/28,8.05,8.78,8.04,8.78,,,,
 1996/08/29,9.5,9.5,8.88,9.24,,,,
 1996/08/30,9.41,9.88,9.16,9.67,,,,
 1996/09/02,9.82,9.94,9.6,9.7,,,,
 1996/09/03,9.78,9.85,9.22,9.3,,,,
 1996/09/04,9.3,9.64,9.2,9.58,,,,
 1996/09/05,9.7,10.25,9.63,9.68,,,,
 1996/09/06,9.68,9.82,9.36,9.45,,,,
 1996/09/09,9.4,9.6,9.22,9.54,,,,
 1996/09/10,9.3,9.52,8.96,8.98,,,,
 1996/09/11,8.9,9.17,8.85,8.99,,,,
 1996/09/12,9.08,9.3,8.58,8.75,,,,
 1996/09/13,8.66,8.98,8.52,8.97,,,,
 1996/09/16,8.98,8.99,8.68,8.78,,,,
 1996/09/17,8.8,9.1,8.78,8.89,,,,
 1996/09/18,8.92,9.28,8.78,8.78,,,,
 1996/09/19,8.72,8.91,8.61,8.9,,,,
 1996/09/20,8.9,9.45,8.9,9.45,,,,
 1996/09/23,9.51,10.15,9.51,10.1,,,,
 1996/09/24,10.3,10.6,10.02,10.15,,,,
 1996/09/25,10.22,10.39,9.75,9.78,,,,
 1996/09/26,9.9,10.39,9.88,10.35,,,,
 1996/09/27,10.4,10.88,10.35,10.43,,,,
 1996/10/03,10.8,11.25,10.6,10.68,,,,
 1996/10/04,10.58,10.88,10.5,10.68,,,,
 1996/10/07,10.73,10.75,10.21,10.58,,,,
 1996/10/08,10.5,10.72,10.31,10.47,,,,
 1996/10/09,10.58,10.62,10.3,10.37,,,,
 1996/10/10,10.45,10.7,10.42,10.57,,,,
 1996/10/11,10.6,11.3,10.5,10.9,,,,
 1996/10/14,11.03,11.2,10.69,10.8,,,,
 1996/10/15,10.9,10.95,10.65,10.95,,,,
 1996/10/16,11.01,11.48,10.78,10.98,,,,
 1996/10/17,11.06,11.28,10.85,11.16,,,,
 1996/10/18,11.37,11.45,10.08,10.55,,,,
 1996/10/21,10.61,10.75,10.4,10.5,,,,
 1996/10/22,10.5,10.78,10.21,10.68,,,,
 1996/10/23,10.7,10.92,10.58,10.9,,,,
 1996/10/24,11.15,11.17,10.89,11.1,,,,
 1996/10/25,11.1,11.12,10.85,10.98,,,,
 1996/10/28,10.9,11.7,10.85,11.4,,,,
 1996/10/29,11.6,11.83,11.13,11.3,,,,
 1996/10/30,11.18,11.3,10.52,10.52,,,,
 1996/10/31,10.71,11,10.45,10.79,,,,
 1996/11/01,10.55,10.78,10.12,10.36,,,,
 1996/11/04,10.28,10.5,10.18,10.45,,,,
 1996/11/05,10.45,10.6,10.2,10.28,,,,
 1996/11/06,10.31,10.31,9.7,10.05,,,,
 1996/11/07,10.1,10.34,9.88,10.23,,,,
 1996/11/08,10.3,11.1,10.3,11.08,,,,
 1996/11/11,11.3,11.55,11.3,11.45,,,,
 1996/11/12,11.5,11.5,10.95,11.1,,,,
 1996/11/13,11.2,11.37,10.97,11.09,,,,
 1996/11/14,11.1,11.34,11,11.06,,,,
 1996/11/15,10.98,11.15,10.65,10.93,,,,
 1996/11/18,10.9,11.5,10.9,11.4,,,,
 1996/11/19,11.55,12.2,11.5,11.7,,,,
 1996/11/20,11.56,11.9,11.45,11.85,,,,
 1996/11/21,12.08,13,11.8,11.8,,,,
 1996/11/22,11.69,13,11.6,12.94,,,,
 1996/11/25,13.18,13.38,12.7,13.17,,,,
