date,o,h,l,c
 2006/12/18,8532,9019,8516,8832
 2006/12/19,8834,8919,8777,8867
 2006/12/20,8906,8930,8870,8918
 2006/12/21,8873,8904,8823,8870
 2006/12/22,8853,8887,8783,8880
 2006/12/25,8890,9098,8885,9058
 2006/12/26,9060,9101,9009,9091
 2006/12/27,9021,9062,8949,8959
 2006/12/28,8944,8953,8803,8809
 2006/12/29,8803,8878,8724,8841
 2007/01/04,8645,8749,8508,8716
 2007/01/05,8647,8787,8601,8764
 2007/01/08,8784,8817,8723,8731
 2007/01/09,8715,8803,8704,8761
 2007/01/10,8778,8801,8731,8736
 2007/01/11,8694,8773,8693,8726
 2007/01/12,8710,8734,8640,8661
 2007/01/15,8726,8767,8674,8686
 2007/01/16,8697,8732,8607,8614
 2007/01/17,8587,8629,8462,8479
 2007/01/18,8524,8524,8347,8363
 2007/01/19,8338,8387,8247,8344
 2007/01/22,8357,8375,8100,8125
 2007/01/23,8058,8183,8048,8155
 2007/01/24,8213,8306,8174,8248
 2007/01/25,8249,8279,8206,8245
 2007/01/26,8251,8290,8224,8275
 2007/01/29,8302,8327,8200,8211
 2007/01/30,8176,8217,8128,8188
 2007/01/31,8271,8303,8231,8260
 2007/02/01,8268,8302,8253,8281
 2007/02/02,8257,8331,8187,8195
 2007/02/05,8242,8256,8153,8183
 2007/02/06,8171,8229,8169,8214
 2007/02/07,8239,8289,8217,8274
 2007/02/08,8239,8284,8207,8251
 2007/02/09,8301,8376,8277,8302
 2007/02/12,8289,8352,8275,8344
 2007/02/13,8317,8417,8317,8403
 2007/02/14,8416,8455,8380,8439
 2007/02/15,8414,8437,8388,8410
 2007/02/16,8403,8427,8388,8420
 2007/02/26,8486,8527,8399,8414
 2007/02/27,8402,8430,8363,8401
 2007/02/28,8346,8413,8322,8398
 2007/03/01,8414,8459,8383,8456
 2007/03/02,8449,8517,8442,8513
 2007/03/05,8480,8504,8439,8459
 2007/03/06,8450,8484,8412,8470
 2007/03/07,8478,8506,8461,8481
 2007/03/08,8493,8503,8453,8477
 2007/03/09,8498,8507,8435,8458
 2007/03/12,8408,8425,8347,8368
 2007/03/13,8387,8408,8366,8378
 2007/03/14,8361,8378,8329,8363
 2007/03/15,8387,8427,8359,8391
 2007/03/16,8351,8379,8329,8377
 2007/03/19,8391,8420,8373,8390
 2007/03/20,8399,8401,8360,8376
 2007/03/21,8376,8392,8366,8369
 2007/03/22,8380,8404,8376,8387
 2007/03/23,8413,8438,8403,8418
 2007/03/26,8423,8423,8384,8389
 2007/03/27,8402,8404,8318,8327
 2007/03/28,8359,8397,8321,8381
 2007/03/29,8372,8379,8335,8344
 2007/03/30,8374,8409,8371,8378
 2007/04/02,8345,8519,8340,8515
 2007/04/03,8541,8639,8512,8615
 2007/04/04,8622,8669,8599,8615
 2007/04/05,8633,8650,8592,8622
 2007/04/06,8606,8663,8560,8602
 2007/04/09,8634,8670,8593,8632
 2007/04/10,8572,8615,8562,8605
 2007/04/11,8610,8653,8589,8630
 2007/04/12,8659,8757,8654,8743
 2007/04/13,8801,8881,8767,8828
 2007/04/16,8874,8979,8870,8942
 2007/04/17,8935,8961,8895,8908
 2007/04/18,8948,8990,8694,8838
 2007/04/19,8843,8857,8675,8766
 2007/04/20,8754,8844,8752,8784
 2007/04/23,8851,8887,8805,8819
 2007/04/24,8912,8922,8866,8875
 2007/04/25,8830,8880,8827,8848
 2007/04/26,8899,8943,8874,8925
 2007/04/27,8930,8966,8890,8897
 2007/04/30,8934,8939,8903,8912
 2007/05/08,8828,8864,8784,8826
 2007/05/09,8836,8864,8789,8813
 2007/05/10,8752,8802,8747,8777
 2007/05/11,8790,8799,8645,8681
 2007/05/14,8690,8855,8660,8842
 2007/05/15,8867,8927,8823,8891
 2007/05/16,8910,8912,8829,8866
 2007/05/17,8843,8859,8787,8815
 2007/05/18,8915,8918,8839,8871
 2007/05/21,8809,8899,8790,8844
 2007/05/22,8893,8918,8854,8881
 2007/05/23,8843,8870,8791,8869
 2007/05/24,8906,8939,8867,8923
 2007/05/25,8872,8952,8866,8950
 2007/05/28,9001,9038,8929,8948
 2007/05/29,8955,8956,8873,8880
 2007/05/30,8855,8880,8837,8857
