,avge,avge2,count,rlist,sum,sum2
0,8.81316408491,8.18139236948,1743,"('gt_ma',)",15361.345,14260.1669
1,-4.75926717557,-5.03974631043,1572,"('lt_ma',)",-7481.568,-7922.4812
2,4.58789612015,4.14959743429,3196,"('ma_up',)",14662.916,13262.1134
3,-1.112766009,-1.43101775701,2889,"('ma_down',)",-3214.781,-4134.2103
4,4.99643494898,4.62039614158,3136,"('kdj_up',)",15668.82,14489.5623
5,-1.47682577808,-1.86281163735,2956,"('kdj_down',)",-4365.497,-5506.4712
6,9.39020439292,8.71834466138,1639,"('gt_ma', 'ma_up')",15390.545,14289.3669
7,0.661262135922,0.661262135922,103,"('gt_ma', 'ma_down')",68.11,68.11
8,9.52087528517,8.66846304183,1315,"('gt_ma', 'kdj_up')",12519.951,11399.0289
9,6.63877102804,6.68490186916,428,"('gt_ma', 'kdj_down')",2841.394,2861.138
10,-7.085848,-7.085848,125,"('lt_ma', 'ma_up')",-885.731,-885.731
11,-4.57617785467,-4.88130809689,1445,"('lt_ma', 'ma_down')",-6612.577,-7053.4902
12,-6.70345187166,-6.4031631016,374,"('lt_ma', 'kdj_up')",-2507.091,-2394.783
13,-4.17396989967,-4.63652943144,1196,"('lt_ma', 'kdj_down')",-4992.068,-5545.2892
14,5.71992084211,5.15257823158,2375,"('ma_up', 'kdj_up')",13584.812,12237.3733
15,1.18231135531,1.11715396825,819,"('ma_up', 'kdj_down')",968.313,914.9491
16,2.90027718833,3.12332891247,754,"('ma_down', 'kdj_up')",2186.809,2354.99
17,-2.52277413308,-3.03243219306,2134,"('ma_down', 'kdj_down')",-5383.6,-6471.2103
18,9.90951323988,9.03652095016,1284,"('gt_ma', 'ma_up', 'kdj_up')",12723.815,11602.8929
19,7.51191549296,7.56753239437,355,"('gt_ma', 'ma_up', 'kdj_down')",2666.73,2686.474
20,-3.5518,-3.5518,30,"('gt_ma', 'ma_down', 'kdj_up')",-106.554,-106.554
21,2.39265753425,2.39265753425,73,"('gt_ma', 'ma_down', 'kdj_down')",174.664,174.664
22,-6.38501351351,-6.38501351351,74,"('lt_ma', 'ma_up', 'kdj_up')",-472.491,-472.491
23,-8.63742,-8.63742,50,"('lt_ma', 'ma_up', 'kdj_down')",-431.871,-431.871
24,-6.86414715719,-6.48853511706,299,"('lt_ma', 'ma_down', 'kdj_up')",-2052.38,-1940.072
25,-3.97922949389,-4.46197050611,1146,"('lt_ma', 'ma_down', 'kdj_down')",-4560.197,-5113.4182
