,avge,avge2,count,rlist,sum,sum2
0,10.4648226467,10.3226248295,733,"('gt_ma',)",7670.715,7566.484
1,-5.27139151713,-5.25248646003,613,"('lt_ma',)",-3231.363,-3219.7742
2,3.5010242047,3.54638029046,1446,"('ma_up',)",5062.481,5128.0659
3,-0.62678212766,-1.45680161702,1175,"('ma_down',)",-736.469,-1711.7419
4,-4.04611023622,-3.79212598425,127,"('ma_crossup',)",-513.856,-481.6
5,0.536196261682,0.350914953271,1391,"('kdj_up',)",745.849,488.1227
6,2.8774922827,2.34787270512,1231,"('kdj_down',)",3542.193,2890.2313
7,11.0362630058,10.8856401734,692,"('gt_ma', 'ma_up')",7637.094,7532.863
8,0.820024390244,0.820024390244,41,"('gt_ma', 'ma_down')",33.621,33.621
9,4.82537681159,4.82537681159,69,"('gt_ma', 'ma_crossup')",332.951,332.951
10,8.17686015038,8.02012180451,665,"('gt_ma', 'kdj_up')",5437.612,5333.381
11,32.83975,32.83975,68,"('gt_ma', 'kdj_down')",2233.103,2233.103
12,-45.6043137255,-42.647645098,51,"('lt_ma', 'ma_up')",-2325.82,-2175.0299
13,-1.59556684492,-1.84369750446,561,"('lt_ma', 'ma_down')",-895.113,-1034.3143
14,-61.706125,-61.706125,8,"('lt_ma', 'ma_crossup')",-493.649,-493.649
15,-7.65924590164,-7.65924590164,61,"('lt_ma', 'kdj_up')",-467.214,-467.214
16,-4.99767513612,-4.97664283122,551,"('lt_ma', 'kdj_down')",-2753.719,-2742.1302
17,-5.34330081301,-5.08105691057,123,"('ma_up', 'ma_crossup')",-657.226,-624.97
18,2.06667669819,1.99341341359,1163,"('ma_up', 'kdj_up')",2403.545,2318.3398
19,9.3955335689,9.92836077739,283,"('ma_up', 'kdj_down')",2658.936,2809.7261
20,35.8425,35.8425,4,"('ma_down', 'ma_crossup')",143.37,143.37
21,-7.27059649123,-8.02726798246,228,"('ma_down', 'kdj_up')",-1657.696,-1830.2171
22,0.972784582893,0.125105807814,947,"('ma_down', 'kdj_down')",921.227,118.4752
23,-3.17747058824,-2.90641176471,119,"('ma_crossup', 'kdj_up')",-378.119,-345.863
24,-16.967125,-16.967125,8,"('ma_crossup', 'kdj_down')",-135.737,-135.737
25,4.82537681159,4.82537681159,69,"('gt_ma', 'ma_up', 'ma_crossup')",332.951,332.951
26,8.64155,8.4786890625,640,"('gt_ma', 'ma_up', 'kdj_up')",5530.592,5426.361
27,40.5096538462,40.5096538462,52,"('gt_ma', 'ma_up', 'kdj_down')",2106.502,2106.502
28,-3.7192,-3.7192,25,"('gt_ma', 'ma_down', 'kdj_up')",-92.98,-92.98
29,7.9125625,7.9125625,16,"('gt_ma', 'ma_down', 'kdj_down')",126.601,126.601
30,4.82537681159,4.82537681159,69,"('gt_ma', 'ma_crossup', 'kdj_up')",332.951,332.951
31,-61.706125,-61.706125,8,"('lt_ma', 'ma_up', 'ma_crossup')",-493.649,-493.649
32,-32.71044,-32.71044,25,"('lt_ma', 'ma_up', 'kdj_up')",-817.761,-817.761
33,-58.0022692308,-52.20265,26,"('lt_ma', 'ma_up', 'kdj_down')",-1508.059,-1357.2689
34,9.73741666667,9.73741666667,36,"('lt_ma', 'ma_down', 'kdj_up')",350.547,350.547
35,-2.37268571429,-2.63783104762,525,"('lt_ma', 'ma_down', 'kdj_down')",-1245.66,-1384.8613
36,-63.7328571429,-63.7328571429,7,"('lt_ma', 'ma_crossup', 'kdj_up')",-446.13,-446.13
37,-47.519,-47.519,1,"('lt_ma', 'ma_crossup', 'kdj_down')",-47.519,-47.519
38,-2.34956410256,-2.07387179487,117,"('ma_up', 'ma_crossup', 'kdj_up')",-274.899,-242.643
39,-63.7211666667,-63.7211666667,6,"('ma_up', 'ma_crossup', 'kdj_down')",-382.327,-382.327
40,-51.61,-51.61,2,"('ma_down', 'ma_crossup', 'kdj_up')",-103.22,-103.22
41,123.295,123.295,2,"('ma_down', 'ma_crossup', 'kdj_down')",246.59,246.59
42,4.82537681159,4.82537681159,69,"('gt_ma', 'ma_up', 'ma_crossup', 'kdj_up')",332.951,332.951
43,-63.7328571429,-63.7328571429,7,"('lt_ma', 'ma_up', 'ma_crossup', 'kdj_up')",-446.13,-446.13
44,-47.519,-47.519,1,"('lt_ma', 'ma_up', 'ma_crossup', 'kdj_down')",-47.519,-47.519
