,avge,avge2,count,rlist,sum,sum2
0,14.4301906722,13.8442758573,729,"('gt_ma',)",10519.609,10092.4771
1,-9.89505516014,-10.4812362989,562,"('lt_ma',)",-5561.021,-5890.4548
2,17.5137877219,16.2041439349,1352,"('ma_up',)",23678.641,21908.0026
3,2.00734232558,1.01926344186,1075,"('ma_down',)",2157.893,1095.7082
4,18.5527460064,17.7307007987,1252,"('kdj_up',)",23228.038,22198.8374
5,2.32289352641,0.786588074957,1174,"('kdj_down',)",2727.077,923.4544
6,17.3276216617,16.6938948071,674,"('gt_ma', 'ma_up')",11678.817,11251.6851
7,-21.0765090909,-21.0765090909,55,"('gt_ma', 'ma_down')",-1159.208,-1159.208
8,21.7057422303,20.9248795247,547,"('gt_ma', 'kdj_up')",11873.041,11445.9091
9,-6.82238121547,-6.82238121547,181,"('gt_ma', 'kdj_down')",-1234.851,-1234.851
10,24.3432826087,24.3432826087,46,"('lt_ma', 'ma_up')",1119.791,1119.791
11,-12.9473100775,-13.5857476744,516,"('lt_ma', 'ma_down')",-6680.812,-7010.2458
12,-14.3518782609,-9.09854521739,115,"('lt_ma', 'kdj_up')",-1650.466,-1046.3327
13,-8.74844519016,-10.8369621924,447,"('lt_ma', 'kdj_down')",-3910.555,-4844.1221
14,21.8366719368,20.2227056324,1012,"('ma_up', 'kdj_up')",22098.712,20465.3781
15,5.0103539823,4.6053259587,339,"('ma_up', 'kdj_down')",1698.51,1561.2055
16,4.705525,7.22274708333,240,"('ma_down', 'kdj_up')",1129.326,1733.4593
17,1.23181676647,-0.763773772455,835,"('ma_down', 'kdj_down')",1028.567,-637.7511
18,21.8720780669,21.0781526022,538,"('gt_ma', 'ma_up', 'kdj_up')",11767.178,11340.0461
19,0.223851851852,0.223851851852,135,"('gt_ma', 'ma_up', 'kdj_down')",30.22,30.22
20,11.7625555556,11.7625555556,9,"('gt_ma', 'ma_down', 'kdj_up')",105.863,105.863
21,-27.5015434783,-27.5015434783,46,"('gt_ma', 'ma_down', 'kdj_down')",-1265.071,-1265.071
22,63.6297407407,63.6297407407,27,"('lt_ma', 'ma_up', 'kdj_up')",1718.003,1718.003
23,-31.4848421053,-31.4848421053,19,"('lt_ma', 'ma_up', 'kdj_down')",-598.212,-598.212
24,-38.2780568182,-31.4129056818,88,"('lt_ma', 'ma_down', 'kdj_up')",-3368.469,-2764.3357
25,-7.73911915888,-9.92035070093,428,"('lt_ma', 'ma_down', 'kdj_down')",-3312.343,-4245.9101
