,avge,avge2,count,rlist,sum,sum2
0,6.80735939643,6.32687668038,729,"('gt_ma',)",4962.565,4612.2931
1,-11.326747331,-11.6237434164,562,"('lt_ma',)",-6365.632,-6532.5438
2,9.34196671598,8.40226523669,1352,"('ma_up',)",12630.339,11359.8626
3,-2.22205116279,-2.62709655814,1075,"('ma_down',)",-2388.705,-2824.1288
4,21.4395625,21.4395625,128,"('ma_crossup',)",2744.264,2744.264
5,10.5183330671,10.1292215655,1252,"('kdj_up',)",13168.953,12681.7854
6,-2.47728960818,-3.5153923339,1174,"('kdj_down',)",-2908.338,-4127.0706
7,8.99510682493,8.47541557864,674,"('gt_ma', 'ma_up')",6062.702,5712.4301
8,-20.0024909091,-20.0024909091,55,"('gt_ma', 'ma_down')",-1100.137,-1100.137
9,28.8557848101,28.8557848101,79,"('gt_ma', 'ma_crossup')",2279.607,2279.607
10,11.0317276051,10.3913767824,547,"('gt_ma', 'kdj_up')",6034.355,5684.0831
11,-5.81662430939,-5.81662430939,181,"('gt_ma', 'kdj_down')",-1052.809,-1052.809
12,11.3772391304,11.3772391304,46,"('lt_ma', 'ma_up')",523.353,523.353
13,-13.350746124,-13.6742186047,516,"('lt_ma', 'ma_down')",-6888.985,-7055.8968
14,-72.82125,-72.82125,8,"('lt_ma', 'ma_crossup')",-582.57,-582.57
15,-20.9198869565,-15.8216756522,115,"('lt_ma', 'kdj_up')",-2405.787,-1819.4927
16,-8.85871364653,-10.5437384787,447,"('lt_ma', 'kdj_down')",-3959.845,-4713.0511
17,22.1171290323,22.1171290323,124,"('ma_up', 'ma_crossup')",2742.524,2742.524
18,12.5858606719,11.5251275692,1012,"('ma_up', 'kdj_up')",12736.891,11663.4291
19,-0.258321533923,-0.839485250737,339,"('ma_up', 'kdj_down')",-87.571,-284.5855
20,0.435,0.435,4,"('ma_down', 'ma_crossup')",1.74,1.74
21,1.80025833333,4.24315125,240,"('ma_down', 'kdj_up')",432.062,1018.3563
22,-3.37816407186,-4.60177856287,835,"('ma_down', 'kdj_down')",-2820.767,-3842.4851
23,25.8645211268,25.8645211268,71,"('ma_crossup', 'kdj_up')",1836.381,1836.381
24,15.9277719298,15.9277719298,57,"('ma_crossup', 'kdj_down')",907.883,907.883
25,28.8557848101,28.8557848101,79,"('gt_ma', 'ma_up', 'ma_crossup')",2279.607,2279.607
26,11.2931654275,10.6421024164,538,"('gt_ma', 'ma_up', 'kdj_up')",6075.723,5725.4511
27,0.0441481481482,0.0441481481482,135,"('gt_ma', 'ma_up', 'kdj_down')",5.96,5.96
28,-4.59644444444,-4.59644444444,9,"('gt_ma', 'ma_down', 'kdj_up')",-41.368,-41.368
29,-23.0167173913,-23.0167173913,46,"('gt_ma', 'ma_down', 'kdj_down')",-1058.769,-1058.769
30,36.7737115385,36.7737115385,52,"('gt_ma', 'ma_crossup', 'kdj_up')",1912.233,1912.233
31,13.6064444444,13.6064444444,27,"('gt_ma', 'ma_crossup', 'kdj_down')",367.374,367.374
32,-146.0775,-146.0775,4,"('lt_ma', 'ma_up', 'ma_crossup')",-584.31,-584.31
33,47.3361111111,47.3361111111,27,"('lt_ma', 'ma_up', 'kdj_up')",1278.075,1278.075
34,-39.7222105263,-39.7222105263,19,"('lt_ma', 'ma_up', 'kdj_down')",-754.722,-754.722
35,0.435,0.435,4,"('lt_ma', 'ma_down', 'ma_crossup')",1.74,1.74
36,-41.8620681818,-35.1996329545,88,"('lt_ma', 'ma_down', 'kdj_up')",-3683.862,-3097.5677
37,-7.48860514019,-9.24843247664,428,"('lt_ma', 'ma_down', 'kdj_down')",-3205.123,-3958.3291
38,-71.16,-71.16,1,"('lt_ma', 'ma_crossup', 'kdj_up')",-71.16,-71.16
39,-73.0585714286,-73.0585714286,7,"('lt_ma', 'ma_crossup', 'kdj_down')",-511.41,-511.41
40,25.8645211268,25.8645211268,71,"('ma_up', 'ma_crossup', 'kdj_up')",1836.381,1836.381
41,17.0970377358,17.0970377358,53,"('ma_up', 'ma_crossup', 'kdj_down')",906.143,906.143
42,0.435,0.435,4,"('ma_down', 'ma_crossup', 'kdj_down')",1.74,1.74
43,36.7737115385,36.7737115385,52,"('gt_ma', 'ma_up', 'ma_crossup', 'kdj_up')",1912.233,1912.233
44,13.6064444444,13.6064444444,27,"('gt_ma', 'ma_up', 'ma_crossup', 'kdj_down')",367.374,367.374
45,-71.16,-71.16,1,"('lt_ma', 'ma_up', 'ma_crossup', 'kdj_up')",-71.16,-71.16
46,-171.05,-171.05,3,"('lt_ma', 'ma_up', 'ma_crossup', 'kdj_down')",-513.15,-513.15
47,0.435,0.435,4,"('lt_ma', 'ma_down', 'ma_crossup', 'kdj_down')",1.74,1.74
