,avge,avge2,count,rlist,sum,sum2
0,607.517500752,524.602474436,665,"('gt_ma',)",403999.138,348860.6455
1,452.550364865,294.217020077,518,"('lt_ma',)",234421.089,152404.4164
2,641.574199678,558.353576167,1242,"('ma_up',)",796835.156,693475.1416
3,478.059221884,329.505784093,987,"('ma_down',)",471844.452,325222.2089
4,623.621295713,551.542226597,1143,"('kdj_up',)",712799.141,630412.765
5,513.008073733,358.340479447,1085,"('kdj_down',)",556613.76,388799.4202
6,627.046184039,538.544159121,614,"('gt_ma', 'ma_up')",385006.357,330666.1137
7,372.407470588,356.75552549,51,"('gt_ma', 'ma_down')",18992.781,18194.5318
8,640.772440644,571.370654728,497,"('gt_ma', 'kdj_up')",318463.903,283971.2154
9,516.578011976,391.642304192,167,"('gt_ma', 'kdj_down')",86268.528,65404.2648
10,663.331119048,584.686678571,42,"('lt_ma', 'ma_up')",27859.907,24556.8405
11,433.952063025,268.587344328,476,"('lt_ma', 'ma_down')",206561.182,127847.5759
12,568.693148148,306.029212963,108,"('lt_ma', 'kdj_up')",61418.86,33051.155
13,421.956656098,291.10551561,410,"('lt_ma', 'kdj_down')",173002.229,119353.2614
14,631.984582703,595.449671568,925,"('ma_up', 'kdj_up')",584585.739,550790.9462
15,673.995917722,453.161487658,316,"('ma_up', 'kdj_down')",212982.71,143199.0301
16,588.13487156,365.237700917,218,"('ma_down', 'kdj_up')",128213.402,79621.8188
17,446.854421326,319.376320026,769,"('ma_down', 'kdj_down')",343631.05,245600.3901
18,631.268952965,567.283051329,489,"('gt_ma', 'ma_up', 'kdj_up')",308690.518,277401.4121
19,621.363967742,433.705937903,124,"('gt_ma', 'ma_up', 'kdj_down')",77049.132,53779.5363
20,1221.673125,821.2254125,8,"('gt_ma', 'ma_down', 'kdj_up')",9773.385,6569.8033
21,214.40455814,270.342523256,43,"('gt_ma', 'ma_down', 'kdj_down')",9219.396,11624.7285
22,668.157153846,667.187130769,26,"('lt_ma', 'ma_up', 'kdj_up')",17372.086,17346.8654
23,655.4888125,450.62344375,16,"('lt_ma', 'ma_up', 'kdj_down')",10487.821,7209.9751
24,537.155780488,191.515726829,82,"('lt_ma', 'ma_down', 'kdj_up')",44046.774,15704.2896
25,412.473116751,284.627630203,394,"('lt_ma', 'ma_down', 'kdj_down')",162514.408,112143.2863
