,date,open,close,high,low,ma5,ma10,ma20,ma60,ma1_crossup_2,ma1_crossdown_2
8,,2962.191,3037.041,3042.091,2962.191,2976.2,2947.35,3038.125,3455.075,2962.191,0.0
35,,3760.901,3731.001,3772.621,3727.321,3764.8,3803.05,3736.625,3666.467,0.0,3731.001
44,,3754.961,3767.911,3810.221,3750.931,3723,3679.25,3685.25,3584.567,3754.961,0.0
48,,3573.881,3711.321,3712.501,3571.001,3640.3,3662.95,3691.225,3552,0.0,3711.321
52,,3668.841,3623.021,3668.841,3619.441,3691.9,3671.55,3719.275,3532.117,3668.841,0.0
58,,3554.891,3566.411,3587.971,3455.071,3683.7,3719.5,3730.075,3498.283,0.0,3566.411
60,,3795.251,3759.431,3805.841,3756.821,3764.5,3758.2,3724.4,3483.417,3795.251,0.0
65,,3725.621,3774.971,3775.231,3714.671,3751.9,3785.55,3673.85,3462.3,0.0,3774.971
73,,3796.381,3840.351,3891.771,3796.381,3686.8,3609.5,3561.85,3494.05,3796.381,0.0
77,,3484.721,3465.491,3501.701,3452.621,3506.7,3528.5,3477.8,3502.508,0.0,3465.491
92,,3422.481,3445.042,3452.052,3413.971,3346.5,3293.4,3295.825,3631.158,3422.481,0.0
96,,3195.901,3202.951,3223.911,3186.771,3228.3,3254,3284.95,3665.592,0.0,3202.951
99,,3272.672,3231.952,3290.862,3201.912,3285.5,3265.8,3299.45,3705.058,3272.672,0.0
106,,3149.161,3309.251,3345.921,3131.371,3289.5,3315.9,3374.025,3850.242,0.0,3309.251
112,,3221.791,3334.021,3340.221,3170.811,3335.7,3257.1,3601.375,4024.917,3221.791,0.0
122,,3714.291,3589.541,3757.781,3578.171,3828,3945.65,3901.6,4347.425,0.0,3589.541
131,,3947.471,4084.361,4101.73,3932.841,3927.6,3884.1,3989.925,4494.017,3947.471,0.0
139,,3839.961,3930.381,3934.001,3769.191,3997.5,4062,4024.925,4593.292,0.0,3930.381
148,,3949.641,3997.361,4067.021,3856.321,4079,3976.8,4253.5,4693.617,3949.641,0.0
167,,5107.692,4930.552,5121.222,4926.433,5138.1,5220.8,5143.85,4709.183,0.0,4930.552
176,,5254.912,5230.552,5288.342,5104.182,5158.7,5094.8,4913.825,4496.167,5254.912,0.0
177,,5156.012,5181.422,5194.232,4863.472,5080.8,5066.9,4880.225,4467.742,0.0,5181.422
191,,4690.751,4617.472,4690.751,4592.051,4694.9,4644.1,4671.75,4128.642,4690.751,0.0
197,,4520.822,4470.092,4546.342,4467.462,4631.5,4692.5,4588.1,3999.225,0.0,4470.092
233,,3641.769,3705.669,3705.739,3621.119,3592.3,3551.3,3525.375,3476.217,3641.769,0.0
238,,3449.699,3537.749,3546.709,3417.489,3510.3,3529.25,3470.525,3441.675,0.0,3537.749
248,,3473.289,3499.479,3504.479,3466.609,3450.7,3411.8,3459.05,3320.475,3473.289,0.0
257,,3388.599,3437.449,3441.709,3360.719,3446.6,3510.4,3518.725,3193.508,0.0,3437.449
262,,3614.039,3574.929,3616.259,3510.019,3574.2,3536.4,3543.55,3115.242,3614.039,0.0
270,,3501.72,3604.12,3604.12,3482.27,3536.2,3570.05,3471.7,2967.942,0.0,3604.12
304,,2695.259,2723.019,2723.359,2690.309,2635.7,2598.5,2560.925,2467.075,2695.259,0.0
307,,2537.539,2583.459,2585.359,2530.029,2553.3,2564.6,2519.875,2449.983,0.0,2583.459
321,,2515.82,2512.55,2524.17,2502.06,2471.6,2436.55,2447.5,2405.708,2515.82,0.0
332,,2443.219,2441.729,2456.109,2410.399,2450.3,2457.75,2436.65,2373.3,0.0,2441.729
342,,2430.809,2437.199,2439.649,2420.499,2418.9,2415.55,2412.975,2324.5,2430.809,0.0
348,,2396.379,2408.659,2414.949,2389.619,2414.8,2425.05,2388.25,2298.842,0.0,2408.659
357,,2411.929,2426.219,2427.299,2404.079,2383,2358.65,2358.25,2257.992,2411.929,0.0
363,,2323.789,2327.599,2336.739,2322.889,2342.8,2352.6,2352.7,2235.808,0.0,2327.599
370,,2366.269,2374.559,2379.799,2361.199,2357.4,2354.35,2323.2,2212.592,2366.269,0.0
373,,2358.459,2358.899,2370.509,2335.689,2348,2352.8,2294.025,2201.667,0.0,2358.899
390,,2164.22,2166.29,2171.94,2158.96,2166.7,2162.5,2161.925,2154.767,2164.22,0.0
396,,2136.32,2148.01,2154.74,2134.79,2159.3,2165.6,2157.65,2159.025,0.0,2148.01
404,,2169.2,2164.56,2171.15,2157.13,2152.4,2146.5,2151.3,2168.067,2169.2,0.0
410,,2137.93,2134.11,2147.23,2132.45,2145.5,2157.1,2152.65,2169.1,0.0,2134.11
416,,2150.99,2176.24,2183.65,2150.57,2157.2,2150.6,2146.275,2168.033,2150.99,0.0
421,,2149.212,2134.722,2149.782,2123.982,2144,2149.6,2147.25,2165.417,0.0,2134.722
427,,2147.472,2169.352,2171.172,2142.012,2150.4,2140.9,2148.7,2167.142,2147.472,0.0
432,,2106.763,2135.913,2136.103,2096.513,2131.4,2145.35,2155.325,2169.092,0.0,2135.913
436,,2169.282,2144.083,2171.452,2142.343,2161.1,2155.1,2173.15,2179.592,2169.282,0.0
452,,2209.943,2187.253,2231.713,2186.753,2219.7,2238.75,2202.9,2201.1,0.0,2187.253
