date,open,close,ma5,ma10,ma5_up_10,ma5_down_10,ma5_up_10_earning,ma5_down_10_earning
2016-02-25,6771.236,6284.617,6685.241,6628.487,,,0.0,0.0
2016-02-24,6772.279,6784.095,6765.81,6648.502,,,0.0,0.0
2016-02-23,6845.276,6798.582,6754.435,6609.945,,,0.0,0.0
2016-02-22,6800.998,6843.932,6723.495,6569.246,,,0.0,0.0
2016-02-19,6668.457,6714.978,6634.885,6505.051,,,0.0,0.0
2016-02-18,6779.146,6687.463,6571.732,6460.845,,,0.0,0.0
2016-02-17,6642.547,6727.219,6531.194,6396.833,,,0.0,0.0
2016-02-16,6437.856,6643.883,6465.455,6349.719,,,0.0,0.0
2016-02-15,6206.244,6400.88,6414.996,6315.782,True,,,0.0
2016-02-05,6478.082,6399.217,6375.218,6351.75,,,0.0,0.0
2016-02-04,6409.984,6484.771,6349.957,6381.924,,,0.0,0.0
2016-02-03,6323.502,6398.524,6262.472,6396.732,,,0.0,0.0
2016-02-02,6207.9,6391.59,6233.982,6444.515,,,0.0,0.0
2016-02-01,6241.613,6201.989,6216.568,6502.519,,,0.0,0.0
2016-01-29,6045.338,6272.912,6328.281,6556.487,,,0.0,0.0
2016-01-28,6186.549,6047.346,6413.891,6592.407,,,0.0,0.0
2016-01-27,6341.426,6256.075,6530.991,6671.882,,True,0.0,
2016-01-26,6684.945,6304.518,6655.048,6706.505,,,0.0,0.0
2016-01-25,6761.896,6760.554,6788.469,6757.13,True,,,0.0
2016-01-22,6711.817,6700.964,6784.694,6755.607,,,0.0,0.0
2016-01-21,6771.52,6632.845,6770.924,6805.54,,,0.0,0.0
2016-01-20,6927.483,6876.357,6812.773,6853.607,,,0.0,0.0
2016-01-19,6724.478,6971.626,6757.963,6940.743,,,0.0,0.0
2016-01-18,6511.117,6741.677,6725.791,7004.014,,,0.0,0.0
2016-01-15,6794.183,6632.113,6726.519,7100.165,,,0.0,0.0
2016-01-14,6416.236,6842.091,6840.157,7276.336,,,0.0,0.0
2016-01-13,6862.689,6602.306,6894.442,7446.347,,,0.0,0.0
2016-01-12,6775.65,6810.767,7123.524,7632.856,,,0.0,0.0
2016-01-11,7039.198,6745.32,7282.236,7791.046,,,0.0,0.0
2016-01-08,7263.66,7200.3,7473.81,7973.086,,,0.0,0.0
2016-01-07,7598.758,7113.516,7712.515,8104.79,,,0.0,0.0
2016-01-06,7641.971,7747.718,7998.252,8249.053,,,0.0,0.0
2016-01-05,7375.706,7604.328,8142.187,8339.545,,,0.0,0.0
2016-01-04,8385.004,7703.189,8299.856,8436.481,,,0.0,0.0
2015-12-31,8552.769,8393.825,8472.362,8514.05,,,0.0,0.0
2015-12-30,8484.939,8542.202,8497.065,8525.915,,True,0.0,2494.856
2015-12-29,8392.772,8467.39,8499.853,8506.13,,,0.0,0.0
2015-12-28,8599.726,8392.675,8536.902,8491.734,,,0.0,0.0
2015-12-25,8530.881,8565.717,8573.107,8478.435,,,0.0,0.0
2015-12-24,8537.166,8517.341,8555.738,8430.132,,,0.0,0.0
2015-12-23,8644.906,8556.143,8554.765,8391.846,,,0.0,0.0
2015-12-22,8587.38,8652.636,8512.406,8347.807,,,0.0,0.0
2015-12-21,8474.492,8573.696,8446.565,8296.463,,,0.0,0.0
2015-12-18,8523.65,8478.873,8383.763,8270.783,True,,-1737.196,0.0
2015-12-17,8416.339,8512.475,8304.526,8246.416,,,0.0,0.0
2015-12-16,8355.677,8344.35,8228.927,8229.832,,,0.0,0.0
