,date,open,close,low,ma5,ma10,ma20,gt_ma,earning,stoploss,earning_with_stoploss
0,,,,,,,,,,,
1, 2016/02/25,2922.243,2741.253,2729.853,2872.2,2843.7,2806.5,1.0,,-146.11215,-146.11215
2, 2016/02/24,2889.883,2928.903,2872.272,2896.6,2847.7,2813.45,1.0,,-144.49415,-144.49415
3, 2016/02/23,2925.712,2903.333,2872.282,2884.2,2828.8,2815.85,1.0,,-146.2856,-146.2856
4, 2016/02/22,2888.602,2927.182,2880.352,2870.8,2813.3,2821.05,1.0,,-144.4301,-144.4301
5, 2016/02/19,2854.902,2860.022,2840.492,2834.6,2789.5,2820.35,1.0,,-142.7451,-142.7451
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38, 2015/12/28,3635.772,3533.782,3533.782,3612.4,3589.0,3544.15,1.0,,-181.7886,-181.7886
39, 2015/12/25,3614.052,3627.912,3601.742,3634.2,3587.7,3539.75,1.0,,-180.7026,-180.7026
40, 2015/12/24,3631.312,3612.492,3572.282,3624.4,3568.3,3530.15,1.0,,-181.5656,-181.5656
41, 2015/12/23,3653.282,3636.092,3633.032,3618.0,3552.7,3531.35,1.0,,-182.6641,-182.6641
42, 2015/12/22,3645.992,3651.772,3616.872,3594.0,3536.3,3531.95,1.0,,-182.2996,-182.2996
43, 2015/12/21,3568.582,3642.472,3565.752,3565.6,3518.1,3530.15,1.0,,-178.4291,-178.4291
44, 2015/12/18,3574.942,3578.962,3568.162,3541.2,3507.5,3528.5,1.0,,-178.7471,-178.7471
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59, 2015/11/27,3616.542,3436.302,3412.431,3589.2,3597.4,3566.95,1.0,,-180.8271,-180.8271
60, 2015/11/26,3659.572,3635.552,3629.862,3628.0,3611.9,3564.3,1.0,,-182.9786,-182.9786
61, 2015/11/25,3614.072,3647.932,3607.521,3624.4,3611.6,3551.85,1.0,,-180.7036,-180.7036
62, 2015/11/24,3602.892,3616.112,3563.102,3608.4,3611.8,3538.2,1.0,,-180.1446,-180.1446
63, 2015/11/23,3630.872,3610.312,3598.872,3606.2,3614.2,3529.15,1.0,,-181.5436,-181.5436
