date,open,close,high,low,ma5,ma10,ma20,rolling_low,stop_loss,earnings,ma5_up_10,ma_cross_earnings
2016-02-26,2942.095,2948.031,2964.385,2902.948,3036.911,3033.69,2994.803,,2794.99025,-147.10475,,
2016-02-25,3104.41,2918.75,3104.436,2905.457,3057.622,3035.266,3003.075,,2949.1895,-155.2205,,
2016-02-24,3077.606,3109.545,3109.545,3055.251,3084.612,3041.867,3011.205,,2923.7257,-153.8803,,
2016-02-23,3117.203,3089.363,3119.221,3061.429,3075.367,3025.776,3014.446,,2961.34285,-155.86015,,
2016-02-22,3083.933,3118.868,3128.207,3071.329,3064.901,3012.974,3021.134,,2929.73635,-154.19665,True,-154.19665000000032
2016-02-19,3047.942,3051.585,3065.968,3032.634,3030.469,2991.192,3021.727,,2895.5449,-152.3971,,
2016-02-18,3079.527,3053.699,3093.513,3049.841,3012.91,2980.642,3025.085,,2925.55065,-153.97635,,
2016-02-17,3034.09,3063.32,3065.785,3027.046,2999.122,2960.648,3033.478,,2882.3855,-151.7045,,
2016-02-16,2962.187,3037.035,3042.089,2962.187,2976.186,2947.351,3038.106,,2814.07765,-148.10935,,
2016-02-15,2888.428,2946.707,2961.493,2886.018,2961.046,2937.698,3047.04,,2744.0066,-144.4214,,
2016-02-05,2982.056,2963.789,2988.36,2962.847,2951.914,2955.916,3059.327,,2832.9532,-149.1028,,
2016-02-04,2960.334,2984.76,2999.206,2960.207,2948.374,2970.884,3079.216,,2812.3173,-148.0167,,
2016-02-03,2931.288,2948.639,2954.71,2909.898,2922.173,2980.542,3094.697,,2784.7236,-146.5644,,
2016-02-02,2901.528,2961.334,2972.426,2901.512,2918.516,3003.116,3124.256,,2756.4516,-145.0764,,
2016-02-01,2939.04,2901.048,2944.517,2869.561,2914.351,3029.295,3150.128,,2792.088,-146.952,,
2016-01-29,2855.598,2946.09,2965.309,2854.371,2959.919,3052.263,3178.529,,2712.8181,-142.7799,,
2016-01-28,2909.334,2853.756,2941.887,2841.844,2993.393,3069.527,3217.774,,2763.8673,-145.4667,,
2016-01-27,2953.183,2930.352,2963.544,2839.29,3038.911,3106.309,3263.345,,2805.52385,-147.65915,,
2016-01-26,3099.596,2940.509,3106.53,2934.647,3087.716,3128.862,3304.922,,2944.6162,-154.9798,,
2016-01-25,3129.028,3128.886,3149.332,3105.1,3144.239,3156.382,3344.278,,2972.5766,-156.4514,,
2016-01-22,3114.895,3113.463,3132.171,3053.958,3144.608,3162.738,3379.743,,2959.15025,-155.74475,,
2016-01-21,3136.384,3081.345,3202.538,3081.345,3145.661,3187.548,3415.54,,2979.5648,-156.8192,,
2016-01-20,3204.218,3174.378,3225.95,3154.426,3173.707,3208.852,3454.792,,3044.0071,-160.2109,,
2016-01-19,3132.705,3223.125,3227.908,3119.216,3170.007,3245.395,3489.91,,2976.06975,-156.63525,,
2016-01-18,3068.235,3130.729,3165.616,3066.727,3168.524,3270.96,3522.052,,2914.82325,-153.41175,,
2016-01-15,3200.888,3118.73,3216.798,3101.052,3180.868,3304.794,3553.911,,3040.8436,-160.0444,,
2016-01-14,3076.645,3221.571,3226.658,3072.039,3229.435,3366.022,3585.769,,2922.81275,-153.83225,,
2016-01-13,3240.484,3155.879,3257.295,3155.879,3243.997,3420.382,3608.963,,3078.4598,-162.0242,,
2016-01-12,3214.823,3215.71,3242.253,3174.55,3320.783,3480.982,3635.888,,3054.08185,-160.74115,,
2016-01-11,3303.125,3192.45,3342.481,3192.45,3373.397,3532.174,3660.669,,3137.96875,-165.15625,,
2016-01-08,3371.871,3361.563,3418.851,3237.931,3428.72,3596.749,3681.449,,3203.27745,-168.59355,,
2016-01-07,3481.15,3294.384,3481.15,3284.737,3502.609,3643.533,3694.525,,3307.0925,-174.0575,,
2016-01-06,3482.406,3539.808,3543.739,3468.467,3596.767,3700.733,3711.603,,3308.2857,-174.1203,,
2016-01-05,3382.177,3478.78,3518.217,3377.28,3641.18,3734.425,3715.763,,3213.06815,-169.10885,,
2016-01-04,3725.856,3469.066,3726.245,3468.949,3690.951,3773.143,3726.205,,3539.5632,-186.2928,,
2015-12-31,3760.904,3731.005,3772.617,3727.325,3764.778,3803.028,3736.631,,3572.8588,-188.0452,,
2015-12-30,3762.914,3765.175,3765.657,3726.278,3784.457,3805.517,3737.546,,3574.7683,-188.1457,,
2015-12-29,3723.05,3761.875,3762.052,3710.48,3804.698,3797.543,3735.385,,3536.8975,-186.1525,,
2015-12-28,3847.532,3727.632,3853.389,3727.632,3827.67,3790.794,3726.876,,3655.1554,-192.3766,,
2015-12-25,3832.085,3838.201,3848.025,3813.204,3855.336,3789.163,3718.815,,3640.48075,-191.60425,,
2015-12-24,3858.135,3829.402,3867.679,3787.084,3841.279,3766.149,3704.754,,3665.22825,-192.90675,,
2015-12-23,3877.872,3866.381,3926.686,3862.965,3826.576,3745.517,3701.256,,3683.9784,-193.8936,,
2015-12-22,3872.098,3876.733,3880.468,3841.593,3790.388,3722.473,3697.017,,3678.4931,-193.6049,,
2015-12-21,3762.097,3865.965,3877.82,3759.989,3753.919,3697.102,3690.875,,3573.99215,-188.10485,,
2015-12-18,3754.96,3767.913,3810.218,3750.925,3722.99,3679.266,3685.243,,3567.212,-187.748,True,-187.74800000000005
2015-12-17,3712.783,3755.888,3768.844,3709.851,3691.02,3670.234,3685.567,,3527.14385,-185.63915,,
2015-12-16,3703.95,3685.44,3713.09,3677.45,3664.459,3669.575,3686.521,,3518.7525,-185.1975,,
2015-12-15,3707.73,3694.389,3717.357,3679.23,3654.558,3673.227,3688.028,,3522.3435,-185.3865,,
2015-12-14,3573.884,3711.322,3712.503,3570.998,3640.285,3662.957,3691.228,,3395.1898,-178.6942,,
2015-12-11,3605.372,3608.059,3630.744,3578.146,3635.542,3648.466,3693.868,,3425.1034,-180.2686,,
2015-12-10,3634.366,3623.084,3678.318,3615.991,3649.448,3643.359,3700.777,,3452.6477,-181.7183,,
2015-12-09,3613.42,3635.938,3655.159,3611.49,3674.691,3656.994,3709.389,,3432.749,-180.671,,
2015-12-08,3668.839,3623.02,3668.839,3619.445,3691.895,3671.561,3719.274,,3485.39705,-183.44195,,
2015-12-07,3681.582,3687.607,3699.337,3658.578,3685.63,3684.648,3729.785,,3497.5029,-184.0791,,
2015-12-04,3719.734,3677.592,3726.124,3667.291,3661.391,3691.221,3737.423,,3533.7473,-185.9867,,
2015-12-03,3709.547,3749.299,3758.446,3693.137,3637.271,3700.9,3743.212,,3524.06965,-185.47735,,
2015-12-02,3587.758,3721.955,3725.854,3573.403,3639.297,3703.467,3741.045,,3408.3701,-179.3879,,
2015-12-01,3562.319,3591.696,3617.305,3536.116,3651.227,3702.829,3736.375,,3384.20305,-178.11595,,
2015-11-30,3554.89,3566.412,3587.97,3455.068,3683.666,3719.498,3730.064,,3377.1455,-177.7445,,
2015-11-27,3739.096,3556.992,3742.742,3534.39,3721.05,3739.27,3725.542,,3552.1412,-186.9548,,
2015-11-26,3795.245,3759.429,3805.844,3756.823,3764.529,3758.195,3724.396,,3605.48275,-189.76225,,
2015-11-25,3747.759,3781.607,3781.857,3735.716,3767.637,3761.784,3713.09,,3560.37105,-187.38795,,
2015-11-24,3745.761,3753.889,3754.169,3702.737,3754.431,3766.988,3700.256,,3558.47295,-187.28805,,
2015-11-23,3774.436,3753.335,3802.851,3743.405,3755.331,3774.923,3692.205,,3585.7142,-188.7218,,
2015-11-20,3778.884,3774.383,3793.545,3757.026,3757.489,3783.625,3684.002,,3589.9398,-188.9442,,
2015-11-19,3725.622,3774.969,3775.232,3714.675,3751.861,3785.524,3673.845,,3539.3409,-186.2811,,
2015-11-18,3760.456,3715.58,3771.847,3706.31,3755.932,3778.624,3661.323,,3572.4332,-188.0228,,
2015-11-17,3790.426,3758.387,3852.774,3750.157,3779.545,3769.92,3649.207,,3600.9047,-189.5213,,
2015-11-16,3682.735,3764.126,3764.409,3680.073,3794.515,3740.631,3640.172,,3498.59825,-184.13675,,
2015-11-13,3756.204,3746.242,3793.713,3727.585,3809.761,3711.814,3628.675,,3568.3938,-187.8102,,
2015-11-12,3841.738,3795.324,3843.9,3771.274,3819.187,3690.598,3618.066,,3649.6511,-192.0869,,
