,open,close,high,low,ma5,ma10,ma20,rolling_low,stop_loss,earnings,ma5_up_10,ma5_crossdown_20,ma_cross_earnings
0,2942.101,2948.031,2964.391,2902.951,3036.9,3033.7,2994.8,,2647.8909,-294.2101,,,
1,3104.411,2918.751,3104.441,2905.461,3057.6,3035.25,3003.075,,2793.9699,-310.4411,,,
2,3077.611,3109.551,3109.551,3055.25,3084.6,3041.85,3011.2,,2769.8499,-307.7611,,,
3,3117.201,3089.361,3119.221,3061.431,3075.3,3025.75,3014.45,,2805.4809,-311.7201,,,
4,3083.931,3118.871,3128.211,3071.331,3064.9,3013,3021.15,,2775.5379,-308.3931,,,
5,3047.941,3051.581,3065.971,3032.631,3030.5,2991.2,3021.725,,2743.1469,-304.7941,,,
6,3079.531,3053.701,3093.511,3049.841,3012.9,2980.65,3025.1,,2771.5779,-307.9531,,,
7,3034.091,3063.321,3065.781,3027.051,2999.1,2960.65,3033.475,,2730.6819,-303.4091,,,
8,2962.191,3037.041,3042.091,2962.191,2976.2,2947.35,3038.125,,2665.9719,-296.2191,True,,-296.2190999999998
9,2888.431,2946.711,2961.491,2886.021,2961.1,2937.7,3047.05,,2599.5879,-288.8431,,,
10,2982.061,2963.791,2988.361,2962.851,2951.9,2955.9,3059.325,,2683.8549,-298.2061,,,
11,2960.331,2984.761,2999.211,2960.211,2948.4,2970.9,3079.225,,2664.2979,-296.0331,,,
12,2931.291,2948.641,2954.711,2909.901,2922.2,2980.55,3094.7,,2638.1619,-293.1291,,,
13,2901.531,2961.331,2972.431,2901.511,2918.5,3003.15,3124.25,,2611.3779,-290.1531,,,
14,2939.041,2901.051,2944.521,2869.561,2914.3,3029.3,3150.125,,2645.1369,-293.9041,,,
15,2855.601,2946.091,2965.311,2854.371,2959.9,3052.25,3178.525,,2570.0409,-285.5601,,,
16,2909.331,2853.761,2941.891,2841.841,2993.4,3069.55,3217.775,,2618.3979,-290.9331,,,
17,2953.181,2930.351,2963.541,2839.291,3038.9,3106.3,3263.325,,2657.8629,-295.3181,,,
18,3099.601,2940.511,3106.531,2934.651,3087.8,3128.9,3304.925,,2789.6409,-309.9601,,,
19,3129.031,3128.891,3149.331,3105.101,3144.3,3156.4,3344.275,,2816.1279,-312.9031,,,
20,3114.901,3113.461,3132.171,3053.961,3144.6,3162.75,3379.75,,2803.4109,-311.4901,,,
21,3136.381,3081.351,3202.541,3081.351,3145.7,3187.55,3415.55,,2822.7429,-313.6381,,,
22,3204.221,3174.381,3225.951,3154.431,3173.7,3208.85,3454.775,,2883.7989,-320.4221,,,
23,3132.701,3223.131,3227.911,3119.221,3170,3245.35,3489.9,,2819.4309,-313.2701,,,
