,date,open,close,low,earning,stoploss_point,stoploss,earning_with_stoploss
100, 2015/09/24,3126.491,3142.691,3109.691,-359.278,2657.51735,-468.97365,-468.97365
101, 2015/09/23,3137.721,3115.891,3104.741,-396.468,2667.06285,-470.65815,-470.65815
102, 2015/09/22,3161.321,3185.621,3152.48,-232.418,2687.12285,-474.19815,-474.19815
103, 2015/09/21,3072.091,3156.541,3060.861,-168.758,2611.27735,-460.81365,-168.758
104, 2015/09/18,3100.281,3097.921,3070.341,-173.099,2635.23885,-465.04215,-173.099
105, 2015/09/17,3131.981,3086.061,3085.311,-271.959,2662.18385,-469.79715,-469.79715
106, 2015/09/16,2998.041,3152.261,2983.541,-135.149,2548.33485,-449.70615,-135.149
107, 2015/09/15,3043.801,3005.171,2983.921,-176.459,2587.23085,-456.57015,-176.459
108, 2015/09/14,3221.171,3114.801,3049.231,-384.599,2737.99535,-483.17565,-483.17565
109, 2015/09/11,3189.481,3200.231,3163.451,-443.279,2711.05885,-478.42215,-478.42215
110, 2015/09/10,3190.551,3197.891,3178.901,-427.059,2711.96835,-478.58265,-478.58265
111, 2015/09/09,3182.551,3243.091,3165.7,-401.529,2705.16835,-477.38265,-477.38265
112, 2015/09/08,3054.44,3170.45,3011.12,-315.188,2596.274,-458.166,-315.188
113, 2015/09/07,3149.38,3080.42,3066.3,-399.808,2676.973,-472.407,-472.407
114, 2015/09/02,3027.68,3160.17,3019.09,-338.828,2573.528,-454.152,-338.828
115, 2015/09/01,3157.83,3166.62,3053.74,-420.228,2684.1555,-473.6745,-473.6745
116, 2015/08/31,3203.56,3205.99,3109.16,-547.898,2723.026,-480.534,-480.534
117, 2015/08/28,3125.26,3232.35,3102.95,-389.698,2656.471,-468.789,-389.698
118, 2015/08/27,2978.03,3083.59,2906.49,-228.238,2531.3255,-446.7045,-228.238
119, 2015/08/26,2980.79,2927.29,2850.71,-42.278,2533.6715,-447.1185,-42.278
120, 2015/08/25,3004.13,2964.97,2947.94,-87.568,2553.5105,-450.6195,-87.568
121, 2015/08/24,3373.48,3209.91,3191.88,-492.998,2867.458,-506.022,-506.022
122, 2015/08/21,3609.96,3507.74,3490.54,-633.268,3068.466,-541.494,-541.494
123, 2015/08/20,3754.57,3664.29,3663.61,-746.828,3191.3845,-563.1855,-563.1855
124, 2015/08/19,3646.8,3794.11,3558.38,-732.958,3099.78,-547.02,-547.02
