,date,open,close,low,earning,stoploss_point,stoploss,earning_with_stoploss
200, 2015/05/04,2868.099,2845.249,2803.819,-853.181,2581.2891,-286.8099,-286.8099
201, 2015/04/30,2825.159,2857.889,2825.159,-788.021,2542.6431,-282.5159,-282.5159
202, 2015/04/29,2693.479,2797.52,2674.76,-489.741,2424.1311,-269.3479,-269.3479
203, 2015/04/28,2764.409,2687.969,2650.429,-546.291,2487.9681,-276.4409,-276.4409
204, 2015/04/27,2781.6,2747.5,2737.15,-536.042,2503.44,-278.16,-278.16
205, 2015/04/24,2689.909,2734.75,2672.199,-478.9,2420.9181,-268.9909,-268.9909
206, 2015/04/23,2656.179,2706.189,2656.179,-465.271,2390.5611,-265.6179,-265.6179
207, 2015/04/22,2610.74,2634.929,2610.74,-395.402,2349.666,-261.074,-261.074
208, 2015/04/21,2443.12,2566.09,2443.12,-241.192,2198.808,-244.312,-244.312
209, 2015/04/20,2462.41,2424.85,2411.34,-345.572,2216.169,-246.241,-246.241
210, 2015/04/17,2507.47,2463.99,2453.28,-410.481,2256.723,-250.747,-250.747
211, 2015/04/16,2420.93,2484.33,2407.85,-294.291,2178.837,-242.093,-242.093
212, 2015/04/15,2548.99,2441.74,2441.74,-458.481,2294.091,-254.899,-254.899
213, 2015/04/14,2584.59,2558.85,2539.94,-509.301,2326.131,-258.459,-258.459
214, 2015/04/13,2558.19,2577.78,2545.26,-565.501,2302.371,-255.819,-255.819
215, 2015/04/10,2475.55,2552.83,2457.82,-481.491,2227.995,-247.555,-247.555
216, 2015/04/09,2481.69,2496.49,2346.89,-575.232,2233.521,-248.169,-248.169
217, 2015/04/08,2566.94,2488.16,2442.82,-569.482,2310.246,-256.694,-256.694
218, 2015/04/07,2530.07,2556.7,2522.26,-536.022,2277.063,-253.007,-253.007
219, 2015/04/03,2469.85,2510.16,2460.94,-311.031,2222.865,-246.985,-246.985
220, 2015/04/02,2434.76,2475.33,2420.19,-285.171,2191.284,-243.476,-243.476
221, 2015/04/01,2347.0,2404.91,2345.75,-234.601,2112.3,-234.7,-234.7
222, 2015/03/31,2294.32,2335.17,2288.31,-89.671,2064.888,-229.432,-229.432
223, 2015/03/30,2319.31,2290.479,2266.85,-77.611,2087.379,-231.931,-231.931
224, 2015/03/27,2274.68,2323.82,2267.87,-99.751,2047.212,-227.468,-227.468
225, 2015/03/26,2362.45,2291.79,2270.79,-249.551,2126.205,-236.245,-236.245
226, 2015/03/25,2364.94,2385.01,2344.11,-189.931,2128.446,-236.494,-236.494
227, 2015/03/24,2310.51,2357.97,2253.2,-250.731,2079.459,-231.051,-231.051
228, 2015/03/23,2225.85,2293.65,2221.71,-78.321,2003.265,-222.585,-222.585
229, 2015/03/20,2187.469,2213.77,2187.01,-81.11,1968.7221,-218.7469,-218.7469
230, 2015/03/19,2184.759,2183.879,2160.989,64.23,1966.2831,-218.4759,-218.4759
231, 2015/03/18,2138.369,2182.919,2124.979,118.15,1924.5321,-213.8369,-213.8369
232, 2015/03/17,2149.369,2137.459,2117.779,319.0,1934.4321,-214.9369,-214.9369
233, 2015/03/16,2088.199,2142.669,2088.199,328.53,1879.3791,-208.8199,-208.8199
234, 2015/03/13,2020.659,2069.069,2011.169,470.58,1818.5931,-202.0659,-202.0659
235, 2015/03/12,2034.619,2018.129,1984.909,679.43,1831.1571,-203.4619,-203.4619
236, 2015/03/11,2050.759,2035.829,2022.319,728.75,1845.6831,-205.0759,-205.0759
237, 2015/03/10,2001.189,2045.319,2001.189,748.63,1801.0701,-200.1189,-200.1189
238, 2015/03/09,1941.419,1994.389,1932.819,794.07,1747.2771,-194.1419,794.07
239, 2015/03/06,2016.809,1951.399,1949.289,777.92,1815.1281,-201.6809,-201.6809
240, 2015/03/05,2015.699,2014.789,1997.459,780.08,1814.1291,-201.5699,-201.5699
