,date,open,close,low,earning,stoploss_point,stoploss,earning_with_stoploss
250, 2015/02/12,3435.359,3442.869,3405.629,-487.328,2920.05515,-515.30385,-515.30385
251, 2015/02/11,3415.979,3434.119,3412.139,-497.228,2903.58215,-512.39685,-512.39685
252, 2015/02/10,3345.079,3406.939,3339.549,-235.528,2843.31715,-501.76185,-501.76185
253, 2015/02/09,3305.729,3345.919,3298.599,-216.368,2809.86965,-495.85935,-216.368
254, 2015/02/06,3352.329,3312.419,3285.939,-233.458,2849.47965,-502.84935,-502.84935
255, 2015/02/05,3487.949,3366.949,3366.859,-436.368,2964.75665,-523.19235,-523.19235
256, 2015/02/04,3446.139,3401.769,3399.559,-392.438,2929.21815,-516.92085,-516.92085
257, 2015/02/03,3388.599,3437.449,3360.719,-325.278,2880.30915,-508.28985,-508.28985
258, 2015/02/02,3360.189,3353.959,3347.079,-323.148,2856.16065,-504.02835,-504.02835
259, 2015/01/30,3496.889,3434.389,3431.939,-550.178,2972.35565,-524.53335,-524.53335
260, 2015/01/29,3474.919,3481.799,3453.899,-511.128,2953.68115,-521.23785,-521.23785
261, 2015/01/28,3547.239,3525.319,3512.389,-562.478,3015.15315,-532.08585,-532.08585
262, 2015/01/27,3614.039,3574.929,3510.019,-665.398,3071.93315,-542.10585,-542.10585
263, 2015/01/26,3580.119,3607.989,3559.379,-618.788,3043.10115,-537.01785,-537.01785
264, 2015/01/23,3582.089,3571.729,3548.629,-681.038,3044.77565,-537.31335,-537.31335
265, 2015/01/22,3551.049,3567.609,3520.049,-604.958,3018.39165,-532.65735,-532.65735
266, 2015/01/21,3420.489,3548.889,3409.429,-566.728,2907.41565,-513.07335,-513.07335
267, 2015/01/20,3336.789,3396.219,3325.679,-406.438,2836.27065,-500.51835,-406.438
268, 2015/01/19,3414.01,3355.159,3330.979,-473.499,2901.9085,-512.1015,-473.499
269, 2015/01/16,3616.25,3635.149,3601.26,-487.359,3073.8125,-542.4375,-542.4375
270, 2015/01/15,3501.72,3604.12,3482.27,-388.259,2976.462,-525.258,-525.258
271, 2015/01/14,3522.91,3502.42,3471.56,-441.559,2994.4735,-528.4365,-528.4365
272, 2015/01/13,3506.449,3514.04,3494.77,-332.068,2980.48165,-525.96735,-525.96735
273, 2015/01/12,3531.509,3513.579,3461.319,-308.378,3001.78265,-529.72635,-529.72635
274, 2015/01/09,3547.569,3546.719,3536.399,-416.838,3015.43365,-532.13535,-532.13535
275, 2015/01/08,3650.069,3559.259,3552.099,-531.338,3102.55865,-547.51035,-547.51035
276, 2015/01/07,3620.919,3643.789,3601.699,-399.348,3077.78115,-543.13785,-543.13785
277, 2015/01/06,3608.429,3641.059,3587.229,-452.548,3067.16465,-541.26435,-541.26435
278, 2015/01/05,3566.089,3641.539,3551.509,-350.378,3031.17565,-534.91335,-534.91335
279, 2014/12/31,3462.389,3533.709,3452.5,-269.938,2943.03065,-519.35835,-269.938
280, 2014/12/30,3450.809,3457.549,3422.169,-89.248,2933.18765,-517.62135,-89.248
281, 2014/12/29,3502.179,3455.459,3405.839,-207.798,2976.85215,-525.32685,-525.32685
282, 2014/12/26,3343.639,3445.839,3335.009,196.172,2842.09315,-501.54585,196.172
283, 2014/12/25,3254.479,3335.419,3226.319,224.302,2766.30715,-488.17185,224.302
284, 2014/12/24,3332.149,3230.389,3188.499,136.922,2832.32665,-499.82235,136.922
285, 2014/12/23,3358.799,3324.919,3316.909,372.202,2854.97915,-503.81985,372.202
286, 2014/12/22,3396.249,3394.479,3357.659,368.932,2886.81165,-509.43735,368.932
287, 2014/12/19,3345.629,3383.169,3280.919,416.242,2843.78465,-501.84435,416.242
288, 2014/12/18,3359.089,3345.929,3322.229,368.542,2855.22565,-503.86335,368.542
289, 2014/12/17,3325.819,3360.599,3275.739,512.381,2826.94615,-498.87285,512.381
290, 2014/12/16,3221.359,3303.399,3207.689,608.041,2738.15515,-483.20385,608.041
291, 2014/12/15,3176.829,3217.229,3143.299,689.551,2700.30465,-476.52435,689.551
292, 2014/12/12,3182.919,3193.229,3167.929,693.811,2705.48115,-477.43785,693.811
293, 2014/12/11,3185.159,3183.009,3158.439,680.802,2707.38515,-477.77385,680.802
294, 2014/12/10,3120.209,3221.549,3058.189,647.702,2652.17765,-468.03135,647.702
295, 2014/12/09,3233.099,3106.909,3074.519,522.792,2748.13415,-484.96485,522.792
296, 2014/12/08,3108.269,3252.879,3075.698,577.171,2642.02865,-466.24035,577.171
297, 2014/12/05,3143.969,3124.889,3011.939,550.421,2672.37365,-471.59535,550.421
298, 2014/12/04,2975.399,3104.349,2968.879,735.922,2529.08915,-446.30985,735.922
299, 2014/12/03,2936.119,2967.549,2912.249,671.942,2495.70115,-440.41785,671.942
300, 2014/12/02,2807.339,2923.939,2804.289,815.742,2386.23815,-421.10085,815.742
301, 2014/12/01,2825.609,2819.809,2808.649,810.332,2401.76765,-423.84135,810.332
302, 2014/11/28,2753.929,2808.819,2740.369,869.092,2340.83965,-413.08935,869.092
303, 2014/11/27,2737.029,2754.489,2718.699,950.582,2326.47465,-410.55435,950.582
304, 2014/11/26,2695.259,2723.019,2690.309,982.332,2290.97015,-404.28885,982.332
305, 2014/11/25,2650.079,2685.559,2643.839,1099.222,2252.56715,-397.51185,1099.222
306, 2014/11/24,2614.159,2649.259,2602.939,1107.792,2222.03515,-392.12385,1107.792
307, 2014/11/21,2537.539,2583.459,2530.029,1054.162,2156.90815,-380.63085,1054.162
308, 2014/11/20,2528.779,2537.099,2522.839,1037.632,2149.46215,-379.31685,1037.632
309, 2014/11/19,2538.229,2537.219,2531.319,1018.762,2157.49465,-380.73435,1018.762
310, 2014/11/18,2565.269,2541.419,2534.929,1194.162,2180.47865,-384.79035,1194.162
311, 2014/11/17,2613.509,2567.099,2565.939,1168.102,2221.48265,-392.02635,1168.102
312, 2014/11/14,2569.209,2581.089,2557.669,1184.682,2183.82765,-385.38135,1184.682
313, 2014/11/13,2597.389,2579.749,2567.459,1155.952,2207.78065,-389.60835,1155.952
314, 2014/11/12,2545.399,2594.319,2539.599,1228.982,2163.58915,-381.80985,1228.982
315, 2014/11/11,2578.439,2558.609,2532.569,1196.532,2191.67315,-386.76585,1196.532
316, 2014/11/10,2529.829,2565.729,2514.709,1185.752,2150.35465,-379.47435,1185.752
317, 2014/11/07,2508.759,2502.149,2489.419,1249.632,2132.44515,-376.31385,1249.632
318, 2014/11/06,2505.169,2506.069,2482.979,1258.962,2129.39365,-375.77535,1258.962
319, 2014/11/05,2516.869,2503.449,2499.229,1229.372,2139.33865,-377.53035,1229.372
320, 2014/11/04,2511.04,2513.169,2498.61,1284.281,2134.384,-376.656,1284.281
321, 2014/11/03,2515.82,2512.55,2502.06,1317.831,2138.447,-377.373,1317.831
322, 2014/10/31,2473.5,2508.32,2466.5,1359.741,2102.475,-371.025,1359.741
323, 2014/10/30,2450.359,2468.929,2443.759,1389.992,2082.80515,-367.55385,1389.992
324, 2014/10/29,2423.809,2451.379,2415.699,1369.562,2060.23765,-363.57135,1369.562
325, 2014/10/28,2373.159,2416.649,2373.159,1332.812,2017.18515,-355.97385,1332.812
326, 2014/10/27,2377.539,2368.829,2361.679,1251.002,2020.90815,-356.63085,1251.002
327, 2014/10/24,2397.849,2390.709,2385.729,1067.642,2038.17165,-359.67735,1067.642
328, 2014/10/23,2415.439,2395.939,2392.529,1060.522,2053.12315,-362.31585,1060.522
329, 2014/10/22,2434.889,2418.639,2417.559,1099.192,2069.65565,-365.23335,1099.192
330, 2014/10/21,2453.409,2433.389,2432.549,1079.902,2085.39765,-368.01135,1079.902
