,date,open,close,high,low,KDJ.K,KDJ.D,k_crossup_d,k_crossdown_d,earnings_cumsum
0, 2016/02/26,2760.063,2767.213,2784.753,2715.873,-61.631,-83.539,0.0,0.0,0.0
1, 2016/02/25,2922.243,2741.253,2922.243,2729.853,-59.971,-89.016,0.0,0.0,0.0
2, 2016/02/24,2889.883,2928.903,2929.873,2872.272,-54.336,-96.277,0.0,0.0,0.0
3, 2016/02/23,2925.712,2903.333,2928.052,2872.282,-65.46,-106.763,0.0,0.0,0.0
4, 2016/02/22,2888.602,2927.182,2933.962,2880.352,-76.103,-117.088,0.0,0.0,0.0
5, 2016/02/19,2854.902,2860.022,2872.722,2840.492,-91.008,-127.335,0.0,0.0,0.0
6, 2016/02/18,2881.782,2862.892,2893.212,2857.702,-101.87,-136.417,0.0,0.0,0.0
7, 2016/02/17,2829.762,2867.342,2868.702,2824.362,-114.546,-145.053,0.0,0.0,0.0
8, 2016/02/16,2758.582,2836.572,2840.622,2758.582,-129.511,-152.68,0.0,0.0,0.0
9, 2016/02/15,2684.962,2746.202,2760.362,2682.092,-143.595,-158.472,0.0,0.0,0.0
10, 2016/02/05,2783.082,2763.492,2790.062,2762.162,-150.281,-162.192,2783.082,0.0,-2783.082
11, 2016/02/04,2751.432,2781.022,2793.302,2751.312,-158.39,-165.169,0.0,0.0,-2783.082
12, 2016/02/03,2719.572,2739.252,2746.072,2696.882,-168.221,-166.864,0.0,0.0,-2783.082
13, 2016/02/02,2687.982,2749.572,2755.162,2687.982,-174.069,-166.525,0.0,0.0,-2783.082
14, 2016/02/01,2730.982,2688.852,2735.262,2655.622,-180.052,-164.639,0.0,0.0,-2783.082
15, 2016/01/29,2652.852,2737.602,2755.372,2649.792,-178.887,-160.786,0.0,0.0,-2783.082
16, 2016/01/28,2711.162,2655.662,2740.542,2647.492,-179.762,-156.261,0.0,0.0,-2783.082
17, 2016/01/27,2756.082,2735.562,2768.772,2638.302,-169.921,-150.385,0.0,0.0,-2783.082
18, 2016/01/26,2907.722,2749.792,2911.992,2743.842,-163.024,-145.501,0.0,0.0,-2783.082
19, 2016/01/25,2934.082,2938.512,2955.782,2911.832,-153.299,-141.121,0.0,0.0,-2783.082
20, 2016/01/22,2911.112,2916.562,2931.362,2851.732,-157.871,-138.076,0.0,0.0,-2783.082
21, 2016/01/21,2934.392,2880.482,2998.792,2880.082,-159.176,-133.127,0.0,0.0,-2783.082
22, 2016/01/20,2993.012,2976.692,3016.282,2951.922,-154.853,-126.615,0.0,0.0,-2783.082
23, 2016/01/19,2914.412,3007.742,3012.072,2906.402,-156.877,-119.556,0.0,0.0,-2783.082
24, 2016/01/18,2847.542,2913.842,2945.452,2844.702,-160.342,-110.225,0.0,0.0,-2783.082
