,date,open,close,low,KDJ.K,KDJ.D,KDJ.J,kdjdown,earning,stoploss_point,stoploss,earning_with_stoploss
200, 2015/05/04,4441.34,4480.46,4387.43,210.596,211.718,-2.243,False,0.0,3997.206,0.0,0.0
201, 2015/04/30,4483.01,4441.65,4441.05,215.641,211.998,7.285,False,0.0,4034.709,0.0,0.0
202, 2015/04/29,4446.12,4476.62,4398.64,222.894,211.088,23.613,False,0.0,4001.508,0.0,0.0
203, 2015/04/28,4527.64,4476.21,4432.9,225.349,208.136,34.427,False,0.0,4074.876,0.0,0.0
204, 2015/04/27,4441.93,4527.4,4441.93,225.247,203.833,42.83,False,0.0,3997.737,0.0,0.0
205, 2015/04/24,4355.949,4393.689,4318.119,216.628,198.479,36.299,False,0.0,3920.3541,0.0,0.0
206, 2015/04/23,4414.479,4414.509,4358.839,216.091,193.941,44.299,False,0.0,3973.0311,0.0,0.0
207, 2015/04/22,4304.599,4398.489,4297.949,210.142,188.404,43.475,False,0.0,3874.1391,0.0,0.0
208, 2015/04/21,4212.189,4293.619,4188.569,201.123,182.97,36.307,False,0.0,3790.9701,0.0,0.0
209, 2015/04/20,4301.349,4217.079,4190.679,197.364,178.431,37.865,False,0.0,3871.2141,0.0,0.0
210, 2015/04/17,4254.719,4287.299,4238.909,197.489,173.698,47.581,False,0.0,3829.2471,0.0,0.0
211, 2015/04/16,4055.919,4194.819,4031.24,187.626,167.751,39.75,False,0.0,3650.3271,0.0,0.0
212, 2015/04/15,4135.649,4084.159,4069.01,181.724,162.782,37.885,False,0.0,3722.0841,0.0,0.0
213, 2015/04/14,4125.779,4135.569,4091.259,182.815,158.046,49.538,False,0.0,3713.2011,0.0,0.0
214, 2015/04/13,4072.719,4121.709,4057.29,176.314,151.854,48.921,False,0.0,3665.4471,0.0,0.0
215, 2015/04/10,3947.49,4034.31,3929.32,166.863,145.739,42.249,False,0.0,3552.741,0.0,0.0
216, 2015/04/09,4006.13,3957.53,3900.03,161.272,140.458,41.629,False,0.0,3605.517,0.0,0.0
217, 2015/04/08,3976.53,3994.81,3903.65,159.608,135.254,48.708,False,0.0,3578.877,0.0,0.0
218, 2015/04/07,3899.42,3961.38,3891.73,151.366,129.166,44.402,False,0.0,3509.478,0.0,0.0
219, 2015/04/03,3803.38,3863.93,3792.21,142.049,123.615,36.868,False,0.0,3423.042,0.0,0.0
220, 2015/04/02,3827.689,3825.78,3775.889,138.013,119.007,38.013,False,0.0,3444.9201,0.0,0.0
221, 2015/04/01,3748.34,3810.29,3742.21,134.739,114.255,40.967,False,0.0,3373.506,0.0,0.0
222, 2015/03/31,3822.99,3747.9,3737.04,130.176,109.134,42.084,False,0.0,3440.691,0.0,0.0
223, 2015/03/30,3710.61,3786.57,3710.61,128.812,103.874,49.876,False,0.0,3339.549,0.0,0.0
224, 2015/03/27,3686.13,3691.1,3656.83,121.26,97.639,47.24,False,0.0,3317.517,0.0,0.0
225, 2015/03/26,3641.94,3682.1,3615.01,119.577,91.734,55.685,False,0.0,3277.746,0.0,0.0
226, 2015/03/25,3680.95,3660.73,3634.56,116.606,84.774,63.665,False,0.0,3312.855,0.0,0.0
227, 2015/03/24,3692.57,3691.41,3600.7,113.294,76.815,72.958,False,0.0,3323.313,0.0,0.0
228, 2015/03/23,3640.1,3687.73,3635.48,104.295,67.696,73.199,False,0.0,3276.09,0.0,0.0
229, 2015/03/20,3587.08,3617.32,3569.38,91.667,58.546,66.243,False,0.0,3228.372,0.0,0.0
230, 2015/03/19,3576.02,3582.27,3546.84,81.385,50.265,62.239,False,0.0,3218.418,0.0,0.0
231, 2015/03/18,3510.5,3577.3,3503.85,70.646,42.486,56.32,False,0.0,3159.45,0.0,0.0
232, 2015/03/17,3469.6,3502.85,3459.69,56.417,35.446,41.942,False,0.0,3122.64,0.0,0.0
233, 2015/03/16,3391.16,3449.3,3377.09,45.015,30.203,29.625,False,0.0,3052.044,0.0,0.0
234, 2015/03/13,3359.49,3372.91,3352.15,35.26,26.5,17.522,False,0.0,3023.541,0.0,0.0
235, 2015/03/12,3314.81,3349.32,3300.49,30.075,24.309,11.531,False,0.0,2983.329,0.0,0.0
236, 2015/03/11,3289.59,3290.9,3278.47,25.421,22.868,5.105,False,0.0,2960.631,0.0,0.0
237, 2015/03/10,3289.08,3286.07,3277.09,25.059,22.23,5.657,False,0.0,2960.172,0.0,0.0
238, 2015/03/09,3224.31,3302.41,3198.37,24.724,21.523,6.402,False,0.0,2901.879,0.0,0.0
239, 2015/03/06,3248.04,3241.19,3234.53,22.273,20.722,3.101,False,0.0,2923.236,0.0,0.0
240, 2015/03/05,3264.08,3248.48,3221.67,25.055,20.335,9.44,False,0.0,2937.672,0.0,0.0
241, 2015/03/04,3264.18,3279.53,3250.48,27.498,19.155,16.686,False,0.0,2937.762,0.0,0.0
242, 2015/03/03,3317.69,3263.05,3260.43,27.055,17.069,19.972,False,0.0,2985.921,0.0,0.0
243, 2015/03/02,3332.72,3336.28,3298.67,27.774,14.573,26.404,False,0.0,2999.448,0.0,0.0
244, 2015/02/27,3296.83,3310.3,3291.01,20.833,11.272,19.121,False,0.0,2967.147,0.0,0.0
245, 2015/02/26,3222.15,3298.36,3202.19,14.314,8.882,10.864,True,357.852,2899.935,-322.215,-322.215
246, 2015/02/25,3256.48,3228.84,3215.55,7.002,7.524,-1.044,True,259.712,2930.832,-325.648,-325.648
247, 2015/02/17,3230.88,3246.91,3230.77,4.645,7.654,-6.019,True,279.472,2907.792,-323.088,-323.088
248, 2015/02/16,3206.14,3222.36,3195.88,-0.27,8.407,-17.354,True,314.532,2885.526,-320.614,-320.614
249, 2015/02/13,3186.81,3203.83,3182.79,-4.041,10.576,-29.233,True,247.772,2868.129,-318.681,-318.681
250, 2015/02/12,3157.96,3173.42,3134.24,-6.907,14.23,-42.275,True,297.542,2842.164,-315.796,297.542
251, 2015/02/11,3145.77,3157.7,3139.05,-7.369,19.515,-53.768,True,326.672,2831.193,-314.577,326.672
252, 2015/02/10,3090.49,3141.59,3084.25,-6.252,26.236,-64.975,True,379.582,2781.441,-309.049,379.582
253, 2015/02/09,3063.51,3095.12,3049.11,-3.094,34.358,-74.903,True,473.422,2757.159,-306.351,473.422
254, 2015/02/06,3120.09,3075.91,3052.94,5.713,43.72,-76.014,True,404.902,2808.081,-312.009,404.902
255, 2015/02/05,3251.209,3136.53,3135.82,18.827,53.222,-68.79,True,333.613,2926.0881,-325.1209,-325.1209
256, 2015/02/04,3212.819,3174.129,3171.139,29.12,61.821,-65.402,True,324.093,2891.5371,-321.2819,-321.2819
257, 2015/02/03,3156.089,3204.909,3129.729,38.004,69.996,-63.983,True,300.223,2840.4801,-315.6089,300.223
258, 2015/02/02,3148.139,3128.299,3122.569,45.658,77.994,-64.673,True,297.263,2833.3251,-314.8139,297.263
259, 2015/01/30,3273.749,3210.359,3210.309,62.562,86.078,-47.032,True,162.553,2946.3741,-327.3749,-327.3749
260, 2015/01/29,3258.999,3262.299,3234.239,74.873,91.957,-34.168,True,376.553,2933.0991,-325.8999,-325.8999
261, 2015/01/28,3325.719,3305.739,3294.649,84.209,96.228,-24.038,True,322.213,2993.1471,-332.5719,-332.5719
262, 2015/01/27,3389.849,3352.959,3290.219,90.477,99.233,-17.511,True,226.263,3050.8641,-338.9849,-338.9849
263, 2015/01/26,3347.259,3383.179,3321.309,92.354,101.422,-18.135,True,263.053,3012.5331,-334.7259,-334.7259
264, 2015/01/23,3357.099,3351.759,3328.289,90.329,103.689,-26.72,True,273.402,3021.3891,-335.7099,-335.7099
265, 2015/01/22,3327.319,3343.339,3293.979,89.629,107.029,-34.798,True,289.743,2994.5871,-332.7319,-332.7319
266, 2015/01/21,3189.079,3323.609,3178.339,88.29,111.378,-46.176,True,379.392,2870.1711,-318.9079,-318.9079
267, 2015/01/20,3114.559,3173.049,3100.479,87.306,117.15,-59.689,True,490.243,2803.1031,-311.4559,490.243
268, 2015/01/19,3189.729,3116.349,3095.069,100.109,124.612,-49.005,True,417.232,2870.7561,-318.9729,-318.9729
269, 2015/01/16,3343.599,3376.499,3340.489,120.767,130.737,-19.94,True,237.242,3009.2391,-334.3599,-334.3599
270, 2015/01/15,3224.07,3336.449,3207.55,118.89,133.23,-28.679,True,408.831,2901.663,-322.407,-322.407
271, 2015/01/14,3242.34,3222.44,3193.979,118.843,136.815,-35.943,True,407.911,2918.106,-324.234,-324.234
272, 2015/01/13,3223.54,3235.3,3214.41,128.663,141.307,-25.289,True,416.951,2901.186,-322.354,-322.354
273, 2015/01/12,3258.209,3229.32,3191.58,138.015,144.469,-12.906,False,0.0,2932.3881,0.0,0.0
274, 2015/01/09,3276.969,3285.409,3267.51,148.554,146.082,4.945,False,0.0,2949.2721,0.0,0.0
275, 2015/01/08,3371.959,3293.459,3285.099,154.133,145.464,17.339,False,0.0,3034.7631,0.0,0.0
276, 2015/01/07,3326.649,3373.949,3312.209,158.193,143.296,29.793,False,0.0,2993.9841,0.0,0.0
277, 2015/01/06,3330.8,3351.449,3303.179,152.878,139.572,26.612,False,0.0,2997.72,0.0,0.0
278, 2015/01/05,3258.63,3350.52,3253.88,146.162,136.246,19.832,False,0.0,2932.767,0.0,0.0
279, 2014/12/31,3172.6,3234.68,3157.26,135.558,133.767,3.582,True,209.961,2855.34,-317.26,-317.26
280, 2014/12/30,3160.8,3165.81,3130.35,131.847,133.319,-2.945,True,226.521,2844.72,-316.08,226.521
281, 2014/12/29,3212.56,3168.02,3126.939,132.204,133.687,-2.967,True,162.641,2891.304,-321.256,-321.256
282, 2014/12/26,3078.01,3157.6,3064.179,130.512,134.058,-7.093,True,356.331,2770.209,-307.801,356.331
283, 2014/12/25,2992.459,3072.54,2969.869,127.515,134.945,-14.86,True,437.122,2693.2131,-299.2459,437.122
284, 2014/12/24,3039.209,2972.53,2934.909,130.495,136.802,-12.614,False,0.0,2735.2881,0.0,0.0
285, 2014/12/23,3085.079,3032.609,3025.669,142.584,138.379,8.411,False,0.0,2776.5711,0.0,0.0
286, 2014/12/22,3129.27,3127.439,3090.51,149.823,137.328,24.991,False,0.0,2816.343,0.0,0.0
287, 2014/12/19,3053.07,3108.6,3018.42,147.228,134.204,26.049,False,0.0,2747.763,0.0,0.0
288, 2014/12/18,3062.8,3057.52,3030.32,143.692,130.948,25.489,False,0.0,2756.52,0.0,0.0
289, 2014/12/17,3031.949,3061.02,2993.329,142.29,127.762,29.058,False,0.0,2728.7541,0.0,0.0
290, 2014/12/16,2953.81,3021.52,2943.91,138.075,124.129,27.891,False,0.0,2658.429,0.0,0.0
291, 2014/12/15,2921.45,2953.42,2890.9,134.708,120.643,28.13,False,0.0,2629.305,0.0,0.0
292, 2014/12/12,2929.36,2938.17,2914.96,135.385,117.127,36.517,False,0.0,2636.424,0.0,0.0
293, 2014/12/11,2912.35,2925.74,2892.61,135.833,112.562,46.541,False,0.0,2621.115,0.0,0.0
294, 2014/12/10,2855.939,2940.01,2807.679,135.694,106.744,57.898,False,0.0,2570.3451,0.0,0.0
295, 2014/12/09,2992.49,2856.27,2834.59,132.09,99.507,65.165,False,0.0,2693.241,0.0,0.0
296, 2014/12/08,2907.82,3020.26,2879.85,134.094,91.362,85.466,False,0.0,2617.038,0.0,0.0
297, 2014/12/05,2926.57,2937.65,2813.05,118.006,80.678,74.655,False,0.0,2633.913,0.0,0.0
298, 2014/12/04,2783.469,2899.459,2772.429,104.166,71.346,65.639,False,0.0,2505.1221,0.0,0.0
299, 2014/12/03,2768.679,2779.53,2733.869,88.874,63.142,51.465,False,0.0,2491.8111,0.0,0.0
300, 2014/12/02,2667.82,2763.54,2665.69,80.274,56.709,47.132,False,0.0,2401.038,0.0,0.0
301, 2014/12/01,2691.72,2680.16,2668.84,69.759,50.817,37.883,False,0.0,2422.548,0.0,0.0
