,date,open,close,low,ma5,ma10,ma20,KDJ.K,KDJ.D,KDJ.J,kdjgt,kdjup,both,earning,stoploss_point,stoploss,earning_with_stoploss
200, 2015/05/04,4757.641,4787.741,4699.401,4772.3,4718.6,4543.425,82.829,84.924,78.638,True,False,False,0.0,4043.99485,0.0,0.0
201, 2015/04/30,4788.411,4749.891,4749.481,4755.2,4699.4,4510.25,81.917,85.972,73.807,True,False,False,0.0,4070.14935,0.0,0.0
202, 2015/04/29,4722.901,4774.331,4695.791,4753.5,4675.8,4478.975,85.746,88.0,81.24,True,False,False,0.0,4014.46585,0.0,0.0
203, 2015/04/28,4811.321,4741.861,4703.571,4746.6,4636.4,4442.8,87.964,89.127,85.638,True,True,True,-1721.96,4089.62285,-721.69815,-721.69815
204, 2015/04/27,4753.871,4807.591,4735.311,4722.0,4606.05,4410.125,91.601,89.708,95.387,True,False,False,0.0,4040.79035,0.0,0.0
205, 2015/04/24,4682.631,4702.641,4618.321,4664.9,4567.4,4368.325,87.706,88.762,85.594,True,True,True,-1631.05,3980.23635,-702.39465,-702.39465
206, 2015/04/23,4764.48,4740.891,4693.971,4643.6,4531.6,4330.7,90.452,89.29,92.775,True,True,True,-1710.779,4049.808,-714.672,-714.672
207, 2015/04/22,4637.061,4739.811,4632.59,4598.1,4483.7,4290.675,90.286,88.709,93.442,True,False,False,0.0,3941.50185,0.0,0.0
208, 2015/04/21,4520.46,4619.161,4504.561,4526.2,4439.25,4252.325,85.539,87.92,80.778,True,False,False,0.0,3842.391,0.0,0.0
209, 2015/04/20,4615.03,4521.92,4492.6,4490.1,4403.35,4219.975,83.98,89.11,73.72,True,True,True,-1668.319,3922.7755,-692.2545,-692.2545
210, 2015/04/17,4578.68,4596.14,4553.9,4469.9,4368.25,4188.5,91.972,91.675,92.567,True,True,True,-1614.889,3891.878,-686.802,-686.802
211, 2015/04/16,4355.49,4513.55,4335.63,4419.6,4321.1,4150.7,91.897,91.526,92.639,True,False,False,0.0,3702.1665,0.0,0.0
