,date,open,close,low,KDJ.K,KDJ.D,KDJ.J,kdjgt,earning,stoploss_point,stoploss,earning_with_stoploss
50, 2015/12/10,8109.229,8134.479,8101.209,33.08,97.333,-128.505,True,-1805.007,7298.3061,-810.9229,-810.9229
51, 2015/12/09,8093.029,8115.759,8050.629,46.854,113.396,-133.084,True,-1808.407,7283.7261,-809.3029,-809.3029
52, 2015/12/08,8278.789,8139.189,8125.549,65.658,130.031,-128.746,True,-1494.687,7450.9101,-827.8789,-827.8789
53, 2015/12/07,8242.269,8316.889,8176.719,86.318,146.124,-119.612,True,-1443.687,7418.0421,-824.2269,-824.2269
54, 2015/12/04,8298.068,8235.209,8177.028,93.341,161.076,-135.47,True,-1454.136,7468.2612,-829.8068,-829.8068
55, 2015/12/03,8190.469,8346.629,8190.469,109.263,178.01,-137.494,True,-1475.487,7371.4221,-819.0469,-819.0469
56, 2015/12/02,8146.639,8183.649,7918.329,116.65,195.197,-157.092,True,-1459.177,7331.9751,-814.6639,-814.6639
57, 2015/12/01,8147.429,8163.049,8068.529,140.978,214.833,-147.711,True,-1420.207,7332.6861,-814.7429,-814.7429
58, 2015/11/30,8109.259,8163.049,7744.349,172.073,233.297,-122.448,True,-1465.377,7298.3331,-810.9259,-810.9259
59, 2015/11/27,8605.609,8096.449,8033.21,209.261,248.603,-78.684,True,-2204.727,7745.0481,-860.5609,-860.5609
60, 2015/11/26,8801.56,8655.06,8641.78,260.463,258.439,4.049,True,-2402.338,7921.404,-880.156,-880.156
61, 2015/11/25,8617.5,8754.109,8597.96,265.15,257.932,14.436,True,-2132.729,7755.75,-861.75,-861.75
62, 2015/11/24,8522.16,8613.72,8427.46,257.19,256.128,2.125,True,-2123.639,7669.944,-852.216,-852.216
63, 2015/11/23,8564.88,8532.52,8495.229,257.585,255.862,3.445,True,-2173.289,7708.392,-856.488,-856.488
64, 2015/11/20,8553.63,8580.42,8490.38,262.61,255.432,14.356,True,-2351.639,7698.267,-855.363,-855.363
65, 2015/11/19,8295.79,8519.069,8295.79,260.326,253.637,13.378,True,-2022.879,7466.211,-829.579,-829.579
66, 2015/11/18,8443.96,8266.7,8247.31,259.871,251.965,15.812,True,-2396.609,7599.564,-844.396,-844.396
67, 2015/11/17,8594.68,8447.52,8418.72,281.207,249.988,62.436,True,-2338.599,7735.212,-859.468,-859.468
68, 2015/11/16,8213.56,8513.26,8202.47,285.938,242.184,87.507,True,-1909.039,7392.204,-821.356,-821.356
69, 2015/11/13,8441.79,8345.63,8266.41,281.123,231.245,99.755,True,-1681.239,7597.611,-844.179,-844.179
70, 2015/11/12,8612.819,8534.12,8413.04,287.957,218.776,138.361,True,-1911.858,7751.5371,-861.2819,-861.2819
71, 2015/11/11,8457.189,8554.569,8375.42,273.299,201.481,143.636,True,-1824.338,7611.4701,-845.7189,-845.7189
72, 2015/11/10,8364.099,8443.87,8318.449,248.532,183.526,130.012,True,-1487.739,7527.6891,-836.4099,-836.4099
73, 2015/11/09,8227.919,8406.659,8173.929,224.578,167.275,114.606,True,-1256.289,7405.1271,-822.7919,-822.7919
74, 2015/11/06,8065.059,8265.499,8065.059,194.525,152.949,83.151,True,-1323.378,7258.5531,-806.5059,-806.5059
75, 2015/11/05,8057.459,8032.869,7965.749,167.71,142.555,50.309,True,-1425.348,7251.7131,-805.7459,-805.7459
76, 2015/11/04,7672.129,8039.349,7672.129,154.731,136.267,36.929,True,-830.038,6904.9161,-767.2129,-767.2129
77, 2015/11/03,7677.609,7630.679,7562.589,135.254,131.651,7.207,True,-1075.298,6909.8481,-767.7609,-767.7609
78, 2015/11/02,7623.189,7646.999,7591.109,150.038,130.75,38.576,True,-812.418,6860.8701,-762.3189,-762.3189
79, 2015/10/30,7769.059,7795.919,7642.459,165.063,125.928,78.27,True,-1023.739,6992.1531,-776.9059,-776.9059
80, 2015/10/29,7772.019,7771.859,7646.319,166.676,116.144,101.065,True,-571.719,6994.8171,-777.2019,-571.719
