,date,open,close,low,KDJ.K,KDJ.D,KDJ.J,kdjlt,earning,stoploss_point,stoploss,earning_with_stoploss
50, 2015/12/10,3469.812,3455.502,3446.272,0.738,21.017,-40.559,False,0.0,3122.8308,0.0,0.0
51, 2015/12/09,3462.582,3472.442,3454.882,6.579,26.087,-39.016,False,0.0,3116.3238,0.0,0.0
52, 2015/12/08,3518.652,3470.072,3466.792,12.214,30.964,-37.499,False,0.0,3166.7868,0.0,0.0
53, 2015/12/07,3529.812,3536.932,3506.622,19.47,35.651,-32.362,False,0.0,3176.8308,0.0,0.0
54, 2015/12/04,3558.152,3524.992,3510.412,21.641,39.696,-36.111,False,0.0,3202.3368,0.0,0.0
55, 2015/12/03,3525.732,3584.822,3517.232,25.312,44.21,-37.796,False,0.0,3173.1588,0.0,0.0
56, 2015/12/02,3450.282,3536.912,3427.662,23.538,48.935,-50.793,False,0.0,3105.2538,0.0,0.0
57, 2015/12/01,3442.442,3456.312,3417.542,25.81,55.284,-58.948,False,0.0,3098.1978,0.0,0.0
58, 2015/11/30,3433.862,3445.402,3327.812,36.541,62.653,-52.224,False,0.0,3090.4758,0.0,0.0
59, 2015/11/27,3616.542,3436.302,3412.431,50.816,69.181,-36.729,False,0.0,3254.8878,0.0,0.0
60, 2015/11/26,3659.572,3635.552,3629.862,69.224,73.772,-9.095,False,0.0,3293.6148,0.0,0.0
61, 2015/11/25,3614.072,3647.932,3607.521,71.426,74.909,-6.966,False,0.0,3252.6648,0.0,0.0
62, 2015/11/24,3602.892,3616.112,3563.102,71.936,75.779,-7.686,False,0.0,3242.6028,0.0,0.0
63, 2015/11/23,3630.872,3610.312,3598.872,74.781,76.74,-3.919,False,0.0,3267.7848,0.0,0.0
64, 2015/11/20,3620.792,3630.501,3607.921,77.915,77.23,1.369,False,0.0,3258.7128,0.0,0.0
65, 2015/11/19,3573.781,3617.062,3561.042,78.725,77.059,3.333,False,0.0,3216.4029,0.0,0.0
66, 2015/11/18,3605.062,3568.471,3558.701,79.984,76.642,6.683,False,0.0,3244.5558,0.0,0.0
67, 2015/11/17,3629.981,3604.802,3598.072,85.374,75.807,19.134,False,0.0,3266.9829,0.0,0.0
68, 2015/11/16,3522.461,3606.961,3519.421,87.312,73.415,27.795,False,0.0,3170.2149,0.0,0.0
69, 2015/11/13,3600.761,3580.841,3564.811,88.297,69.94,36.713,False,0.0,3240.6849,0.0,0.0
70, 2015/11/12,3656.821,3632.901,3603.231,90.929,65.351,51.155,False,0.0,3291.1389,0.0,0.0
71, 2015/11/11,3635.001,3650.251,3605.621,87.665,58.957,57.415,False,0.0,3271.5009,0.0,0.0
72, 2015/11/10,3617.401,3640.491,3607.891,80.457,51.78,57.354,False,0.0,3255.6609,0.0,0.0
73, 2015/11/09,3588.501,3646.881,3588.501,71.081,44.611,52.94,False,0.0,3229.6509,0.0,0.0
74, 2015/11/06,3514.441,3590.031,3508.831,57.429,37.993,38.871,False,0.0,3162.9969,0.0,0.0
75, 2015/11/05,3459.221,3522.821,3455.531,44.957,33.135,23.645,False,0.0,3113.2989,0.0,0.0
76, 2015/11/04,3325.621,3459.641,3325.621,35.228,30.179,10.098,False,0.0,2993.0589,0.0,0.0
77, 2015/11/03,3330.321,3316.701,3302.181,28.73,28.917,-0.372,False,0.0,2997.2889,0.0,0.0
78, 2015/11/02,3337.581,3325.081,3322.311,34.573,28.963,11.22,False,0.0,3003.8229,0.0,0.0
79, 2015/10/30,3380.281,3382.561,3346.591,40.675,27.561,26.228,False,0.0,3042.2529,0.0,0.0
80, 2015/10/29,3387.771,3387.321,3362.511,42.018,24.282,35.471,False,0.0,3048.9939,0.0,0.0
81, 2015/10/28,3417.011,3375.201,3367.231,42.637,19.848,45.577,False,0.0,3075.3099,0.0,0.0
82, 2015/10/27,3409.141,3434.341,3332.621,44.04,14.151,59.778,False,0.0,3068.2269,0.0,0.0
83, 2015/10/26,3448.651,3429.581,3402.001,39.17,6.679,64.982,True,-160.939,3103.7859,-344.8651,-160.939
84, 2015/10/23,3377.551,3412.431,3360.221,32.868,-1.444,68.625,True,-81.289,3039.7959,-337.7551,-81.289
85, 2015/10/22,3292.291,3368.741,3282.991,26.094,-10.022,72.231,True,246.892,2963.0619,-329.2291,246.892
86, 2015/10/21,3428.561,3320.681,3265.441,21.515,-19.051,81.132,True,144.322,3085.7049,-342.8561,144.322
87, 2015/10/20,3377.551,3425.331,3357.861,20.251,-29.192,98.888,True,186.192,3039.7959,-337.7551,186.192
88, 2015/10/19,3401.631,3386.701,3355.571,7.689,-41.553,98.485,True,132.151,3061.4679,-340.1631,132.151
89, 2015/10/16,3358.301,3391.351,3334.851,-4.523,-53.864,98.681,True,269.611,3022.4709,-335.8301,269.611
90, 2015/10/15,3255.031,3338.071,3254.391,-20.519,-66.199,91.361,True,357.461,2929.5279,-325.5031,357.461
91, 2015/10/14,3280.021,3262.44,3256.25,-35.212,-77.619,84.814,True,356.071,2952.0189,-328.0021,356.071
92, 2015/10/13,3262.16,3293.23,3253.25,-45.753,-88.221,84.936,True,389.612,2935.944,-326.216,389.612
93, 2015/10/12,3193.54,3287.66,3188.41,-61.677,-98.838,74.323,True,448.932,2874.186,-319.354,448.932
94, 2015/10/09,3146.64,3183.15,3137.79,-80.537,-108.129,55.184,True,432.322,2831.976,-314.664,432.322
95, 2015/10/08,3156.07,3143.36,3133.13,-92.796,-115.026,44.46,True,423.932,2840.463,-315.607,423.932
96, 2015/09/30,3052.84,3052.78,3039.74,-103.043,-120.584,35.082,True,463.352,2747.556,-305.284,463.352
97, 2015/09/29,3055.22,3038.14,3021.16,-105.4,-124.969,39.139,True,455.132,2749.698,-305.522,455.132
98, 2015/09/28,3085.571,3100.76,3042.311,-105.385,-129.862,48.954,True,435.101,2777.0139,-308.5571,435.101
99, 2015/09/25,3130.851,3092.351,3063.0,-110.208,-135.981,51.545,True,303.731,2817.7659,-313.0851,303.731
100, 2015/09/24,3126.491,3142.691,3109.691,-113.905,-142.424,57.037,True,329.011,2813.8419,-312.6491,329.011
101, 2015/09/23,3137.721,3115.891,3104.741,-122.093,-149.554,54.922,True,334.721,2823.9489,-313.7721,334.721
102, 2015/09/22,3161.321,3185.621,3152.48,-128.038,-156.419,56.761,True,308.751,2845.1889,-316.1321,308.751
103, 2015/09/21,3072.091,3156.541,3060.861,-140.865,-163.514,45.299,True,464.841,2764.8819,-307.2091,464.841
104, 2015/09/18,3100.281,3097.921,3070.341,-152.226,-169.176,33.901,True,424.711,2790.2529,-310.0281,424.711
105, 2015/09/17,3131.981,3086.061,3085.311,-158.544,-173.414,29.74,True,452.841,2818.7829,-313.1981,452.841
106, 2015/09/16,2998.041,3152.261,2983.541,-163.094,-177.132,28.075,True,538.871,2698.2369,-299.8041,538.871
107, 2015/09/15,3043.801,3005.171,2983.921,-173.271,-180.641,14.741,True,412.511,2739.4209,-304.3801,412.511
108, 2015/09/14,3221.171,3114.801,3049.231,-168.762,-182.483,27.442,True,224.231,2899.0539,-322.1171,224.231
109, 2015/09/11,3189.481,3200.231,3163.451,-171.716,-185.914,28.396,True,246.821,2870.5329,-318.9481,246.821
110, 2015/09/10,3190.551,3197.891,3178.901,-181.686,-189.463,15.554,True,445.001,2871.4959,-319.0551,445.001
111, 2015/09/09,3182.551,3243.091,3165.7,-191.531,-191.407,-0.247,True,465.381,2864.2959,-318.2551,465.381
112, 2015/09/08,3054.44,3170.45,3011.12,-205.913,-191.376,-29.073,True,561.672,2748.996,-305.444,561.672
113, 2015/09/07,3149.38,3080.42,3066.3,-213.878,-187.742,-52.272,True,460.932,2834.442,-314.938,460.932
114, 2015/09/02,3027.68,3160.17,3019.09,-211.768,-181.208,-61.118,True,602.821,2724.912,-302.768,602.821
115, 2015/09/01,3157.83,3166.62,3053.74,-214.113,-173.569,-81.089,True,459.232,2842.047,-315.783,459.232
116, 2015/08/31,3203.56,3205.99,3109.16,-214.649,-163.432,-102.434,True,364.911,2883.204,-320.356,364.911
117, 2015/08/28,3125.26,3232.35,3102.95,-216.22,-150.628,-131.184,True,479.542,2812.734,-312.526,479.542
118, 2015/08/27,2978.03,3083.59,2906.49,-217.764,-134.23,-167.068,True,628.931,2680.227,-297.803,628.931
119, 2015/08/26,2980.79,2927.29,2850.71,-201.421,-113.347,-176.149,True,600.051,2682.711,-298.079,600.051
120, 2015/08/25,3004.13,2964.97,2947.94,-161.717,-91.328,-140.778,True,628.771,2703.717,-300.413,628.771
121, 2015/08/24,3373.48,3209.91,3191.88,-112.524,-73.731,-77.587,True,276.771,3036.132,-337.348,-337.348
122, 2015/08/21,3609.96,3507.74,3490.54,-73.04,-64.032,-18.014,True,30.531,3248.964,-360.996,-360.996
123, 2015/08/20,3754.57,3664.29,3663.61,-51.905,-61.781,19.752,True,-107.689,3379.113,-375.457,-375.457
124, 2015/08/19,3646.8,3794.11,3558.38,-40.113,-64.25,48.273,True,-56.769,3282.12,-364.68,-364.68
125, 2015/08/18,3999.13,3748.16,3743.39,-37.698,-70.284,65.172,True,-476.309,3599.217,-399.913,-399.913
126, 2015/08/17,3947.84,3993.67,3907.4,-29.388,-78.43,98.084,True,-488.199,3553.056,-394.784,-394.784
127, 2015/08/14,3976.41,3965.33,3939.83,-43.352,-90.691,94.677,True,-659.709,3578.769,-397.641,-397.641
128, 2015/08/13,3869.91,3954.56,3838.16,-57.659,-102.525,89.733,True,-544.829,3482.919,-386.991,-386.991
129, 2015/08/12,3881.23,3886.32,3871.14,-73.984,-113.742,79.516,True,-498.669,3493.107,-388.123,-388.123
130, 2015/08/11,3928.81,3927.91,3891.18,-86.797,-123.682,73.77,True,-541.489,3535.929,-392.881,-392.881
131, 2015/08/10,3786.03,3928.42,3775.85,-106.122,-132.903,53.561,True,-410.829,3407.427,-378.603,-378.603
132, 2015/08/07,3692.61,3744.2,3686.3,-129.298,-139.598,20.601,True,-258.269,3323.349,-369.261,-369.261
133, 2015/08/06,3625.5,3661.54,3614.74,-138.24,-142.173,7.866,True,-195.919,3262.95,-362.55,-362.55
134, 2015/08/05,3745.65,3694.57,3676.39,-139.227,-143.156,7.859,True,-333.219,3371.085,-374.565,-374.565
135, 2015/08/04,3621.86,3756.54,3601.29,-141.824,-144.139,4.63,True,-253.119,3259.674,-362.186,-362.186
136, 2015/08/03,3614.99,3622.91,3549.5,-149.385,-144.717,-9.336,True,-294.309,3253.491,-361.499,-361.499
137, 2015/07/31,3655.67,3663.73,3620.17,-143.258,-143.55,0.584,True,-230.339,3290.103,-365.567,-365.567
138, 2015/07/30,3773.79,3705.77,3685.96,-137.51,-143.623,12.227,True,-387.089,3396.411,-377.379,-377.379
139, 2015/07/29,3689.82,3789.17,3612.06,-132.453,-145.152,25.397,True,-298.469,3320.838,-368.982,-368.982
140, 2015/07/28,3573.14,3663.0,3537.36,-132.564,-148.326,31.524,True,-235.069,3215.826,-357.314,-357.314
141, 2015/07/27,3985.57,3725.56,3720.44,-117.931,-152.267,68.671,True,-723.13,3587.013,-398.557,-398.557
142, 2015/07/24,4124.75,4070.91,4044.83,-103.909,-160.851,113.884,True,-831.52,3712.275,-412.475,-412.475
143, 2015/07/23,4022.27,4123.92,4019.04,-119.662,-175.086,110.848,True,-734.61,3620.043,-402.227,-402.227
144, 2015/07/22,3996.43,4026.04,3960.86,-143.426,-188.942,91.032,True,-813.28,3596.787,-399.643,-399.643
145, 2015/07/21,3939.9,4017.67,3912.8,-161.706,-200.321,77.231,True,-796.54,3545.91,-393.99,-393.99
146, 2015/07/20,3948.42,3992.11,3927.12,-181.832,-209.975,56.285,True,-895.64,3553.578,-394.842,-394.842
147, 2015/07/17,3831.42,3957.35,3814.15,-202.274,-217.011,29.473,True,-793.28,3448.278,-383.142,-383.142
148, 2015/07/16,3758.5,3823.18,3688.44,-221.884,-220.695,-2.379,True,-657.74,3382.65,-375.85,-375.85
149, 2015/07/15,3874.97,3805.7,3741.25,-230.025,-220.397,-19.256,True,-782.619,3487.473,-387.497,-387.497
150, 2015/07/14,3958.37,3924.49,3855.56,-235.291,-217.99,-34.6,True,-815.679,3562.533,-395.837,-395.837
151, 2015/07/13,3918.99,3970.39,3858.64,-250.684,-213.665,-74.036,True,-803.099,3527.091,-391.899,-391.899
152, 2015/07/10,3707.46,3877.8,3677.43,-271.358,-204.411,-133.894,True,-521.839,3336.714,-370.746,-370.746
153, 2015/07/09,3432.45,3709.33,3373.54,-284.371,-187.674,-193.394,True,-275.909,3089.205,-343.245,-343.245
154, 2015/07/08,3467.4,3507.19,3421.53,-279.691,-163.5,-232.383,True,-369.479,3120.66,-346.74,-346.74
155, 2015/07/07,3654.78,3727.12,3585.4,-249.068,-134.452,-229.233,True,-568.719,3289.302,-365.478,-365.478
156, 2015/07/06,3975.21,3775.91,3653.04,-228.752,-105.798,-245.909,True,-822.949,3577.689,-397.521,-397.521
157, 2015/07/03,3793.71,3686.92,3629.56,-204.462,-75.059,-258.806,True,-788.539,3414.339,-379.371,-379.371
158, 2015/07/02,4058.62,3912.77,3795.25,-161.424,-42.709,-237.432,True,-943.819,3652.758,-405.862,-405.862
159, 2015/07/01,4214.15,4053.7,4043.37,-127.14,-13.03,-228.221,False,0.0,3792.735,0.0,0.0
160, 2015/06/30,4006.75,4277.22,3847.879,-95.881,15.498,-222.759,False,0.0,3606.075,0.0,0.0
161, 2015/06/29,4289.77,4053.03,3875.05,-77.347,43.343,-241.38,False,0.0,3860.793,0.0,0.0
162, 2015/06/26,4399.93,4192.87,4139.53,-29.739,73.515,-206.509,False,0.0,3959.937,0.0,0.0
163, 2015/06/25,4711.76,4527.78,4483.55,17.22,99.329,-164.218,False,0.0,4240.584,0.0,0.0
164, 2015/06/24,4604.58,4690.15,4552.13,42.807,119.856,-154.098,False,0.0,4144.122,0.0,0.0
165, 2015/06/23,4471.61,4576.49,4264.771,58.311,139.119,-161.616,False,0.0,4024.449,0.0,0.0
166, 2015/06/19,4689.93,4478.36,4476.5,88.823,159.321,-140.996,False,0.0,4220.937,0.0,0.0
167, 2015/06/18,4942.521,4785.36,4780.871,136.467,176.945,-80.956,False,0.0,4448.2689,0.0,0.0
168, 2015/06/17,4890.55,4967.9,4767.22,164.036,187.065,-46.058,False,0.0,4401.495,0.0,0.0
169, 2015/06/16,5004.41,4887.43,4842.1,178.251,192.822,-29.142,False,0.0,4503.969,0.0,0.0
170, 2015/06/15,5174.42,5062.99,5048.74,201.996,196.464,11.062,False,0.0,4656.978,0.0,0.0
171, 2015/06/12,5143.341,5166.351,5103.401,211.489,195.082,32.814,False,0.0,4629.0069,0.0,0.0
172, 2015/06/11,5101.441,5121.591,5050.761,210.005,190.98,38.051,False,0.0,4591.2969,0.0,0.0
173, 2015/06/10,5049.201,5106.041,5001.491,209.615,186.224,46.782,False,0.0,4544.2809,0.0,0.0
174, 2015/06/09,5145.981,5113.531,5042.961,207.651,180.376,54.55,False,0.0,4631.3829,0.0,0.0
175, 2015/06/08,5045.691,5131.881,4997.481,201.361,173.557,55.609,False,0.0,4541.1219,0.0,0.0
176, 2015/06/05,5016.092,5023.102,4898.072,188.536,166.606,43.86,False,0.0,4514.4828,0.0,0.0
177, 2015/06/04,4912.952,4947.102,4647.412,180.5,161.123,38.752,False,0.0,4421.6568,0.0,0.0
178, 2015/06/03,4924.381,4909.981,4822.441,175.355,156.279,38.151,False,0.0,4431.9429,0.0,0.0
179, 2015/06/02,4844.701,4910.531,4797.551,170.018,151.51,37.014,False,0.0,4360.2309,0.0,0.0
180, 2015/06/01,4633.101,4828.741,4615.231,160.676,146.884,27.586,False,0.0,4169.7909,0.0,0.0
181, 2015/05/29,4603.471,4611.741,4431.561,154.744,143.435,22.617,False,0.0,4143.1239,0.0,0.0
182, 2015/05/28,4943.741,4620.271,4614.241,167.016,140.608,52.815,False,0.0,4449.3669,0.0,0.0
183, 2015/05/27,4932.852,4941.711,4857.062,179.381,134.006,90.749,False,0.0,4439.5668,0.0,0.0
184, 2015/05/26,4854.852,4910.901,4779.082,159.826,122.663,74.327,False,0.0,4369.3668,0.0,0.0
185, 2015/05/25,4660.082,4813.802,4656.822,135.679,113.372,44.614,False,0.0,4194.0738,0.0,0.0
186, 2015/05/22,4584.981,4657.602,4562.991,112.771,107.795,9.952,False,0.0,4126.4829,0.0,0.0
187, 2015/05/21,4456.431,4529.421,4438.261,97.797,106.551,-17.508,False,0.0,4010.7879,0.0,0.0
188, 2015/05/20,4434.981,4446.291,4432.281,90.313,108.74,-36.853,False,0.0,3991.4829,0.0,0.0
189, 2015/05/19,4285.781,4417.551,4285.781,87.911,113.346,-50.871,False,0.0,3857.2029,0.0,0.0
190, 2015/05/18,4277.901,4283.491,4260.511,86.493,119.705,-66.425,False,0.0,3850.1109,0.0,0.0
191, 2015/05/15,4366.821,4308.691,4278.551,97.074,128.008,-61.869,False,0.0,3930.1389,0.0,0.0
192, 2015/05/14,4372.821,4378.311,4329.041,106.602,135.742,-58.281,False,0.0,3935.5389,0.0,0.0
193, 2015/05/13,4402.381,4375.761,4342.481,110.123,143.027,-65.808,False,0.0,3962.1429,0.0,0.0
194, 2015/05/12,4342.371,4401.221,4317.98,113.276,151.253,-75.955,False,0.0,3908.1339,0.0,0.0
195, 2015/05/11,4231.271,4333.581,4187.82,113.06,160.748,-95.375,False,0.0,3808.1439,0.0,0.0
196, 2015/05/08,4152.98,4205.92,4099.041,118.027,172.669,-109.284,False,0.0,3737.682,0.0,0.0
197, 2015/05/07,4197.9,4112.21,4108.01,135.648,186.33,-101.363,False,0.0,3778.11,0.0,0.0
198, 2015/05/06,4311.641,4229.271,4187.371,165.708,199.0,-66.585,False,0.0,3880.4769,0.0,0.0
199, 2015/05/05,4479.851,4298.71,4282.241,189.746,207.323,-35.155,False,0.0,4031.8659,0.0,0.0
200, 2015/05/04,4441.34,4480.46,4387.43,210.596,211.718,-2.243,False,0.0,3997.206,0.0,0.0
201, 2015/04/30,4483.01,4441.65,4441.05,215.641,211.998,7.285,False,0.0,4034.709,0.0,0.0
202, 2015/04/29,4446.12,4476.62,4398.64,222.894,211.088,23.613,False,0.0,4001.508,0.0,0.0
203, 2015/04/28,4527.64,4476.21,4432.9,225.349,208.136,34.427,False,0.0,4074.876,0.0,0.0
204, 2015/04/27,4441.93,4527.4,4441.93,225.247,203.833,42.83,False,0.0,3997.737,0.0,0.0
205, 2015/04/24,4355.949,4393.689,4318.119,216.628,198.479,36.299,False,0.0,3920.3541,0.0,0.0
206, 2015/04/23,4414.479,4414.509,4358.839,216.091,193.941,44.299,False,0.0,3973.0311,0.0,0.0
207, 2015/04/22,4304.599,4398.489,4297.949,210.142,188.404,43.475,False,0.0,3874.1391,0.0,0.0
208, 2015/04/21,4212.189,4293.619,4188.569,201.123,182.97,36.307,False,0.0,3790.9701,0.0,0.0
209, 2015/04/20,4301.349,4217.079,4190.679,197.364,178.431,37.865,False,0.0,3871.2141,0.0,0.0
210, 2015/04/17,4254.719,4287.299,4238.909,197.489,173.698,47.581,False,0.0,3829.2471,0.0,0.0
211, 2015/04/16,4055.919,4194.819,4031.24,187.626,167.751,39.75,False,0.0,3650.3271,0.0,0.0
212, 2015/04/15,4135.649,4084.159,4069.01,181.724,162.782,37.885,False,0.0,3722.0841,0.0,0.0
213, 2015/04/14,4125.779,4135.569,4091.259,182.815,158.046,49.538,False,0.0,3713.2011,0.0,0.0
214, 2015/04/13,4072.719,4121.709,4057.29,176.314,151.854,48.921,False,0.0,3665.4471,0.0,0.0
215, 2015/04/10,3947.49,4034.31,3929.32,166.863,145.739,42.249,False,0.0,3552.741,0.0,0.0
216, 2015/04/09,4006.13,3957.53,3900.03,161.272,140.458,41.629,False,0.0,3605.517,0.0,0.0
217, 2015/04/08,3976.53,3994.81,3903.65,159.608,135.254,48.708,False,0.0,3578.877,0.0,0.0
218, 2015/04/07,3899.42,3961.38,3891.73,151.366,129.166,44.402,False,0.0,3509.478,0.0,0.0
219, 2015/04/03,3803.38,3863.93,3792.21,142.049,123.615,36.868,False,0.0,3423.042,0.0,0.0
220, 2015/04/02,3827.689,3825.78,3775.889,138.013,119.007,38.013,False,0.0,3444.9201,0.0,0.0
221, 2015/04/01,3748.34,3810.29,3742.21,134.739,114.255,40.967,False,0.0,3373.506,0.0,0.0
222, 2015/03/31,3822.99,3747.9,3737.04,130.176,109.134,42.084,False,0.0,3440.691,0.0,0.0
223, 2015/03/30,3710.61,3786.57,3710.61,128.812,103.874,49.876,False,0.0,3339.549,0.0,0.0
224, 2015/03/27,3686.13,3691.1,3656.83,121.26,97.639,47.24,False,0.0,3317.517,0.0,0.0
225, 2015/03/26,3641.94,3682.1,3615.01,119.577,91.734,55.685,False,0.0,3277.746,0.0,0.0
226, 2015/03/25,3680.95,3660.73,3634.56,116.606,84.774,63.665,False,0.0,3312.855,0.0,0.0
227, 2015/03/24,3692.57,3691.41,3600.7,113.294,76.815,72.958,False,0.0,3323.313,0.0,0.0
228, 2015/03/23,3640.1,3687.73,3635.48,104.295,67.696,73.199,False,0.0,3276.09,0.0,0.0
229, 2015/03/20,3587.08,3617.32,3569.38,91.667,58.546,66.243,False,0.0,3228.372,0.0,0.0
230, 2015/03/19,3576.02,3582.27,3546.84,81.385,50.265,62.239,False,0.0,3218.418,0.0,0.0
231, 2015/03/18,3510.5,3577.3,3503.85,70.646,42.486,56.32,False,0.0,3159.45,0.0,0.0
232, 2015/03/17,3469.6,3502.85,3459.69,56.417,35.446,41.942,False,0.0,3122.64,0.0,0.0
