,date,open,close,low,KDJ.K,KDJ.D,KDJ.J,kdjlt,earning,stoploss_point,stoploss,earning_with_stoploss
50, 2015/12/10,3634.371,3623.081,3615.991,57.508,57.454,57.617,False,0.0,3270.9339,0.0,0.0
51, 2015/12/09,3613.421,3635.941,3611.491,58.573,57.427,60.864,False,0.0,3252.0789,0.0,0.0
52, 2015/12/08,3668.841,3623.021,3619.441,58.05,56.854,60.441,False,0.0,3301.9569,0.0,0.0
53, 2015/12/07,3681.581,3687.611,3658.581,63.135,56.256,76.892,False,0.0,3313.4229,0.0,0.0
54, 2015/12/04,3719.731,3677.591,3667.291,61.555,52.817,79.031,False,0.0,3347.7579,0.0,0.0
55, 2015/12/03,3709.551,3749.301,3693.141,60.614,48.448,84.945,False,0.0,3338.5959,0.0,0.0
56, 2015/12/02,3587.761,3721.951,3573.401,48.98,42.365,62.209,False,0.0,3228.9849,0.0,0.0
57, 2015/12/01,3562.321,3591.701,3536.121,35.428,39.058,28.167,False,0.0,3206.0889,0.0,0.0
58, 2015/11/30,3554.891,3566.411,3455.071,33.666,40.873,19.252,False,0.0,3199.4019,0.0,0.0
59, 2015/11/27,3739.101,3556.991,3534.391,34.628,44.477,14.931,False,0.0,3365.1909,0.0,0.0
60, 2015/11/26,3795.251,3759.431,3756.821,48.393,49.401,46.377,False,0.0,3415.7259,0.0,0.0
61, 2015/11/25,3747.761,3781.611,3735.721,49.613,49.905,49.03,False,0.0,3372.9849,0.0,0.0
62, 2015/11/24,3745.761,3753.891,3702.741,45.022,50.051,34.965,False,0.0,3371.1849,0.0,0.0
63, 2015/11/23,3774.441,3753.341,3743.411,46.161,52.565,33.353,False,0.0,3396.9969,0.0,0.0
64, 2015/11/20,3778.881,3774.381,3757.031,48.029,55.767,32.552,False,0.0,3400.9929,0.0,0.0
65, 2015/11/19,3725.621,3774.971,3714.671,48.036,59.636,24.835,False,0.0,3353.0589,0.0,0.0
66, 2015/11/18,3760.461,3715.581,3706.311,49.64,65.437,18.047,False,0.0,3384.4149,0.0,0.0
67, 2015/11/17,3790.431,3758.391,3750.161,66.073,73.335,51.55,False,0.0,3411.3879,0.0,0.0
68, 2015/11/16,3682.731,3764.131,3680.071,74.326,76.966,69.047,False,0.0,3314.4579,0.0,0.0
69, 2015/11/13,3756.201,3746.241,3727.581,76.882,78.285,74.076,False,0.0,3380.5809,0.0,0.0
70, 2015/11/12,3841.741,3795.321,3771.271,81.893,78.987,87.704,False,0.0,3457.5669,0.0,0.0
71, 2015/11/11,3828.451,3833.651,3781.411,83.821,77.534,96.394,False,0.0,3445.6059,0.0,0.0
72, 2015/11/10,3806.671,3833.241,3798.821,82.348,74.391,98.263,False,0.0,3426.0039,0.0,0.0
73, 2015/11/09,3796.381,3840.351,3796.381,80.186,70.412,99.735,False,0.0,3416.7429,0.0,0.0
74, 2015/11/06,3698.341,3793.371,3694.661,76.134,65.525,97.352,False,0.0,3328.5069,0.0,0.0
75, 2015/11/05,3630.781,3705.971,3627.301,65.395,60.22,75.745,False,0.0,3267.7029,0.0,0.0
76, 2015/11/04,3477.161,3628.541,3477.161,59.565,57.633,63.429,False,0.0,3129.4449,0.0,0.0
77, 2015/11/03,3484.721,3465.491,3452.621,39.348,56.667,4.709,False,0.0,3136.2489,0.0,0.0
78, 2015/11/02,3489.231,3475.961,3474.711,52.527,65.327,26.928,False,0.0,3140.3079,0.0,0.0
79, 2015/10/30,3530.221,3534.081,3497.571,64.394,71.726,49.729,False,0.0,3177.1989,0.0,0.0
80, 2015/10/29,3539.981,3533.311,3507.971,67.904,75.393,52.927,False,0.0,3185.9829,0.0,0.0
81, 2015/10/28,3575.801,3524.921,3517.211,73.358,79.137,61.801,False,0.0,3218.2209,0.0,0.0
82, 2015/10/27,3569.451,3592.881,3486.101,83.603,82.026,86.755,False,0.0,3212.5059,0.0,0.0
83, 2015/10/26,3614.701,3589.261,3561.191,81.786,81.238,82.881,False,0.0,3253.2309,0.0,0.0
84, 2015/10/23,3536.841,3571.241,3515.821,79.889,80.965,77.737,False,0.0,3183.1569,0.0,0.0
85, 2015/10/22,3453.201,3524.531,3442.311,77.374,81.502,69.117,False,0.0,3107.8809,0.0,0.0
86, 2015/10/21,3580.841,3473.251,3417.411,81.162,83.567,76.352,False,0.0,3222.7569,0.0,0.0
87, 2015/10/20,3527.881,3577.701,3510.441,92.57,84.769,108.171,False,0.0,3175.0929,0.0,0.0
88, 2015/10/19,3548.951,3534.181,3502.501,88.872,80.869,104.88,False,0.0,3194.0559,0.0,0.0
89, 2015/10/16,3508.521,3534.072,3487.102,88.333,76.867,111.265,False,0.0,3157.6689,0.0,0.0
90, 2015/10/15,3403.392,3486.812,3402.322,82.958,71.134,106.606,False,0.0,3063.0528,0.0,0.0
91, 2015/10/14,3431.142,3406.112,3403.232,74.437,65.222,92.866,False,0.0,3088.0278,0.0,0.0
92, 2015/10/13,3422.481,3445.042,3413.971,73.945,60.615,100.605,False,0.0,3080.2329,0.0,0.0
93, 2015/10/12,3351.141,3447.691,3347.251,67.265,53.95,93.896,False,0.0,3016.0269,0.0,0.0
94, 2015/10/09,3302.361,3340.121,3293.971,56.841,47.292,75.94,False,0.0,2972.1249,0.0,0.0
95, 2015/10/08,3324.981,3296.481,3294.611,42.629,42.517,42.851,False,0.0,2992.4829,0.0,0.0
96, 2015/09/30,3195.901,3202.951,3186.771,31.584,42.462,9.83,False,0.0,2876.3109,0.0,0.0
97, 2015/09/29,3197.221,3178.851,3159.042,37.038,47.9,15.315,False,0.0,2877.4989,0.0,0.0
98, 2015/09/28,3226.612,3242.751,3186.511,50.894,53.331,46.018,False,0.0,2903.9508,0.0,0.0
99, 2015/09/25,3272.672,3231.952,3201.912,53.14,54.55,50.32,False,0.0,2945.4048,0.0,0.0
100, 2015/09/24,3278.902,3285.002,3255.902,58.76,55.255,65.768,False,0.0,2951.0118,0.0,0.0
101, 2015/09/23,3290.072,3263.031,3253.332,56.47,53.503,62.403,False,0.0,2961.0648,0.0,0.0
102, 2015/09/22,3312.372,3339.031,3303.182,58.556,52.02,71.63,False,0.0,2981.1348,0.0,0.0
103, 2015/09/21,3222.602,3308.251,3211.932,48.94,48.751,49.316,False,0.0,2900.3418,0.0,0.0
104, 2015/09/18,3254.441,3251.271,3227.831,43.458,48.657,33.061,False,0.0,2928.9969,0.0,0.0
105, 2015/09/17,3287.661,3237.001,3237.001,44.885,51.257,32.141,False,0.0,2958.8949,0.0,0.0
106, 2015/09/16,3149.161,3309.251,3131.371,49.441,54.443,39.437,False,0.0,2834.2449,0.0,0.0
107, 2015/09/15,3208.741,3152.231,3131.981,44.04,56.943,18.234,False,0.0,2887.8669,0.0,0.0
108, 2015/09/14,3367.641,3281.131,3187.571,62.625,63.395,61.084,False,0.0,3030.8769,0.0,0.0
109, 2015/09/11,3349.881,3347.191,3315.481,72.377,63.78,89.57,False,0.0,3014.8929,0.0,0.0
110, 2015/09/10,3349.281,3357.561,3337.311,74.094,59.482,103.319,False,0.0,3014.3529,0.0,0.0
111, 2015/09/09,3344.821,3399.311,3330.291,69.815,52.176,105.095,False,0.0,3010.3389,0.0,0.0
112, 2015/09/08,3221.791,3334.021,3170.811,57.603,43.356,86.098,False,0.0,2899.6119,0.0,0.0
