,date,open,low,close,ma5,ma10,ma20,maup,earning,stoploss_point,stoploss,earning_with_stoploss
200, 2015/05/04,4441.34,4387.43,4480.46,4480.6,4412.0,4237.8,True,-1674.127,3997.206,-444.134,-444.134
201, 2015/04/30,4483.01,4441.05,4441.65,4463.0,4392.6,4205.0,True,-1741.757,4034.709,-448.301,-448.301
202, 2015/04/29,4446.12,4398.64,4476.62,4457.8,4368.0,4173.5,True,-1517.217,4001.508,-444.612,-444.612
203, 2015/04/28,4527.64,4432.9,4476.21,4442.0,4328.7,4137.05,True,-1624.307,4074.876,-452.764,-452.764
204, 2015/04/27,4441.93,4441.93,4527.4,4405.6,4294.7,4102.55,True,-1514.748,3997.737,-444.193,-444.193
205, 2015/04/24,4355.949,4318.119,4393.689,4343.4,4254.1,4060.7,True,-1495.927,3920.3541,-435.5949,-435.5949
206, 2015/04/23,4414.479,4358.839,4414.509,4322.2,4218.2,4025.15,True,-1551.587,3973.0311,-441.4479,-441.4479
207, 2015/04/22,4304.599,4297.949,4398.489,4278.2,4172.4,3987.45,True,-1437.257,3874.1391,-430.4599,-430.4599
208, 2015/04/21,4212.189,4188.569,4293.619,4215.4,4132.1,3952.1,True,-1375.617,3790.9701,-421.2189,-421.2189
209, 2015/04/20,4301.349,4190.679,4217.079,4183.8,4098.9,3921.8,True,-1555.147,3871.2141,-430.1349,-430.1349
210, 2015/04/17,4254.719,4238.909,4287.299,4164.8,4063.6,3891.85,True,-1491.227,3829.2471,-425.4719,-425.4719
211, 2015/04/16,4055.919,4031.24,4194.819,4114.2,4017.4,3856.6,True,-1274.897,3650.3271,-405.5919,-405.5919
212, 2015/04/15,4135.649,4069.01,4084.159,4066.6,3979.0,3825.7,True,-1396.397,3722.0841,-413.5649,-413.5649
213, 2015/04/14,4125.779,4091.259,4135.569,4048.8,3945.4,3796.65,True,-1376.207,3713.2011,-412.5779,-412.5779
214, 2015/04/13,4072.719,4057.29,4121.709,4014.0,3910.4,3762.3,True,-1383.867,3665.4471,-407.2719,-407.2719
215, 2015/04/10,3947.49,3929.32,4034.31,3962.4,3867.3,3724.85,True,-1209.888,3552.741,-394.749,-394.749
216, 2015/04/09,4006.13,3900.03,3957.53,3920.6,3832.1,3690.6,True,-1350.468,3605.517,-400.613,-400.613
217, 2015/04/08,3976.53,3903.65,3994.81,3891.4,3802.5,3657.3,True,-1240.968,3578.877,-397.653,-397.653
218, 2015/04/07,3899.42,3891.73,3961.38,3842.0,3772.1,3621.85,True,-1149.628,3509.478,-389.942,-389.942
219, 2015/04/03,3803.38,3792.21,3863.93,3806.8,3744.7,3588.9,True,-864.868,3423.042,-380.338,-380.338
220, 2015/04/02,3827.689,3775.889,3825.78,3772.2,3720.1,3557.75,True,-911.127,3444.9201,-382.7689,-382.7689
221, 2015/04/01,3748.34,3742.21,3810.29,3743.6,3695.8,3528.95,True,-867.858,3373.506,-374.834,-374.834
222, 2015/03/31,3822.99,3737.04,3747.9,3713.6,3672.4,3502.35,True,-846.298,3440.691,-382.299,-382.299
223, 2015/03/30,3710.61,3710.61,3786.57,3702.2,3647.9,3478.1,True,-702.868,3339.549,-371.061,-371.061
224, 2015/03/27,3686.13,3656.83,3691.1,3682.6,3614.2,3455.6,True,-772.288,3317.517,-368.613,-368.613
225, 2015/03/26,3641.94,3615.01,3682.1,3668.0,3582.4,3436.6,True,-740.968,3277.746,-364.194,-364.194
226, 2015/03/25,3680.95,3634.56,3660.73,3648.0,3549.1,3417.4,True,-673.298,3312.855,-368.095,-368.095
227, 2015/03/24,3692.57,3600.7,3691.41,3631.2,3512.1,3395.8,True,-742.968,3323.313,-369.257,-369.257
228, 2015/03/23,3640.1,3635.48,3687.73,3593.6,3471.6,3373.6,True,-617.238,3276.09,-364.01,-364.01
229, 2015/03/20,3587.08,3569.38,3617.32,3545.8,3433.1,3350.3,True,-570.378,3228.372,-358.708,-358.708
230, 2015/03/19,3576.02,3546.84,3582.27,3496.8,3395.4,3329.6,True,-389.608,3218.418,-357.602,-357.602
231, 2015/03/18,3510.5,3503.85,3577.3,3450.2,3362.1,3309.15,True,-385.498,3159.45,-351.05,-351.05
232, 2015/03/17,3469.6,3459.69,3502.85,3393.0,3332.3,3288.2,True,-107.758,3122.64,-346.96,-346.96
233, 2015/03/16,3391.16,3377.09,3449.3,3349.6,3308.3,3270.15,True,-103.448,3052.044,-339.116,-339.116
234, 2015/03/13,3359.49,3352.15,3372.91,3320.4,3297.0,3252.45,True,-63.228,3023.541,-335.949,-335.949
235, 2015/03/12,3314.81,3300.49,3349.32,3294.0,3290.8,3237.6,True,224.373,2983.329,-331.481,-331.481
236, 2015/03/11,3289.59,3278.47,3290.9,3274.0,3285.7,3226.95,True,283.293,2960.631,-328.959,-328.959
237, 2015/03/10,3289.08,3277.09,3286.07,3271.6,3279.5,3221.1,False,0.0,2960.172,0.0,0.0
238, 2015/03/09,3224.31,3198.37,3302.41,3267.0,3275.6,3217.05,False,0.0,2901.879,0.0,0.0
239, 2015/03/06,3248.04,3234.53,3241.19,3273.6,3267.5,3208.35,False,0.0,2923.236,0.0,0.0
240, 2015/03/05,3264.08,3221.67,3248.48,3287.6,3263.8,3206.8,True,348.412,2937.672,-326.408,-326.408
241, 2015/03/04,3264.18,3250.48,3279.53,3297.4,3256.2,3207.45,True,371.912,2937.762,-326.418,-326.418
242, 2015/03/03,3317.69,3260.43,3263.05,3287.4,3244.1,3208.8,True,334.082,2985.921,-331.769,-331.769
243, 2015/03/02,3332.72,3298.67,3336.28,3284.2,3232.0,3213.3,True,309.752,2999.448,-333.272,-333.272
244, 2015/02/27,3296.83,3291.01,3310.3,3261.4,3207.9,3215.65,True,282.132,2967.147,-329.683,-329.683
245, 2015/02/26,3222.15,3202.19,3298.36,3240.0,3184.4,3217.7,True,357.852,2899.935,-322.215,-322.215
246, 2015/02/25,3256.48,3215.55,3228.84,3215.0,3168.2,3219.95,True,259.712,2930.832,-325.648,-325.648
247, 2015/02/17,3230.88,3230.77,3246.91,3200.8,3162.7,3224.7,True,279.472,2907.792,-323.088,-323.088
