,date,open,low,close,ma5,ma10,ma20,maup,earning,stoploss_point,stoploss,earning_with_stoploss
111, 2015/09/09,7026.288,7014.778,7214.288,6945.2,6961.9,7777.4,False,0.0,5972.3448,0.0,0.0
112, 2015/09/08,6715.397,6630.627,7013.538,6929.0,6979.5,7864.4,False,0.0,5708.08745,0.0,0.0
113, 2015/09/07,6893.228,6751.018,6787.737,6985.0,7079.1,7944.0,False,0.0,5859.2438,0.0,0.0
114, 2015/09/02,6559.958,6548.967,6849.938,7014.0,7244.0,8024.05,False,0.0,5575.9643,0.0,0.0
115, 2015/09/01,7019.958,6716.237,6860.518,6979.2,7427.5,8105.2,False,0.0,5966.9643,0.0,0.0
116, 2015/08/31,7245.948,7017.398,7133.328,6978.6,7593.0,8192.65,False,0.0,6159.0558,0.0,0.0
117, 2015/08/28,7038.487,6962.447,7293.458,7030.0,7789.9,8247.6,False,0.0,5982.71395,0.0,0.0
118, 2015/08/27,6811.297,6570.387,6933.047,7173.2,7964.9,8299.75,False,0.0,5789.60245,0.0,0.0
119, 2015/08/26,6877.067,6586.617,6676.208,7474.0,8172.9,8368.45,False,0.0,5845.50695,0.0,0.0
120, 2015/08/25,6874.397,6842.197,6856.558,7875.8,8386.1,8465.2,False,0.0,5843.23745,0.0,0.0
121, 2015/08/24,7668.677,7389.337,7391.447,8207.4,8592.9,8534.9,False,0.0,6518.37545,0.0,0.0
122, 2015/08/21,8289.657,7998.967,8009.027,8549.8,8749.3,8583.85,False,0.0,7046.20845,0.0,0.0
123, 2015/08/20,8605.066,8436.467,8436.467,8756.6,8808.9,8637.2,True,-2206.545,7314.3061,-1290.7599,-1290.7599
124, 2015/08/19,8287.997,8075.627,8684.987,8871.8,8804.1,8678.35,True,-1896.406,7044.79745,-1243.19955,-1243.19955
125, 2015/08/18,9115.856,8485.037,8514.896,8896.4,8782.9,8697.05,False,0.0,7748.4776,0.0,0.0
126, 2015/08/17,9032.347,8963.157,9103.316,8978.4,8792.3,8721.3,True,-2759.436,7677.49495,-1354.85205,-1354.85205
127, 2015/08/14,9098.457,9001.066,9043.347,8948.8,8705.3,8710.65,True,-3051.106,7733.68845,-1364.76855,-1364.76855
128, 2015/08/13,8816.157,8743.566,9012.297,8861.2,8634.6,8695.6,True,-2560.076,7493.73345,-1322.42355,-1322.42355
129, 2015/08/12,8881.307,8807.407,8807.987,8736.4,8564.0,8658.8,True,-2576.786,7549.11095,-1332.19605,-1332.19605
130, 2015/08/11,8978.077,8888.977,8924.757,8669.4,8544.3,8624.25,True,-2217.526,7631.36545,-1346.71155,-1346.71155
131, 2015/08/10,8676.977,8631.066,8955.167,8606.2,8476.9,8605.8,True,-1976.016,7375.43045,-1301.54655,-1301.54655
132, 2015/08/07,8480.037,8456.207,8605.327,8461.8,8418.4,8577.6,False,0.0,7208.03145,0.0,0.0
133, 2015/08/06,8304.757,8274.617,8388.797,8408.0,8465.5,8547.4,False,0.0,7059.04345,0.0,0.0
134, 2015/08/05,8600.307,8431.047,8472.717,8391.6,8552.6,8511.85,False,0.0,7310.26095,0.0,0.0
135, 2015/08/04,8259.687,8203.337,8609.316,8419.2,8611.2,8459.55,False,0.0,7020.73395,0.0,0.0
