,date,open,close,high,low,ma5,ma10,ma20,rolling_high,new_highest,stop_loss
0,,2942.101,2948.031,2964.391,2902.951,3036.9,3033.7,2994.8,,False,2794.99595
1,,3104.411,2918.751,3104.441,2905.461,3057.6,3035.25,3003.075,,False,2949.19045
2,,3077.611,3109.551,3109.551,3055.25,3084.6,3041.85,3011.2,,False,2923.73045
3,,3117.201,3089.361,3119.221,3061.431,3075.3,3025.75,3014.45,,False,2961.34095
4,,3083.931,3118.871,3128.211,3071.331,3064.9,3013,3021.15,,True,2929.73445
5,,3047.941,3051.581,3065.971,3032.631,3030.5,2991.2,3021.725,,False,2895.54395
6,,3079.531,3053.701,3093.511,3049.841,3012.9,2980.65,3025.1,,True,2925.55445
7,,3034.091,3063.321,3065.781,3027.051,2999.1,2960.65,3033.475,,True,2882.38645
8,,2962.191,3037.041,3042.091,2962.191,2976.2,2947.35,3038.125,,True,2814.08145
9,,2888.431,2946.711,2961.491,2886.021,2961.1,2937.7,3047.05,,False,2744.00945
10,,2982.061,2963.791,2988.361,2962.851,2951.9,2955.9,3059.325,,False,2832.95795
11,,2960.331,2984.761,2999.211,2960.211,2948.4,2970.9,3079.225,,True,2812.31445
12,,2931.291,2948.641,2954.711,2909.901,2922.2,2980.55,3094.7,,False,2784.72645
13,,2901.531,2961.331,2972.431,2901.511,2918.5,3003.15,3124.25,,True,2756.45445
14,,2939.041,2901.051,2944.521,2869.561,2914.3,3029.3,3150.125,,False,2792.08895
15,,2855.601,2946.091,2965.311,2854.371,2959.9,3052.25,3178.525,,True,2712.82095
16,,2909.331,2853.761,2941.891,2841.841,2993.4,3069.55,3217.775,,False,2763.86445
17,,2953.181,2930.351,2963.541,2839.291,3038.9,3106.3,3263.325,,False,2805.52195
18,,3099.601,2940.511,3106.531,2934.651,3087.8,3128.9,3304.925,,False,2944.62095
19,,3129.031,3128.891,3149.331,3105.101,3144.3,3156.4,3344.275,,True,2972.57945
20,,3114.901,3113.461,3132.171,3053.961,3144.6,3162.75,3379.75,,False,2959.15595
21,,3136.381,3081.351,3202.541,3081.351,3145.7,3187.55,3415.55,,False,2979.56195
22,,3204.221,3174.381,3225.951,3154.431,3173.7,3208.85,3454.775,,False,3044.00995
23,,3132.701,3223.131,3227.911,3119.221,3170,3245.35,3489.9,,True,2976.06595
24,,3068.231,3130.731,3165.621,3066.731,3168.5,3270.95,3522.05,,False,2914.81945
25,,3200.891,3118.731,3216.801,3101.051,3180.9,3304.8,3553.925,,False,3040.84645
26,,3076.641,3221.571,3226.661,3072.041,3229.4,3366,3585.75,,False,2922.80895
27,,3240.481,3155.881,3257.301,3155.881,3244,3420.35,3608.95,,True,3078.45695
28,,3214.821,3215.711,3242.251,3174.551,3320.7,3480.95,3635.875,,False,3054.07995
29,,3303.121,3192.451,3342.481,3192.451,3373.4,3532.15,3660.675,,False,3137.96495
30,,3371.871,3361.561,3418.851,3237.931,3428.7,3596.75,3681.45,,False,3203.27745
31,,3481.151,3294.381,3481.151,3284.741,3502.6,3643.55,3694.525,,False,3307.09345
32,,3482.411,3539.811,3543.741,3468.471,3596.7,3700.7,3711.6,,True,3308.29045
33,,3382.181,3478.781,3518.221,3377.281,3641.2,3734.45,3715.775,,False,3213.07195
34,,3725.861,3469.071,3726.241,3468.951,3690.9,3773.15,3726.2,,False,3539.56795
35,,3760.901,3731.001,3772.621,3727.321,3764.8,3803.05,3736.625,,True,3572.85595
36,,3762.911,3765.181,3765.661,3726.281,3784.5,3805.5,3737.55,,True,3574.76545
37,,3723.051,3761.871,3762.051,3710.48,3804.7,3797.55,3735.4,,False,3536.89845
38,,3847.531,3727.631,3853.391,3727.631,3827.7,3790.8,3726.875,,True,3655.15445
39,,3832.08,3838.2,3848.02,3813.2,3855.4,3789.2,3718.825,,False,3640.476
40,,3858.13,3829.4,3867.68,3787.08,3841.3,3766.15,3704.75,,False,3665.2235
41,,3877.87,3866.38,3926.69,3862.96,3826.5,3745.5,3701.25,,True,3683.9765
42,,3872.101,3876.73,3880.471,3841.591,3790.4,3722.5,3697.025,,True,3678.49595
43,,3762.101,3865.961,3877.821,3759.99,3753.9,3697.1,3690.875,,True,3573.99595
44,,3754.961,3767.911,3810.221,3750.931,3723,3679.25,3685.25,,True,3567.21295
45,,3712.781,3755.891,3768.841,3709.851,3691,3670.2,3685.55,,True,3527.14195
46,,3703.95,3685.44,3713.09,3677.45,3664.5,3669.6,3686.525,,False,3518.7525
47,,3707.73,3694.39,3717.36,3679.23,3654.6,3673.25,3688.025,,True,3522.3435
48,,3573.881,3711.321,3712.501,3571.001,3640.3,3662.95,3691.225,,True,3395.18695
49,,3605.371,3608.061,3630.741,3578.151,3635.5,3648.45,3693.85,,False,3425.10245
50,,3634.371,3623.081,3678.321,3615.991,3649.4,3643.35,3700.775,,True,3452.65245
51,,3613.421,3635.941,3655.161,3611.491,3674.7,3657,3709.4,,False,3432.74995
52,,3668.841,3623.021,3668.841,3619.441,3691.9,3671.55,3719.275,,False,3485.39895
53,,3681.581,3687.611,3699.341,3658.581,3685.6,3684.65,3729.775,,False,3497.50195
54,,3719.731,3677.591,3726.121,3667.291,3661.4,3691.25,3737.425,,False,3533.74445
55,,3709.551,3749.301,3758.451,3693.141,3637.3,3700.9,3743.225,,True,3524.07345
56,,3587.761,3721.951,3725.851,3573.401,3639.3,3703.45,3741.05,,True,3408.37295
57,,3562.321,3591.701,3617.311,3536.121,3651.2,3702.8,3736.375,,True,3384.20495
58,,3554.891,3566.411,3587.971,3455.071,3683.7,3719.5,3730.075,,False,3377.14645
59,,3739.101,3556.991,3742.741,3534.391,3721.1,3739.25,3725.55,,False,3552.14595
60,,3795.251,3759.431,3805.841,3756.821,3764.5,3758.2,3724.4,,True,3605.48845
61,,3747.761,3781.611,3781.861,3735.721,3767.6,3761.8,3713.075,,True,3560.37295
62,,3745.761,3753.891,3754.171,3702.741,3754.4,3767,3700.25,,False,3558.47295
63,,3774.441,3753.341,3802.851,3743.411,3755.3,3774.9,3692.2,,True,3585.71895
64,,3778.881,3774.381,3793.541,3757.031,3757.4,3783.6,3684,,True,3589.93695
65,,3725.621,3774.971,3775.231,3714.671,3751.9,3785.55,3673.85,,True,3539.33995
66,,3760.461,3715.581,3771.851,3706.311,3756,3778.65,3661.325,,False,3572.43795
67,,3790.431,3758.391,3852.771,3750.161,3779.6,3769.95,3649.225,,True,3600.90945
68,,3682.731,3764.131,3764.411,3680.071,3794.5,3740.65,3640.175,,False,3498.59445
69,,3756.201,3746.241,3793.711,3727.581,3809.8,3711.85,3628.675,,False,3568.39095
70,,3841.741,3795.321,3843.901,3771.271,3819.2,3690.6,3618.075,,True,3649.65395
71,,3828.451,3833.651,3843.111,3781.411,3801.3,3664.35,3602.625,,False,3637.02845
72,,3806.671,3833.241,3876.491,3798.821,3760.3,3633.5,3581.25,,False,3616.33745
73,,3796.381,3840.351,3891.771,3796.381,3686.8,3609.5,3561.85,,True,3606.56195
74,,3698.341,3793.371,3801.711,3694.661,3613.9,3584.4,3542.225,,True,3513.42395
75,,3630.781,3705.971,3781.411,3627.301,3562,3562.15,3519.55,,True,3449.24195
76,,3477.161,3628.541,3628.541,3477.161,3527.4,3544,3499.075,,True,3303.30295
77,,3484.721,3465.491,3501.701,3452.621,3506.7,3528.5,3477.8,,False,3310.48495
78,,3489.231,3475.961,3543.451,3474.711,3532.2,3539.7,3463.475,,False,3314.76945
79,,3530.221,3534.081,3574.471,3497.571,3554.9,3545.5,3451.8,,True,3353.70995
80,,3539.981,3533.311,3561.811,3507.971,3562.3,3545.55,3436.7,,False,3362.98195
81,,3575.801,3524.921,3598.171,3517.211,3560.6,3540.9,3424.3,,False,3397.01095
82,,3569.451,3592.881,3601.051,3486.101,3550.3,3529,3411.2,,False,3390.97845
83,,3614.701,3589.261,3620.761,3561.191,3547.2,3514.2,3398.5,,True,3433.96595
84,,3536.841,3571.241,3581.841,3515.821,3536.1,3500.05,3384.45,,True,3359.99895
85,,3453.201,3524.531,3530.771,3442.311,3528.8,3476.95,3368.45,,False,3280.54095
86,,3580.841,3473.251,3601.241,3417.411,3521.2,3454.15,3354.075,,True,3401.79895
87,,3527.881,3577.701,3577.801,3510.441,3507.7,3427.1,3345.875,,True,3351.48695
88,,3548.951,3534.181,3572.991,3502.501,3481.2,3387.25,3324.6,,True,3371.50345
89,,3508.521,3534.072,3537.542,3487.102,3464,3358.1,3311.95,,True,3333.09495
90,,3403.392,3486.812,3486.812,3402.322,3425.1,3327.85,3302.6,,True,3233.2224
91,,3431.142,3406.112,3458.702,3403.232,3387.1,3307.7,3296.15,,True,3259.5849
92,,3422.481,3445.042,3452.052,3413.971,3346.5,3293.4,3295.825,,False,3251.35695
93,,3351.141,3447.691,3486.631,3347.251,3293.3,3282.8,3290.275,,True,3183.58395
94,,3302.361,3340.121,3352.381,3293.971,3252.2,3268.85,3280.4,,True,3137.24295
95,,3324.981,3296.481,3337.332,3294.611,3230.6,3259.95,3281.675,,True,3158.73195
96,,3195.901,3202.951,3223.911,3186.771,3228.3,3254,3284.95,,True,3036.10595
97,,3197.221,3178.851,3208.421,3159.042,3240.3,3264.65,3293.125,,False,3037.35995
98,,3226.612,3242.751,3246.552,3186.511,3272.3,3261.95,3301.3,,False,3065.2814
99,,3272.672,3231.952,3290.862,3201.912,3285.5,3265.8,3299.45,3926.69,False,3109.0384
100,,3278.902,3285.002,3300.862,3255.902,3289.3,3277.35,3289.15,3926.69,False,3114.9569
101,,3290.072,3263.031,3315.942,3253.332,3279.7,3284.6,3277.05,3926.69,False,3125.5684
102,,3312.372,3339.031,3371.412,3303.182,3289,3298.25,3277.675,3926.69,True,3146.7534
103,,3222.602,3308.251,3312.552,3211.932,3251.6,3297.75,3290.2,3926.69,True,3061.4719
104,,3254.441,3251.271,3280.881,3227.831,3246.1,3291.95,3312.85,3926.69,False,3091.71895
105,,3287.661,3237.001,3354.911,3237.001,3265.4,3303.4,3344.6,3926.69,True,3123.27795
106,,3149.161,3309.251,3345.921,3131.371,3289.5,3315.9,3374.025,3926.69,True,2991.70295
107,,3208.741,3152.231,3240.082,3131.981,3307.5,3321.6,3412.425,3926.69,False,3048.30395
108,,3367.641,3281.131,3373.921,3187.571,3343.9,3340.65,3458.525,3926.69,False,3199.25895
109,,3349.881,3347.191,3383.131,3315.481,3337.8,3333.1,3498.225,3926.69,False,3182.38695
110,,3349.281,3357.561,3398.321,3337.311,3341.4,3300.95,3531.675,3926.69,False,3181.81695
111,,3344.821,3399.311,3426.651,3330.291,3342.3,3269.5,3567.125,3926.69,True,3177.57995
112,,3221.791,3334.021,3340.221,3170.811,3335.7,3257.1,3601.375,3926.69,False,3060.70145
113,,3347.291,3250.491,3422.221,3240.241,3337.4,3282.65,3630.025,3926.69,True,3179.92645
114,,3220.851,3365.831,3387.021,3213.641,3328.4,3333.75,3659.075,3926.69,True,3059.80845
115,,3296.531,3362.081,3370.501,3190.581,3260.5,3385.8,3684.15,3926.69,True,3131.70445
116,,3307.401,3366.541,3368.281,3205.541,3196.7,3432.15,3713.45,3926.69,True,3142.03095
