,avge,avge2,count,days,ma,scope,sum,sum2
0,143.443194135,157.049496328,1705,150,ma5,0.04,244570.646,267769.39124
1,143.140922657,166.517671509,2379,150,ma10,0.04,340532.255,396145.54052
2,148.991956458,170.469972959,2710,150,ma20,0.04,403768.202,461973.62672
3,147.810783451,162.160904413,1704,160,ma5,0.04,251869.575,276322.18112
4,148.994925568,170.673706728,2378,160,ma10,0.04,354309.933,405862.0746
5,157.751527306,177.344584753,2710,160,ma20,0.04,427506.639,480603.82468
6,153.97668662,168.989204531,1704,170,ma5,0.04,262376.274,287957.60452
7,156.08086291,179.933942489,2378,170,ma10,0.04,371160.292,427882.91524
8,170.571815061,187.207787789,2709,170,ma20,0.04,462079.047,507145.89712
9,165.391881176,174.893547835,1700,180,ma5,0.04,281166.198,297319.03132
10,171.526497468,190.493728692,2370,180,ma10,0.04,406517.799,451470.137
11,187.231304557,195.887012716,2699,180,ma20,0.04,505337.291,528699.04732
12,182.306521251,187.335097048,1694,190,ma5,0.04,308827.247,317345.6544
13,186.679531951,203.980935489,2363,190,ma10,0.04,441123.734,482006.95056
14,197.476529346,207.535120163,2692,190,ma20,0.04,531606.817,558684.54348
15,186.041134752,194.383371064,1692,200,ma5,0.04,314781.6,328896.66384
16,188.445384583,212.705311986,2361,200,ma10,0.04,444919.553,502197.2416
17,199.308524358,216.372207512,2689,200,ma20,0.04,535940.622,581824.866
18,194.996688204,204.935623047,1687,210,ma5,0.04,328959.413,345726.39608
19,202.696213526,225.716845019,2351,210,ma10,0.04,476538.798,530660.30264
20,211.485212393,225.955595551,2679,210,ma20,0.04,566568.884,605335.04048
21,194.200292683,207.779786984,1681,220,ma5,0.04,326450.692,349277.82192
22,209.41765314,234.143195028,2341,220,ma10,0.04,490246.726,548129.21956
23,223.153419633,234.888872147,2669,220,ma20,0.04,595596.477,626918.39976
24,202.768218974,218.941398377,1676,230,ma5,0.04,339839.535,366945.78368
25,223.032531103,248.097681338,2331,230,ma10,0.04,519888.83,578315.6952
26,233.640132381,244.76749912,2659,230,ma20,0.04,621249.112,650836.78016
27,212.260919113,227.799280192,1669,240,ma5,0.04,354263.474,380196.99864
28,233.466619089,256.930031539,2326,240,ma10,0.04,543043.356,597619.25336
29,242.87444566,253.065622038,2650,240,ma20,0.04,643617.281,670623.8984
30,213.380122744,232.836433285,1662,250,ma5,0.04,354637.764,386974.15212
31,234.754175151,262.09307308,2318,250,ma10,0.04,544160.178,607531.7434
32,241.696844234,256.89233414,2645,250,ma20,0.04,639288.153,679480.2238
33,214.978251054,234.467106297,1661,260,ma5,0.04,357078.875,389449.86356
34,229.80545384,260.679929664,2318,260,ma10,0.04,532689.042,604256.07696
35,235.789457845,253.485522631,2645,260,ma20,0.04,623663.116,670469.20736
