,avge,avge2,count,days,ma,scope,sum,sum2
0,304.970637931,321.163792069,696,150,ma5,0.04,212259.564,223529.99928
1,303.000762271,323.477581752,1039,150,ma10,0.04,314817.792,336093.20744
2,324.623040782,345.370204554,1177,150,ma20,0.04,382081.319,406500.73076
3,315.709661871,335.854500432,695,160,ma5,0.04,219418.215,233418.8778
4,317.360738921,339.345550829,1038,160,ma10,0.04,329420.447,352240.68176
5,346.036498726,364.488118437,1177,160,ma20,0.04,407284.959,429002.5154
6,331.621261871,360.709182619,695,170,ma5,0.04,230476.777,250692.88192
7,336.013495183,366.943889094,1038,170,ma10,0.04,348782.008,380887.75688
8,361.943994048,391.279707959,1176,170,ma20,0.04,425646.137,460144.93656
9,340.304121387,377.063493642,692,180,ma5,0.04,235490.452,260927.9376
10,360.314215534,390.524629825,1030,180,ma10,0.04,371123.642,402240.36872
11,383.502023136,412.321859537,1167,180,ma20,0.04,447546.861,481179.61008
12,370.132810496,400.507257551,686,190,ma5,0.04,253911.108,274747.97868
13,378.091580078,413.862604297,1024,190,ma10,0.04,387165.778,423795.3068
14,395.296968103,433.555328828,1160,190,ma20,0.04,458544.483,502924.18144
15,358.561274854,404.175838538,684,200,ma5,0.04,245255.912,276456.27356
16,368.988627202,422.514523757,1022,200,ma10,0.04,377106.377,431809.84328
17,394.455418182,447.723611463,1155,200,ma20,0.04,455596.008,517120.77124
18,374.60632106,416.312507688,679,210,ma5,0.04,254357.692,282676.19272
19,388.681574111,436.976501542,1012,210,ma10,0.04,393345.753,442220.21956
20,411.92669607,458.589647616,1145,210,ma20,0.04,471656.067,525085.14652
21,386.536878338,421.65706724,674,220,ma5,0.04,260525.856,284196.86332
22,410.80646507,446.236115689,1002,220,ma10,0.04,411628.078,447128.58792
23,435.701953304,466.18802904,1135,220,ma20,0.04,494521.717,529123.41296
24,404.457181138,434.722997126,668,230,ma5,0.04,270177.397,290394.96208
25,441.257010081,468.143139032,992,230,ma10,0.04,437726.954,464397.99392
26,465.292991111,482.506157227,1125,230,ma20,0.04,523454.615,542819.42688
27,421.739877644,443.911583927,662,240,ma5,0.04,279191.799,293869.46856
28,458.74987234,481.121562148,987,240,ma10,0.04,452786.124,474866.98184
29,478.068577061,493.396120789,1116,240,ma20,0.04,533524.532,550630.0708
30,414.355827744,447.008912805,656,250,ma5,0.04,271817.423,293237.8468
31,458.179628192,491.426127354,979,250,ma10,0.04,448557.856,481106.17868
32,472.425734657,496.515735451,1108,250,ma20,0.04,523447.714,550139.43488
33,411.843285496,450.857691542,655,260,ma5,0.04,269757.352,295311.78796
34,446.929255624,492.386576524,978,260,ma10,0.04,437096.812,481554.07184
35,453.675058664,496.127146823,1108,260,ma20,0.04,502671.965,549708.87868
36,405.441866359,449.176313733,651,270,ma5,0.04,263942.655,292413.78024
37,440.516176591,493.59739848,974,270,ma10,0.04,429062.756,480763.86612
38,441.065912965,499.180432602,1103,270,ma20,0.04,486495.702,550596.01716
39,391.104859133,435.208494923,646,280,ma5,0.04,252653.739,281144.68772
40,431.984860393,489.009600786,967,280,ma10,0.04,417729.36,472872.28396
41,430.194997255,491.461649954,1093,280,ma20,0.04,470203.132,537167.5834
