,avge,count,days,ma,scope,sum
0,28.1365061404,57,100,"('ma5', 'ma10')",0.05,1603.78085
1,62.7612257576,33,100,"('ma5', 'ma20')",0.05,2071.12045
2,84.9398160714,28,100,"('ma10', 'ma20')",0.05,2378.31485
3,36.1831377193,57,150,"('ma5', 'ma10')",0.05,2062.43885
4,36.3961045455,33,150,"('ma5', 'ma20')",0.05,1201.07145
5,63.928475,28,150,"('ma10', 'ma20')",0.05,1789.9973
6,89.2654184211,57,200,"('ma5', 'ma10')",0.05,5088.12885
7,137.505118182,33,200,"('ma5', 'ma20')",0.05,4537.6689
8,181.260151786,28,200,"('ma10', 'ma20')",0.05,5075.28425
9,77.7912157895,57,250,"('ma5', 'ma10')",0.05,4434.0993
10,134.285027273,33,250,"('ma5', 'ma20')",0.05,4431.4059
11,158.301508929,28,250,"('ma10', 'ma20')",0.05,4432.44225
12,37.4243929825,57,280,"('ma5', 'ma10')",0.05,2133.1904
13,75.2178772727,33,280,"('ma5', 'ma20')",0.05,2482.18995
14,102.732385714,28,280,"('ma10', 'ma20')",0.05,2876.5068
15,51.875077193,57,290,"('ma5', 'ma10')",0.05,2956.8794
16,94.9118166667,33,290,"('ma5', 'ma20')",0.05,3132.08995
17,107.864885714,28,290,"('ma10', 'ma20')",0.05,3020.2168
18,50.2331473684,57,300,"('ma5', 'ma10')",0.05,2863.2894
19,100.320028788,33,300,"('ma5', 'ma20')",0.05,3310.56095
20,94.4270285714,28,300,"('ma10', 'ma20')",0.05,2643.9568
21,60.454422807,57,100,"('ma5', 'ma10')",0.06,3445.9021
22,62.5756466667,33,100,"('ma5', 'ma20')",0.06,2064.99634
23,90.6330721429,28,100,"('ma10', 'ma20')",0.06,2537.72602
24,98.7498614035,57,150,"('ma5', 'ma10')",0.06,5628.7421
25,41.832949697,33,150,"('ma5', 'ma20')",0.06,1380.48734
26,69.5304414286,28,150,"('ma10', 'ma20')",0.06,1946.85236
27,137.105615789,57,200,"('ma5', 'ma10')",0.06,7815.0201
28,134.618881212,33,200,"('ma5', 'ma20')",0.06,4442.42308
29,194.799889286,28,200,"('ma10', 'ma20')",0.06,5454.3969
30,149.836807719,57,250,"('ma5', 'ma10')",0.06,8540.69804
31,134.681547879,33,250,"('ma5', 'ma20')",0.06,4444.49108
32,168.206567857,28,250,"('ma10', 'ma20')",0.06,4709.7839
33,100.810599298,57,280,"('ma5', 'ma10')",0.06,5746.20416
